Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
0.000,Bluetooth,-71
0.001,Bluetooth,-71
0.109,Bluetooth,-73
0.111,Bluetooth,-73
0.142,Bluetooth,-71
0.144,Bluetooth,-71
0.205,Bluetooth,-68
0.206,Bluetooth,-67
0.244,Bluetooth,-71
0.279,Bluetooth,-70
0.282,Bluetooth,-70
0.310,Bluetooth,-69
0.376,Bluetooth,-67
0.378,Bluetooth,-67
0.415,Bluetooth,-64
0.417,Bluetooth,-64
0.444,Bluetooth,-63
0.446,Bluetooth,-63
0.507,Bluetooth,-68
0.509,Bluetooth,-69
0.545,Bluetooth,-61
0.547,Bluetooth,-61
0.583,Bluetooth,-66
0.585,Bluetooth,-66
0.658,Bluetooth,-66
0.660,Bluetooth,-67
0.731,Bluetooth,-61
0.733,Bluetooth,-60
0.769,Bluetooth,-66
0.771,Bluetooth,-66
0.806,Bluetooth,-65
0.838,Bluetooth,-61
0.841,Bluetooth,-60
0.907,Bluetooth,-61
0.944,Bluetooth,-61
0.946,Bluetooth,-61
0.978,Bluetooth,-66
0.981,Bluetooth,-67
1.009,Bluetooth,-67
1.011,Bluetooth,-66
1.045,Bluetooth,-65
1.047,Bluetooth,-65
1.085,Bluetooth,-62
1.086,Bluetooth,-63
1.123,Bluetooth,-67
1.125,Bluetooth,-67
1.160,Bluetooth,-65
1.162,Bluetooth,-64
1.195,Bluetooth,-62
1.197,Bluetooth,-61
1.232,Bluetooth,-68
1.267,Bluetooth,-62
1.269,Bluetooth,-60
1.335,Bluetooth,-66
1.337,Bluetooth,-65
1.370,Bluetooth,-60
1.373,Bluetooth,-60
1.504,Bluetooth,-62
1.533,Bluetooth,-69
1.569,Bluetooth,-64
1.632,Bluetooth,-70
1.634,Bluetooth,-70
1.671,Bluetooth,-68
1.673,Bluetooth,-68
1.748,Bluetooth,-68
1.750,Bluetooth,-68
1.782,Bluetooth,-73
1.784,Bluetooth,-73
1.818,Bluetooth,-72
1.853,Bluetooth,-73
1.854,Bluetooth,-74
1.925,Bluetooth,-69
1.927,Bluetooth,-68
1.964,Bluetooth,-72
1.966,Bluetooth,-72
1.995,Bluetooth,-80
1.997,Bluetooth,-81
2.108,Bluetooth,-69
2.182,Bluetooth,-72
2.184,Bluetooth,-71
2.213,Bluetooth,-68
2.215,Bluetooth,-68
2.393,Bluetooth,-69
2.395,Bluetooth,-69
2.429,Bluetooth,-71
2.464,Bluetooth,-69
2.467,Bluetooth,-67
2.504,Bluetooth,-78
2.506,Bluetooth,-78
2.540,Bluetooth,-79
2.542,Bluetooth,-78
2.580,Bluetooth,-73
2.582,Bluetooth,-72
2.612,Bluetooth,-71
2.614,Bluetooth,-72
2.647,Bluetooth,-71
2.649,Bluetooth,-71
2.684,Bluetooth,-71
2.720,Bluetooth,-81
2.751,Bluetooth,-78
2.754,Bluetooth,-76
2.796,Bluetooth,-76
2.850,Bluetooth,-80
2.851,Bluetooth,-80
2.886,Bluetooth,-65
2.889,Bluetooth,-66
2.927,Bluetooth,-68
2.929,Bluetooth,-68
2.989,Bluetooth,-74
2.991,Bluetooth,-74
3.021,Bluetooth,-75
3.060,Bluetooth,-68
3.062,Bluetooth,-68
3.096,Bluetooth,-68
3.173,Bluetooth,-68
3.175,Bluetooth,-68
3.206,Bluetooth,-64
3.208,Bluetooth,-65
3.307,Bluetooth,-69
3.377,Bluetooth,-62
3.379,Bluetooth,-62
3.451,Bluetooth,-75
3.453,Bluetooth,-75
3.623,Bluetooth,-59
3.694,Bluetooth,-59
3.696,Bluetooth,-59
3.733,Bluetooth,-77
3.735,Bluetooth,-77
3.766,Bluetooth,-71
3.767,Bluetooth,-71
3.803,Bluetooth,-60
3.804,Bluetooth,-60
3.838,Bluetooth,-72
3.840,Bluetooth,-73
3.868,Bluetooth,-72
3.871,Bluetooth,-72
3.900,Bluetooth,-73
3.902,Bluetooth,-73
3.929,Bluetooth,-71
