Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.004,Bluetooth,-50
0.006,Bluetooth,-50
0.037,Bluetooth,-70
0.038,Bluetooth,-69
0.107,Bluetooth,-53
0.108,Bluetooth,-54
0.263,Bluetooth,-55
0.264,Bluetooth,-55
0.297,Bluetooth,-67
0.298,Bluetooth,-67
0.332,Bluetooth,-56
0.333,Bluetooth,-57
0.405,Bluetooth,-62
0.406,Bluetooth,-63
0.504,Bluetooth,-54
0.505,Bluetooth,-54
0.538,Bluetooth,-50
0.539,Bluetooth,-50
0.573,Bluetooth,-49
0.574,Bluetooth,-50
0.610,Bluetooth,-53
0.612,Bluetooth,-53
0.644,Bluetooth,-56
0.645,Bluetooth,-55
0.672,Bluetooth,-52
0.673,Bluetooth,-52
0.713,Bluetooth,-53
0.714,Bluetooth,-54
0.862,Bluetooth,-66
0.863,Bluetooth,-65
0.928,Bluetooth,-64
0.929,Bluetooth,-64
0.960,Bluetooth,-54
0.962,Bluetooth,-55
0.996,Bluetooth,-57
0.997,Bluetooth,-59
1.027,Bluetooth,-53
1.028,Bluetooth,-53
1.090,Bluetooth,-54
1.091,Bluetooth,-55
1.128,Bluetooth,-57
1.129,Bluetooth,-57
1.165,Bluetooth,-55
1.235,Bluetooth,-58
1.236,Bluetooth,-59
1.266,Bluetooth,-56
1.301,Bluetooth,-57
1.342,Bluetooth,-58
1.405,Bluetooth,-56
1.485,Bluetooth,-60
1.486,Bluetooth,-59
1.514,Bluetooth,-53
1.515,Bluetooth,-54
1.551,Bluetooth,-55
1.552,Bluetooth,-55
1.582,Bluetooth,-57
1.583,Bluetooth,-59
1.618,Bluetooth,-55
1.619,Bluetooth,-55
1.648,Bluetooth,-54
1.649,Bluetooth,-55
1.681,Bluetooth,-55
1.682,Bluetooth,-63
1.716,Bluetooth,-55
1.717,Bluetooth,-54
1.748,Bluetooth,-60
1.749,Bluetooth,-59
1.988,Bluetooth,-63
1.989,Bluetooth,-64
2.024,Bluetooth,-65
2.025,Bluetooth,-64
2.059,Bluetooth,-65
2.060,Bluetooth,-65
2.099,Bluetooth,-65
2.100,Bluetooth,-64
2.136,Bluetooth,-66
2.137,Bluetooth,-65
2.203,Bluetooth,-62
2.204,Bluetooth,-62
2.277,Bluetooth,-54
2.278,Bluetooth,-54
2.305,Bluetooth,-53
2.342,Bluetooth,-56
2.343,Bluetooth,-55
2.411,Bluetooth,-53
2.412,Bluetooth,-54
2.448,Bluetooth,-51
2.449,Bluetooth,-52
2.481,Bluetooth,-52
2.482,Bluetooth,-52
2.517,Bluetooth,-56
2.519,Bluetooth,-56
2.553,Bluetooth,-52
2.554,Bluetooth,-54
2.588,Bluetooth,-52
2.589,Bluetooth,-53
2.623,Bluetooth,-55
2.624,Bluetooth,-54
2.849,Bluetooth,-58
2.850,Bluetooth,-50
2.883,Bluetooth,-77
2.884,Bluetooth,-76
2.922,Bluetooth,-58
2.923,Bluetooth,-59
2.952,Bluetooth,-50
2.953,Bluetooth,-50
2.982,Bluetooth,-66
2.984,Bluetooth,-66
3.026,Bluetooth,-64
3.027,Bluetooth,-65
3.132,Bluetooth,-65
3.133,Bluetooth,-65
3.163,Bluetooth,-57
3.164,Bluetooth,-57
3.197,Bluetooth,-51
3.199,Bluetooth,-51
3.226,Bluetooth,-59
3.228,Bluetooth,-61
3.263,Bluetooth,-57
3.264,Bluetooth,-57
3.360,Bluetooth,-62
3.361,Bluetooth,-61
3.425,Bluetooth,-53
3.427,Bluetooth,-52
3.457,Bluetooth,-63
3.458,Bluetooth,-62
3.497,Bluetooth,-56
3.498,Bluetooth,-56
3.528,Bluetooth,-56
3.529,Bluetooth,-56
3.560,Bluetooth,-55
3.561,Bluetooth,-54
3.589,Bluetooth,-60
3.629,Bluetooth,-54
3.631,Bluetooth,-55
3.705,Bluetooth,-55
3.706,Bluetooth,-55
3.742,Bluetooth,-53
3.744,Bluetooth,-53
3.809,Bluetooth,-65
3.810,Bluetooth,-67
3.837,Bluetooth,-54
3.839,Bluetooth,-54
3.877,Bluetooth,-55
