Distance,15.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
0.000,Bluetooth,-72
0.002,Bluetooth,-72
0.030,Bluetooth,-70
0.032,Bluetooth,-70
0.063,Bluetooth,-68
0.066,Bluetooth,-71
0.096,Bluetooth,-68
0.098,Bluetooth,-68
0.131,Bluetooth,-71
0.133,Bluetooth,-72
0.162,Bluetooth,-70
0.163,Bluetooth,-70
0.191,Bluetooth,-69
0.192,Bluetooth,-68
0.226,Bluetooth,-66
0.227,Bluetooth,-64
0.291,Bluetooth,-68
0.292,Bluetooth,-69
0.324,Bluetooth,-68
0.326,Bluetooth,-69
0.359,Bluetooth,-66
0.360,Bluetooth,-65
0.391,Bluetooth,-69
0.392,Bluetooth,-69
0.422,Bluetooth,-69
0.423,Bluetooth,-69
0.454,Bluetooth,-65
0.456,Bluetooth,-66
0.486,Bluetooth,-65
0.486,Bluetooth,-67
0.548,Bluetooth,-69
0.551,Bluetooth,-68
0.579,Bluetooth,-66
0.580,Bluetooth,-66
0.677,Bluetooth,-68
0.678,Bluetooth,-69
0.802,Bluetooth,-68
0.804,Bluetooth,-69
0.833,Bluetooth,-66
0.834,Bluetooth,-66
0.864,Bluetooth,-69
0.866,Bluetooth,-70
0.892,Bluetooth,-69
0.893,Bluetooth,-70
0.924,Bluetooth,-70
0.925,Bluetooth,-69
0.957,Bluetooth,-66
0.959,Bluetooth,-66
1.122,Bluetooth,128
1.154,Bluetooth,-70
1.155,Bluetooth,-72
1.188,Bluetooth,-68
1.189,Bluetooth,-66
1.220,Bluetooth,-69
1.221,Bluetooth,-69
1.255,Bluetooth,-70
1.256,Bluetooth,-70
1.320,Bluetooth,-67
1.321,Bluetooth,-67
1.351,Bluetooth,-70
1.352,Bluetooth,-71
1.380,Bluetooth,-71
1.382,Bluetooth,-71
1.440,Bluetooth,-68
1.441,Bluetooth,-66
1.471,Bluetooth,-69
1.472,Bluetooth,-69
1.505,Bluetooth,-72
1.506,Bluetooth,-74
1.538,Bluetooth,-65
1.539,Bluetooth,-65
1.602,Bluetooth,-71
1.603,Bluetooth,-72
1.636,Bluetooth,-71
1.637,Bluetooth,-73
1.670,Bluetooth,-68
1.671,Bluetooth,-68
1.701,Bluetooth,-73
1.702,Bluetooth,-69
1.731,Bluetooth,126
1.761,Bluetooth,-71
1.762,Bluetooth,-73
1.796,Bluetooth,-68
1.799,Bluetooth,-67
1.827,Bluetooth,-72
1.828,Bluetooth,-71
1.861,Bluetooth,-72
1.862,Bluetooth,-72
1.892,Bluetooth,-68
1.894,Bluetooth,-68
1.922,Bluetooth,-67
1.928,Bluetooth,-67
1.956,Bluetooth,-72
1.956,Bluetooth,-72
1.987,Bluetooth,-71
1.987,Bluetooth,-71
2.018,Bluetooth,-68
2.018,Bluetooth,-68
2.050,Bluetooth,-71
2.050,Bluetooth,-72
2.080,Bluetooth,-73
2.080,Bluetooth,-71
2.108,Bluetooth,-72
2.109,Bluetooth,-75
2.139,Bluetooth,-68
2.139,Bluetooth,-68
2.173,Bluetooth,-72
2.174,Bluetooth,-72
2.206,Bluetooth,-73
2.206,Bluetooth,-73
2.240,Bluetooth,-72
2.240,Bluetooth,-72
2.273,Bluetooth,-68
2.273,Bluetooth,-70
2.303,Bluetooth,-72
2.304,Bluetooth,-73
2.332,Bluetooth,-74
2.332,Bluetooth,-73
2.362,Bluetooth,-73
2.362,Bluetooth,-74
2.393,Bluetooth,-70
2.393,Bluetooth,-70
2.426,Bluetooth,-74
2.426,Bluetooth,-74
2.455,Bluetooth,-74
2.455,Bluetooth,-73
2.486,Bluetooth,-73
2.486,Bluetooth,-73
2.549,Bluetooth,-72
2.577,Bluetooth,-73
2.578,Bluetooth,-75
2.610,Bluetooth,-71
2.611,Bluetooth,-70
2.645,Bluetooth,-69
2.646,Bluetooth,-70
2.679,Bluetooth,-72
2.680,Bluetooth,-73
2.710,Bluetooth,-73
2.711,Bluetooth,-73
2.745,Bluetooth,-71
2.746,Bluetooth,-70
2.779,Bluetooth,-72
2.780,Bluetooth,-72
2.811,Bluetooth,-73
2.812,Bluetooth,-72
2.842,Bluetooth,-71
2.843,Bluetooth,-72
2.878,Bluetooth,-71
2.879,Bluetooth,-71
2.912,Bluetooth,-71
2.913,Bluetooth,-72
2.946,Bluetooth,-72
2.949,Bluetooth,-74
3.142,Bluetooth,-71
3.143,Bluetooth,-71
3.204,Bluetooth,-73
3.205,Bluetooth,-74
3.273,Bluetooth,-69
3.274,Bluetooth,-69
3.338,Bluetooth,-71
3.339,Bluetooth,-73
3.372,Bluetooth,-69
3.373,Bluetooth,-70
3.402,Bluetooth,-71
3.403,Bluetooth,-71
3.433,Bluetooth,-72
3.434,Bluetooth,-73
3.469,Bluetooth,-72
3.470,Bluetooth,-71
3.505,Bluetooth,-71
3.506,Bluetooth,-71
3.531,Bluetooth,-74
3.533,Bluetooth,-74
3.562,Bluetooth,-75
3.563,Bluetooth,-74
3.594,Bluetooth,-73
3.595,Bluetooth,-72
3.686,Bluetooth,-74
3.687,Bluetooth,-73
3.720,Bluetooth,-74
3.721,Bluetooth,-73
3.755,Bluetooth,-70
3.756,Bluetooth,-70
3.786,Bluetooth,-74
3.788,Bluetooth,-73
3.818,Bluetooth,-74
3.819,Bluetooth,-73
3.851,Bluetooth,-70
3.854,Bluetooth,-69
3.882,Bluetooth,-69
3.882,Bluetooth,-68
3.915,Bluetooth,-74
3.916,Bluetooth,-73
3.945,Bluetooth,-72
3.946,Bluetooth,-72
163.884,Bluetooth,-72
163.885,Bluetooth,-72
163.916,Bluetooth,-70
163.917,Bluetooth,-71
163.948,Bluetooth,-70
163.949,Bluetooth,-70
164.014,Bluetooth,-71
164.015,Bluetooth,-71
164.077,Bluetooth,-71
164.078,Bluetooth,-70
164.106,Bluetooth,-71
164.108,Bluetooth,-71
164.136,Bluetooth,-70
164.137,Bluetooth,-69
164.171,Bluetooth,-71
164.172,Bluetooth,-71
164.235,Bluetooth,-70
164.236,Bluetooth,-70
164.264,Bluetooth,-70
164.265,Bluetooth,-70
164.294,Bluetooth,-71
164.296,Bluetooth,-70
164.328,Bluetooth,-70
164.329,Bluetooth,-68
164.359,Bluetooth,-70
164.360,Bluetooth,-71
164.388,Bluetooth,-70
164.389,Bluetooth,-70
164.418,Bluetooth,-71
164.419,Bluetooth,-71
164.448,Bluetooth,127
164.514,Bluetooth,-70
164.515,Bluetooth,-69
164.548,Bluetooth,-70
164.549,Bluetooth,-71
164.579,Bluetooth,-70
164.580,Bluetooth,-70
164.608,Bluetooth,-69
164.610,Bluetooth,-71
164.638,Bluetooth,-70
164.640,Bluetooth,-70
164.669,Bluetooth,-71
164.670,Bluetooth,-71
164.702,Bluetooth,-69
164.703,Bluetooth,-69
164.730,Bluetooth,-70
164.731,Bluetooth,-71
164.764,Bluetooth,-69
164.765,Bluetooth,-71
164.794,Bluetooth,-71
164.796,Bluetooth,-71
164.827,Bluetooth,-70
164.828,Bluetooth,-69
164.856,Bluetooth,-69
164.858,Bluetooth,-71
164.893,Bluetooth,-72
164.894,Bluetooth,-71
164.927,Bluetooth,-70
164.929,Bluetooth,-71
164.960,Bluetooth,-69
164.962,Bluetooth,-71
164.989,Bluetooth,-71
164.991,Bluetooth,-71
165.022,Bluetooth,-71
165.023,Bluetooth,-70
165.116,Bluetooth,-70
165.117,Bluetooth,-71
165.150,Bluetooth,-71
165.151,Bluetooth,-72
165.184,Bluetooth,-70
165.185,Bluetooth,-70
165.215,Bluetooth,-70
165.216,Bluetooth,-71
165.277,Bluetooth,-71
165.278,Bluetooth,-71
165.308,Bluetooth,-69
165.310,Bluetooth,-71
165.339,Bluetooth,-70
165.341,Bluetooth,-71
165.371,Bluetooth,127
165.401,Bluetooth,-70
165.402,Bluetooth,-69
165.435,Bluetooth,-70
165.436,Bluetooth,-70
165.497,Bluetooth,-71
165.498,Bluetooth,-71
165.653,Bluetooth,-69
165.654,Bluetooth,-68
165.687,Bluetooth,-71
165.688,Bluetooth,-70
165.749,Bluetooth,-70
165.750,Bluetooth,-70
165.780,Bluetooth,-69
165.780,Bluetooth,-70
165.814,Bluetooth,-70
165.815,Bluetooth,-72
165.847,Bluetooth,-70
165.847,Bluetooth,-69
165.877,Bluetooth,-69
165.877,Bluetooth,-69
165.908,Bluetooth,-70
165.908,Bluetooth,-70
165.936,Bluetooth,-70
165.937,Bluetooth,-71
165.970,Bluetooth,-70
165.971,Bluetooth,-70
166.005,Bluetooth,-70
166.005,Bluetooth,-70
166.035,Bluetooth,-69
166.035,Bluetooth,-70
166.064,Bluetooth,-70
166.064,Bluetooth,-72
166.097,Bluetooth,-70
166.097,Bluetooth,-70
166.128,Bluetooth,-69
166.128,Bluetooth,-70
166.158,Bluetooth,-70
166.158,Bluetooth,-71
166.186,Bluetooth,-70
166.187,Bluetooth,-70
166.220,Bluetooth,-69
166.221,Bluetooth,-69
166.253,Bluetooth,-70
166.253,Bluetooth,-71
166.320,Bluetooth,-71
166.320,Bluetooth,-72
166.353,Bluetooth,-70
166.353,Bluetooth,-71
166.451,Bluetooth,-70
166.451,Bluetooth,-70
166.484,Bluetooth,-69
166.485,Bluetooth,-69
166.518,Bluetooth,-70
166.518,Bluetooth,-72
166.548,Bluetooth,-71
166.548,Bluetooth,-71
166.582,Bluetooth,-70
166.583,Bluetooth,-70
166.614,Bluetooth,-72
166.615,Bluetooth,-69
166.676,Bluetooth,-71
166.676,Bluetooth,-73
166.711,Bluetooth,-70
166.712,Bluetooth,-70
166.747,Bluetooth,-70
166.748,Bluetooth,-71
166.780,Bluetooth,-72
166.781,Bluetooth,-72
166.810,Bluetooth,-69
166.812,Bluetooth,-70
166.842,Bluetooth,-70
166.843,Bluetooth,-70
166.875,Bluetooth,-71
166.877,Bluetooth,-72
166.906,Bluetooth,-70
166.908,Bluetooth,-73
166.937,Bluetooth,-70
166.938,Bluetooth,-69
166.969,Bluetooth,-70
166.970,Bluetooth,-71
167.001,Bluetooth,-70
167.002,Bluetooth,-70
167.031,Bluetooth,-70
167.031,Bluetooth,-73
167.065,Bluetooth,-70
167.067,Bluetooth,-70
167.160,Bluetooth,-72
167.162,Bluetooth,-74
167.189,Bluetooth,-69
167.189,Bluetooth,-70
167.253,Bluetooth,-69
167.254,Bluetooth,-72
167.317,Bluetooth,-69
167.318,Bluetooth,-69
167.352,Bluetooth,-69
167.353,Bluetooth,-69
167.386,Bluetooth,-72
167.387,Bluetooth,-73
167.417,Bluetooth,-70
167.418,Bluetooth,-70
167.451,Bluetooth,-72
167.452,Bluetooth,-72
167.553,Bluetooth,-70
167.554,Bluetooth,-70
167.680,Bluetooth,-69
167.681,Bluetooth,-69
167.745,Bluetooth,-70
167.746,Bluetooth,-72
167.776,Bluetooth,-71
167.777,Bluetooth,-71
167.839,Bluetooth,-71
167.840,Bluetooth,-71
167.871,Bluetooth,-71
167.872,Bluetooth,-72
