Distance,10.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
0.016,Bluetooth,-79
0.017,Bluetooth,-80
0.079,Bluetooth,-78
0.079,Bluetooth,-78
0.139,Bluetooth,-79
0.139,Bluetooth,-79
0.169,Bluetooth,-69
0.169,Bluetooth,-69
0.204,Bluetooth,-78
0.204,Bluetooth,-76
0.232,Bluetooth,-79
0.233,Bluetooth,-79
0.263,Bluetooth,-78
0.263,Bluetooth,-78
0.293,Bluetooth,-70
0.293,Bluetooth,-71
0.324,Bluetooth,-79
0.324,Bluetooth,-78
0.352,Bluetooth,-78
0.353,Bluetooth,-79
0.388,Bluetooth,-70
0.389,Bluetooth,-69
0.418,Bluetooth,-70
0.418,Bluetooth,-68
0.452,Bluetooth,-77
0.453,Bluetooth,-76
0.483,Bluetooth,-80
0.483,Bluetooth,-79
0.515,Bluetooth,-69
0.516,Bluetooth,-69
0.546,Bluetooth,-68
0.546,Bluetooth,-69
0.578,Bluetooth,-76
0.578,Bluetooth,-77
0.609,Bluetooth,-79
0.610,Bluetooth,-79
0.639,Bluetooth,-69
0.640,Bluetooth,-70
0.675,Bluetooth,-78
0.677,Bluetooth,-76
0.740,Bluetooth,-79
0.741,Bluetooth,-79
0.774,Bluetooth,-69
0.774,Bluetooth,-68
0.808,Bluetooth,-77
0.809,Bluetooth,-76
0.838,Bluetooth,-78
0.838,Bluetooth,-79
0.871,Bluetooth,-69
0.871,Bluetooth,-69
0.902,Bluetooth,-69
0.902,Bluetooth,-69
0.933,Bluetooth,-78
0.933,Bluetooth,-75
0.965,Bluetooth,-78
0.965,Bluetooth,-78
0.997,Bluetooth,-69
0.997,Bluetooth,-69
1.030,Bluetooth,-76
1.031,Bluetooth,-76
1.061,Bluetooth,-77
1.062,Bluetooth,-75
1.094,Bluetooth,-77
1.095,Bluetooth,-78
1.125,Bluetooth,-69
1.126,Bluetooth,-69
1.156,Bluetooth,-77
1.157,Bluetooth,-75
1.220,Bluetooth,-78
1.221,Bluetooth,-80
1.249,Bluetooth,-69
1.250,Bluetooth,-69
1.280,Bluetooth,-75
1.281,Bluetooth,-74
1.341,Bluetooth,-78
1.343,Bluetooth,-78
1.372,Bluetooth,-68
1.373,Bluetooth,-68
1.406,Bluetooth,-76
1.407,Bluetooth,-75
1.436,Bluetooth,-78
1.437,Bluetooth,-78
1.498,Bluetooth,-69
1.499,Bluetooth,-68
1.529,Bluetooth,127
1.561,Bluetooth,-78
1.563,Bluetooth,-78
1.593,Bluetooth,-69
1.595,Bluetooth,-69
1.623,Bluetooth,-69
1.624,Bluetooth,-68
1.654,Bluetooth,-77
1.655,Bluetooth,-75
1.683,Bluetooth,-78
1.685,Bluetooth,-77
1.714,Bluetooth,-67
1.716,Bluetooth,-67
1.747,Bluetooth,127
1.778,Bluetooth,-77
1.779,Bluetooth,-76
1.810,Bluetooth,-78
1.812,Bluetooth,-78
1.840,Bluetooth,127
1.872,Bluetooth,-75
1.874,Bluetooth,-75
1.902,Bluetooth,127
1.932,Bluetooth,-78
1.933,Bluetooth,-79
1.963,Bluetooth,-69
1.965,Bluetooth,-68
1.996,Bluetooth,-76
1.997,Bluetooth,-75
2.024,Bluetooth,-77
2.025,Bluetooth,-76
2.119,Bluetooth,-76
2.120,Bluetooth,-76
2.151,Bluetooth,-75
2.152,Bluetooth,-77
2.212,Bluetooth,-67
2.214,Bluetooth,-66
2.275,Bluetooth,-74
2.278,Bluetooth,-74
2.305,Bluetooth,127
2.337,Bluetooth,-65
2.338,Bluetooth,-65
2.371,Bluetooth,128
2.401,Bluetooth,-74
2.403,Bluetooth,-74
2.433,Bluetooth,127
2.465,Bluetooth,-65
2.466,Bluetooth,-65
2.499,Bluetooth,127
2.528,Bluetooth,-74
2.530,Bluetooth,-74
2.560,Bluetooth,127
2.594,Bluetooth,-73
2.596,Bluetooth,-75
2.623,Bluetooth,128
2.656,Bluetooth,-74
2.656,Bluetooth,-74
2.691,Bluetooth,126
2.722,Bluetooth,-75
2.722,Bluetooth,-74
2.754,Bluetooth,127
2.785,Bluetooth,-74
2.786,Bluetooth,-75
2.820,Bluetooth,-66
2.821,Bluetooth,-64
2.854,Bluetooth,-75
2.855,Bluetooth,-73
2.886,Bluetooth,-76
2.887,Bluetooth,-75
2.919,Bluetooth,-67
2.920,Bluetooth,-66
2.954,Bluetooth,-75
2.956,Bluetooth,-74
2.985,Bluetooth,-74
2.986,Bluetooth,-73
3.016,Bluetooth,-74
3.017,Bluetooth,-75
3.052,Bluetooth,-67
3.053,Bluetooth,-67
3.082,Bluetooth,-76
3.083,Bluetooth,-74
3.111,Bluetooth,-75
3.113,Bluetooth,-75
3.144,Bluetooth,-75
3.145,Bluetooth,-75
3.178,Bluetooth,-66
3.179,Bluetooth,-67
3.212,Bluetooth,-76
3.213,Bluetooth,-74
3.243,Bluetooth,-75
3.245,Bluetooth,-75
3.276,Bluetooth,-66
3.278,Bluetooth,-66
3.306,Bluetooth,-67
3.307,Bluetooth,-68
3.339,Bluetooth,-77
3.340,Bluetooth,-75
3.368,Bluetooth,-74
3.369,Bluetooth,-75
3.403,Bluetooth,-65
3.404,Bluetooth,-65
3.434,Bluetooth,-83
3.435,Bluetooth,-81
3.465,Bluetooth,-79
3.466,Bluetooth,-78
3.498,Bluetooth,-71
3.498,Bluetooth,-70
