Distance,10.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
0.084,Bluetooth,-48
0.085,Bluetooth,-49
0.125,Bluetooth,-49
0.126,Bluetooth,-49
0.158,Bluetooth,-51
0.160,Bluetooth,-49
0.228,Bluetooth,-49
0.229,Bluetooth,-49
0.265,Bluetooth,-51
0.266,Bluetooth,-50
0.295,Bluetooth,-47
0.296,Bluetooth,-49
0.330,Bluetooth,-49
0.368,Bluetooth,-48
0.369,Bluetooth,-49
0.405,Bluetooth,-49
0.406,Bluetooth,-49
0.475,Bluetooth,-48
0.476,Bluetooth,-48
0.516,Bluetooth,-49
0.517,Bluetooth,-49
0.628,Bluetooth,-51
0.873,Bluetooth,-49
0.874,Bluetooth,-49
0.902,Bluetooth,-50
0.903,Bluetooth,-50
0.978,Bluetooth,-49
0.979,Bluetooth,-51
1.058,Bluetooth,-50
1.059,Bluetooth,-49
1.130,Bluetooth,-50
1.131,Bluetooth,-52
1.163,Bluetooth,-52
1.163,Bluetooth,-50
1.241,Bluetooth,-51
1.348,Bluetooth,-50
1.348,Bluetooth,-50
1.381,Bluetooth,-49
1.382,Bluetooth,-49
1.421,Bluetooth,-49
1.422,Bluetooth,-49
1.461,Bluetooth,-50
1.462,Bluetooth,-50
1.596,Bluetooth,-49
1.596,Bluetooth,-49
1.668,Bluetooth,-50
1.669,Bluetooth,-50
1.730,Bluetooth,-48
1.731,Bluetooth,-48
1.768,Bluetooth,-49
1.769,Bluetooth,-50
1.805,Bluetooth,-49
1.806,Bluetooth,-49
1.836,Bluetooth,-48
1.980,Bluetooth,-48
1.982,Bluetooth,-47
2.058,Bluetooth,-48
2.059,Bluetooth,-48
2.095,Bluetooth,-48
2.096,Bluetooth,-48
2.136,Bluetooth,-47
2.172,Bluetooth,-48
2.173,Bluetooth,-47
2.244,Bluetooth,-48
2.244,Bluetooth,-47
2.281,Bluetooth,-48
2.283,Bluetooth,-49
2.388,Bluetooth,-48
2.389,Bluetooth,-48
2.419,Bluetooth,-48
2.420,Bluetooth,-49
2.495,Bluetooth,-48
2.495,Bluetooth,-48
2.567,Bluetooth,-47
2.568,Bluetooth,-47
2.601,Bluetooth,-47
2.601,Bluetooth,-48
2.640,Bluetooth,-48
2.642,Bluetooth,-47
2.680,Bluetooth,-48
2.681,Bluetooth,-48
2.720,Bluetooth,-47
2.721,Bluetooth,-46
2.928,Bluetooth,-49
2.929,Bluetooth,-48
2.964,Bluetooth,-48
2.965,Bluetooth,-48
2.997,Bluetooth,-47
2.998,Bluetooth,-48
3.036,Bluetooth,-47
3.149,Bluetooth,-47
3.151,Bluetooth,-48
3.187,Bluetooth,-48
3.188,Bluetooth,-47
3.218,Bluetooth,-48
3.219,Bluetooth,-48
3.287,Bluetooth,-48
3.287,Bluetooth,-48
3.467,Bluetooth,-48
3.468,Bluetooth,-49
3.501,Bluetooth,-48
3.501,Bluetooth,-48
3.536,Bluetooth,-48
3.537,Bluetooth,-48
3.577,Bluetooth,-48
3.579,Bluetooth,-48
3.614,Bluetooth,-48
3.616,Bluetooth,-48
3.648,Bluetooth,-49
3.722,Bluetooth,-48
3.723,Bluetooth,-47
3.757,Bluetooth,-48
3.758,Bluetooth,-47
3.788,Bluetooth,-48
3.825,Bluetooth,-48
3.826,Bluetooth,-49
3.865,Bluetooth,-48
3.866,Bluetooth,-48
3.904,Bluetooth,-48
3.904,Bluetooth,-48
3.940,Bluetooth,-48
3.971,Bluetooth,-48
3.972,Bluetooth,-49
20.030,Bluetooth,-47
20.124,Bluetooth,-46
20.218,Bluetooth,-46
20.220,Bluetooth,-46
20.250,Bluetooth,-47
20.251,Bluetooth,-47
20.324,Bluetooth,-46
20.325,Bluetooth,-45
20.357,Bluetooth,-47
20.358,Bluetooth,-46
20.433,Bluetooth,-47
20.461,Bluetooth,-45
20.463,Bluetooth,-46
20.502,Bluetooth,-47
20.503,Bluetooth,-46
20.644,Bluetooth,-47
20.645,Bluetooth,-46
20.680,Bluetooth,-47
20.681,Bluetooth,-46
20.718,Bluetooth,-45
20.793,Bluetooth,-46
20.794,Bluetooth,-46
20.861,Bluetooth,-49
20.862,Bluetooth,-46
20.897,Bluetooth,-47
20.898,Bluetooth,-47
20.928,Bluetooth,-47
20.929,Bluetooth,-46
20.966,Bluetooth,-47
20.967,Bluetooth,-48
20.999,Bluetooth,-47
21.000,Bluetooth,-49
21.097,Bluetooth,-50
21.099,Bluetooth,-49
21.237,Bluetooth,-49
21.238,Bluetooth,-49
21.308,Bluetooth,-47
21.309,Bluetooth,-47
21.348,Bluetooth,-46
21.416,Bluetooth,-46
21.417,Bluetooth,-45
21.450,Bluetooth,-45
21.451,Bluetooth,-45
21.486,Bluetooth,-47
21.487,Bluetooth,-47
21.556,Bluetooth,-45
21.557,Bluetooth,-45
21.623,Bluetooth,-47
21.663,Bluetooth,-48
21.664,Bluetooth,-47
21.699,Bluetooth,-46
21.700,Bluetooth,-47
21.740,Bluetooth,-45
21.741,Bluetooth,-45
21.843,Bluetooth,-46
21.844,Bluetooth,-46
21.875,Bluetooth,-45
21.876,Bluetooth,-45
21.915,Bluetooth,-47
21.916,Bluetooth,-46
21.983,Bluetooth,-47
21.984,Bluetooth,-48
22.015,Bluetooth,-47
22.016,Bluetooth,-47
22.082,Bluetooth,-47
22.083,Bluetooth,-47
22.147,Bluetooth,-46
22.148,Bluetooth,-46
22.182,Bluetooth,-46
22.182,Bluetooth,-45
22.220,Bluetooth,-48
22.221,Bluetooth,-47
22.353,Bluetooth,-46
22.354,Bluetooth,-47
22.392,Bluetooth,-45
22.393,Bluetooth,-46
22.430,Bluetooth,-47
