Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
0.000,Bluetooth,-67
0.001,Bluetooth,-68
0.034,Bluetooth,-71
0.035,Bluetooth,-71
0.090,Bluetooth,-68
0.091,Bluetooth,-70
0.124,Bluetooth,-73
0.125,Bluetooth,-73
0.186,Bluetooth,-72
0.218,Bluetooth,-73
0.219,Bluetooth,-72
0.281,Bluetooth,-69
0.317,Bluetooth,-72
0.318,Bluetooth,-73
0.380,Bluetooth,-68
0.447,Bluetooth,-72
0.448,Bluetooth,-73
0.479,Bluetooth,-68
0.479,Bluetooth,-67
0.544,Bluetooth,-71
0.547,Bluetooth,-71
0.606,Bluetooth,-67
0.607,Bluetooth,-67
0.638,Bluetooth,-71
0.639,Bluetooth,-71
0.705,Bluetooth,-69
0.706,Bluetooth,-70
0.735,Bluetooth,-71
0.736,Bluetooth,-72
0.800,Bluetooth,-69
0.801,Bluetooth,-68
0.835,Bluetooth,-71
0.836,Bluetooth,-69
0.901,Bluetooth,-72
0.902,Bluetooth,-72
0.934,Bluetooth,-70
0.935,Bluetooth,-70
1.039,Bluetooth,-74
1.040,Bluetooth,-73
1.101,Bluetooth,-69
1.102,Bluetooth,-69
1.168,Bluetooth,-68
1.169,Bluetooth,-68
1.196,Bluetooth,-69
1.197,Bluetooth,-69
1.257,Bluetooth,-72
1.258,Bluetooth,-73
1.287,Bluetooth,-69
1.288,Bluetooth,-69
1.317,Bluetooth,-72
1.319,Bluetooth,-71
1.382,Bluetooth,-69
1.383,Bluetooth,-69
1.413,Bluetooth,-67
1.414,Bluetooth,-68
1.447,Bluetooth,-72
1.448,Bluetooth,-73
1.479,Bluetooth,-72
1.480,Bluetooth,-73
1.612,Bluetooth,-69
1.613,Bluetooth,-68
1.706,Bluetooth,-69
1.707,Bluetooth,-69
1.740,Bluetooth,-72
1.808,Bluetooth,-67
1.809,Bluetooth,-69
1.837,Bluetooth,-72
1.839,Bluetooth,-72
1.904,Bluetooth,-69
1.905,Bluetooth,-69
1.935,Bluetooth,-72
1.936,Bluetooth,-72
1.998,Bluetooth,-67
1.999,Bluetooth,-69
2.029,Bluetooth,-72
2.030,Bluetooth,-71
2.064,Bluetooth,-69
2.090,Bluetooth,-68
2.091,Bluetooth,-68
2.122,Bluetooth,-71
2.123,Bluetooth,-71
2.188,Bluetooth,-67
2.189,Bluetooth,-68
2.221,Bluetooth,-71
2.222,Bluetooth,-71
2.283,Bluetooth,-68
2.283,Bluetooth,-69
2.343,Bluetooth,-71
2.344,Bluetooth,-71
2.405,Bluetooth,-68
2.406,Bluetooth,-68
2.435,Bluetooth,-71
2.436,Bluetooth,-71
2.501,Bluetooth,-68
2.502,Bluetooth,-68
2.531,Bluetooth,-71
2.532,Bluetooth,-71
2.564,Bluetooth,-69
2.623,Bluetooth,-71
2.625,Bluetooth,-71
2.657,Bluetooth,-68
2.658,Bluetooth,-68
2.685,Bluetooth,-68
2.686,Bluetooth,-67
2.715,Bluetooth,-68
2.716,Bluetooth,-68
2.750,Bluetooth,-69
2.751,Bluetooth,-69
2.777,Bluetooth,-68
2.778,Bluetooth,-68
2.838,Bluetooth,-68
2.840,Bluetooth,-67
2.938,Bluetooth,-71
2.939,Bluetooth,-71
3.000,Bluetooth,-68
3.001,Bluetooth,-68
3.094,Bluetooth,-72
3.095,Bluetooth,-72
3.126,Bluetooth,-70
3.127,Bluetooth,-70
3.191,Bluetooth,-71
3.192,Bluetooth,-72
3.227,Bluetooth,-69
3.228,Bluetooth,-69
3.268,Bluetooth,-70
3.269,Bluetooth,-71
3.290,Bluetooth,-72
3.291,Bluetooth,-72
3.352,Bluetooth,-70
3.353,Bluetooth,-72
3.382,Bluetooth,-73
3.383,Bluetooth,-72
3.604,Bluetooth,-69
3.605,Bluetooth,-69
3.637,Bluetooth,-73
3.638,Bluetooth,-73
3.698,Bluetooth,-69
3.699,Bluetooth,-72
3.728,Bluetooth,-74
3.729,Bluetooth,-74
3.788,Bluetooth,-68
3.789,Bluetooth,-69
3.818,Bluetooth,-75
3.820,Bluetooth,-73
3.884,Bluetooth,-70
3.885,Bluetooth,-69
3.914,Bluetooth,-69
3.915,Bluetooth,-69
3.944,Bluetooth,-74
3.945,Bluetooth,-74
104.383,Bluetooth,-79
104.384,Bluetooth,-80
104.547,Bluetooth,-82
104.548,Bluetooth,-82
104.642,Bluetooth,-82
104.643,Bluetooth,-82
104.705,Bluetooth,-78
104.706,Bluetooth,-80
104.738,Bluetooth,-82
104.739,Bluetooth,-82
104.807,Bluetooth,-77
104.808,Bluetooth,-79
104.896,Bluetooth,-79
104.898,Bluetooth,-79
104.964,Bluetooth,-72
104.965,Bluetooth,-71
105.095,Bluetooth,-78
105.096,Bluetooth,-79
105.126,Bluetooth,-81
105.127,Bluetooth,-82
105.188,Bluetooth,-78
105.189,Bluetooth,-79
105.252,Bluetooth,-79
105.254,Bluetooth,-79
105.288,Bluetooth,-79
105.289,Bluetooth,-79
105.384,Bluetooth,-79
105.385,Bluetooth,-79
105.445,Bluetooth,-83
105.447,Bluetooth,-83
105.514,Bluetooth,-79
105.514,Bluetooth,-79
105.545,Bluetooth,-84
105.547,Bluetooth,-83
105.606,Bluetooth,-79
105.607,Bluetooth,-79
105.637,Bluetooth,-83
105.639,Bluetooth,-83
105.702,Bluetooth,-79
105.703,Bluetooth,-79
105.733,Bluetooth,-83
105.734,Bluetooth,-84
105.796,Bluetooth,-79
105.797,Bluetooth,-78
105.828,Bluetooth,-83
105.829,Bluetooth,-84
105.868,Bluetooth,-70
105.869,Bluetooth,-70
105.892,Bluetooth,-80
105.893,Bluetooth,-80
105.928,Bluetooth,-84
105.929,Bluetooth,-83
105.993,Bluetooth,-80
105.994,Bluetooth,-79
106.023,Bluetooth,-83
106.024,Bluetooth,-85
106.085,Bluetooth,-80
106.086,Bluetooth,-79
106.180,Bluetooth,-78
106.181,Bluetooth,-79
106.242,Bluetooth,-85
106.243,Bluetooth,-84
106.302,Bluetooth,-79
106.303,Bluetooth,-79
106.364,Bluetooth,-71
106.365,Bluetooth,-71
106.424,Bluetooth,-84
106.425,Bluetooth,-84
106.484,Bluetooth,-80
106.485,Bluetooth,-79
106.513,Bluetooth,-79
106.514,Bluetooth,-79
106.578,Bluetooth,-80
106.579,Bluetooth,-79
106.608,Bluetooth,-78
106.609,Bluetooth,-79
106.705,Bluetooth,-79
106.706,Bluetooth,-77
106.735,Bluetooth,-83
106.736,Bluetooth,-83
106.801,Bluetooth,-78
106.802,Bluetooth,-78
106.834,Bluetooth,-83
106.835,Bluetooth,-84
106.868,Bluetooth,-72
106.896,Bluetooth,-78
106.897,Bluetooth,-78
106.928,Bluetooth,-83
106.929,Bluetooth,-82
106.964,Bluetooth,-72
106.964,Bluetooth,-71
106.992,Bluetooth,-78
106.993,Bluetooth,-78
107.022,Bluetooth,-81
107.023,Bluetooth,-82
107.085,Bluetooth,-78
107.086,Bluetooth,-78
107.151,Bluetooth,-82
107.152,Bluetooth,-82
107.244,Bluetooth,-83
107.245,Bluetooth,-82
107.304,Bluetooth,-78
107.305,Bluetooth,-79
107.334,Bluetooth,-82
107.335,Bluetooth,-82
107.399,Bluetooth,-78
107.400,Bluetooth,-79
107.431,Bluetooth,-81
107.432,Bluetooth,-82
107.523,Bluetooth,-82
107.586,Bluetooth,-77
107.682,Bluetooth,-78
107.747,Bluetooth,-82
107.748,Bluetooth,-81
107.816,Bluetooth,-77
107.850,Bluetooth,-84
107.851,Bluetooth,-82
107.880,Bluetooth,-78
107.908,Bluetooth,-78
107.910,Bluetooth,-79
107.940,Bluetooth,-84
107.941,Bluetooth,-83
108.000,Bluetooth,-78
108.001,Bluetooth,-79
108.097,Bluetooth,-78
108.098,Bluetooth,-79
108.130,Bluetooth,-83
108.195,Bluetooth,-79
108.230,Bluetooth,-84
108.293,Bluetooth,-78
108.294,Bluetooth,-79
202.596,Bluetooth,-83
202.596,Bluetooth,-83
202.625,Bluetooth,-91
202.626,Bluetooth,-90
202.691,Bluetooth,-83
202.692,Bluetooth,-83
202.721,Bluetooth,-90
202.722,Bluetooth,-89
202.809,Bluetooth,-83
202.811,Bluetooth,-83
202.843,Bluetooth,-90
202.844,Bluetooth,-89
202.873,Bluetooth,-83
202.875,Bluetooth,-83
202.939,Bluetooth,-90
202.940,Bluetooth,-90
203.003,Bluetooth,-83
203.004,Bluetooth,-83
203.037,Bluetooth,-89
203.038,Bluetooth,-95
203.096,Bluetooth,-83
203.097,Bluetooth,-83
203.129,Bluetooth,-90
203.130,Bluetooth,-89
203.162,Bluetooth,-76
203.163,Bluetooth,-76
203.194,Bluetooth,-83
203.195,Bluetooth,-83
203.224,Bluetooth,-88
203.225,Bluetooth,-89
203.258,Bluetooth,-76
203.290,Bluetooth,-83
203.291,Bluetooth,-83
203.384,Bluetooth,-83
203.385,Bluetooth,-84
203.418,Bluetooth,-87
203.420,Bluetooth,-88
203.484,Bluetooth,-83
203.485,Bluetooth,-83
203.549,Bluetooth,-87
203.550,Bluetooth,-87
203.583,Bluetooth,-84
203.584,Bluetooth,-83
203.644,Bluetooth,-87
203.645,Bluetooth,-87
203.741,Bluetooth,-87
203.741,Bluetooth,-88
203.805,Bluetooth,-83
203.806,Bluetooth,-83
203.899,Bluetooth,-83
203.900,Bluetooth,-83
203.963,Bluetooth,-77
203.964,Bluetooth,-77
203.993,Bluetooth,-83
203.994,Bluetooth,-83
204.024,Bluetooth,-87
204.025,Bluetooth,-86
204.083,Bluetooth,-83
204.085,Bluetooth,-83
204.114,Bluetooth,-84
204.115,Bluetooth,-83
204.306,Bluetooth,-83
204.307,Bluetooth,-83
204.339,Bluetooth,-88
204.340,Bluetooth,-87
204.401,Bluetooth,-83
204.402,Bluetooth,-83
204.433,Bluetooth,-88
204.434,Bluetooth,-88
204.499,Bluetooth,-83
204.500,Bluetooth,-84
204.532,Bluetooth,-89
204.533,Bluetooth,-88
204.565,Bluetooth,-77
204.566,Bluetooth,-77
204.593,Bluetooth,-84
204.594,Bluetooth,-83
