Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.000,Bluetooth,-53
0.001,Bluetooth,-53
0.031,Bluetooth,-55
0.032,Bluetooth,-55
0.062,Bluetooth,-59
0.063,Bluetooth,-59
0.098,Bluetooth,-53
0.099,Bluetooth,-53
0.197,Bluetooth,-59
0.331,Bluetooth,-54
0.332,Bluetooth,-53
0.432,Bluetooth,-59
0.433,Bluetooth,-58
0.469,Bluetooth,-54
0.470,Bluetooth,-53
0.541,Bluetooth,-58
0.542,Bluetooth,-59
0.573,Bluetooth,-53
0.574,Bluetooth,-55
0.684,Bluetooth,-59
0.685,Bluetooth,-60
0.797,Bluetooth,-59
0.798,Bluetooth,-59
0.871,Bluetooth,-56
0.872,Bluetooth,-56
0.906,Bluetooth,-59
0.907,Bluetooth,-58
0.943,Bluetooth,-53
0.974,Bluetooth,-56
0.975,Bluetooth,-56
1.037,Bluetooth,-57
1.038,Bluetooth,-59
1.077,Bluetooth,-52
1.078,Bluetooth,-54
1.111,Bluetooth,-56
1.112,Bluetooth,-56
1.181,Bluetooth,-53
1.182,Bluetooth,-54
1.307,Bluetooth,-55
1.308,Bluetooth,-53
1.411,Bluetooth,-54
1.412,Bluetooth,-54
1.448,Bluetooth,-58
1.449,Bluetooth,-57
1.525,Bluetooth,-61
1.526,Bluetooth,-61
1.561,Bluetooth,-53
1.562,Bluetooth,-53
1.591,Bluetooth,-56
1.592,Bluetooth,-56
1.621,Bluetooth,-60
1.622,Bluetooth,-61
1.695,Bluetooth,-56
1.696,Bluetooth,-55
1.729,Bluetooth,-59
1.730,Bluetooth,-60
1.762,Bluetooth,-58
1.763,Bluetooth,-59
1.940,Bluetooth,-54
1.941,Bluetooth,-56
1.971,Bluetooth,-58
1.972,Bluetooth,-59
2.010,Bluetooth,-52
2.011,Bluetooth,-54
2.043,Bluetooth,-53
2.044,Bluetooth,-53
2.120,Bluetooth,-58
2.121,Bluetooth,-58
2.161,Bluetooth,-54
2.162,Bluetooth,-52
2.234,Bluetooth,-58
2.268,Bluetooth,-53
2.270,Bluetooth,-53
2.340,Bluetooth,-58
2.342,Bluetooth,-58
2.374,Bluetooth,-53
2.375,Bluetooth,-52
2.406,Bluetooth,-51
2.407,Bluetooth,-53
2.472,Bluetooth,-58
2.474,Bluetooth,-59
2.511,Bluetooth,-52
2.512,Bluetooth,-52
2.542,Bluetooth,-56
2.544,Bluetooth,-55
2.575,Bluetooth,-58
2.647,Bluetooth,-53
2.648,Bluetooth,-53
2.725,Bluetooth,-60
2.726,Bluetooth,-60
2.755,Bluetooth,-53
2.756,Bluetooth,-53
2.787,Bluetooth,-56
2.821,Bluetooth,-57
2.822,Bluetooth,-58
2.895,Bluetooth,-55
2.896,Bluetooth,-56
2.966,Bluetooth,-58
2.968,Bluetooth,-59
3.006,Bluetooth,-52
3.007,Bluetooth,-53
3.040,Bluetooth,-55
3.041,Bluetooth,-57
3.070,Bluetooth,-59
3.071,Bluetooth,-59
3.106,Bluetooth,-53
3.107,Bluetooth,-53
3.146,Bluetooth,-56
3.147,Bluetooth,-56
3.183,Bluetooth,-60
3.184,Bluetooth,-61
3.224,Bluetooth,-53
3.225,Bluetooth,-53
3.256,Bluetooth,-55
3.257,Bluetooth,-56
3.294,Bluetooth,-60
3.295,Bluetooth,-60
3.333,Bluetooth,-53
3.334,Bluetooth,-52
3.373,Bluetooth,-56
3.374,Bluetooth,-56
3.411,Bluetooth,-60
3.413,Bluetooth,-61
3.441,Bluetooth,-60
3.443,Bluetooth,-59
3.506,Bluetooth,-56
3.508,Bluetooth,-57
3.541,Bluetooth,-61
3.543,Bluetooth,-60
3.581,Bluetooth,-53
3.582,Bluetooth,-53
