Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
0.000,Bluetooth,-54
0.001,Bluetooth,-54
0.066,Bluetooth,-58
0.067,Bluetooth,-58
0.104,Bluetooth,-59
0.106,Bluetooth,-59
0.141,Bluetooth,-54
0.142,Bluetooth,-55
0.173,Bluetooth,-60
0.174,Bluetooth,-59
0.211,Bluetooth,-60
0.213,Bluetooth,-60
0.246,Bluetooth,-54
0.316,Bluetooth,-58
0.317,Bluetooth,-59
0.352,Bluetooth,-54
0.353,Bluetooth,-54
0.390,Bluetooth,-57
0.391,Bluetooth,-57
0.429,Bluetooth,-57
0.430,Bluetooth,-57
0.464,Bluetooth,-57
0.465,Bluetooth,-57
0.501,Bluetooth,-54
0.502,Bluetooth,-52
0.543,Bluetooth,-57
0.544,Bluetooth,-57
0.676,Bluetooth,-58
0.677,Bluetooth,-59
0.708,Bluetooth,-58
0.746,Bluetooth,-53
0.747,Bluetooth,-54
0.775,Bluetooth,-57
0.776,Bluetooth,-58
0.809,Bluetooth,-58
0.810,Bluetooth,-57
0.873,Bluetooth,-57
0.874,Bluetooth,-58
0.906,Bluetooth,-57
0.907,Bluetooth,-58
0.944,Bluetooth,-59
0.946,Bluetooth,-58
1.055,Bluetooth,-57
1.056,Bluetooth,-58
1.166,Bluetooth,-58
1.167,Bluetooth,-57
1.237,Bluetooth,-56
1.238,Bluetooth,-57
1.268,Bluetooth,-58
1.269,Bluetooth,-59
1.299,Bluetooth,-58
1.300,Bluetooth,-57
1.333,Bluetooth,-54
1.334,Bluetooth,-53
1.367,Bluetooth,-56
1.403,Bluetooth,-57
1.404,Bluetooth,-58
1.509,Bluetooth,-59
1.510,Bluetooth,-59
1.550,Bluetooth,-54
1.551,Bluetooth,-54
1.591,Bluetooth,-55
1.592,Bluetooth,-56
1.628,Bluetooth,-59
1.629,Bluetooth,-59
1.671,Bluetooth,-53
1.672,Bluetooth,-53
1.706,Bluetooth,-54
1.707,Bluetooth,-54
1.746,Bluetooth,-55
1.747,Bluetooth,-56
1.782,Bluetooth,-60
1.783,Bluetooth,-59
1.820,Bluetooth,-54
1.821,Bluetooth,-53
1.851,Bluetooth,-55
1.852,Bluetooth,-55
1.882,Bluetooth,-59
1.883,Bluetooth,-60
1.918,Bluetooth,-53
1.919,Bluetooth,-53
2.017,Bluetooth,-58
2.151,Bluetooth,-53
2.152,Bluetooth,-53
2.252,Bluetooth,-60
2.253,Bluetooth,-58
2.289,Bluetooth,-54
2.290,Bluetooth,-54
2.361,Bluetooth,-59
2.362,Bluetooth,-59
2.393,Bluetooth,-53
2.394,Bluetooth,-54
2.504,Bluetooth,-60
2.505,Bluetooth,-59
2.617,Bluetooth,-58
2.618,Bluetooth,-59
2.691,Bluetooth,-56
2.692,Bluetooth,-56
2.726,Bluetooth,-59
2.727,Bluetooth,-59
2.763,Bluetooth,-53
2.794,Bluetooth,-56
2.795,Bluetooth,-57
2.857,Bluetooth,-59
2.858,Bluetooth,-59
2.897,Bluetooth,-53
2.898,Bluetooth,-53
2.931,Bluetooth,-56
2.932,Bluetooth,-56
3.001,Bluetooth,-53
3.002,Bluetooth,-54
3.127,Bluetooth,-54
3.128,Bluetooth,-53
3.231,Bluetooth,-54
3.232,Bluetooth,-54
3.268,Bluetooth,-57
3.269,Bluetooth,-57
3.345,Bluetooth,-61
3.346,Bluetooth,-61
3.381,Bluetooth,-54
3.382,Bluetooth,-54
3.411,Bluetooth,-56
3.412,Bluetooth,-56
3.441,Bluetooth,-59
3.442,Bluetooth,-61
3.515,Bluetooth,-57
3.516,Bluetooth,-56
3.549,Bluetooth,-58
3.550,Bluetooth,-59
3.582,Bluetooth,-58
3.583,Bluetooth,-58
3.760,Bluetooth,-55
3.761,Bluetooth,-57
3.791,Bluetooth,-58
3.792,Bluetooth,-57
3.830,Bluetooth,-53
3.831,Bluetooth,-53
3.863,Bluetooth,-53
3.864,Bluetooth,-52
3.940,Bluetooth,-59
3.941,Bluetooth,-58
