Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
0.000,Bluetooth,-67
0.002,Bluetooth,-66
0.030,Bluetooth,-67
0.032,Bluetooth,-65
0.100,Bluetooth,-61
0.102,Bluetooth,-63
0.130,Bluetooth,-65
0.132,Bluetooth,-65
0.165,Bluetooth,-62
0.166,Bluetooth,-63
0.200,Bluetooth,-60
0.202,Bluetooth,-61
0.263,Bluetooth,-65
0.264,Bluetooth,-65
0.294,Bluetooth,-63
0.295,Bluetooth,-63
0.324,Bluetooth,-58
0.326,Bluetooth,-58
0.354,Bluetooth,-59
0.357,Bluetooth,-59
0.388,Bluetooth,-67
0.390,Bluetooth,-67
0.421,Bluetooth,-64
0.423,Bluetooth,-65
0.451,Bluetooth,-68
0.451,Bluetooth,-68
0.484,Bluetooth,-71
0.485,Bluetooth,-71
0.546,Bluetooth,-65
0.548,Bluetooth,-64
0.580,Bluetooth,-67
0.582,Bluetooth,-68
0.612,Bluetooth,-72
0.613,Bluetooth,-72
0.644,Bluetooth,-65
0.645,Bluetooth,-66
0.674,Bluetooth,-67
0.676,Bluetooth,-67
0.708,Bluetooth,-67
0.710,Bluetooth,-67
0.737,Bluetooth,-73
0.738,Bluetooth,-71
0.769,Bluetooth,-68
0.770,Bluetooth,-67
0.800,Bluetooth,-66
0.802,Bluetooth,-65
0.864,Bluetooth,-72
0.866,Bluetooth,-71
0.896,Bluetooth,-67
0.898,Bluetooth,-67
0.929,Bluetooth,-66
0.930,Bluetooth,-67
0.987,Bluetooth,-72
0.988,Bluetooth,-73
1.021,Bluetooth,-67
1.023,Bluetooth,-67
1.052,Bluetooth,-66
1.053,Bluetooth,-68
1.080,Bluetooth,-76
1.082,Bluetooth,-76
1.111,Bluetooth,-76
1.112,Bluetooth,-76
1.141,Bluetooth,-66
1.143,Bluetooth,-65
1.238,Bluetooth,-66
1.240,Bluetooth,-67
1.271,Bluetooth,-66
1.273,Bluetooth,-65
1.303,Bluetooth,-66
1.305,Bluetooth,-65
1.333,Bluetooth,-76
1.334,Bluetooth,-75
1.364,Bluetooth,-66
1.365,Bluetooth,-66
1.394,Bluetooth,-66
1.395,Bluetooth,-66
1.454,Bluetooth,-71
1.456,Bluetooth,-70
1.485,Bluetooth,-66
1.486,Bluetooth,-65
1.548,Bluetooth,-65
1.550,Bluetooth,-65
1.580,Bluetooth,-69
1.582,Bluetooth,-69
1.649,Bluetooth,-64
1.651,Bluetooth,-64
1.683,Bluetooth,-69
1.684,Bluetooth,-69
1.712,Bluetooth,-68
1.713,Bluetooth,-69
1.745,Bluetooth,-67
1.747,Bluetooth,-67
1.777,Bluetooth,-64
1.779,Bluetooth,-66
1.808,Bluetooth,-68
1.810,Bluetooth,-68
1.839,Bluetooth,-68
1.841,Bluetooth,-67
1.873,Bluetooth,-66
1.875,Bluetooth,-67
1.903,Bluetooth,-65
1.906,Bluetooth,-66
1.968,Bluetooth,-67
1.969,Bluetooth,-67
2.003,Bluetooth,-66
2.005,Bluetooth,-66
2.133,Bluetooth,-66
2.135,Bluetooth,-67
2.165,Bluetooth,-70
2.167,Bluetooth,-70
2.199,Bluetooth,-67
2.200,Bluetooth,-69
2.232,Bluetooth,-69
2.234,Bluetooth,-69
2.263,Bluetooth,-68
2.265,Bluetooth,-67
2.297,Bluetooth,-71
2.298,Bluetooth,-71
2.328,Bluetooth,-70
2.329,Bluetooth,-70
2.359,Bluetooth,-67
2.361,Bluetooth,-66
2.392,Bluetooth,-67
2.394,Bluetooth,-67
2.454,Bluetooth,-70
2.455,Bluetooth,-69
2.486,Bluetooth,-68
2.616,Bluetooth,-66
2.617,Bluetooth,-67
2.679,Bluetooth,-66
2.680,Bluetooth,-66
2.738,Bluetooth,-66
2.740,Bluetooth,-67
2.767,Bluetooth,-75
2.768,Bluetooth,-75
2.797,Bluetooth,-66
2.799,Bluetooth,-65
2.829,Bluetooth,-65
2.830,Bluetooth,-67
2.860,Bluetooth,-67
2.862,Bluetooth,-67
2.892,Bluetooth,-73
2.894,Bluetooth,-75
2.932,Bluetooth,-67
2.989,Bluetooth,-66
2.990,Bluetooth,-67
3.022,Bluetooth,-74
3.024,Bluetooth,-75
3.058,Bluetooth,-66
3.060,Bluetooth,-66
3.089,Bluetooth,-66
3.091,Bluetooth,-65
3.120,Bluetooth,-74
3.122,Bluetooth,-74
3.152,Bluetooth,-73
3.153,Bluetooth,-74
3.182,Bluetooth,-67
3.184,Bluetooth,-66
3.213,Bluetooth,-67
3.214,Bluetooth,-66
3.244,Bluetooth,-73
3.246,Bluetooth,-74
3.346,Bluetooth,-66
3.347,Bluetooth,-66
3.376,Bluetooth,-73
3.377,Bluetooth,-73
3.410,Bluetooth,-65
3.443,Bluetooth,-67
3.445,Bluetooth,-67
3.507,Bluetooth,-72
3.509,Bluetooth,-72
3.540,Bluetooth,-66
3.542,Bluetooth,-65
3.574,Bluetooth,-66
3.576,Bluetooth,-66
3.602,Bluetooth,-73
3.603,Bluetooth,-72
3.632,Bluetooth,-73
3.633,Bluetooth,-72
3.663,Bluetooth,-67
3.665,Bluetooth,-66
3.694,Bluetooth,-66
3.696,Bluetooth,-64
3.723,Bluetooth,-71
3.725,Bluetooth,-73
3.852,Bluetooth,-73
3.853,Bluetooth,-72
3.887,Bluetooth,-65
3.889,Bluetooth,-65
3.918,Bluetooth,-66
3.948,Bluetooth,-65
3.949,Bluetooth,-65
172.346,Bluetooth,-65
172.347,Bluetooth,-66
172.476,Bluetooth,-65
172.477,Bluetooth,-65
172.538,Bluetooth,-67
172.539,Bluetooth,-67
172.571,Bluetooth,-65
172.572,Bluetooth,-65
172.633,Bluetooth,-68
172.634,Bluetooth,-67
172.723,Bluetooth,-64
172.725,Bluetooth,-64
172.758,Bluetooth,-66
172.759,Bluetooth,-68
172.788,Bluetooth,-65
172.790,Bluetooth,-65
172.818,Bluetooth,-65
172.820,Bluetooth,-65
172.847,Bluetooth,-65
172.849,Bluetooth,-65
172.912,Bluetooth,-64
172.914,Bluetooth,-64
172.973,Bluetooth,-65
172.975,Bluetooth,-65
173.009,Bluetooth,-67
173.010,Bluetooth,-67
173.041,Bluetooth,-64
173.042,Bluetooth,-64
173.069,Bluetooth,-64
173.071,Bluetooth,-65
173.100,Bluetooth,-65
173.101,Bluetooth,-66
173.131,Bluetooth,-66
173.133,Bluetooth,-66
173.163,Bluetooth,-63
173.165,Bluetooth,-65
173.196,Bluetooth,-65
173.198,Bluetooth,-66
173.228,Bluetooth,-66
173.230,Bluetooth,-66
173.259,Bluetooth,-66
173.260,Bluetooth,-66
173.327,Bluetooth,-64
173.329,Bluetooth,-65
173.361,Bluetooth,-66
173.363,Bluetooth,-66
173.392,Bluetooth,-66
173.393,Bluetooth,-66
173.426,Bluetooth,-65
173.427,Bluetooth,-65
173.488,Bluetooth,-66
173.489,Bluetooth,-67
173.519,Bluetooth,-65
173.521,Bluetooth,-66
173.551,Bluetooth,-66
173.552,Bluetooth,-66
173.586,Bluetooth,-66
173.588,Bluetooth,-66
173.620,Bluetooth,-66
173.621,Bluetooth,-65
173.653,Bluetooth,-67
173.655,Bluetooth,-66
173.687,Bluetooth,-68
173.688,Bluetooth,-67
173.720,Bluetooth,-65
173.722,Bluetooth,-67
173.751,Bluetooth,-67
173.753,Bluetooth,-67
173.816,Bluetooth,-66
173.818,Bluetooth,-67
173.847,Bluetooth,-66
173.849,Bluetooth,-67
173.881,Bluetooth,-67
173.883,Bluetooth,-67
173.910,Bluetooth,-66
173.911,Bluetooth,-66
173.970,Bluetooth,-65
173.972,Bluetooth,-67
174.008,Bluetooth,-67
174.009,Bluetooth,-68
174.034,Bluetooth,-65
174.036,Bluetooth,-65
174.069,Bluetooth,-67
174.070,Bluetooth,-66
174.099,Bluetooth,-66
174.101,Bluetooth,-67
174.131,Bluetooth,-67
174.132,Bluetooth,-66
174.162,Bluetooth,-65
174.164,Bluetooth,-66
174.193,Bluetooth,-66
174.194,Bluetooth,-65
174.226,Bluetooth,-64
174.227,Bluetooth,-64
174.260,Bluetooth,-66
174.261,Bluetooth,-65
174.292,Bluetooth,-65
174.294,Bluetooth,-65
174.325,Bluetooth,-66
174.390,Bluetooth,-65
174.391,Bluetooth,-65
174.487,Bluetooth,-64
174.489,Bluetooth,-64
174.517,Bluetooth,-65
174.647,Bluetooth,-64
174.648,Bluetooth,-64
174.679,Bluetooth,-65
174.681,Bluetooth,-65
174.772,Bluetooth,-64
174.773,Bluetooth,-64
174.807,Bluetooth,-65
174.808,Bluetooth,-65
174.838,Bluetooth,-63
174.840,Bluetooth,-64
174.869,Bluetooth,-65
174.871,Bluetooth,-65
174.900,Bluetooth,-64
174.902,Bluetooth,-64
174.933,Bluetooth,-64
174.965,Bluetooth,-64
174.966,Bluetooth,-64
174.998,Bluetooth,-64
174.999,Bluetooth,-65
175.034,Bluetooth,-67
175.035,Bluetooth,-67
175.067,Bluetooth,-63
175.069,Bluetooth,-63
175.100,Bluetooth,-63
175.102,Bluetooth,-63
175.133,Bluetooth,-63
175.134,Bluetooth,-64
175.164,Bluetooth,-65
175.165,Bluetooth,-65
175.193,Bluetooth,-64
175.195,Bluetooth,-63
175.258,Bluetooth,-64
175.259,Bluetooth,-64
175.284,Bluetooth,-65
175.286,Bluetooth,-65
175.508,Bluetooth,-65
175.509,Bluetooth,-66
175.568,Bluetooth,-64
175.570,Bluetooth,-64
175.601,Bluetooth,-65
175.602,Bluetooth,-65
175.631,Bluetooth,-65
175.634,Bluetooth,-65
175.665,Bluetooth,-65
175.666,Bluetooth,-63
175.694,Bluetooth,-64
175.697,Bluetooth,-65
175.723,Bluetooth,-64
175.725,Bluetooth,-66
175.759,Bluetooth,-65
175.760,Bluetooth,-66
175.787,Bluetooth,-66
175.789,Bluetooth,-65
175.911,Bluetooth,-65
175.913,Bluetooth,-65
175.969,Bluetooth,-64
175.971,Bluetooth,-64
176.000,Bluetooth,-65
176.001,Bluetooth,-66
176.066,Bluetooth,-65
176.067,Bluetooth,-64
176.135,Bluetooth,-66
176.137,Bluetooth,-66
176.168,Bluetooth,-65
176.170,Bluetooth,-65
176.201,Bluetooth,-65
176.202,Bluetooth,-64
176.235,Bluetooth,-68
176.296,Bluetooth,-65
176.299,Bluetooth,-66
176.330,Bluetooth,-66
