Distance,6.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
0.000,Bluetooth,-79
0.000,Bluetooth,-78
0.030,Bluetooth,-68
0.030,Bluetooth,-69
0.065,Bluetooth,-79
0.065,Bluetooth,-78
0.093,Bluetooth,-80
0.094,Bluetooth,-79
0.124,Bluetooth,-79
0.124,Bluetooth,-78
0.154,Bluetooth,-69
0.154,Bluetooth,-70
0.185,Bluetooth,-78
0.185,Bluetooth,-77
0.213,Bluetooth,-78
0.214,Bluetooth,-79
0.249,Bluetooth,-70
0.250,Bluetooth,-69
0.279,Bluetooth,-70
0.279,Bluetooth,-70
0.313,Bluetooth,-77
0.314,Bluetooth,-76
0.344,Bluetooth,-79
0.344,Bluetooth,-80
0.376,Bluetooth,-69
0.377,Bluetooth,-70
0.407,Bluetooth,-68
0.407,Bluetooth,-69
0.439,Bluetooth,-77
0.439,Bluetooth,-77
0.470,Bluetooth,-78
0.471,Bluetooth,-79
0.500,Bluetooth,-69
0.501,Bluetooth,-70
0.536,Bluetooth,-77
0.538,Bluetooth,-77
0.601,Bluetooth,-79
0.602,Bluetooth,-78
0.635,Bluetooth,-69
0.635,Bluetooth,-68
0.669,Bluetooth,-77
0.670,Bluetooth,-76
0.699,Bluetooth,-79
0.699,Bluetooth,-79
0.732,Bluetooth,-69
0.732,Bluetooth,-70
0.763,Bluetooth,-70
0.763,Bluetooth,-68
0.794,Bluetooth,-78
0.794,Bluetooth,-75
0.826,Bluetooth,-78
0.826,Bluetooth,-78
0.858,Bluetooth,-70
0.858,Bluetooth,-69
0.891,Bluetooth,-76
0.892,Bluetooth,-76
0.922,Bluetooth,-77
0.923,Bluetooth,-74
0.955,Bluetooth,-77
0.956,Bluetooth,-78
0.986,Bluetooth,-68
0.987,Bluetooth,-69
1.017,Bluetooth,-78
1.018,Bluetooth,-75
1.081,Bluetooth,-79
1.082,Bluetooth,-79
1.110,Bluetooth,-69
1.111,Bluetooth,-69
1.141,Bluetooth,-75
1.142,Bluetooth,-73
1.202,Bluetooth,-78
1.204,Bluetooth,-78
1.233,Bluetooth,-68
1.234,Bluetooth,-68
1.267,Bluetooth,-75
1.268,Bluetooth,-74
1.297,Bluetooth,-78
1.298,Bluetooth,-78
1.359,Bluetooth,-68
1.360,Bluetooth,-69
1.390,Bluetooth,127
1.422,Bluetooth,-78
1.424,Bluetooth,-78
1.454,Bluetooth,-69
1.456,Bluetooth,-69
1.484,Bluetooth,-69
1.485,Bluetooth,-68
1.515,Bluetooth,-76
1.516,Bluetooth,-77
1.544,Bluetooth,-79
1.546,Bluetooth,-78
1.575,Bluetooth,-67
1.577,Bluetooth,-66
1.608,Bluetooth,127
1.639,Bluetooth,-77
1.640,Bluetooth,-76
1.671,Bluetooth,-77
1.673,Bluetooth,-78
1.701,Bluetooth,127
1.733,Bluetooth,-76
1.735,Bluetooth,-76
1.763,Bluetooth,127
1.793,Bluetooth,-79
1.794,Bluetooth,-78
1.824,Bluetooth,-68
1.826,Bluetooth,-68
1.857,Bluetooth,-76
1.858,Bluetooth,-75
1.885,Bluetooth,-77
1.886,Bluetooth,-75
1.980,Bluetooth,-77
1.981,Bluetooth,-75
2.012,Bluetooth,-75
2.013,Bluetooth,-76
2.073,Bluetooth,-67
2.075,Bluetooth,-66
2.136,Bluetooth,-74
2.139,Bluetooth,-74
2.166,Bluetooth,127
2.198,Bluetooth,-65
2.199,Bluetooth,-64
2.232,Bluetooth,127
2.262,Bluetooth,-73
2.264,Bluetooth,-74
2.294,Bluetooth,127
2.326,Bluetooth,-65
2.327,Bluetooth,-64
2.360,Bluetooth,127
2.389,Bluetooth,-74
2.391,Bluetooth,-75
2.421,Bluetooth,127
2.455,Bluetooth,-73
2.457,Bluetooth,-74
2.484,Bluetooth,126
2.517,Bluetooth,-74
2.517,Bluetooth,-73
2.552,Bluetooth,127
2.583,Bluetooth,-74
2.583,Bluetooth,-74
2.615,Bluetooth,127
2.646,Bluetooth,-74
2.647,Bluetooth,-75
2.681,Bluetooth,-65
2.682,Bluetooth,-64
2.715,Bluetooth,-75
2.716,Bluetooth,-74
2.747,Bluetooth,-76
2.748,Bluetooth,-75
2.780,Bluetooth,-65
2.781,Bluetooth,-66
2.815,Bluetooth,-75
2.817,Bluetooth,-74
2.846,Bluetooth,-73
2.847,Bluetooth,-74
2.877,Bluetooth,-74
2.878,Bluetooth,-73
2.913,Bluetooth,-66
2.914,Bluetooth,-67
2.943,Bluetooth,-75
2.944,Bluetooth,-74
2.972,Bluetooth,-75
2.974,Bluetooth,-74
3.005,Bluetooth,-76
3.006,Bluetooth,-76
3.039,Bluetooth,-67
3.040,Bluetooth,-68
3.073,Bluetooth,-76
3.074,Bluetooth,-74
3.104,Bluetooth,-76
3.106,Bluetooth,-75
3.137,Bluetooth,-67
3.139,Bluetooth,-67
3.167,Bluetooth,-67
3.168,Bluetooth,-68
3.200,Bluetooth,-77
3.201,Bluetooth,-75
3.229,Bluetooth,-75
3.230,Bluetooth,-75
3.264,Bluetooth,-66
3.265,Bluetooth,-66
3.295,Bluetooth,-82
3.296,Bluetooth,-81
3.326,Bluetooth,-79
3.327,Bluetooth,-79
3.359,Bluetooth,-71
3.359,Bluetooth,-72
3.390,Bluetooth,-63
3.392,Bluetooth,-63
3.422,Bluetooth,-74
3.422,Bluetooth,-73
3.451,Bluetooth,-73
3.452,Bluetooth,-74
3.514,Bluetooth,-71
3.515,Bluetooth,-69
3.545,Bluetooth,-73
3.546,Bluetooth,-74
3.576,Bluetooth,-85
3.577,Bluetooth,-85
3.607,Bluetooth,-88
3.609,Bluetooth,-87
3.639,Bluetooth,-74
3.640,Bluetooth,-73
3.670,Bluetooth,-73
3.671,Bluetooth,-72
3.734,Bluetooth,127
3.923,Bluetooth,-73
3.923,Bluetooth,-72
3.951,Bluetooth,127
3.987,Bluetooth,-80
3.988,Bluetooth,-77
29.187,Bluetooth,-71
29.189,Bluetooth,-70
29.217,Bluetooth,-69
29.218,Bluetooth,-70
29.246,Bluetooth,-66
29.247,Bluetooth,-65
29.281,Bluetooth,-66
