Distance,15.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-72
0.001,Bluetooth,-73
0.030,Bluetooth,-73
0.031,Bluetooth,-73
0.061,Bluetooth,-76
0.063,Bluetooth,-76
0.093,Bluetooth,-78
0.094,Bluetooth,-78
0.123,Bluetooth,-74
0.124,Bluetooth,-74
0.156,Bluetooth,-75
0.157,Bluetooth,-75
0.191,Bluetooth,-77
0.192,Bluetooth,-78
0.220,Bluetooth,-79
0.221,Bluetooth,-78
0.251,Bluetooth,-74
0.253,Bluetooth,-74
0.282,Bluetooth,-78
0.284,Bluetooth,-77
0.315,Bluetooth,-77
0.316,Bluetooth,-77
0.343,Bluetooth,-78
0.344,Bluetooth,-78
0.374,Bluetooth,-74
0.375,Bluetooth,-75
0.405,Bluetooth,-77
0.406,Bluetooth,-78
0.467,Bluetooth,-79
0.468,Bluetooth,-79
0.502,Bluetooth,-76
0.503,Bluetooth,-76
0.532,Bluetooth,-77
0.532,Bluetooth,-77
0.562,Bluetooth,-80
0.563,Bluetooth,-80
0.592,Bluetooth,-80
0.593,Bluetooth,-80
0.626,Bluetooth,-78
0.627,Bluetooth,-77
0.660,Bluetooth,-76
0.662,Bluetooth,-75
0.689,Bluetooth,-80
0.690,Bluetooth,-82
0.721,Bluetooth,-78
0.722,Bluetooth,-77
0.752,Bluetooth,-78
0.787,Bluetooth,-78
0.787,Bluetooth,-78
0.820,Bluetooth,-80
0.821,Bluetooth,-80
0.852,Bluetooth,-75
0.853,Bluetooth,-76
0.885,Bluetooth,-79
0.886,Bluetooth,-78
0.915,Bluetooth,-79
0.916,Bluetooth,-80
0.945,Bluetooth,-80
0.947,Bluetooth,-80
0.976,Bluetooth,-76
0.978,Bluetooth,-76
1.011,Bluetooth,-78
1.013,Bluetooth,-79
1.040,Bluetooth,-79
1.041,Bluetooth,-78
1.073,Bluetooth,-79
1.075,Bluetooth,-80
1.106,Bluetooth,-75
1.107,Bluetooth,-76
1.142,Bluetooth,-77
1.143,Bluetooth,-77
1.171,Bluetooth,-78
1.172,Bluetooth,-78
1.202,Bluetooth,-75
1.203,Bluetooth,-75
1.235,Bluetooth,-74
1.236,Bluetooth,-75
1.265,Bluetooth,-75
1.267,Bluetooth,-75
1.296,Bluetooth,-80
