Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-61
0.035,Bluetooth,-58
0.036,Bluetooth,-59
0.069,Bluetooth,-57
0.107,Bluetooth,-65
0.108,Bluetooth,-66
0.182,Bluetooth,-58
0.183,Bluetooth,-58
0.214,Bluetooth,-65
0.214,Bluetooth,-65
0.356,Bluetooth,-65
0.385,Bluetooth,-65
0.452,Bluetooth,-62
0.453,Bluetooth,-62
0.487,Bluetooth,-58
0.488,Bluetooth,-59
0.519,Bluetooth,-65
0.520,Bluetooth,-65
0.588,Bluetooth,-58
0.589,Bluetooth,-59
0.664,Bluetooth,-61
0.697,Bluetooth,-65
0.698,Bluetooth,-66
0.730,Bluetooth,-62
0.731,Bluetooth,-60
0.837,Bluetooth,-64
0.837,Bluetooth,-64
0.867,Bluetooth,-60
0.868,Bluetooth,-60
0.903,Bluetooth,-58
0.904,Bluetooth,-60
0.939,Bluetooth,-63
0.940,Bluetooth,-64
0.977,Bluetooth,-58
1.011,Bluetooth,-63
1.012,Bluetooth,-64
1.045,Bluetooth,-61
1.190,Bluetooth,-59
1.190,Bluetooth,-60
1.221,Bluetooth,-59
1.222,Bluetooth,-58
1.263,Bluetooth,-63
1.398,Bluetooth,-60
1.399,Bluetooth,-60
1.468,Bluetooth,-59
1.468,Bluetooth,-60
1.541,Bluetooth,-61
1.542,Bluetooth,-61
1.583,Bluetooth,-61
1.615,Bluetooth,-61
1.616,Bluetooth,-61
1.688,Bluetooth,-60
1.689,Bluetooth,-61
1.728,Bluetooth,-62
1.729,Bluetooth,-62
1.760,Bluetooth,-60
1.761,Bluetooth,-61
1.798,Bluetooth,-59
1.799,Bluetooth,-59
1.828,Bluetooth,-63
1.829,Bluetooth,-64
1.867,Bluetooth,-59
1.906,Bluetooth,-63
1.907,Bluetooth,-63
1.945,Bluetooth,-59
1.946,Bluetooth,-59
1.980,Bluetooth,-59
1.981,Bluetooth,-59
2.050,Bluetooth,-59
2.051,Bluetooth,-59
2.117,Bluetooth,-59
2.118,Bluetooth,-59
2.295,Bluetooth,-60
2.296,Bluetooth,-60
2.335,Bluetooth,-64
2.336,Bluetooth,-65
2.411,Bluetooth,-60
2.413,Bluetooth,-60
2.482,Bluetooth,-58
2.518,Bluetooth,-63
2.519,Bluetooth,-63
2.594,Bluetooth,-60
2.595,Bluetooth,-59
2.695,Bluetooth,-61
2.696,Bluetooth,-58
2.732,Bluetooth,-63
2.768,Bluetooth,-59
2.807,Bluetooth,-64
2.807,Bluetooth,-64
2.846,Bluetooth,-60
2.847,Bluetooth,-58
2.874,Bluetooth,-59
2.876,Bluetooth,-58
2.912,Bluetooth,-63
2.913,Bluetooth,-63
2.978,Bluetooth,-58
2.979,Bluetooth,-60
3.015,Bluetooth,-60
3.016,Bluetooth,-60
3.089,Bluetooth,-64
3.089,Bluetooth,-64
3.152,Bluetooth,-59
3.153,Bluetooth,-60
3.184,Bluetooth,-59
3.185,Bluetooth,-59
3.301,Bluetooth,-59
3.339,Bluetooth,-63
3.340,Bluetooth,-63
3.376,Bluetooth,-59
3.407,Bluetooth,-63
3.408,Bluetooth,-63
3.442,Bluetooth,-59
3.443,Bluetooth,-59
3.474,Bluetooth,-61
3.475,Bluetooth,-60
3.508,Bluetooth,-63
3.509,Bluetooth,-63
3.575,Bluetooth,-60
3.609,Bluetooth,-59
3.610,Bluetooth,-59
3.648,Bluetooth,-63
3.649,Bluetooth,-64
3.787,Bluetooth,-59
3.788,Bluetooth,-59
3.823,Bluetooth,-59
3.824,Bluetooth,-59
3.861,Bluetooth,-64
3.861,Bluetooth,-64
35.062,Bluetooth,-63
35.063,Bluetooth,-63
35.095,Bluetooth,-57
35.096,Bluetooth,-57
35.172,Bluetooth,-57
35.212,Bluetooth,-67
35.213,Bluetooth,-65
35.279,Bluetooth,-57
35.280,Bluetooth,-57
35.312,Bluetooth,-67
35.313,Bluetooth,-67
35.419,Bluetooth,-58
35.420,Bluetooth,-58
35.556,Bluetooth,-64
35.557,Bluetooth,-64
35.669,Bluetooth,-64
35.670,Bluetooth,-62
35.702,Bluetooth,-58
35.703,Bluetooth,-58
35.740,Bluetooth,-58
35.741,Bluetooth,-58
35.815,Bluetooth,-59
35.816,Bluetooth,-57
35.980,Bluetooth,-65
35.981,Bluetooth,-65
36.019,Bluetooth,-61
36.020,Bluetooth,-62
36.052,Bluetooth,-59
36.054,Bluetooth,-58
36.216,Bluetooth,-61
36.218,Bluetooth,-61
36.316,Bluetooth,-64
36.317,Bluetooth,-63
36.351,Bluetooth,-63
36.352,Bluetooth,-63
36.384,Bluetooth,-63
36.500,Bluetooth,-62
36.501,Bluetooth,-63
36.677,Bluetooth,-68
36.788,Bluetooth,-68
36.788,Bluetooth,-68
36.819,Bluetooth,-58
36.820,Bluetooth,-58
36.890,Bluetooth,-64
36.891,Bluetooth,-64
37.028,Bluetooth,-58
37.029,Bluetooth,-58
37.064,Bluetooth,-63
37.065,Bluetooth,-61
37.102,Bluetooth,-66
37.103,Bluetooth,-67
37.139,Bluetooth,-58
37.139,Bluetooth,-58
37.205,Bluetooth,-64
37.205,Bluetooth,-64
37.281,Bluetooth,-72
37.317,Bluetooth,-59
37.319,Bluetooth,-58
37.352,Bluetooth,-67
37.353,Bluetooth,-67
37.387,Bluetooth,-63
37.424,Bluetooth,-58
37.425,Bluetooth,-58
37.459,Bluetooth,-65
37.460,Bluetooth,-66
37.499,Bluetooth,-66
37.500,Bluetooth,-66
37.569,Bluetooth,-66
37.605,Bluetooth,-58
37.606,Bluetooth,-58
37.674,Bluetooth,-66
37.675,Bluetooth,-66
37.820,Bluetooth,-63
37.821,Bluetooth,-63
37.851,Bluetooth,-58
37.852,Bluetooth,-57
37.881,Bluetooth,-59
37.910,Bluetooth,-58
37.911,Bluetooth,-58
37.942,Bluetooth,-63
