Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,pocket
RXCarry,pocket
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-75
0.001,Bluetooth,-75
0.061,Bluetooth,-79
0.062,Bluetooth,-81
0.092,Bluetooth,-75
0.093,Bluetooth,-76
0.122,Bluetooth,-73
0.123,Bluetooth,-73
0.154,Bluetooth,-79
0.155,Bluetooth,-79
0.251,Bluetooth,-80
0.252,Bluetooth,-81
0.286,Bluetooth,-74
0.287,Bluetooth,-75
0.322,Bluetooth,-75
0.323,Bluetooth,-74
0.348,Bluetooth,-80
0.349,Bluetooth,-80
0.383,Bluetooth,-75
0.384,Bluetooth,-75
0.446,Bluetooth,-79
0.447,Bluetooth,-80
0.510,Bluetooth,-74
0.511,Bluetooth,-75
0.542,Bluetooth,-79
0.543,Bluetooth,-80
0.602,Bluetooth,-75
0.603,Bluetooth,-75
0.667,Bluetooth,-80
0.667,Bluetooth,-80
0.697,Bluetooth,-75
0.698,Bluetooth,-75
0.758,Bluetooth,-80
0.759,Bluetooth,-82
0.788,Bluetooth,-75
0.788,Bluetooth,-75
0.827,Bluetooth,-74
0.828,Bluetooth,-74
0.854,Bluetooth,-80
0.855,Bluetooth,-80
0.953,Bluetooth,-80
0.954,Bluetooth,-80
0.983,Bluetooth,-74
0.984,Bluetooth,-75
1.017,Bluetooth,-73
1.045,Bluetooth,-79
1.046,Bluetooth,-81
1.109,Bluetooth,-76
1.110,Bluetooth,-75
1.138,Bluetooth,-80
1.139,Bluetooth,-80
1.204,Bluetooth,-75
1.205,Bluetooth,-75
1.360,Bluetooth,-80
1.361,Bluetooth,-81
1.394,Bluetooth,-75
1.396,Bluetooth,-74
1.455,Bluetooth,-79
1.456,Bluetooth,-79
1.517,Bluetooth,-75
1.578,Bluetooth,-74
1.579,Bluetooth,-75
1.674,Bluetooth,-75
1.675,Bluetooth,-75
1.706,Bluetooth,-75
1.707,Bluetooth,-75
1.806,Bluetooth,-75
1.807,Bluetooth,-74
1.840,Bluetooth,-81
1.841,Bluetooth,-80
1.899,Bluetooth,-75
1.901,Bluetooth,-76
1.964,Bluetooth,-80
1.965,Bluetooth,-80
1.995,Bluetooth,-75
1.997,Bluetooth,-74
2.056,Bluetooth,-80
2.057,Bluetooth,-81
2.091,Bluetooth,-75
2.092,Bluetooth,-75
2.128,Bluetooth,-73
2.129,Bluetooth,-74
2.151,Bluetooth,-79
2.152,Bluetooth,-80
2.187,Bluetooth,-75
2.188,Bluetooth,-74
2.245,Bluetooth,-80
2.246,Bluetooth,-81
2.276,Bluetooth,-75
2.276,Bluetooth,-76
2.306,Bluetooth,-75
2.307,Bluetooth,-75
2.371,Bluetooth,-80
2.372,Bluetooth,-80
2.401,Bluetooth,-75
2.402,Bluetooth,-76
2.462,Bluetooth,-80
2.462,Bluetooth,-80
2.495,Bluetooth,-75
2.496,Bluetooth,-75
2.560,Bluetooth,-80
2.561,Bluetooth,-79
2.591,Bluetooth,-74
2.591,Bluetooth,-75
2.653,Bluetooth,-79
2.654,Bluetooth,-80
2.686,Bluetooth,-75
2.687,Bluetooth,-75
2.727,Bluetooth,-73
2.728,Bluetooth,-74
2.751,Bluetooth,-79
2.752,Bluetooth,-80
2.814,Bluetooth,-80
2.816,Bluetooth,-80
2.844,Bluetooth,-80
2.845,Bluetooth,-80
2.877,Bluetooth,-75
2.878,Bluetooth,-74
2.906,Bluetooth,-76
2.937,Bluetooth,-80
2.937,Bluetooth,-80
2.969,Bluetooth,-80
2.970,Bluetooth,-80
2.999,Bluetooth,-75
3.000,Bluetooth,-75
3.061,Bluetooth,-81
3.062,Bluetooth,-81
3.093,Bluetooth,-75
3.094,Bluetooth,-76
3.127,Bluetooth,-72
3.128,Bluetooth,-73
3.153,Bluetooth,-80
3.154,Bluetooth,-80
3.248,Bluetooth,-80
3.249,Bluetooth,-80
3.278,Bluetooth,-75
3.279,Bluetooth,-75
3.343,Bluetooth,-80
3.344,Bluetooth,-80
3.440,Bluetooth,-81
3.441,Bluetooth,-80
3.505,Bluetooth,-76
3.506,Bluetooth,-74
3.567,Bluetooth,-79
3.568,Bluetooth,-80
3.597,Bluetooth,-75
3.598,Bluetooth,-76
3.658,Bluetooth,-80
3.659,Bluetooth,-81
3.693,Bluetooth,-75
3.694,Bluetooth,-75
3.759,Bluetooth,-81
3.760,Bluetooth,-81
3.790,Bluetooth,-75
3.791,Bluetooth,-75
3.851,Bluetooth,-80
3.852,Bluetooth,-80
3.882,Bluetooth,-75
3.883,Bluetooth,-75
3.912,Bluetooth,-72
3.914,Bluetooth,-73
3.943,Bluetooth,-80
3.945,Bluetooth,-80
