Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-59
0.002,Bluetooth,-59
0.037,Bluetooth,-61
0.067,Bluetooth,-55
0.068,Bluetooth,-54
0.139,Bluetooth,-60
0.140,Bluetooth,-60
0.214,Bluetooth,-55
0.215,Bluetooth,-54
0.243,Bluetooth,-60
0.244,Bluetooth,-60
0.280,Bluetooth,-61
0.281,Bluetooth,-62
0.315,Bluetooth,-54
0.316,Bluetooth,-54
0.347,Bluetooth,-60
0.348,Bluetooth,-59
0.382,Bluetooth,-60
0.383,Bluetooth,-61
0.459,Bluetooth,-54
0.460,Bluetooth,-55
0.526,Bluetooth,-61
0.527,Bluetooth,-62
0.597,Bluetooth,-59
0.598,Bluetooth,-59
0.630,Bluetooth,-61
0.631,Bluetooth,-62
0.662,Bluetooth,-54
0.663,Bluetooth,-54
0.734,Bluetooth,-59
0.736,Bluetooth,-59
0.766,Bluetooth,-61
0.767,Bluetooth,-63
0.803,Bluetooth,-54
0.804,Bluetooth,-54
0.834,Bluetooth,-59
0.835,Bluetooth,-59
0.899,Bluetooth,-61
0.900,Bluetooth,-61
0.939,Bluetooth,-54
0.940,Bluetooth,-55
0.977,Bluetooth,-57
0.978,Bluetooth,-59
1.014,Bluetooth,-61
1.056,Bluetooth,-54
1.057,Bluetooth,-54
1.088,Bluetooth,-59
1.089,Bluetooth,-58
1.129,Bluetooth,-61
1.130,Bluetooth,-61
1.198,Bluetooth,-58
1.239,Bluetooth,-61
1.240,Bluetooth,-61
1.273,Bluetooth,-54
1.273,Bluetooth,-54
1.311,Bluetooth,-58
1.312,Bluetooth,-58
1.350,Bluetooth,-60
1.352,Bluetooth,-61
1.457,Bluetooth,-58
1.557,Bluetooth,-59
1.588,Bluetooth,-62
1.589,Bluetooth,-62
1.693,Bluetooth,-59
1.694,Bluetooth,-58
1.762,Bluetooth,-54
1.763,Bluetooth,-54
1.798,Bluetooth,-60
1.800,Bluetooth,-60
1.835,Bluetooth,-63
1.836,Bluetooth,-64
1.904,Bluetooth,-60
1.905,Bluetooth,-60
1.938,Bluetooth,-60
1.939,Bluetooth,-60
1.979,Bluetooth,-64
1.980,Bluetooth,-63
2.056,Bluetooth,-60
2.057,Bluetooth,-61
2.098,Bluetooth,-62
2.099,Bluetooth,-62
2.166,Bluetooth,-59
2.167,Bluetooth,-59
2.240,Bluetooth,-54
2.346,Bluetooth,-54
2.347,Bluetooth,-54
2.382,Bluetooth,-59
2.383,Bluetooth,-59
2.414,Bluetooth,-59
2.414,Bluetooth,-59
2.444,Bluetooth,-62
2.445,Bluetooth,-62
2.479,Bluetooth,-54
2.480,Bluetooth,-54
2.509,Bluetooth,-59
2.510,Bluetooth,-58
2.548,Bluetooth,-61
2.550,Bluetooth,-61
2.588,Bluetooth,-54
2.589,Bluetooth,-54
2.620,Bluetooth,-54
2.621,Bluetooth,-54
2.689,Bluetooth,-59
2.691,Bluetooth,-61
2.721,Bluetooth,-55
2.722,Bluetooth,-54
2.792,Bluetooth,-60
2.793,Bluetooth,-61
2.825,Bluetooth,-54
2.827,Bluetooth,-54
2.857,Bluetooth,-55
2.858,Bluetooth,-54
2.985,Bluetooth,-58
2.986,Bluetooth,-58
3.017,Bluetooth,-59
3.018,Bluetooth,-58
3.053,Bluetooth,-62
3.054,Bluetooth,-61
3.119,Bluetooth,-58
3.120,Bluetooth,-58
3.232,Bluetooth,-57
3.233,Bluetooth,-58
3.273,Bluetooth,-63
3.274,Bluetooth,-62
3.310,Bluetooth,-54
3.311,Bluetooth,-53
3.339,Bluetooth,-53
3.340,Bluetooth,-54
3.378,Bluetooth,-59
3.379,Bluetooth,-58
3.483,Bluetooth,-59
3.484,Bluetooth,-58
3.519,Bluetooth,-61
3.520,Bluetooth,-62
3.554,Bluetooth,-54
3.555,Bluetooth,-53
3.736,Bluetooth,-60
3.737,Bluetooth,-61
3.771,Bluetooth,-61
3.772,Bluetooth,-62
3.809,Bluetooth,-55
3.810,Bluetooth,-54
3.843,Bluetooth,-59
3.845,Bluetooth,-60
3.875,Bluetooth,-62
3.877,Bluetooth,-62
3.945,Bluetooth,-59
3.946,Bluetooth,-59
59.424,Bluetooth,-54
59.425,Bluetooth,-55
59.504,Bluetooth,-64
59.505,Bluetooth,-64
59.543,Bluetooth,-53
59.544,Bluetooth,-53
59.608,Bluetooth,-65
59.641,Bluetooth,-64
59.642,Bluetooth,-64
59.673,Bluetooth,-53
59.675,Bluetooth,-54
59.712,Bluetooth,-65
59.752,Bluetooth,-64
59.753,Bluetooth,-64
59.782,Bluetooth,-54
59.784,Bluetooth,-54
59.857,Bluetooth,-65
59.859,Bluetooth,-66
59.934,Bluetooth,-54
59.935,Bluetooth,-54
59.964,Bluetooth,-65
59.966,Bluetooth,-64
59.999,Bluetooth,-64
60.001,Bluetooth,-65
60.111,Bluetooth,-63
60.112,Bluetooth,-64
60.143,Bluetooth,-56
60.144,Bluetooth,-55
60.242,Bluetooth,-64
60.243,Bluetooth,-64
60.306,Bluetooth,-63
60.307,Bluetooth,-63
60.408,Bluetooth,-56
60.410,Bluetooth,-56
60.449,Bluetooth,-61
60.450,Bluetooth,-62
60.479,Bluetooth,-63
60.480,Bluetooth,-64
60.513,Bluetooth,-57
60.514,Bluetooth,-56
60.553,Bluetooth,-62
60.554,Bluetooth,-62
60.592,Bluetooth,-63
60.593,Bluetooth,-65
60.667,Bluetooth,-62
60.668,Bluetooth,-62
60.701,Bluetooth,-65
60.702,Bluetooth,-65
60.731,Bluetooth,-65
60.732,Bluetooth,-64
60.761,Bluetooth,-57
60.763,Bluetooth,-57
60.797,Bluetooth,-63
60.799,Bluetooth,-62
60.839,Bluetooth,-65
60.841,Bluetooth,-66
60.873,Bluetooth,-57
60.875,Bluetooth,-56
60.907,Bluetooth,-61
60.908,Bluetooth,-63
60.944,Bluetooth,-64
60.945,Bluetooth,-66
61.017,Bluetooth,-57
61.018,Bluetooth,-57
61.057,Bluetooth,-62
61.059,Bluetooth,-62
61.127,Bluetooth,-58
61.128,Bluetooth,-59
61.168,Bluetooth,-64
61.169,Bluetooth,-64
61.202,Bluetooth,-66
61.203,Bluetooth,-66
61.235,Bluetooth,-58
61.266,Bluetooth,-61
61.267,Bluetooth,-63
61.305,Bluetooth,-65
61.306,Bluetooth,-66
61.342,Bluetooth,-57
61.343,Bluetooth,-57
61.373,Bluetooth,-58
61.375,Bluetooth,-60
61.413,Bluetooth,-62
61.414,Bluetooth,-63
61.551,Bluetooth,-65
61.552,Bluetooth,-66
61.581,Bluetooth,-57
61.622,Bluetooth,-61
61.623,Bluetooth,-63
61.662,Bluetooth,-66
61.663,Bluetooth,-67
61.729,Bluetooth,-56
61.730,Bluetooth,-56
61.760,Bluetooth,-63
61.761,Bluetooth,-64
61.799,Bluetooth,-66
61.801,Bluetooth,-66
61.908,Bluetooth,-67
61.909,Bluetooth,-66
61.939,Bluetooth,-56
61.941,Bluetooth,-57
61.979,Bluetooth,-64
61.980,Bluetooth,-63
62.012,Bluetooth,-63
