Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-64
0.002,Bluetooth,-64
0.037,Bluetooth,-63
0.039,Bluetooth,-65
0.072,Bluetooth,-68
0.074,Bluetooth,-68
0.104,Bluetooth,-66
0.106,Bluetooth,-65
0.140,Bluetooth,-63
0.177,Bluetooth,-66
0.217,Bluetooth,-62
0.219,Bluetooth,-63
0.322,Bluetooth,-66
0.324,Bluetooth,-67
0.357,Bluetooth,-63
0.359,Bluetooth,-63
0.394,Bluetooth,-64
0.396,Bluetooth,-63
0.539,Bluetooth,-72
0.541,Bluetooth,-72
0.569,Bluetooth,-68
0.570,Bluetooth,-68
0.602,Bluetooth,-63
0.604,Bluetooth,-62
0.636,Bluetooth,-62
0.638,Bluetooth,-62
0.717,Bluetooth,-63
0.719,Bluetooth,-62
0.745,Bluetooth,-72
0.782,Bluetooth,-64
0.784,Bluetooth,-64
0.815,Bluetooth,-64
0.817,Bluetooth,-63
0.951,Bluetooth,-72
0.953,Bluetooth,-72
1.028,Bluetooth,-62
1.060,Bluetooth,-63
1.091,Bluetooth,-67
1.093,Bluetooth,-67
1.122,Bluetooth,-74
1.124,Bluetooth,-74
1.157,Bluetooth,-74
1.160,Bluetooth,-74
1.191,Bluetooth,-70
1.193,Bluetooth,-69
1.377,Bluetooth,-66
1.379,Bluetooth,-66
1.443,Bluetooth,-66
1.446,Bluetooth,-66
1.517,Bluetooth,-66
1.519,Bluetooth,-66
1.550,Bluetooth,-65
1.551,Bluetooth,-66
1.590,Bluetooth,-65
1.593,Bluetooth,-64
1.630,Bluetooth,-59
1.632,Bluetooth,-60
1.734,Bluetooth,-64
1.736,Bluetooth,-64
1.768,Bluetooth,-68
1.770,Bluetooth,-68
1.846,Bluetooth,-66
1.848,Bluetooth,-67
1.879,Bluetooth,-59
1.881,Bluetooth,-60
1.912,Bluetooth,-73
1.914,Bluetooth,-72
1.953,Bluetooth,-72
1.988,Bluetooth,-66
1.991,Bluetooth,-66
2.027,Bluetooth,-55
2.029,Bluetooth,-55
2.061,Bluetooth,-60
2.062,Bluetooth,-59
2.240,Bluetooth,-56
2.279,Bluetooth,-69
2.281,Bluetooth,-70
2.317,Bluetooth,-55
2.319,Bluetooth,-56
2.420,Bluetooth,-58
2.421,Bluetooth,-58
2.492,Bluetooth,-63
2.494,Bluetooth,-65
2.530,Bluetooth,-60
2.532,Bluetooth,-60
2.566,Bluetooth,-60
2.634,Bluetooth,-63
2.635,Bluetooth,-63
2.673,Bluetooth,-62
2.676,Bluetooth,-61
2.710,Bluetooth,-61
2.712,Bluetooth,-63
2.842,Bluetooth,-64
2.880,Bluetooth,-58
2.882,Bluetooth,-56
2.918,Bluetooth,-65
2.920,Bluetooth,-65
2.986,Bluetooth,-66
2.988,Bluetooth,-66
3.046,Bluetooth,-59
3.047,Bluetooth,-59
3.080,Bluetooth,-61
3.150,Bluetooth,-57
3.188,Bluetooth,-58
3.190,Bluetooth,-58
3.226,Bluetooth,-62
3.258,Bluetooth,-64
3.260,Bluetooth,-64
3.296,Bluetooth,-58
3.297,Bluetooth,-58
3.360,Bluetooth,-62
3.362,Bluetooth,-61
3.395,Bluetooth,-61
3.397,Bluetooth,-62
3.435,Bluetooth,-58
3.437,Bluetooth,-59
3.501,Bluetooth,-58
3.503,Bluetooth,-56
3.534,Bluetooth,-60
3.601,Bluetooth,-57
3.603,Bluetooth,-58
3.631,Bluetooth,-60
3.634,Bluetooth,-61
3.703,Bluetooth,-58
3.705,Bluetooth,-60
3.734,Bluetooth,-56
3.736,Bluetooth,-57
3.772,Bluetooth,-56
3.774,Bluetooth,-56
3.842,Bluetooth,-59
3.844,Bluetooth,-59
252.452,Bluetooth,-64
252.495,Bluetooth,-56
252.497,Bluetooth,-54
252.532,Bluetooth,-59
252.534,Bluetooth,-62
252.561,Bluetooth,-71
252.563,Bluetooth,-70
252.599,Bluetooth,-77
252.601,Bluetooth,-78
252.637,Bluetooth,-58
252.639,Bluetooth,-58
252.710,Bluetooth,-74
252.712,Bluetooth,-74
252.746,Bluetooth,-59
252.823,Bluetooth,-64
252.825,Bluetooth,-62
252.859,Bluetooth,-69
252.861,Bluetooth,-69
252.896,Bluetooth,-62
252.898,Bluetooth,-62
252.935,Bluetooth,-61
252.938,Bluetooth,-62
253.006,Bluetooth,-66
253.008,Bluetooth,-67
253.043,Bluetooth,-63
253.183,Bluetooth,-70
253.185,Bluetooth,-70
253.258,Bluetooth,-64
253.260,Bluetooth,-64
253.375,Bluetooth,-61
253.377,Bluetooth,-61
253.415,Bluetooth,-65
253.417,Bluetooth,-66
253.448,Bluetooth,-66
253.450,Bluetooth,-66
253.524,Bluetooth,-61
253.526,Bluetooth,-60
253.565,Bluetooth,-67
253.567,Bluetooth,-67
253.597,Bluetooth,-74
253.599,Bluetooth,-74
253.706,Bluetooth,-58
253.775,Bluetooth,-66
253.777,Bluetooth,-64
253.806,Bluetooth,-59
253.808,Bluetooth,-59
253.836,Bluetooth,-67
253.839,Bluetooth,-68
253.868,Bluetooth,-69
254.001,Bluetooth,-60
254.004,Bluetooth,-60
254.088,Bluetooth,-64
254.088,Bluetooth,-64
254.182,Bluetooth,-64
254.253,Bluetooth,-65
254.285,Bluetooth,-60
254.288,Bluetooth,-61
254.326,Bluetooth,-69
254.328,Bluetooth,-69
254.361,Bluetooth,-67
254.363,Bluetooth,-67
254.399,Bluetooth,-59
254.402,Bluetooth,-61
254.470,Bluetooth,-69
254.640,Bluetooth,-70
254.642,Bluetooth,-69
254.673,Bluetooth,-67
254.675,Bluetooth,-67
254.709,Bluetooth,-60
254.711,Bluetooth,-60
254.746,Bluetooth,-68
254.748,Bluetooth,-70
254.850,Bluetooth,-68
254.881,Bluetooth,-58
254.883,Bluetooth,-59
254.916,Bluetooth,-67
254.920,Bluetooth,-68
254.945,Bluetooth,-69
254.985,Bluetooth,-71
254.987,Bluetooth,-71
255.052,Bluetooth,-67
255.054,Bluetooth,-67
255.161,Bluetooth,-74
255.202,Bluetooth,-59
255.204,Bluetooth,-58
255.233,Bluetooth,-66
255.236,Bluetooth,-66
255.308,Bluetooth,-60
255.310,Bluetooth,-59
255.343,Bluetooth,-65
255.345,Bluetooth,-65
255.443,Bluetooth,-60
255.580,Bluetooth,-66
255.582,Bluetooth,-66
255.713,Bluetooth,-66
255.716,Bluetooth,-66
255.860,Bluetooth,-65
255.862,Bluetooth,-65
255.896,Bluetooth,-63
255.934,Bluetooth,-62
255.967,Bluetooth,-62
255.969,Bluetooth,-62
256.045,Bluetooth,-63
256.077,Bluetooth,-64
256.080,Bluetooth,-64
256.147,Bluetooth,-60
256.149,Bluetooth,-60
256.181,Bluetooth,-63
256.184,Bluetooth,-64
256.245,Bluetooth,-59
256.248,Bluetooth,-58
256.343,Bluetooth,-56
256.379,Bluetooth,-61
256.381,Bluetooth,-59
