Distance,10.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.003,Bluetooth,-68
0.004,Bluetooth,-69
0.039,Bluetooth,-60
0.075,Bluetooth,-60
0.077,Bluetooth,-60
0.108,Bluetooth,-76
0.149,Bluetooth,-61
0.190,Bluetooth,-60
0.191,Bluetooth,-60
0.225,Bluetooth,-65
0.266,Bluetooth,-62
0.267,Bluetooth,-62
0.299,Bluetooth,-56
0.300,Bluetooth,-55
0.332,Bluetooth,-56
0.333,Bluetooth,-56
0.401,Bluetooth,-67
0.402,Bluetooth,-66
0.433,Bluetooth,-58
0.434,Bluetooth,-57
0.465,Bluetooth,-62
0.467,Bluetooth,-62
0.501,Bluetooth,-59
0.502,Bluetooth,-60
0.569,Bluetooth,-60
0.570,Bluetooth,-60
0.606,Bluetooth,-61
0.608,Bluetooth,-60
0.643,Bluetooth,-58
0.645,Bluetooth,-60
0.674,Bluetooth,-59
0.675,Bluetooth,-60
0.707,Bluetooth,-58
0.709,Bluetooth,-59
0.780,Bluetooth,-60
0.782,Bluetooth,-59
0.850,Bluetooth,-60
0.852,Bluetooth,-60
0.890,Bluetooth,-58
0.891,Bluetooth,-58
0.927,Bluetooth,-60
0.928,Bluetooth,-60
1.002,Bluetooth,-58
1.003,Bluetooth,-58
1.075,Bluetooth,-58
1.077,Bluetooth,-59
1.109,Bluetooth,-58
1.110,Bluetooth,-58
1.147,Bluetooth,-61
1.149,Bluetooth,-61
1.254,Bluetooth,-59
1.255,Bluetooth,-58
1.328,Bluetooth,-59
1.329,Bluetooth,-59
1.366,Bluetooth,-58
1.368,Bluetooth,-58
1.398,Bluetooth,-62
1.399,Bluetooth,-62
1.427,Bluetooth,-59
1.428,Bluetooth,-59
1.461,Bluetooth,-58
1.462,Bluetooth,-59
1.500,Bluetooth,-62
1.501,Bluetooth,-62
1.529,Bluetooth,-62
1.531,Bluetooth,-61
1.569,Bluetooth,-59
1.570,Bluetooth,-59
1.600,Bluetooth,-60
1.636,Bluetooth,-59
1.637,Bluetooth,-60
1.705,Bluetooth,-62
1.705,Bluetooth,-61
1.747,Bluetooth,-58
1.749,Bluetooth,-58
1.841,Bluetooth,-65
1.843,Bluetooth,-65
1.873,Bluetooth,-57
1.874,Bluetooth,-58
1.903,Bluetooth,-66
1.905,Bluetooth,-67
1.939,Bluetooth,-65
1.940,Bluetooth,-65
1.971,Bluetooth,-65
1.973,Bluetooth,-65
2.005,Bluetooth,-57
2.006,Bluetooth,-57
2.037,Bluetooth,-67
2.038,Bluetooth,-66
2.076,Bluetooth,-64
2.078,Bluetooth,-63
2.115,Bluetooth,-56
2.116,Bluetooth,-57
2.144,Bluetooth,-69
2.146,Bluetooth,-69
2.180,Bluetooth,-63
2.182,Bluetooth,-63
2.221,Bluetooth,-57
2.222,Bluetooth,-58
2.358,Bluetooth,-57
2.360,Bluetooth,-58
2.394,Bluetooth,-65
2.396,Bluetooth,-66
2.427,Bluetooth,-60
2.428,Bluetooth,-61
2.461,Bluetooth,-57
2.463,Bluetooth,-58
2.527,Bluetooth,-67
2.528,Bluetooth,-67
2.561,Bluetooth,-65
2.563,Bluetooth,-64
2.592,Bluetooth,-58
2.593,Bluetooth,-58
2.623,Bluetooth,-67
2.624,Bluetooth,-65
2.660,Bluetooth,-64
2.661,Bluetooth,-66
2.699,Bluetooth,-66
2.701,Bluetooth,-64
2.769,Bluetooth,-59
2.770,Bluetooth,-60
2.803,Bluetooth,-64
2.804,Bluetooth,-64
2.840,Bluetooth,-58
2.841,Bluetooth,-58
2.877,Bluetooth,-66
2.878,Bluetooth,-66
2.910,Bluetooth,-63
2.912,Bluetooth,-64
2.949,Bluetooth,-59
2.951,Bluetooth,-58
2.988,Bluetooth,-67
2.989,Bluetooth,-67
3.019,Bluetooth,-63
3.021,Bluetooth,-63
3.060,Bluetooth,-58
3.061,Bluetooth,-59
3.132,Bluetooth,-69
3.134,Bluetooth,-70
3.274,Bluetooth,-64
3.275,Bluetooth,-63
3.308,Bluetooth,-58
3.310,Bluetooth,-57
3.342,Bluetooth,-70
3.343,Bluetooth,-70
3.373,Bluetooth,-68
3.374,Bluetooth,-68
3.591,Bluetooth,-67
3.592,Bluetooth,-66
3.661,Bluetooth,-58
3.662,Bluetooth,-59
3.857,Bluetooth,-58
3.859,Bluetooth,-59
3.888,Bluetooth,-57
3.890,Bluetooth,-59
3.951,Bluetooth,-64
3.952,Bluetooth,-64
56.831,Bluetooth,-75
56.833,Bluetooth,-75
56.866,Bluetooth,-74
56.868,Bluetooth,-73
56.912,Bluetooth,-73
56.913,Bluetooth,-73
56.942,Bluetooth,-75
56.943,Bluetooth,-74
57.007,Bluetooth,-75
57.008,Bluetooth,-75
57.048,Bluetooth,-74
57.050,Bluetooth,-73
57.080,Bluetooth,-75
57.082,Bluetooth,-76
57.108,Bluetooth,-75
57.110,Bluetooth,-76
57.142,Bluetooth,-73
57.143,Bluetooth,-73
57.239,Bluetooth,-76
57.241,Bluetooth,-76
57.313,Bluetooth,-74
57.315,Bluetooth,-75
57.351,Bluetooth,-76
57.352,Bluetooth,-77
57.388,Bluetooth,-72
57.389,Bluetooth,-72
57.419,Bluetooth,-75
57.420,Bluetooth,-75
57.449,Bluetooth,-76
57.450,Bluetooth,-74
57.488,Bluetooth,-77
57.489,Bluetooth,-78
57.527,Bluetooth,-72
57.529,Bluetooth,-72
57.560,Bluetooth,-74
57.562,Bluetooth,-75
57.588,Bluetooth,-81
57.590,Bluetooth,-81
57.666,Bluetooth,-75
57.668,Bluetooth,-75
57.765,Bluetooth,-70
57.767,Bluetooth,-73
57.802,Bluetooth,-75
57.804,Bluetooth,-76
57.837,Bluetooth,-88
57.839,Bluetooth,-89
57.870,Bluetooth,-70
57.872,Bluetooth,-71
57.903,Bluetooth,-75
57.905,Bluetooth,-74
57.941,Bluetooth,-86
57.942,Bluetooth,-88
58.007,Bluetooth,-71
58.009,Bluetooth,-71
58.041,Bluetooth,-75
58.043,Bluetooth,-75
58.070,Bluetooth,-80
58.071,Bluetooth,-80
58.111,Bluetooth,-74
58.113,Bluetooth,-72
58.212,Bluetooth,-73
58.214,Bluetooth,-73
58.245,Bluetooth,-75
58.246,Bluetooth,-75
58.275,Bluetooth,-78
58.276,Bluetooth,-78
58.309,Bluetooth,-70
58.310,Bluetooth,-70
58.349,Bluetooth,-79
58.350,Bluetooth,-79
58.442,Bluetooth,-69
58.444,Bluetooth,-68
58.490,Bluetooth,-83
58.492,Bluetooth,-83
58.591,Bluetooth,-81
58.592,Bluetooth,-83
58.621,Bluetooth,-92
58.623,Bluetooth,-90
58.662,Bluetooth,-67
58.664,Bluetooth,-68
58.691,Bluetooth,-66
58.693,Bluetooth,-68
58.722,Bluetooth,-82
58.723,Bluetooth,-82
58.755,Bluetooth,-95
58.757,Bluetooth,-95
58.792,Bluetooth,-68
58.794,Bluetooth,-70
58.831,Bluetooth,-81
58.833,Bluetooth,-81
58.871,Bluetooth,-81
58.873,Bluetooth,-80
58.904,Bluetooth,-71
58.905,Bluetooth,-72
58.937,Bluetooth,-77
58.938,Bluetooth,-77
58.976,Bluetooth,-75
58.978,Bluetooth,-77
59.045,Bluetooth,-76
59.046,Bluetooth,-76
59.081,Bluetooth,-76
59.082,Bluetooth,-75
59.121,Bluetooth,-74
59.123,Bluetooth,-73
59.163,Bluetooth,-79
59.165,Bluetooth,-79
59.192,Bluetooth,-73
59.193,Bluetooth,-74
59.231,Bluetooth,-72
59.233,Bluetooth,-74
59.298,Bluetooth,-74
59.299,Bluetooth,-74
59.336,Bluetooth,-73
59.338,Bluetooth,-75
59.369,Bluetooth,-73
59.370,Bluetooth,-75
59.404,Bluetooth,-74
59.405,Bluetooth,-75
59.479,Bluetooth,-76
59.481,Bluetooth,-77
59.548,Bluetooth,-79
59.550,Bluetooth,-78
59.583,Bluetooth,-76
59.584,Bluetooth,-77
59.616,Bluetooth,-70
59.618,Bluetooth,-70
59.687,Bluetooth,-79
59.688,Bluetooth,-79
59.724,Bluetooth,-77
59.725,Bluetooth,-78
59.794,Bluetooth,-76
59.796,Bluetooth,-77
