Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-58
0.037,Bluetooth,-61
0.037,Bluetooth,-60
0.077,Bluetooth,-54
0.078,Bluetooth,-52
0.111,Bluetooth,-58
0.112,Bluetooth,-58
0.142,Bluetooth,-59
0.142,Bluetooth,-60
0.175,Bluetooth,-54
0.176,Bluetooth,-53
0.280,Bluetooth,-60
0.317,Bluetooth,-60
0.318,Bluetooth,-59
0.356,Bluetooth,-53
0.357,Bluetooth,-53
0.676,Bluetooth,-54
0.676,Bluetooth,-53
0.712,Bluetooth,-57
0.713,Bluetooth,-57
0.746,Bluetooth,-59
0.746,Bluetooth,-59
0.784,Bluetooth,-55
0.785,Bluetooth,-54
0.824,Bluetooth,-57
0.825,Bluetooth,-57
0.861,Bluetooth,-59
0.862,Bluetooth,-58
0.896,Bluetooth,-57
0.966,Bluetooth,-56
0.967,Bluetooth,-55
1.001,Bluetooth,-57
1.002,Bluetooth,-57
1.032,Bluetooth,-59
1.033,Bluetooth,-59
1.138,Bluetooth,-55
1.139,Bluetooth,-55
1.175,Bluetooth,-57
1.176,Bluetooth,-58
1.206,Bluetooth,-59
1.279,Bluetooth,-59
1.280,Bluetooth,-59
1.315,Bluetooth,-55
1.316,Bluetooth,-53
1.346,Bluetooth,-57
1.347,Bluetooth,-57
1.382,Bluetooth,-60
1.383,Bluetooth,-60
1.414,Bluetooth,-54
1.415,Bluetooth,-54
1.487,Bluetooth,-56
1.522,Bluetooth,-57
1.522,Bluetooth,-56
1.558,Bluetooth,-59
1.559,Bluetooth,-61
1.684,Bluetooth,-58
1.685,Bluetooth,-60
1.717,Bluetooth,-55
1.718,Bluetooth,-55
1.756,Bluetooth,-56
1.757,Bluetooth,-56
1.790,Bluetooth,-57
1.825,Bluetooth,-58
1.826,Bluetooth,-57
1.864,Bluetooth,-59
1.865,Bluetooth,-59
1.894,Bluetooth,-59
1.895,Bluetooth,-58
1.960,Bluetooth,-60
1.961,Bluetooth,-59
1.999,Bluetooth,-59
2.000,Bluetooth,-60
2.036,Bluetooth,-63
2.037,Bluetooth,-62
2.072,Bluetooth,-58
2.073,Bluetooth,-59
2.108,Bluetooth,-60
2.221,Bluetooth,-56
2.221,Bluetooth,-57
2.261,Bluetooth,-63
2.262,Bluetooth,-63
2.336,Bluetooth,-61
2.337,Bluetooth,-60
2.402,Bluetooth,-63
2.466,Bluetooth,-60
2.467,Bluetooth,-61
2.633,Bluetooth,-59
2.634,Bluetooth,-58
2.732,Bluetooth,-56
2.733,Bluetooth,-58
2.770,Bluetooth,-59
2.771,Bluetooth,-60
2.806,Bluetooth,-62
2.807,Bluetooth,-61
2.839,Bluetooth,-58
2.840,Bluetooth,-58
2.881,Bluetooth,-63
2.882,Bluetooth,-63
3.020,Bluetooth,-60
3.021,Bluetooth,-60
3.064,Bluetooth,-58
3.065,Bluetooth,-58
3.094,Bluetooth,-67
3.095,Bluetooth,-67
3.159,Bluetooth,-64
3.159,Bluetooth,-64
3.195,Bluetooth,-58
3.196,Bluetooth,-58
3.235,Bluetooth,-61
3.236,Bluetooth,-61
3.270,Bluetooth,-63
3.271,Bluetooth,-63
3.304,Bluetooth,-60
3.381,Bluetooth,-60
3.383,Bluetooth,-60
3.415,Bluetooth,-60
3.416,Bluetooth,-61
3.443,Bluetooth,-61
3.444,Bluetooth,-61
3.484,Bluetooth,-58
3.485,Bluetooth,-59
3.553,Bluetooth,-62
3.554,Bluetooth,-62
3.595,Bluetooth,-61
3.632,Bluetooth,-61
3.633,Bluetooth,-61
3.701,Bluetooth,-54
3.702,Bluetooth,-55
3.741,Bluetooth,-60
3.741,Bluetooth,-61
3.771,Bluetooth,-58
3.772,Bluetooth,-59
3.802,Bluetooth,-53
3.803,Bluetooth,-53
3.908,Bluetooth,-60
3.942,Bluetooth,-58
3.943,Bluetooth,-61
29.761,Bluetooth,-60
29.762,Bluetooth,-61
29.798,Bluetooth,-65
29.799,Bluetooth,-65
29.936,Bluetooth,-66
29.937,Bluetooth,-66
29.974,Bluetooth,-65
29.975,Bluetooth,-66
30.004,Bluetooth,-64
30.034,Bluetooth,-65
30.035,Bluetooth,-65
30.110,Bluetooth,-63
30.111,Bluetooth,-62
30.184,Bluetooth,-64
30.185,Bluetooth,-64
30.217,Bluetooth,-61
30.218,Bluetooth,-61
30.284,Bluetooth,-69
30.315,Bluetooth,-71
30.316,Bluetooth,-70
30.379,Bluetooth,-84
30.380,Bluetooth,-85
30.416,Bluetooth,-61
30.416,Bluetooth,-63
30.456,Bluetooth,-69
30.457,Bluetooth,-70
30.489,Bluetooth,-75
30.490,Bluetooth,-75
30.528,Bluetooth,-65
30.529,Bluetooth,-65
30.563,Bluetooth,-65
30.564,Bluetooth,-65
30.642,Bluetooth,-67
30.643,Bluetooth,-68
30.710,Bluetooth,-67
30.711,Bluetooth,-66
30.740,Bluetooth,-67
30.741,Bluetooth,-65
30.779,Bluetooth,-62
30.780,Bluetooth,-63
30.816,Bluetooth,-66
30.817,Bluetooth,-65
30.891,Bluetooth,-59
30.958,Bluetooth,-63
30.959,Bluetooth,-63
31.127,Bluetooth,-65
31.127,Bluetooth,-66
31.160,Bluetooth,-67
31.161,Bluetooth,-66
31.192,Bluetooth,-60
31.226,Bluetooth,-68
31.227,Bluetooth,-69
31.258,Bluetooth,-60
31.259,Bluetooth,-60
31.358,Bluetooth,-75
31.359,Bluetooth,-73
31.387,Bluetooth,-61
31.388,Bluetooth,-61
31.425,Bluetooth,-69
31.425,Bluetooth,-68
31.464,Bluetooth,-74
31.464,Bluetooth,-73
31.504,Bluetooth,-68
31.536,Bluetooth,-74
31.537,Bluetooth,-74
31.600,Bluetooth,-67
31.601,Bluetooth,-66
31.695,Bluetooth,-63
31.696,Bluetooth,-63
31.731,Bluetooth,-66
31.732,Bluetooth,-66
31.768,Bluetooth,-65
31.769,Bluetooth,-66
31.804,Bluetooth,-66
31.873,Bluetooth,-71
31.874,Bluetooth,-70
31.912,Bluetooth,-62
31.913,Bluetooth,-62
31.944,Bluetooth,-61
31.945,Bluetooth,-61
31.980,Bluetooth,-61
31.981,Bluetooth,-61
32.016,Bluetooth,-81
32.016,Bluetooth,-82
32.058,Bluetooth,-62
32.059,Bluetooth,-62
32.094,Bluetooth,-77
32.134,Bluetooth,-81
32.135,Bluetooth,-82
32.165,Bluetooth,-63
32.166,Bluetooth,-63
32.198,Bluetooth,-66
32.199,Bluetooth,-67
32.237,Bluetooth,-82
32.238,Bluetooth,-82
32.277,Bluetooth,-63
32.277,Bluetooth,-62
32.387,Bluetooth,-64
32.425,Bluetooth,-68
32.426,Bluetooth,-68
32.464,Bluetooth,-65
32.465,Bluetooth,-64
32.577,Bluetooth,-64
32.578,Bluetooth,-64
32.687,Bluetooth,-72
32.723,Bluetooth,-60
32.724,Bluetooth,-62
32.761,Bluetooth,-62
32.762,Bluetooth,-63
32.797,Bluetooth,-67
32.798,Bluetooth,-69
32.905,Bluetooth,-62
32.906,Bluetooth,-62
32.935,Bluetooth,-70
32.936,Bluetooth,-70
32.965,Bluetooth,-65
32.966,Bluetooth,-66
33.003,Bluetooth,-65
33.041,Bluetooth,-65
33.042,Bluetooth,-64
33.177,Bluetooth,-66
33.178,Bluetooth,-65
33.289,Bluetooth,-60
33.360,Bluetooth,-60
33.360,Bluetooth,-60
33.419,Bluetooth,-72
33.419,Bluetooth,-72
33.459,Bluetooth,-67
33.499,Bluetooth,-59
33.500,Bluetooth,-59
33.566,Bluetooth,-64
33.567,Bluetooth,-65
33.602,Bluetooth,-73
33.632,Bluetooth,-63
33.634,Bluetooth,-64
33.665,Bluetooth,-62
33.666,Bluetooth,-62
33.697,Bluetooth,-77
33.698,Bluetooth,-78
60.058,Bluetooth,-61
60.126,Bluetooth,-66
60.127,Bluetooth,-65
60.157,Bluetooth,-66
60.158,Bluetooth,-66
60.299,Bluetooth,-73
60.368,Bluetooth,-67
60.369,Bluetooth,-68
60.397,Bluetooth,-69
60.398,Bluetooth,-70
60.596,Bluetooth,-68
60.635,Bluetooth,-61
60.636,Bluetooth,-62
60.677,Bluetooth,-62
60.678,Bluetooth,-62
60.753,Bluetooth,-61
60.754,Bluetooth,-61
60.859,Bluetooth,-61
60.860,Bluetooth,-61
60.894,Bluetooth,-60
60.960,Bluetooth,-69
60.961,Bluetooth,-70
61.131,Bluetooth,-69
61.132,Bluetooth,-68
61.162,Bluetooth,-60
61.163,Bluetooth,-59
61.196,Bluetooth,-73
61.227,Bluetooth,-59
61.228,Bluetooth,-60
61.298,Bluetooth,-70
61.329,Bluetooth,-70
61.330,Bluetooth,-71
61.364,Bluetooth,-60
61.365,Bluetooth,-59
61.437,Bluetooth,-63
61.438,Bluetooth,-62
61.475,Bluetooth,-59
61.476,Bluetooth,-59
61.514,Bluetooth,-60
61.515,Bluetooth,-59
61.554,Bluetooth,-63
61.555,Bluetooth,-65
61.620,Bluetooth,-60
61.621,Bluetooth,-60
61.651,Bluetooth,-68
61.652,Bluetooth,-69
61.687,Bluetooth,-65
61.688,Bluetooth,-66
61.721,Bluetooth,-64
61.759,Bluetooth,-72
61.760,Bluetooth,-71
61.789,Bluetooth,-71
61.821,Bluetooth,-73
61.822,Bluetooth,-73
61.854,Bluetooth,-63
61.855,Bluetooth,-63
61.924,Bluetooth,-64
61.925,Bluetooth,-65
61.999,Bluetooth,-64
62.000,Bluetooth,-63
62.065,Bluetooth,-74
62.066,Bluetooth,-74
62.102,Bluetooth,-63
62.132,Bluetooth,-70
62.133,Bluetooth,-70
62.171,Bluetooth,-65
62.172,Bluetooth,-64
62.204,Bluetooth,-63
62.243,Bluetooth,-67
62.244,Bluetooth,-67
62.283,Bluetooth,-68
62.284,Bluetooth,-68
62.322,Bluetooth,-62
62.323,Bluetooth,-62
62.362,Bluetooth,-66
62.363,Bluetooth,-65
62.400,Bluetooth,-62
62.431,Bluetooth,-65
62.432,Bluetooth,-66
62.512,Bluetooth,-60
62.513,Bluetooth,-61
62.582,Bluetooth,-64
62.583,Bluetooth,-64
62.621,Bluetooth,-72
62.623,Bluetooth,-73
62.690,Bluetooth,-63
62.721,Bluetooth,-63
62.722,Bluetooth,-62
62.823,Bluetooth,-61
62.824,Bluetooth,-59
62.861,Bluetooth,-66
62.861,Bluetooth,-67
62.901,Bluetooth,-65
62.902,Bluetooth,-67
62.929,Bluetooth,-60
62.930,Bluetooth,-60
62.964,Bluetooth,-66
62.965,Bluetooth,-67
63.003,Bluetooth,-68
63.110,Bluetooth,-60
63.111,Bluetooth,-61
63.140,Bluetooth,-60
63.141,Bluetooth,-60
63.175,Bluetooth,-64
63.176,Bluetooth,-64
63.313,Bluetooth,-64
63.314,Bluetooth,-65
63.380,Bluetooth,-57
63.381,Bluetooth,-58
63.410,Bluetooth,-56
63.411,Bluetooth,-56
63.443,Bluetooth,-70
63.444,Bluetooth,-70
63.479,Bluetooth,-57
63.480,Bluetooth,-58
63.542,Bluetooth,-56
63.543,Bluetooth,-57
63.644,Bluetooth,-64
63.678,Bluetooth,-61
63.678,Bluetooth,-60
63.713,Bluetooth,-63
63.713,Bluetooth,-63
63.798,Bluetooth,-65
63.799,Bluetooth,-64
63.897,Bluetooth,-59
63.897,Bluetooth,-59
63.928,Bluetooth,-64
63.929,Bluetooth,-66
63.960,Bluetooth,-62
63.961,Bluetooth,-60
92.326,Bluetooth,-58
92.327,Bluetooth,-58
92.401,Bluetooth,-62
92.476,Bluetooth,-58
92.477,Bluetooth,-58
92.538,Bluetooth,-58
92.539,Bluetooth,-58
92.574,Bluetooth,-57
92.575,Bluetooth,-57
92.642,Bluetooth,-57
92.643,Bluetooth,-57
92.678,Bluetooth,-61
92.679,Bluetooth,-58
92.742,Bluetooth,-61
92.743,Bluetooth,-60
92.777,Bluetooth,-60
92.778,Bluetooth,-60
92.815,Bluetooth,-57
92.815,Bluetooth,-57
92.887,Bluetooth,-60
92.888,Bluetooth,-60
92.925,Bluetooth,-55
92.926,Bluetooth,-53
92.961,Bluetooth,-63
92.961,Bluetooth,-62
92.993,Bluetooth,-60
93.031,Bluetooth,-58
93.032,Bluetooth,-59
93.063,Bluetooth,-54
93.064,Bluetooth,-54
93.174,Bluetooth,-54
93.175,Bluetooth,-53
93.213,Bluetooth,-54
93.214,Bluetooth,-53
93.246,Bluetooth,-53
93.246,Bluetooth,-54
93.282,Bluetooth,-52
93.321,Bluetooth,-63
93.322,Bluetooth,-63
93.456,Bluetooth,-72
93.456,Bluetooth,-72
93.535,Bluetooth,-56
93.536,Bluetooth,-57
93.570,Bluetooth,-61
93.571,Bluetooth,-61
93.642,Bluetooth,-58
93.643,Bluetooth,-59
93.709,Bluetooth,-55
93.710,Bluetooth,-55
93.749,Bluetooth,-59
93.780,Bluetooth,-53
93.781,Bluetooth,-52
93.847,Bluetooth,-56
93.884,Bluetooth,-62
93.924,Bluetooth,-61
93.924,Bluetooth,-61
93.957,Bluetooth,-53
93.959,Bluetooth,-52
94.137,Bluetooth,-53
94.138,Bluetooth,-53
94.176,Bluetooth,-57
94.177,Bluetooth,-56
94.205,Bluetooth,-53
94.238,Bluetooth,-56
94.239,Bluetooth,-56
94.315,Bluetooth,-53
94.316,Bluetooth,-53
94.389,Bluetooth,-53
94.389,Bluetooth,-53
94.454,Bluetooth,-56
94.455,Bluetooth,-57
94.485,Bluetooth,-54
94.521,Bluetooth,-61
94.523,Bluetooth,-60
94.665,Bluetooth,-54
94.665,Bluetooth,-53
94.694,Bluetooth,-60
94.695,Bluetooth,-61
94.733,Bluetooth,-59
94.734,Bluetooth,-59
94.771,Bluetooth,-55
94.773,Bluetooth,-55
94.805,Bluetooth,-54
94.841,Bluetooth,-58
94.842,Bluetooth,-57
94.871,Bluetooth,-54
94.873,Bluetooth,-54
94.941,Bluetooth,-56
94.942,Bluetooth,-54
94.973,Bluetooth,-58
94.974,Bluetooth,-59
95.041,Bluetooth,-56
95.042,Bluetooth,-55
95.077,Bluetooth,-57
95.078,Bluetooth,-55
95.117,Bluetooth,-56
95.118,Bluetooth,-56
95.179,Bluetooth,-59
95.180,Bluetooth,-60
95.219,Bluetooth,-52
95.220,Bluetooth,-52
95.249,Bluetooth,-53
95.250,Bluetooth,-54
95.288,Bluetooth,-60
95.289,Bluetooth,-60
95.320,Bluetooth,-54
95.321,Bluetooth,-55
95.382,Bluetooth,-57
95.418,Bluetooth,-57
95.419,Bluetooth,-57
95.524,Bluetooth,-52
95.524,Bluetooth,-52
95.564,Bluetooth,-55
95.565,Bluetooth,-56
95.600,Bluetooth,-57
95.601,Bluetooth,-58
95.667,Bluetooth,-56
95.668,Bluetooth,-56
95.704,Bluetooth,-58
95.773,Bluetooth,-58
95.774,Bluetooth,-57
95.847,Bluetooth,-57
95.847,Bluetooth,-57
95.886,Bluetooth,-57
95.886,Bluetooth,-58
95.924,Bluetooth,-64
95.925,Bluetooth,-65
95.988,Bluetooth,-58
96.023,Bluetooth,-56
96.025,Bluetooth,-57
96.241,Bluetooth,-65
96.242,Bluetooth,-66
96.273,Bluetooth,-56
96.274,Bluetooth,-55
96.305,Bluetooth,-55
96.306,Bluetooth,-55
142.806,Bluetooth,-65
142.881,Bluetooth,-66
142.881,Bluetooth,-66
142.956,Bluetooth,-61
142.957,Bluetooth,-60
143.028,Bluetooth,-66
143.029,Bluetooth,-65
143.104,Bluetooth,-60
143.141,Bluetooth,-61
143.142,Bluetooth,-61
143.169,Bluetooth,-75
143.170,Bluetooth,-76
143.206,Bluetooth,-76
143.207,Bluetooth,-75
143.309,Bluetooth,-61
143.310,Bluetooth,-61
143.382,Bluetooth,-65
143.444,Bluetooth,-64
143.445,Bluetooth,-65
143.660,Bluetooth,-61
143.661,Bluetooth,-61
143.698,Bluetooth,-65
143.729,Bluetooth,-69
143.730,Bluetooth,-68
143.770,Bluetooth,-57
143.771,Bluetooth,-58
143.798,Bluetooth,-63
143.799,Bluetooth,-63
143.836,Bluetooth,-63
143.837,Bluetooth,-64
143.943,Bluetooth,-62
143.943,Bluetooth,-62
143.986,Bluetooth,-66
144.024,Bluetooth,-60
144.025,Bluetooth,-60
144.094,Bluetooth,-68
144.095,Bluetooth,-68
144.195,Bluetooth,-76
144.197,Bluetooth,-76
144.228,Bluetooth,-68
144.229,Bluetooth,-68
144.263,Bluetooth,-66
144.264,Bluetooth,-67
144.294,Bluetooth,-71
144.330,Bluetooth,-70
144.331,Bluetooth,-70
144.368,Bluetooth,-64
144.370,Bluetooth,-64
144.405,Bluetooth,-67
144.499,Bluetooth,-64
144.500,Bluetooth,-65
144.537,Bluetooth,-62
144.538,Bluetooth,-62
144.610,Bluetooth,-67
144.737,Bluetooth,-67
144.737,Bluetooth,-66
144.841,Bluetooth,-60
144.842,Bluetooth,-60
144.871,Bluetooth,-64
144.941,Bluetooth,-66
144.942,Bluetooth,-66
144.971,Bluetooth,-67
144.972,Bluetooth,-66
145.004,Bluetooth,-62
145.005,Bluetooth,-62
145.043,Bluetooth,-65
145.044,Bluetooth,-65
145.124,Bluetooth,-62
145.125,Bluetooth,-63
145.194,Bluetooth,-65
145.233,Bluetooth,-63
