Distance,6.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,128
0.030,Bluetooth,-79
0.031,Bluetooth,-78
0.061,Bluetooth,-68
0.063,Bluetooth,-68
0.094,Bluetooth,-76
0.095,Bluetooth,-75
0.122,Bluetooth,-76
0.123,Bluetooth,-76
0.217,Bluetooth,-75
0.218,Bluetooth,-74
0.249,Bluetooth,-74
0.250,Bluetooth,-76
0.310,Bluetooth,-67
0.312,Bluetooth,-66
0.373,Bluetooth,-75
0.376,Bluetooth,-73
0.403,Bluetooth,127
0.435,Bluetooth,-65
0.436,Bluetooth,-65
0.469,Bluetooth,128
0.499,Bluetooth,-73
0.501,Bluetooth,-74
0.531,Bluetooth,127
0.563,Bluetooth,-65
0.564,Bluetooth,-66
0.597,Bluetooth,127
0.626,Bluetooth,-75
0.628,Bluetooth,-74
0.658,Bluetooth,127
0.692,Bluetooth,-75
0.694,Bluetooth,-75
0.721,Bluetooth,127
0.754,Bluetooth,-75
0.754,Bluetooth,-74
0.789,Bluetooth,127
0.820,Bluetooth,-74
0.820,Bluetooth,-74
0.852,Bluetooth,127
0.883,Bluetooth,-73
0.884,Bluetooth,-75
0.918,Bluetooth,-65
0.919,Bluetooth,-64
0.952,Bluetooth,-74
0.953,Bluetooth,-73
0.984,Bluetooth,-75
0.985,Bluetooth,-75
1.017,Bluetooth,-66
1.018,Bluetooth,-65
1.052,Bluetooth,-74
1.054,Bluetooth,-74
1.083,Bluetooth,-74
1.084,Bluetooth,-74
1.114,Bluetooth,-75
1.115,Bluetooth,-75
1.150,Bluetooth,-66
1.151,Bluetooth,-67
1.180,Bluetooth,-75
1.181,Bluetooth,-75
1.209,Bluetooth,-75
1.211,Bluetooth,-75
1.242,Bluetooth,-76
1.243,Bluetooth,-74
1.276,Bluetooth,-67
1.277,Bluetooth,-67
1.310,Bluetooth,-75
1.311,Bluetooth,-75
1.341,Bluetooth,-74
1.343,Bluetooth,-74
1.374,Bluetooth,-67
1.376,Bluetooth,-67
1.404,Bluetooth,-68
1.405,Bluetooth,-67
1.437,Bluetooth,-78
1.438,Bluetooth,-75
1.466,Bluetooth,-76
1.467,Bluetooth,-75
1.501,Bluetooth,-66
1.502,Bluetooth,-66
1.532,Bluetooth,-82
1.533,Bluetooth,-80
1.563,Bluetooth,-79
1.564,Bluetooth,-78
1.596,Bluetooth,-70
1.596,Bluetooth,-71
1.627,Bluetooth,-64
1.629,Bluetooth,-63
1.659,Bluetooth,-75
1.659,Bluetooth,-74
1.688,Bluetooth,-74
1.689,Bluetooth,-72
1.751,Bluetooth,-70
1.752,Bluetooth,-69
1.782,Bluetooth,-73
1.783,Bluetooth,-72
1.813,Bluetooth,-85
1.814,Bluetooth,-85
1.844,Bluetooth,-87
1.846,Bluetooth,-87
1.876,Bluetooth,-75
1.877,Bluetooth,-74
1.907,Bluetooth,-73
1.908,Bluetooth,-72
1.971,Bluetooth,127
2.160,Bluetooth,-74
2.160,Bluetooth,-71
2.188,Bluetooth,127
2.224,Bluetooth,-79
2.225,Bluetooth,-78
2.256,Bluetooth,-74
2.256,Bluetooth,-74
2.288,Bluetooth,-87
2.289,Bluetooth,-88
2.322,Bluetooth,-90
2.322,Bluetooth,-88
2.422,Bluetooth,-88
2.423,Bluetooth,-88
2.518,Bluetooth,-76
2.519,Bluetooth,-74
2.548,Bluetooth,-87
2.548,Bluetooth,-87
2.584,Bluetooth,-76
2.585,Bluetooth,-77
2.616,Bluetooth,-74
2.617,Bluetooth,-73
2.708,Bluetooth,-77
2.710,Bluetooth,-76
2.798,Bluetooth,-95
2.799,Bluetooth,-93
2.831,Bluetooth,-76
2.832,Bluetooth,-75
2.863,Bluetooth,-78
2.864,Bluetooth,-77
2.894,Bluetooth,-75
2.896,Bluetooth,-75
2.930,Bluetooth,-72
2.931,Bluetooth,-73
2.960,Bluetooth,-69
2.961,Bluetooth,-69
2.994,Bluetooth,-77
2.996,Bluetooth,-78
3.026,Bluetooth,-70
3.027,Bluetooth,-72
3.057,Bluetooth,-64
3.058,Bluetooth,-66
3.092,Bluetooth,-74
3.093,Bluetooth,-74
3.154,Bluetooth,-69
3.155,Bluetooth,-69
3.188,Bluetooth,-64
3.189,Bluetooth,-62
3.222,Bluetooth,-73
3.223,Bluetooth,-74
3.254,Bluetooth,-69
3.255,Bluetooth,-70
3.287,Bluetooth,-66
3.287,Bluetooth,-65
3.317,Bluetooth,-66
3.318,Bluetooth,-66
3.350,Bluetooth,-70
3.351,Bluetooth,-70
3.377,Bluetooth,-70
3.378,Bluetooth,-70
3.413,Bluetooth,-67
3.414,Bluetooth,-67
3.445,Bluetooth,-66
3.447,Bluetooth,-66
3.480,Bluetooth,-71
3.481,Bluetooth,-70
3.511,Bluetooth,-69
3.513,Bluetooth,-70
3.545,Bluetooth,-66
3.548,Bluetooth,-66
3.643,Bluetooth,-71
3.644,Bluetooth,-71
3.677,Bluetooth,-65
3.678,Bluetooth,-67
3.713,Bluetooth,-71
3.714,Bluetooth,-70
3.744,Bluetooth,-71
3.745,Bluetooth,-72
3.777,Bluetooth,-67
3.778,Bluetooth,-66
3.838,Bluetooth,-71
3.839,Bluetooth,-72
3.870,Bluetooth,-73
3.870,Bluetooth,-72
3.901,Bluetooth,-66
3.902,Bluetooth,-67
3.932,Bluetooth,-73
3.932,Bluetooth,-70
3.962,Bluetooth,-70
3.962,Bluetooth,-72
57.958,Bluetooth,-69
57.959,Bluetooth,126
57.991,Bluetooth,-72
57.992,Bluetooth,-73
58.023,Bluetooth,-72
58.024,Bluetooth,-72
58.057,Bluetooth,-72
58.058,Bluetooth,-71
58.093,Bluetooth,-70
58.094,Bluetooth,127
58.122,Bluetooth,-72
58.123,Bluetooth,-73
58.153,Bluetooth,-71
58.154,Bluetooth,-72
58.188,Bluetooth,-71
58.188,Bluetooth,-71
58.221,Bluetooth,-70
58.222,Bluetooth,128
58.286,Bluetooth,-70
58.287,Bluetooth,-71
58.317,Bluetooth,-70
58.317,Bluetooth,127
58.376,Bluetooth,-73
58.377,Bluetooth,-74
58.412,Bluetooth,-71
58.414,Bluetooth,-71
58.442,Bluetooth,-71
58.443,Bluetooth,127
58.472,Bluetooth,-72
58.473,Bluetooth,-74
58.503,Bluetooth,-71
58.505,Bluetooth,-73
58.533,Bluetooth,-72
58.534,Bluetooth,-71
58.567,Bluetooth,-71
58.568,Bluetooth,127
58.600,Bluetooth,-74
58.601,Bluetooth,-73
58.634,Bluetooth,-71
58.635,Bluetooth,-71
58.664,Bluetooth,-72
58.665,Bluetooth,-72
58.695,Bluetooth,-72
58.697,Bluetooth,127
58.726,Bluetooth,-73
58.727,Bluetooth,-74
58.758,Bluetooth,-72
58.759,Bluetooth,-72
58.788,Bluetooth,-71
58.789,Bluetooth,-73
58.818,Bluetooth,-73
58.819,Bluetooth,127
58.850,Bluetooth,-73
58.851,Bluetooth,-73
58.883,Bluetooth,-71
58.884,Bluetooth,-73
58.916,Bluetooth,-73
58.917,Bluetooth,127
58.981,Bluetooth,-72
58.982,Bluetooth,-72
59.013,Bluetooth,-72
59.014,Bluetooth,-71
59.047,Bluetooth,-74
59.049,Bluetooth,128
59.076,Bluetooth,-70
59.077,Bluetooth,-73
59.106,Bluetooth,-73
59.107,Bluetooth,-75
59.166,Bluetooth,-72
59.167,Bluetooth,127
59.198,Bluetooth,-69
59.200,Bluetooth,-70
59.231,Bluetooth,-71
59.233,Bluetooth,-70
59.265,Bluetooth,-70
59.266,Bluetooth,-72
59.423,Bluetooth,-74
59.424,Bluetooth,127
59.486,Bluetooth,127
59.578,Bluetooth,-67
59.580,Bluetooth,-67
59.613,Bluetooth,-72
59.614,Bluetooth,-70
59.643,Bluetooth,-73
59.645,Bluetooth,127
59.672,Bluetooth,-69
59.673,Bluetooth,-71
59.707,Bluetooth,-70
59.708,Bluetooth,-70
59.741,Bluetooth,-72
59.743,Bluetooth,-70
59.771,Bluetooth,-72
59.772,Bluetooth,127
59.801,Bluetooth,-69
59.802,Bluetooth,-69
59.835,Bluetooth,-71
59.836,Bluetooth,-71
59.904,Bluetooth,-71
59.905,Bluetooth,127
59.933,Bluetooth,-70
59.934,Bluetooth,-70
59.964,Bluetooth,-71
59.965,Bluetooth,-71
59.997,Bluetooth,-70
59.998,Bluetooth,127
60.056,Bluetooth,-69
60.057,Bluetooth,-69
60.086,Bluetooth,-71
60.087,Bluetooth,-71
60.117,Bluetooth,-72
60.118,Bluetooth,128
60.178,Bluetooth,-68
60.181,Bluetooth,-70
60.210,Bluetooth,-69
60.212,Bluetooth,-70
60.300,Bluetooth,-68
60.301,Bluetooth,-69
60.331,Bluetooth,-69
60.333,Bluetooth,-70
60.364,Bluetooth,-71
60.366,Bluetooth,126
60.396,Bluetooth,-68
60.397,Bluetooth,-70
60.463,Bluetooth,-68
60.464,Bluetooth,-69
60.497,Bluetooth,-70
60.499,Bluetooth,127
60.530,Bluetooth,-67
60.531,Bluetooth,-70
60.565,Bluetooth,-69
60.566,Bluetooth,-68
60.595,Bluetooth,-72
60.597,Bluetooth,127
60.626,Bluetooth,-71
60.627,Bluetooth,126
60.657,Bluetooth,-69
60.658,Bluetooth,-70
60.723,Bluetooth,-70
60.724,Bluetooth,127
60.751,Bluetooth,-68
60.752,Bluetooth,-70
60.782,Bluetooth,-70
60.783,Bluetooth,-72
60.817,Bluetooth,-68
60.818,Bluetooth,-69
60.880,Bluetooth,-70
60.881,Bluetooth,-72
60.910,Bluetooth,-70
60.911,Bluetooth,-70
60.940,Bluetooth,-69
60.941,Bluetooth,-70
60.971,Bluetooth,-72
60.972,Bluetooth,-72
61.001,Bluetooth,-72
61.002,Bluetooth,-72
61.031,Bluetooth,-70
61.033,Bluetooth,-71
61.065,Bluetooth,-71
61.066,Bluetooth,-72
61.096,Bluetooth,-72
61.097,Bluetooth,-73
61.125,Bluetooth,-73
61.127,Bluetooth,-74
61.159,Bluetooth,-72
61.160,Bluetooth,-71
61.345,Bluetooth,-71
61.347,Bluetooth,127
61.374,Bluetooth,-74
61.375,Bluetooth,-73
61.405,Bluetooth,-70
61.406,Bluetooth,-71
61.438,Bluetooth,-72
61.440,Bluetooth,-72
61.472,Bluetooth,-75
61.473,Bluetooth,-75
61.502,Bluetooth,-76
61.503,Bluetooth,-76
61.566,Bluetooth,-72
61.567,Bluetooth,-72
61.591,Bluetooth,-75
61.592,Bluetooth,-75
61.626,Bluetooth,-74
61.627,Bluetooth,-74
61.658,Bluetooth,-71
61.659,Bluetooth,-71
61.692,Bluetooth,-73
61.693,Bluetooth,127
61.723,Bluetooth,-74
61.724,Bluetooth,-73
61.756,Bluetooth,-72
61.757,Bluetooth,-72
61.821,Bluetooth,-73
61.822,Bluetooth,127
61.852,Bluetooth,-73
61.853,Bluetooth,-74
61.884,Bluetooth,-71
61.896,Bluetooth,-71
61.913,Bluetooth,-72
61.916,Bluetooth,-74
160.899,Bluetooth,-70
160.900,Bluetooth,-70
160.927,Bluetooth,-66
160.928,Bluetooth,-67
160.961,Bluetooth,-67
160.962,Bluetooth,-67
160.990,Bluetooth,-68
160.992,Bluetooth,-68
161.024,Bluetooth,-68
161.025,Bluetooth,-70
161.059,Bluetooth,-65
161.060,Bluetooth,-67
161.094,Bluetooth,-67
161.095,Bluetooth,-68
161.124,Bluetooth,-69
161.125,Bluetooth,-70
161.189,Bluetooth,-66
161.190,Bluetooth,-67
161.223,Bluetooth,-68
161.224,Bluetooth,-68
161.258,Bluetooth,-69
161.259,Bluetooth,-69
161.287,Bluetooth,-65
161.288,Bluetooth,-67
161.322,Bluetooth,-68
161.323,Bluetooth,-68
161.354,Bluetooth,-68
161.356,Bluetooth,-67
161.389,Bluetooth,-69
161.391,Bluetooth,-67
161.418,Bluetooth,-65
161.420,Bluetooth,-67
161.452,Bluetooth,-68
161.453,Bluetooth,-68
161.483,Bluetooth,-69
161.484,Bluetooth,-69
161.549,Bluetooth,-65
161.550,Bluetooth,-67
161.580,Bluetooth,-67
161.581,Bluetooth,-67
161.867,Bluetooth,-70
161.869,Bluetooth,-69
161.895,Bluetooth,-64
161.895,Bluetooth,-67
161.926,Bluetooth,-68
161.926,Bluetooth,-68
161.961,Bluetooth,-68
161.962,Bluetooth,-70
161.992,Bluetooth,-70
161.993,Bluetooth,-69
162.024,Bluetooth,-66
162.026,Bluetooth,-68
162.055,Bluetooth,-67
162.056,Bluetooth,-68
162.090,Bluetooth,-69
162.091,Bluetooth,-69
162.249,Bluetooth,-65
162.250,Bluetooth,-67
162.282,Bluetooth,-68
