Distance,10.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-61
0.039,Bluetooth,-52
0.040,Bluetooth,-53
0.071,Bluetooth,-53
0.105,Bluetooth,-53
0.106,Bluetooth,-53
0.177,Bluetooth,-60
0.177,Bluetooth,-61
0.216,Bluetooth,-54
0.217,Bluetooth,-53
0.250,Bluetooth,-60
0.250,Bluetooth,-60
0.328,Bluetooth,-54
0.328,Bluetooth,-53
0.368,Bluetooth,-61
0.405,Bluetooth,-53
0.406,Bluetooth,-54
0.511,Bluetooth,-54
0.541,Bluetooth,-60
0.542,Bluetooth,-61
0.607,Bluetooth,-63
0.608,Bluetooth,-63
0.718,Bluetooth,-60
0.719,Bluetooth,-61
0.755,Bluetooth,-63
0.756,Bluetooth,-64
0.821,Bluetooth,-54
0.822,Bluetooth,-53
0.853,Bluetooth,-61
0.854,Bluetooth,-61
0.921,Bluetooth,-54
0.922,Bluetooth,-54
0.958,Bluetooth,-54
0.993,Bluetooth,-54
0.994,Bluetooth,-54
1.023,Bluetooth,-60
1.024,Bluetooth,-60
1.057,Bluetooth,-62
1.058,Bluetooth,-62
1.118,Bluetooth,-61
1.119,Bluetooth,-60
1.153,Bluetooth,-54
1.154,Bluetooth,-54
1.187,Bluetooth,-59
1.188,Bluetooth,-59
1.263,Bluetooth,-58
1.300,Bluetooth,-59
1.300,Bluetooth,-60
1.340,Bluetooth,-52
1.341,Bluetooth,-53
1.374,Bluetooth,-58
1.375,Bluetooth,-58
1.405,Bluetooth,-60
1.405,Bluetooth,-60
1.438,Bluetooth,-53
1.439,Bluetooth,-53
1.543,Bluetooth,-60
1.580,Bluetooth,-58
1.581,Bluetooth,-59
1.619,Bluetooth,-53
1.620,Bluetooth,-53
1.939,Bluetooth,-55
1.939,Bluetooth,-54
1.975,Bluetooth,-57
1.976,Bluetooth,-57
2.009,Bluetooth,-59
2.009,Bluetooth,-60
2.047,Bluetooth,-56
2.048,Bluetooth,-54
2.087,Bluetooth,-57
2.088,Bluetooth,-58
2.124,Bluetooth,-59
2.125,Bluetooth,-59
2.159,Bluetooth,-57
2.229,Bluetooth,-56
2.230,Bluetooth,-57
2.264,Bluetooth,-57
2.265,Bluetooth,-56
2.295,Bluetooth,-59
2.296,Bluetooth,-60
2.401,Bluetooth,-55
2.402,Bluetooth,-55
2.438,Bluetooth,-57
2.439,Bluetooth,-58
2.469,Bluetooth,-59
2.542,Bluetooth,-59
2.543,Bluetooth,-60
2.578,Bluetooth,-53
2.579,Bluetooth,-54
2.609,Bluetooth,-57
2.610,Bluetooth,-57
2.645,Bluetooth,-61
2.646,Bluetooth,-60
2.677,Bluetooth,-54
2.678,Bluetooth,-55
2.750,Bluetooth,-56
2.785,Bluetooth,-56
2.785,Bluetooth,-56
2.821,Bluetooth,-60
2.822,Bluetooth,-61
2.947,Bluetooth,-58
2.948,Bluetooth,-59
2.980,Bluetooth,-55
2.981,Bluetooth,-55
3.019,Bluetooth,-57
3.020,Bluetooth,-57
3.053,Bluetooth,-57
3.088,Bluetooth,-58
3.089,Bluetooth,-57
3.127,Bluetooth,-60
3.128,Bluetooth,-59
3.157,Bluetooth,-59
3.158,Bluetooth,-57
3.223,Bluetooth,-60
3.224,Bluetooth,-61
3.262,Bluetooth,-59
3.263,Bluetooth,-59
3.299,Bluetooth,-63
3.300,Bluetooth,-62
3.335,Bluetooth,-58
3.336,Bluetooth,-58
3.371,Bluetooth,-60
3.484,Bluetooth,-58
3.484,Bluetooth,-57
3.524,Bluetooth,-63
3.525,Bluetooth,-63
3.599,Bluetooth,-61
3.600,Bluetooth,-61
3.665,Bluetooth,-63
3.729,Bluetooth,-59
3.730,Bluetooth,-60
3.896,Bluetooth,-58
3.897,Bluetooth,-57
109.277,Bluetooth,-56
109.317,Bluetooth,-52
109.318,Bluetooth,-52
109.388,Bluetooth,-56
109.389,Bluetooth,-57
109.423,Bluetooth,-58
109.424,Bluetooth,-57
109.571,Bluetooth,-51
109.572,Bluetooth,-52
109.605,Bluetooth,-56
109.606,Bluetooth,-56
109.643,Bluetooth,-57
109.644,Bluetooth,-56
109.676,Bluetooth,-53
109.678,Bluetooth,-53
109.707,Bluetooth,-52
109.708,Bluetooth,-54
109.743,Bluetooth,-56
109.744,Bluetooth,-56
109.769,Bluetooth,-58
109.770,Bluetooth,-58
109.809,Bluetooth,-53
109.810,Bluetooth,-51
109.948,Bluetooth,-59
109.949,Bluetooth,-59
109.982,Bluetooth,-52
109.983,Bluetooth,-51
110.019,Bluetooth,-56
110.020,Bluetooth,-55
110.050,Bluetooth,-56
110.051,Bluetooth,-54
110.125,Bluetooth,-53
110.127,Bluetooth,-51
110.161,Bluetooth,-60
110.335,Bluetooth,-54
110.336,Bluetooth,-55
110.367,Bluetooth,-61
110.368,Bluetooth,-61
110.431,Bluetooth,-54
110.431,Bluetooth,-53
110.465,Bluetooth,-62
110.499,Bluetooth,-54
110.500,Bluetooth,-55
110.532,Bluetooth,-62
110.533,Bluetooth,-62
110.574,Bluetooth,-53
110.575,Bluetooth,-53
110.650,Bluetooth,-62
110.651,Bluetooth,-62
110.686,Bluetooth,-53
110.687,Bluetooth,-53
110.765,Bluetooth,-53
110.802,Bluetooth,-54
110.803,Bluetooth,-54
110.841,Bluetooth,-62
110.842,Bluetooth,-62
110.879,Bluetooth,-54
110.880,Bluetooth,-54
110.917,Bluetooth,-54
110.918,Bluetooth,-53
110.953,Bluetooth,-62
110.954,Bluetooth,-63
110.991,Bluetooth,-53
110.992,Bluetooth,-53
111.030,Bluetooth,-53
111.031,Bluetooth,-55
111.063,Bluetooth,-53
111.100,Bluetooth,-52
111.101,Bluetooth,-54
111.136,Bluetooth,-63
111.205,Bluetooth,-53
111.206,Bluetooth,-54
111.315,Bluetooth,-55
111.315,Bluetooth,-56
111.343,Bluetooth,-66
111.383,Bluetooth,-55
111.384,Bluetooth,-55
111.523,Bluetooth,-54
111.524,Bluetooth,-53
111.653,Bluetooth,-51
111.685,Bluetooth,-55
111.686,Bluetooth,-54
111.725,Bluetooth,-57
111.726,Bluetooth,-57
111.762,Bluetooth,-53
111.763,Bluetooth,-53
111.797,Bluetooth,-53
111.798,Bluetooth,-54
111.869,Bluetooth,-56
111.870,Bluetooth,-57
111.904,Bluetooth,-55
111.906,Bluetooth,-54
111.942,Bluetooth,-54
111.981,Bluetooth,-53
