Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-58
0.001,Bluetooth,-57
0.100,Bluetooth,-59
0.134,Bluetooth,-59
0.135,Bluetooth,-59
0.206,Bluetooth,-62
0.207,Bluetooth,-62
0.244,Bluetooth,-54
0.245,Bluetooth,-54
0.348,Bluetooth,-54
0.388,Bluetooth,-62
0.389,Bluetooth,-62
0.480,Bluetooth,-66
0.481,Bluetooth,-67
0.511,Bluetooth,-60
0.512,Bluetooth,-60
0.543,Bluetooth,-58
0.545,Bluetooth,-57
0.576,Bluetooth,-52
0.578,Bluetooth,-52
0.702,Bluetooth,-51
0.703,Bluetooth,-51
0.732,Bluetooth,-51
0.733,Bluetooth,-52
0.766,Bluetooth,-48
0.767,Bluetooth,-50
0.805,Bluetooth,-56
0.948,Bluetooth,-51
0.949,Bluetooth,-49
0.985,Bluetooth,-51
0.986,Bluetooth,-52
1.015,Bluetooth,-57
1.016,Bluetooth,-57
1.046,Bluetooth,-54
1.047,Bluetooth,-54
1.074,Bluetooth,-73
1.075,Bluetooth,-72
1.148,Bluetooth,-57
1.149,Bluetooth,-57
1.181,Bluetooth,-61
1.181,Bluetooth,-61
1.326,Bluetooth,-63
1.327,Bluetooth,-63
1.366,Bluetooth,-63
1.367,Bluetooth,-63
1.407,Bluetooth,-67
1.409,Bluetooth,-67
1.477,Bluetooth,-70
1.478,Bluetooth,-70
1.514,Bluetooth,-68
1.515,Bluetooth,-68
1.547,Bluetooth,-62
1.548,Bluetooth,-62
1.584,Bluetooth,-66
1.585,Bluetooth,-67
1.615,Bluetooth,-69
1.616,Bluetooth,-69
1.687,Bluetooth,-63
1.688,Bluetooth,-64
1.723,Bluetooth,-72
1.723,Bluetooth,-72
1.801,Bluetooth,-64
1.802,Bluetooth,-65
1.837,Bluetooth,-69
1.838,Bluetooth,-67
1.875,Bluetooth,-64
1.876,Bluetooth,-65
1.913,Bluetooth,-70
1.914,Bluetooth,-70
1.946,Bluetooth,-68
1.947,Bluetooth,-69
1.980,Bluetooth,-63
2.013,Bluetooth,-61
2.014,Bluetooth,-62
2.046,Bluetooth,-63
2.048,Bluetooth,-63
2.084,Bluetooth,-71
2.115,Bluetooth,-63
2.116,Bluetooth,-63
2.151,Bluetooth,-62
2.249,Bluetooth,-63
2.249,Bluetooth,-62
2.286,Bluetooth,-66
2.287,Bluetooth,-65
2.318,Bluetooth,-70
2.319,Bluetooth,-70
2.352,Bluetooth,-65
2.353,Bluetooth,-65
2.388,Bluetooth,-66
2.389,Bluetooth,-66
2.426,Bluetooth,-67
2.427,Bluetooth,-65
2.502,Bluetooth,-63
2.503,Bluetooth,-62
2.610,Bluetooth,-61
2.611,Bluetooth,-62
2.640,Bluetooth,-68
2.641,Bluetooth,-67
2.712,Bluetooth,-61
2.713,Bluetooth,-62
2.741,Bluetooth,-68
2.742,Bluetooth,-68
2.771,Bluetooth,-68
2.771,Bluetooth,-66
2.802,Bluetooth,-67
2.803,Bluetooth,-66
2.837,Bluetooth,-63
2.838,Bluetooth,-63
2.868,Bluetooth,-77
2.899,Bluetooth,-62
2.900,Bluetooth,-62
2.931,Bluetooth,-64
2.932,Bluetooth,-64
3.001,Bluetooth,-70
3.002,Bluetooth,-72
3.042,Bluetooth,-66
3.043,Bluetooth,-66
3.076,Bluetooth,-63
3.077,Bluetooth,-63
3.109,Bluetooth,-67
3.110,Bluetooth,-67
3.146,Bluetooth,-75
3.147,Bluetooth,-74
3.178,Bluetooth,-63
3.179,Bluetooth,-63
3.211,Bluetooth,-60
3.212,Bluetooth,-60
3.250,Bluetooth,-62
3.251,Bluetooth,-64
3.289,Bluetooth,-71
3.290,Bluetooth,-72
3.326,Bluetooth,-61
3.327,Bluetooth,-61
3.358,Bluetooth,-64
3.359,Bluetooth,-65
3.436,Bluetooth,-60
3.437,Bluetooth,-60
3.474,Bluetooth,-62
3.475,Bluetooth,-62
3.553,Bluetooth,-61
3.554,Bluetooth,-62
3.584,Bluetooth,-62
3.585,Bluetooth,-63
3.619,Bluetooth,-71
3.620,Bluetooth,-70
3.650,Bluetooth,-72
3.650,Bluetooth,-72
3.689,Bluetooth,-66
3.690,Bluetooth,-65
3.725,Bluetooth,-62
3.727,Bluetooth,-63
3.757,Bluetooth,-71
3.758,Bluetooth,-72
3.789,Bluetooth,-64
3.862,Bluetooth,-70
3.863,Bluetooth,-70
3.893,Bluetooth,-70
3.894,Bluetooth,-71
3.934,Bluetooth,-63
3.935,Bluetooth,-64
3.963,Bluetooth,-64
3.964,Bluetooth,-62
3.994,Bluetooth,-69
3.995,Bluetooth,-69
77.985,Bluetooth,-56
77.987,Bluetooth,-56
78.017,Bluetooth,-63
78.019,Bluetooth,-63
78.051,Bluetooth,-64
78.052,Bluetooth,-63
78.092,Bluetooth,-58
78.093,Bluetooth,-57
78.273,Bluetooth,-56
78.274,Bluetooth,-57
78.305,Bluetooth,-56
