Distance,10.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-60
0.037,Bluetooth,-60
0.038,Bluetooth,-58
0.076,Bluetooth,-53
0.077,Bluetooth,-52
0.396,Bluetooth,-54
0.396,Bluetooth,-54
0.432,Bluetooth,-57
0.433,Bluetooth,-57
0.466,Bluetooth,-59
0.466,Bluetooth,-59
0.504,Bluetooth,-55
0.505,Bluetooth,-54
0.544,Bluetooth,-57
0.545,Bluetooth,-57
0.581,Bluetooth,-59
0.582,Bluetooth,-59
0.616,Bluetooth,-58
0.686,Bluetooth,-56
0.687,Bluetooth,-56
0.721,Bluetooth,-58
0.722,Bluetooth,-58
0.752,Bluetooth,-58
0.753,Bluetooth,-59
0.858,Bluetooth,-55
0.859,Bluetooth,-56
0.895,Bluetooth,-57
0.896,Bluetooth,-57
0.926,Bluetooth,-59
0.999,Bluetooth,-59
1.000,Bluetooth,-59
1.035,Bluetooth,-54
1.036,Bluetooth,-54
1.066,Bluetooth,-57
1.067,Bluetooth,-57
1.102,Bluetooth,-61
1.103,Bluetooth,-60
1.134,Bluetooth,-55
1.135,Bluetooth,-55
1.207,Bluetooth,-55
1.242,Bluetooth,-56
1.242,Bluetooth,-56
1.278,Bluetooth,-60
1.279,Bluetooth,-61
1.404,Bluetooth,-58
1.405,Bluetooth,-58
1.437,Bluetooth,-55
1.438,Bluetooth,-54
1.476,Bluetooth,-57
1.477,Bluetooth,-57
1.510,Bluetooth,-57
1.545,Bluetooth,-58
1.546,Bluetooth,-57
1.584,Bluetooth,-60
1.585,Bluetooth,-59
1.614,Bluetooth,-58
1.615,Bluetooth,-57
1.680,Bluetooth,-60
1.681,Bluetooth,-60
1.719,Bluetooth,-59
1.720,Bluetooth,-60
1.756,Bluetooth,-63
1.757,Bluetooth,-62
1.792,Bluetooth,-57
1.793,Bluetooth,-58
1.828,Bluetooth,-61
1.941,Bluetooth,-57
1.941,Bluetooth,-57
1.981,Bluetooth,-63
1.982,Bluetooth,-63
2.056,Bluetooth,-61
2.057,Bluetooth,-61
2.122,Bluetooth,-63
2.186,Bluetooth,-60
2.187,Bluetooth,-59
2.353,Bluetooth,-58
2.354,Bluetooth,-58
2.452,Bluetooth,-57
2.453,Bluetooth,-57
2.490,Bluetooth,-59
2.491,Bluetooth,-60
2.526,Bluetooth,-62
2.527,Bluetooth,-62
2.559,Bluetooth,-58
2.560,Bluetooth,-58
2.601,Bluetooth,-64
2.602,Bluetooth,-63
2.740,Bluetooth,-60
2.741,Bluetooth,-60
2.784,Bluetooth,-58
2.785,Bluetooth,-57
2.814,Bluetooth,-67
2.815,Bluetooth,-68
2.879,Bluetooth,-65
2.879,Bluetooth,-64
2.915,Bluetooth,-58
2.916,Bluetooth,-58
2.955,Bluetooth,-61
2.956,Bluetooth,-61
2.990,Bluetooth,-63
2.991,Bluetooth,-63
3.024,Bluetooth,-60
3.101,Bluetooth,-60
3.103,Bluetooth,-61
3.135,Bluetooth,-61
3.136,Bluetooth,-61
3.163,Bluetooth,-61
3.164,Bluetooth,-60
3.204,Bluetooth,-58
3.205,Bluetooth,-58
3.273,Bluetooth,-61
3.274,Bluetooth,-61
3.315,Bluetooth,-60
3.352,Bluetooth,-61
3.353,Bluetooth,-61
3.421,Bluetooth,-55
3.422,Bluetooth,-55
3.461,Bluetooth,-60
3.461,Bluetooth,-60
3.491,Bluetooth,-57
3.492,Bluetooth,-59
3.522,Bluetooth,-53
3.523,Bluetooth,-53
3.628,Bluetooth,-60
3.662,Bluetooth,-58
3.663,Bluetooth,-61
3.703,Bluetooth,-57
3.704,Bluetooth,-57
3.767,Bluetooth,-61
3.768,Bluetooth,-62
3.875,Bluetooth,-61
3.876,Bluetooth,-60
3.906,Bluetooth,-57
106.118,Bluetooth,-51
