Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.080,Bluetooth,-73
0.111,Bluetooth,-72
0.113,Bluetooth,-73
0.140,Bluetooth,-63
0.179,Bluetooth,-73
0.181,Bluetooth,-72
0.279,Bluetooth,-63
0.349,Bluetooth,-63
0.351,Bluetooth,-63
0.387,Bluetooth,-62
0.455,Bluetooth,-61
0.457,Bluetooth,-62
0.495,Bluetooth,-60
0.497,Bluetooth,-61
0.531,Bluetooth,-72
0.534,Bluetooth,-72
0.597,Bluetooth,-61
0.599,Bluetooth,-61
0.627,Bluetooth,-60
0.629,Bluetooth,-61
0.707,Bluetooth,-66
0.709,Bluetooth,-66
0.778,Bluetooth,-62
0.780,Bluetooth,-63
0.806,Bluetooth,-62
0.808,Bluetooth,-62
0.840,Bluetooth,-62
0.842,Bluetooth,-62
0.878,Bluetooth,-61
0.880,Bluetooth,-60
0.905,Bluetooth,-62
0.948,Bluetooth,-60
0.950,Bluetooth,-59
0.987,Bluetooth,-61
1.023,Bluetooth,-57
1.025,Bluetooth,-58
1.061,Bluetooth,-61
1.062,Bluetooth,-61
1.095,Bluetooth,-66
1.097,Bluetooth,-66
1.135,Bluetooth,-57
1.137,Bluetooth,-57
1.205,Bluetooth,-69
1.281,Bluetooth,-61
1.316,Bluetooth,-56
1.318,Bluetooth,-57
1.418,Bluetooth,-59
1.420,Bluetooth,-58
1.482,Bluetooth,-63
1.484,Bluetooth,-63
1.514,Bluetooth,-64
1.516,Bluetooth,-65
1.550,Bluetooth,-59
1.552,Bluetooth,-60
1.587,Bluetooth,-63
1.654,Bluetooth,-60
1.693,Bluetooth,-62
1.694,Bluetooth,-63
1.792,Bluetooth,-62
1.794,Bluetooth,-62
1.823,Bluetooth,-58
1.825,Bluetooth,-58
1.852,Bluetooth,-60
1.854,Bluetooth,-61
1.891,Bluetooth,-63
1.922,Bluetooth,-63
1.924,Bluetooth,-62
1.958,Bluetooth,-63
1.959,Bluetooth,-62
2.019,Bluetooth,-62
2.021,Bluetooth,-62
2.127,Bluetooth,-57
2.160,Bluetooth,-66
2.163,Bluetooth,-64
2.224,Bluetooth,-63
2.226,Bluetooth,-63
2.296,Bluetooth,-56
2.299,Bluetooth,-57
2.328,Bluetooth,-63
2.330,Bluetooth,-62
2.366,Bluetooth,-61
2.369,Bluetooth,-61
2.472,Bluetooth,-61
2.509,Bluetooth,-61
2.512,Bluetooth,-60
2.543,Bluetooth,-60
2.545,Bluetooth,-60
2.682,Bluetooth,-59
2.684,Bluetooth,-59
2.722,Bluetooth,-56
2.724,Bluetooth,-55
2.754,Bluetooth,-62
2.756,Bluetooth,-62
2.795,Bluetooth,-59
2.983,Bluetooth,-57
3.022,Bluetooth,-56
3.024,Bluetooth,-56
3.055,Bluetooth,-56
3.057,Bluetooth,-56
3.091,Bluetooth,-56
3.130,Bluetooth,-57
3.132,Bluetooth,-56
3.168,Bluetooth,-64
3.170,Bluetooth,-65
3.201,Bluetooth,-59
3.202,Bluetooth,-60
3.267,Bluetooth,-62
3.269,Bluetooth,-64
3.306,Bluetooth,-60
3.308,Bluetooth,-60
3.346,Bluetooth,-58
3.348,Bluetooth,-58
3.382,Bluetooth,-69
3.420,Bluetooth,-59
3.422,Bluetooth,-58
3.455,Bluetooth,-67
3.457,Bluetooth,-69
3.552,Bluetooth,-61
3.554,Bluetooth,-61
3.585,Bluetooth,-70
3.587,Bluetooth,-70
3.617,Bluetooth,-60
3.690,Bluetooth,-60
3.756,Bluetooth,-69
3.759,Bluetooth,-70
3.790,Bluetooth,-60
3.792,Bluetooth,-61
3.823,Bluetooth,-57
3.826,Bluetooth,-59
3.861,Bluetooth,-68
3.863,Bluetooth,-67
3.967,Bluetooth,-56
93.464,Bluetooth,-66
93.466,Bluetooth,-65
93.494,Bluetooth,-66
93.559,Bluetooth,-66
93.625,Bluetooth,-66
93.627,Bluetooth,-65
93.687,Bluetooth,-68
93.721,Bluetooth,-69
93.723,Bluetooth,-68
93.756,Bluetooth,-66
93.758,Bluetooth,-66
93.793,Bluetooth,-67
93.796,Bluetooth,-67
93.868,Bluetooth,-68
93.870,Bluetooth,-67
93.902,Bluetooth,-68
93.904,Bluetooth,-67
93.936,Bluetooth,-66
93.938,Bluetooth,-67
93.970,Bluetooth,-68
94.002,Bluetooth,-69
94.005,Bluetooth,-69
94.154,Bluetooth,-71
94.156,Bluetooth,-72
94.185,Bluetooth,-68
94.187,Bluetooth,-67
94.223,Bluetooth,-73
94.258,Bluetooth,-69
94.260,Bluetooth,-70
94.296,Bluetooth,-72
94.398,Bluetooth,-70
94.400,Bluetooth,-71
94.433,Bluetooth,-68
94.467,Bluetooth,-81
94.469,Bluetooth,-80
94.500,Bluetooth,-68
94.502,Bluetooth,-68
94.541,Bluetooth,-67
94.578,Bluetooth,-67
94.614,Bluetooth,-67
94.652,Bluetooth,-71
94.654,Bluetooth,-71
94.690,Bluetooth,-69
94.692,Bluetooth,-69
94.724,Bluetooth,-68
94.726,Bluetooth,-68
94.789,Bluetooth,-68
94.791,Bluetooth,-68
94.820,Bluetooth,-71
94.822,Bluetooth,-71
94.857,Bluetooth,-70
94.859,Bluetooth,-68
94.891,Bluetooth,-67
94.964,Bluetooth,-68
94.966,Bluetooth,-68
94.993,Bluetooth,-80
94.995,Bluetooth,-80
95.237,Bluetooth,-76
95.239,Bluetooth,-77
95.341,Bluetooth,-79
95.343,Bluetooth,-79
95.392,Bluetooth,-78
95.394,Bluetooth,-78
95.489,Bluetooth,-86
95.524,Bluetooth,-86
95.525,Bluetooth,-87
95.557,Bluetooth,-71
95.559,Bluetooth,-70
95.596,Bluetooth,-80
95.598,Bluetooth,-79
95.637,Bluetooth,-85
95.673,Bluetooth,-70
95.675,Bluetooth,-71
95.713,Bluetooth,-82
95.715,Bluetooth,-84
95.744,Bluetooth,-82
95.745,Bluetooth,-82
95.786,Bluetooth,-71
95.819,Bluetooth,-79
95.820,Bluetooth,-79
95.928,Bluetooth,-79
95.963,Bluetooth,-71
95.965,Bluetooth,-71
96.025,Bluetooth,-86
96.026,Bluetooth,-87
96.100,Bluetooth,-83
96.103,Bluetooth,-83
96.199,Bluetooth,-81
96.201,Bluetooth,-82
96.238,Bluetooth,-82
96.241,Bluetooth,-82
96.272,Bluetooth,-72
