Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-58
0.002,Bluetooth,-58
0.040,Bluetooth,-59
0.042,Bluetooth,-59
0.070,Bluetooth,-57
0.072,Bluetooth,-58
0.138,Bluetooth,-57
0.140,Bluetooth,-58
0.194,Bluetooth,-58
0.197,Bluetooth,-58
0.238,Bluetooth,-57
0.240,Bluetooth,-57
0.306,Bluetooth,-58
0.309,Bluetooth,-59
0.336,Bluetooth,-58
0.374,Bluetooth,-58
0.409,Bluetooth,-59
0.411,Bluetooth,-58
0.447,Bluetooth,-59
0.449,Bluetooth,-60
0.479,Bluetooth,-59
0.481,Bluetooth,-59
0.514,Bluetooth,-58
0.516,Bluetooth,-59
0.545,Bluetooth,-59
0.547,Bluetooth,-60
0.615,Bluetooth,-60
0.616,Bluetooth,-60
0.648,Bluetooth,-58
0.650,Bluetooth,-57
0.753,Bluetooth,-58
0.755,Bluetooth,-60
0.790,Bluetooth,-60
0.792,Bluetooth,-59
0.823,Bluetooth,-58
0.825,Bluetooth,-57
0.858,Bluetooth,-60
0.860,Bluetooth,-58
0.893,Bluetooth,-59
0.896,Bluetooth,-58
0.968,Bluetooth,-58
1.005,Bluetooth,-59
1.008,Bluetooth,-58
1.082,Bluetooth,-59
1.110,Bluetooth,-57
1.111,Bluetooth,-59
1.148,Bluetooth,-59
1.148,Bluetooth,-59
1.187,Bluetooth,-59
1.188,Bluetooth,-59
1.258,Bluetooth,-58
1.365,Bluetooth,-59
1.367,Bluetooth,-59
1.397,Bluetooth,-60
1.400,Bluetooth,-60
1.542,Bluetooth,-60
1.544,Bluetooth,-60
1.578,Bluetooth,-60
1.610,Bluetooth,-57
1.611,Bluetooth,-57
1.643,Bluetooth,-60
1.646,Bluetooth,-60
1.678,Bluetooth,-60
1.680,Bluetooth,-61
1.707,Bluetooth,-58
1.709,Bluetooth,-58
1.872,Bluetooth,-58
1.902,Bluetooth,-58
1.904,Bluetooth,-57
1.941,Bluetooth,-60
1.943,Bluetooth,-60
1.975,Bluetooth,-59
1.977,Bluetooth,-61
2.010,Bluetooth,-58
2.011,Bluetooth,-58
2.046,Bluetooth,-60
2.047,Bluetooth,-60
2.152,Bluetooth,-59
2.185,Bluetooth,-57
2.187,Bluetooth,-56
2.251,Bluetooth,-62
2.252,Bluetooth,-64
2.360,Bluetooth,-62
2.360,Bluetooth,-62
2.397,Bluetooth,-68
2.399,Bluetooth,-69
2.432,Bluetooth,-63
2.434,Bluetooth,-63
2.466,Bluetooth,-69
2.506,Bluetooth,-63
2.508,Bluetooth,-63
2.543,Bluetooth,-61
2.545,Bluetooth,-60
2.576,Bluetooth,-70
2.578,Bluetooth,-71
2.680,Bluetooth,-61
2.682,Bluetooth,-61
2.717,Bluetooth,-68
2.719,Bluetooth,-68
2.814,Bluetooth,-60
2.816,Bluetooth,-60
2.859,Bluetooth,-63
2.860,Bluetooth,-63
2.887,Bluetooth,-65
2.889,Bluetooth,-65
2.961,Bluetooth,-58
2.963,Bluetooth,-58
2.992,Bluetooth,-67
2.994,Bluetooth,-66
3.029,Bluetooth,-60
3.030,Bluetooth,-62
3.062,Bluetooth,-59
3.093,Bluetooth,-63
3.095,Bluetooth,-62
3.126,Bluetooth,-60
3.128,Bluetooth,-59
3.192,Bluetooth,-72
3.193,Bluetooth,-72
3.222,Bluetooth,-62
3.224,Bluetooth,-63
3.256,Bluetooth,-61
3.258,Bluetooth,-62
3.286,Bluetooth,-71
3.361,Bluetooth,-72
3.400,Bluetooth,-62
3.403,Bluetooth,-62
3.474,Bluetooth,-73
3.477,Bluetooth,-73
3.510,Bluetooth,-61
3.513,Bluetooth,-61
3.587,Bluetooth,-77
3.649,Bluetooth,-64
3.813,Bluetooth,-68
3.815,Bluetooth,-68
3.848,Bluetooth,-66
3.912,Bluetooth,-69
3.914,Bluetooth,-70
75.138,Bluetooth,-68
75.141,Bluetooth,-69
75.209,Bluetooth,-62
75.211,Bluetooth,-63
75.317,Bluetooth,-72
75.320,Bluetooth,-73
75.350,Bluetooth,-62
75.352,Bluetooth,-62
75.388,Bluetooth,-63
75.390,Bluetooth,-63
75.493,Bluetooth,-73
75.570,Bluetooth,-74
75.573,Bluetooth,-73
75.706,Bluetooth,-70
75.708,Bluetooth,-71
75.835,Bluetooth,-69
75.837,Bluetooth,-71
75.873,Bluetooth,-68
75.875,Bluetooth,-68
75.947,Bluetooth,-74
75.949,Bluetooth,-74
76.095,Bluetooth,-64
76.097,Bluetooth,-64
76.129,Bluetooth,-72
76.131,Bluetooth,-72
76.236,Bluetooth,-69
76.238,Bluetooth,-68
76.268,Bluetooth,-62
76.296,Bluetooth,-69
76.298,Bluetooth,-68
76.337,Bluetooth,-66
76.377,Bluetooth,-62
76.379,Bluetooth,-63
76.410,Bluetooth,-68
76.412,Bluetooth,-68
76.515,Bluetooth,-64
76.517,Bluetooth,-66
76.646,Bluetooth,-70
76.648,Bluetooth,-70
76.678,Bluetooth,-68
76.680,Bluetooth,-67
76.708,Bluetooth,-68
76.711,Bluetooth,-68
76.746,Bluetooth,-72
76.748,Bluetooth,-72
76.815,Bluetooth,-71
76.817,Bluetooth,-69
76.883,Bluetooth,-72
76.956,Bluetooth,-71
76.958,Bluetooth,-71
77.061,Bluetooth,-68
77.063,Bluetooth,-69
77.169,Bluetooth,-68
77.202,Bluetooth,-68
77.205,Bluetooth,-68
77.281,Bluetooth,-68
77.282,Bluetooth,-68
77.353,Bluetooth,-68
77.590,Bluetooth,-67
77.592,Bluetooth,-68
77.620,Bluetooth,-67
77.623,Bluetooth,-67
77.734,Bluetooth,-67
77.736,Bluetooth,-67
77.766,Bluetooth,-67
77.802,Bluetooth,-66
77.835,Bluetooth,-65
77.836,Bluetooth,-65
77.874,Bluetooth,-67
77.876,Bluetooth,-66
77.910,Bluetooth,-68
77.950,Bluetooth,-66
77.953,Bluetooth,-67
77.990,Bluetooth,-66
77.992,Bluetooth,-67
78.061,Bluetooth,-66
78.098,Bluetooth,-69
78.127,Bluetooth,-68
78.199,Bluetooth,-65
78.307,Bluetooth,-68
78.309,Bluetooth,-68
78.340,Bluetooth,-66
78.342,Bluetooth,-66
78.413,Bluetooth,-67
78.416,Bluetooth,-69
78.448,Bluetooth,-68
78.484,Bluetooth,-66
78.486,Bluetooth,-65
78.520,Bluetooth,-69
78.522,Bluetooth,-68
78.557,Bluetooth,-70
78.558,Bluetooth,-69
78.588,Bluetooth,-67
78.589,Bluetooth,-66
78.657,Bluetooth,-69
78.690,Bluetooth,-68
78.691,Bluetooth,-68
78.727,Bluetooth,-70
78.729,Bluetooth,-71
78.757,Bluetooth,-72
78.759,Bluetooth,-72
78.823,Bluetooth,-70
78.825,Bluetooth,-70
78.862,Bluetooth,-72
78.900,Bluetooth,-67
78.902,Bluetooth,-68
78.971,Bluetooth,-72
79.002,Bluetooth,-70
79.032,Bluetooth,-72
79.033,Bluetooth,-71
153.357,Bluetooth,-64
153.388,Bluetooth,-63
153.390,Bluetooth,-64
153.484,Bluetooth,-61
153.486,Bluetooth,-61
153.515,Bluetooth,-64
153.516,Bluetooth,-64
153.547,Bluetooth,-66
153.548,Bluetooth,-66
153.616,Bluetooth,-59
153.618,Bluetooth,-61
153.651,Bluetooth,-64
153.654,Bluetooth,-64
153.725,Bluetooth,-65
153.727,Bluetooth,-64
153.764,Bluetooth,-68
153.766,Bluetooth,-68
153.795,Bluetooth,-61
153.797,Bluetooth,-61
153.867,Bluetooth,-71
153.869,Bluetooth,-72
153.902,Bluetooth,-65
153.905,Bluetooth,-65
153.935,Bluetooth,-63
153.938,Bluetooth,-62
153.972,Bluetooth,-63
154.011,Bluetooth,-72
154.013,Bluetooth,-73
154.047,Bluetooth,-65
154.048,Bluetooth,-65
154.114,Bluetooth,-65
154.116,Bluetooth,-64
154.189,Bluetooth,-63
154.192,Bluetooth,-64
154.227,Bluetooth,-61
154.230,Bluetooth,-61
154.265,Bluetooth,-62
154.295,Bluetooth,-60
154.296,Bluetooth,-61
154.358,Bluetooth,-63
154.360,Bluetooth,-63
154.427,Bluetooth,-58
154.429,Bluetooth,-61
154.467,Bluetooth,-65
154.469,Bluetooth,-64
154.500,Bluetooth,-62
154.503,Bluetooth,-62
154.544,Bluetooth,-58
154.546,Bluetooth,-59
154.571,Bluetooth,-64
154.604,Bluetooth,-58
154.607,Bluetooth,-59
154.639,Bluetooth,-63
154.641,Bluetooth,-63
154.670,Bluetooth,-60
154.673,Bluetooth,-60
154.710,Bluetooth,-59
154.712,Bluetooth,-59
154.819,Bluetooth,-61
154.821,Bluetooth,-61
154.856,Bluetooth,-61
155.000,Bluetooth,-62
155.002,Bluetooth,-62
155.043,Bluetooth,-60
155.044,Bluetooth,-60
155.083,Bluetooth,-70
155.085,Bluetooth,-69
155.121,Bluetooth,-62
155.123,Bluetooth,-63
155.155,Bluetooth,-59
155.192,Bluetooth,-60
155.193,Bluetooth,-60
155.227,Bluetooth,-68
155.229,Bluetooth,-69
155.296,Bluetooth,-61
155.297,Bluetooth,-61
155.330,Bluetooth,-60
155.332,Bluetooth,-60
155.403,Bluetooth,-60
155.405,Bluetooth,-61
155.438,Bluetooth,-61
155.440,Bluetooth,-60
155.514,Bluetooth,-60
155.516,Bluetooth,-60
155.751,Bluetooth,-62
155.753,Bluetooth,-61
155.793,Bluetooth,-61
155.795,Bluetooth,-60
155.900,Bluetooth,-61
155.902,Bluetooth,-62
155.973,Bluetooth,-63
155.976,Bluetooth,-63
156.004,Bluetooth,-60
156.006,Bluetooth,-61
156.040,Bluetooth,-59
156.041,Bluetooth,-59
156.073,Bluetooth,-61
156.106,Bluetooth,-61
156.108,Bluetooth,-62
156.148,Bluetooth,-61
156.150,Bluetooth,-61
156.181,Bluetooth,-61
156.184,Bluetooth,-62
156.218,Bluetooth,-63
156.218,Bluetooth,-62
156.323,Bluetooth,-62
156.362,Bluetooth,-63
156.392,Bluetooth,-62
156.394,Bluetooth,-64
156.429,Bluetooth,-63
156.432,Bluetooth,-63
156.496,Bluetooth,-63
156.498,Bluetooth,-64
156.528,Bluetooth,-64
156.531,Bluetooth,-65
156.563,Bluetooth,-62
156.566,Bluetooth,-63
156.599,Bluetooth,-63
156.602,Bluetooth,-63
156.634,Bluetooth,-65
156.637,Bluetooth,-65
156.704,Bluetooth,-65
156.706,Bluetooth,-65
156.737,Bluetooth,-61
156.738,Bluetooth,-62
156.796,Bluetooth,-62
156.828,Bluetooth,-65
156.831,Bluetooth,-64
156.867,Bluetooth,-63
156.869,Bluetooth,-62
156.906,Bluetooth,-62
156.944,Bluetooth,-65
156.946,Bluetooth,-66
156.982,Bluetooth,-65
157.047,Bluetooth,-63
157.049,Bluetooth,-63
157.082,Bluetooth,-61
157.084,Bluetooth,-62
157.117,Bluetooth,-63
157.119,Bluetooth,-64
157.152,Bluetooth,-62
157.154,Bluetooth,-63
157.188,Bluetooth,-62
157.190,Bluetooth,-61
157.225,Bluetooth,-62
157.227,Bluetooth,-61
225.356,Bluetooth,-67
225.431,Bluetooth,-74
225.431,Bluetooth,-76
225.464,Bluetooth,-66
225.465,Bluetooth,-65
225.500,Bluetooth,-81
225.502,Bluetooth,-81
225.574,Bluetooth,-76
225.607,Bluetooth,-75
225.642,Bluetooth,-75
225.645,Bluetooth,-75
225.677,Bluetooth,-87
225.707,Bluetooth,-77
225.709,Bluetooth,-75
225.740,Bluetooth,-68
225.743,Bluetooth,-69
225.779,Bluetooth,-90
225.781,Bluetooth,-88
225.917,Bluetooth,-85
225.918,Bluetooth,-85
225.949,Bluetooth,-82
225.951,Bluetooth,-81
225.982,Bluetooth,-84
226.016,Bluetooth,-83
226.018,Bluetooth,-84
226.096,Bluetooth,-91
226.098,Bluetooth,-89
226.129,Bluetooth,-90
226.131,Bluetooth,-90
226.191,Bluetooth,-83
226.263,Bluetooth,-68
226.294,Bluetooth,-82
226.296,Bluetooth,-81
226.427,Bluetooth,-69
226.429,Bluetooth,-69
226.459,Bluetooth,-72
226.461,Bluetooth,-72
226.493,Bluetooth,-80
226.495,Bluetooth,-80
226.532,Bluetooth,-70
226.564,Bluetooth,-71
226.601,Bluetooth,-69
226.603,Bluetooth,-69
226.706,Bluetooth,-74
226.709,Bluetooth,-74
226.826,Bluetooth,-76
226.862,Bluetooth,-85
226.935,Bluetooth,-67
226.936,Bluetooth,-66
226.975,Bluetooth,-74
226.977,Bluetooth,-72
227.009,Bluetooth,-76
227.010,Bluetooth,-76
227.073,Bluetooth,-64
227.143,Bluetooth,-71
227.145,Bluetooth,-70
227.177,Bluetooth,-66
227.208,Bluetooth,-70
227.210,Bluetooth,-70
227.243,Bluetooth,-66
227.245,Bluetooth,-66
227.279,Bluetooth,-71
227.280,Bluetooth,-71
227.315,Bluetooth,-71
227.317,Bluetooth,-70
227.347,Bluetooth,-68
227.350,Bluetooth,-68
227.462,Bluetooth,-72
227.496,Bluetooth,-75
227.498,Bluetooth,-74
227.526,Bluetooth,-72
227.567,Bluetooth,-71
227.569,Bluetooth,-69
227.673,Bluetooth,-72
227.676,Bluetooth,-72
227.749,Bluetooth,-81
227.751,Bluetooth,-80
227.781,Bluetooth,-80
227.857,Bluetooth,-73
227.859,Bluetooth,-72
227.897,Bluetooth,-70
227.898,Bluetooth,-68
227.927,Bluetooth,-80
227.929,Bluetooth,-79
227.958,Bluetooth,-78
227.960,Bluetooth,-79
228.029,Bluetooth,-70
228.031,Bluetooth,-69
228.064,Bluetooth,-67
228.096,Bluetooth,-70
228.098,Bluetooth,-70
228.127,Bluetooth,-73
228.146,Bluetooth,-74
228.257,Bluetooth,-63
228.288,Bluetooth,-80
228.290,Bluetooth,-82
228.320,Bluetooth,-70
228.322,Bluetooth,-71
228.386,Bluetooth,-82
228.415,Bluetooth,-63
228.417,Bluetooth,-62
228.482,Bluetooth,-74
228.485,Bluetooth,-74
228.514,Bluetooth,-66
228.516,Bluetooth,-66
228.548,Bluetooth,-84
228.550,Bluetooth,-84
228.588,Bluetooth,-77
228.590,Bluetooth,-77
228.620,Bluetooth,-77
228.622,Bluetooth,-77
228.658,Bluetooth,-78
228.694,Bluetooth,-72
228.946,Bluetooth,-71
228.948,Bluetooth,-72
228.984,Bluetooth,-70
229.052,Bluetooth,-85
229.055,Bluetooth,-86
229.089,Bluetooth,-82
229.091,Bluetooth,-81
