Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-66
0.001,Bluetooth,-66
0.036,Bluetooth,-62
0.037,Bluetooth,-59
0.140,Bluetooth,-64
0.141,Bluetooth,-54
0.180,Bluetooth,-53
0.181,Bluetooth,-54
0.211,Bluetooth,-51
0.249,Bluetooth,-55
0.250,Bluetooth,-55
0.364,Bluetooth,-50
0.365,Bluetooth,-50
0.392,Bluetooth,-48
0.393,Bluetooth,-49
0.426,Bluetooth,-61
0.427,Bluetooth,-62
0.494,Bluetooth,-51
0.495,Bluetooth,-51
0.528,Bluetooth,-53
0.529,Bluetooth,-51
0.606,Bluetooth,-51
0.607,Bluetooth,-51
0.638,Bluetooth,-51
0.639,Bluetooth,-51
0.678,Bluetooth,-51
0.679,Bluetooth,-51
0.747,Bluetooth,-52
0.748,Bluetooth,-50
0.812,Bluetooth,-50
0.813,Bluetooth,-50
0.885,Bluetooth,-48
0.947,Bluetooth,-49
0.948,Bluetooth,-50
1.086,Bluetooth,-50
1.087,Bluetooth,-50
1.157,Bluetooth,-49
1.158,Bluetooth,-48
1.195,Bluetooth,-51
1.196,Bluetooth,-51
1.344,Bluetooth,-49
1.346,Bluetooth,-51
1.377,Bluetooth,-70
1.378,Bluetooth,-70
1.447,Bluetooth,-54
1.448,Bluetooth,-54
1.603,Bluetooth,-55
1.604,Bluetooth,-55
1.637,Bluetooth,-69
1.638,Bluetooth,-68
1.672,Bluetooth,-57
1.673,Bluetooth,-56
1.745,Bluetooth,-62
1.746,Bluetooth,-62
1.844,Bluetooth,-54
1.845,Bluetooth,-55
1.878,Bluetooth,-50
1.879,Bluetooth,-49
1.913,Bluetooth,-48
1.914,Bluetooth,-49
1.950,Bluetooth,-53
1.952,Bluetooth,-53
1.984,Bluetooth,-56
1.985,Bluetooth,-55
2.012,Bluetooth,-52
2.013,Bluetooth,-52
2.053,Bluetooth,-53
2.054,Bluetooth,-53
2.202,Bluetooth,-65
2.203,Bluetooth,-66
2.268,Bluetooth,-63
2.269,Bluetooth,-64
2.300,Bluetooth,-55
2.302,Bluetooth,-54
2.336,Bluetooth,-58
2.337,Bluetooth,-60
2.367,Bluetooth,-53
2.368,Bluetooth,-53
2.430,Bluetooth,-54
2.431,Bluetooth,-55
2.468,Bluetooth,-57
2.469,Bluetooth,-57
2.505,Bluetooth,-56
2.575,Bluetooth,-58
2.576,Bluetooth,-58
2.606,Bluetooth,-56
2.641,Bluetooth,-56
2.682,Bluetooth,-58
2.745,Bluetooth,-55
2.825,Bluetooth,-60
