Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-69
0.069,Bluetooth,-65
0.071,Bluetooth,-66
0.211,Bluetooth,-69
0.213,Bluetooth,-68
0.241,Bluetooth,-74
0.279,Bluetooth,-60
0.319,Bluetooth,-63
0.322,Bluetooth,-62
0.353,Bluetooth,-66
0.355,Bluetooth,-65
0.431,Bluetooth,-71
0.434,Bluetooth,-71
0.464,Bluetooth,-63
0.466,Bluetooth,-63
0.504,Bluetooth,-64
0.506,Bluetooth,-64
0.543,Bluetooth,-67
0.574,Bluetooth,-65
0.576,Bluetooth,-65
0.606,Bluetooth,-67
0.608,Bluetooth,-67
0.642,Bluetooth,-69
0.741,Bluetooth,-58
0.743,Bluetooth,-58
0.777,Bluetooth,-66
0.779,Bluetooth,-66
0.813,Bluetooth,-69
0.816,Bluetooth,-69
0.848,Bluetooth,-65
0.992,Bluetooth,-63
0.995,Bluetooth,-63
1.026,Bluetooth,-62
1.027,Bluetooth,-62
1.099,Bluetooth,-64
1.102,Bluetooth,-64
1.131,Bluetooth,-64
1.162,Bluetooth,-65
1.164,Bluetooth,-65
1.195,Bluetooth,-63
1.197,Bluetooth,-62
1.235,Bluetooth,-66
1.237,Bluetooth,-66
1.298,Bluetooth,-65
1.300,Bluetooth,-64
1.338,Bluetooth,-66
1.339,Bluetooth,-66
1.446,Bluetooth,-62
1.476,Bluetooth,-63
1.478,Bluetooth,-61
1.510,Bluetooth,-62
1.550,Bluetooth,-70
1.552,Bluetooth,-69
1.580,Bluetooth,-64
1.582,Bluetooth,-64
1.617,Bluetooth,-63
1.619,Bluetooth,-64
1.652,Bluetooth,-68
1.654,Bluetooth,-69
1.684,Bluetooth,-67
1.686,Bluetooth,-65
1.720,Bluetooth,-63
1.757,Bluetooth,-66
1.797,Bluetooth,-62
1.799,Bluetooth,-63
1.902,Bluetooth,-66
1.904,Bluetooth,-67
1.937,Bluetooth,-63
1.939,Bluetooth,-63
1.974,Bluetooth,-63
1.976,Bluetooth,-63
2.119,Bluetooth,-72
2.121,Bluetooth,-73
2.149,Bluetooth,-68
2.150,Bluetooth,-68
2.182,Bluetooth,-62
2.184,Bluetooth,-62
2.216,Bluetooth,-62
2.218,Bluetooth,-61
2.297,Bluetooth,-62
2.299,Bluetooth,-62
2.325,Bluetooth,-71
2.362,Bluetooth,-64
2.364,Bluetooth,-65
2.395,Bluetooth,-62
2.397,Bluetooth,-63
2.531,Bluetooth,-73
2.533,Bluetooth,-72
2.608,Bluetooth,-63
2.640,Bluetooth,-64
2.671,Bluetooth,-67
2.673,Bluetooth,-67
2.702,Bluetooth,-73
2.704,Bluetooth,-75
2.737,Bluetooth,-74
2.740,Bluetooth,-74
2.771,Bluetooth,-70
2.773,Bluetooth,-70
2.957,Bluetooth,-66
2.959,Bluetooth,-66
3.023,Bluetooth,-66
3.026,Bluetooth,-66
3.097,Bluetooth,-66
3.099,Bluetooth,-67
3.130,Bluetooth,-65
3.131,Bluetooth,-65
3.170,Bluetooth,-65
3.173,Bluetooth,-64
3.210,Bluetooth,-59
3.212,Bluetooth,-59
3.314,Bluetooth,-64
3.316,Bluetooth,-63
3.348,Bluetooth,-68
3.350,Bluetooth,-67
3.426,Bluetooth,-67
3.428,Bluetooth,-66
3.459,Bluetooth,-59
3.461,Bluetooth,-58
3.492,Bluetooth,-73
3.494,Bluetooth,-72
3.533,Bluetooth,-72
3.568,Bluetooth,-66
3.571,Bluetooth,-66
3.607,Bluetooth,-55
3.609,Bluetooth,-54
3.641,Bluetooth,-59
3.642,Bluetooth,-60
3.820,Bluetooth,-56
3.859,Bluetooth,-70
3.861,Bluetooth,-71
3.897,Bluetooth,-55
3.899,Bluetooth,-57
78.769,Bluetooth,-67
78.771,Bluetooth,-67
78.833,Bluetooth,-69
78.863,Bluetooth,-67
78.865,Bluetooth,-67
78.902,Bluetooth,-68
78.903,Bluetooth,-68
78.975,Bluetooth,-67
78.977,Bluetooth,-67
79.046,Bluetooth,-68
79.048,Bluetooth,-66
79.075,Bluetooth,-63
79.104,Bluetooth,-68
79.104,Bluetooth,-67
79.141,Bluetooth,-62
79.171,Bluetooth,-67
79.203,Bluetooth,-67
79.204,Bluetooth,-67
79.340,Bluetooth,-68
79.379,Bluetooth,-63
79.381,Bluetooth,-63
79.418,Bluetooth,-68
79.419,Bluetooth,-68
79.451,Bluetooth,-68
79.486,Bluetooth,-68
79.488,Bluetooth,-68
79.557,Bluetooth,-64
79.559,Bluetooth,-63
79.587,Bluetooth,-68
79.628,Bluetooth,-66
79.629,Bluetooth,-67
79.660,Bluetooth,-64
79.662,Bluetooth,-63
79.731,Bluetooth,-67
79.834,Bluetooth,-63
79.836,Bluetooth,-63
79.902,Bluetooth,-70
79.904,Bluetooth,-71
79.934,Bluetooth,-67
79.936,Bluetooth,-68
80.043,Bluetooth,-63
80.249,Bluetooth,-67
80.284,Bluetooth,-65
80.286,Bluetooth,-65
80.317,Bluetooth,-65
80.350,Bluetooth,-72
80.419,Bluetooth,-68
80.421,Bluetooth,-67
80.455,Bluetooth,-67
80.457,Bluetooth,-66
80.488,Bluetooth,-74
80.490,Bluetooth,-73
80.531,Bluetooth,-68
80.532,Bluetooth,-67
80.562,Bluetooth,-67
80.565,Bluetooth,-68
80.591,Bluetooth,-74
80.662,Bluetooth,-73
80.664,Bluetooth,-73
80.699,Bluetooth,-74
80.738,Bluetooth,-68
80.779,Bluetooth,-68
80.780,Bluetooth,-67
80.810,Bluetooth,-74
80.845,Bluetooth,-68
80.847,Bluetooth,-68
80.942,Bluetooth,-70
81.014,Bluetooth,-68
81.051,Bluetooth,-70
81.053,Bluetooth,-70
81.080,Bluetooth,-71
81.117,Bluetooth,-69
81.119,Bluetooth,-67
81.154,Bluetooth,-71
81.157,Bluetooth,-70
81.223,Bluetooth,-73
81.292,Bluetooth,-68
81.294,Bluetooth,-70
81.461,Bluetooth,-69
81.463,Bluetooth,-69
81.529,Bluetooth,-69
81.595,Bluetooth,-69
81.596,Bluetooth,-69
81.668,Bluetooth,-70
81.670,Bluetooth,-70
81.699,Bluetooth,-72
81.701,Bluetooth,-73
81.738,Bluetooth,-69
81.781,Bluetooth,-69
81.783,Bluetooth,-69
81.879,Bluetooth,-72
81.881,Bluetooth,-73
81.918,Bluetooth,-68
81.920,Bluetooth,-68
81.984,Bluetooth,-72
81.986,Bluetooth,-72
82.018,Bluetooth,-68
82.020,Bluetooth,-68
82.083,Bluetooth,-69
82.085,Bluetooth,-69
82.119,Bluetooth,-72
82.155,Bluetooth,-71
82.158,Bluetooth,-72
82.225,Bluetooth,-67
82.228,Bluetooth,-67
82.296,Bluetooth,-72
82.297,Bluetooth,-72
82.399,Bluetooth,-73
82.402,Bluetooth,-71
82.464,Bluetooth,-71
82.466,Bluetooth,-71
82.540,Bluetooth,-68
82.575,Bluetooth,-70
82.647,Bluetooth,-66
82.648,Bluetooth,-66
82.687,Bluetooth,-67
82.690,Bluetooth,-68
82.750,Bluetooth,-68
220.118,Bluetooth,-58
220.120,Bluetooth,-57
220.156,Bluetooth,-58
220.158,Bluetooth,-58
220.194,Bluetooth,-64
220.255,Bluetooth,-61
220.257,Bluetooth,-60
220.397,Bluetooth,-58
220.399,Bluetooth,-57
220.435,Bluetooth,-64
220.472,Bluetooth,-58
220.536,Bluetooth,-60
220.566,Bluetooth,-61
220.568,Bluetooth,-61
220.634,Bluetooth,-62
220.665,Bluetooth,-60
220.667,Bluetooth,-60
220.701,Bluetooth,-58
220.704,Bluetooth,-58
220.732,Bluetooth,-59
220.772,Bluetooth,-59
220.773,Bluetooth,-58
220.840,Bluetooth,-62
220.842,Bluetooth,-62
220.977,Bluetooth,-60
220.980,Bluetooth,-59
221.048,Bluetooth,-64
221.076,Bluetooth,-63
221.117,Bluetooth,-64
221.118,Bluetooth,-65
221.215,Bluetooth,-66
221.218,Bluetooth,-66
221.281,Bluetooth,-61
221.283,Bluetooth,-60
221.318,Bluetooth,-72
221.319,Bluetooth,-72
221.357,Bluetooth,-72
221.359,Bluetooth,-72
221.461,Bluetooth,-69
221.531,Bluetooth,-61
221.533,Bluetooth,-61
221.599,Bluetooth,-67
221.634,Bluetooth,-67
221.710,Bluetooth,-62
221.839,Bluetooth,-62
221.841,Bluetooth,-62
221.876,Bluetooth,-67
221.877,Bluetooth,-68
221.911,Bluetooth,-67
221.913,Bluetooth,-67
221.949,Bluetooth,-62
221.983,Bluetooth,-67
221.985,Bluetooth,-67
222.023,Bluetooth,-62
222.025,Bluetooth,-62
222.060,Bluetooth,-67
222.095,Bluetooth,-67
222.097,Bluetooth,-67
222.129,Bluetooth,-63
222.132,Bluetooth,-62
222.234,Bluetooth,-66
222.301,Bluetooth,-68
222.303,Bluetooth,-68
222.342,Bluetooth,-62
222.344,Bluetooth,-62
222.381,Bluetooth,-65
222.383,Bluetooth,-65
222.482,Bluetooth,-62
222.484,Bluetooth,-63
222.519,Bluetooth,-68
222.521,Bluetooth,-68
222.557,Bluetooth,-63
222.559,Bluetooth,-61
222.626,Bluetooth,-66
222.628,Bluetooth,-68
222.666,Bluetooth,-61
222.668,Bluetooth,-61
222.773,Bluetooth,-60
222.774,Bluetooth,-60
222.809,Bluetooth,-62
222.811,Bluetooth,-62
222.841,Bluetooth,-60
222.874,Bluetooth,-63
222.875,Bluetooth,-63
222.902,Bluetooth,-66
223.001,Bluetooth,-66
223.003,Bluetooth,-66
223.039,Bluetooth,-64
223.042,Bluetooth,-64
223.113,Bluetooth,-66
223.116,Bluetooth,-66
223.151,Bluetooth,-65
223.298,Bluetooth,-66
223.365,Bluetooth,-58
223.402,Bluetooth,-67
223.405,Bluetooth,-66
223.508,Bluetooth,-67
223.511,Bluetooth,-67
223.543,Bluetooth,-64
223.544,Bluetooth,-62
223.581,Bluetooth,-58
223.583,Bluetooth,-59
223.652,Bluetooth,-63
223.654,Bluetooth,-62
223.685,Bluetooth,-58
223.688,Bluetooth,-57
223.756,Bluetooth,-64
223.758,Bluetooth,-63
223.867,Bluetooth,-65
223.869,Bluetooth,-67
223.967,Bluetooth,-62
223.969,Bluetooth,-62
224.040,Bluetooth,-65
224.073,Bluetooth,-58
224.106,Bluetooth,-65
224.108,Bluetooth,-65
295.652,Bluetooth,-62
295.653,Bluetooth,-62
295.690,Bluetooth,-61
295.692,Bluetooth,-62
295.756,Bluetooth,-62
295.758,Bluetooth,-62
295.823,Bluetooth,-64
295.825,Bluetooth,-64
295.899,Bluetooth,-61
295.901,Bluetooth,-61
295.974,Bluetooth,-72
295.976,Bluetooth,-73
296.010,Bluetooth,-61
296.012,Bluetooth,-61
296.077,Bluetooth,-61
296.079,Bluetooth,-60
296.108,Bluetooth,-64
296.110,Bluetooth,-64
296.247,Bluetooth,-65
296.249,Bluetooth,-64
296.277,Bluetooth,-73
296.279,Bluetooth,-72
296.308,Bluetooth,-60
296.310,Bluetooth,-60
296.349,Bluetooth,-60
296.429,Bluetooth,-60
296.431,Bluetooth,-61
296.470,Bluetooth,-64
296.472,Bluetooth,-65
296.500,Bluetooth,-72
296.501,Bluetooth,-71
296.530,Bluetooth,-61
296.532,Bluetooth,-59
296.570,Bluetooth,-65
296.573,Bluetooth,-63
296.642,Bluetooth,-65
296.676,Bluetooth,-72
296.678,Bluetooth,-72
296.712,Bluetooth,-61
296.714,Bluetooth,-62
296.753,Bluetooth,-64
296.755,Bluetooth,-64
296.786,Bluetooth,-73
296.788,Bluetooth,-73
296.820,Bluetooth,-62
296.929,Bluetooth,-73
296.968,Bluetooth,-71
296.970,Bluetooth,-72
297.040,Bluetooth,-67
297.059,Bluetooth,-69
297.116,Bluetooth,-70
297.118,Bluetooth,-70
297.224,Bluetooth,-63
297.405,Bluetooth,-73
297.407,Bluetooth,-73
297.439,Bluetooth,-73
297.441,Bluetooth,-72
297.468,Bluetooth,-63
297.470,Bluetooth,-63
297.509,Bluetooth,-72
297.545,Bluetooth,-74
297.574,Bluetooth,-74
297.576,Bluetooth,-74
297.645,Bluetooth,-64
297.648,Bluetooth,-65
297.753,Bluetooth,-75
