Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-62
0.001,Bluetooth,-62
0.029,Bluetooth,-69
0.030,Bluetooth,-68
0.059,Bluetooth,-67
0.059,Bluetooth,-66
0.090,Bluetooth,-67
0.091,Bluetooth,-66
0.125,Bluetooth,-62
0.126,Bluetooth,-63
0.156,Bluetooth,-77
0.187,Bluetooth,-63
0.188,Bluetooth,-62
0.219,Bluetooth,-64
0.220,Bluetooth,-64
0.289,Bluetooth,-70
0.290,Bluetooth,-72
0.330,Bluetooth,-66
0.331,Bluetooth,-65
0.364,Bluetooth,-63
0.365,Bluetooth,-63
0.397,Bluetooth,-67
0.398,Bluetooth,-67
0.434,Bluetooth,-75
0.435,Bluetooth,-74
0.466,Bluetooth,-63
0.467,Bluetooth,-62
0.499,Bluetooth,-60
0.500,Bluetooth,-61
0.538,Bluetooth,-62
0.539,Bluetooth,-63
0.577,Bluetooth,-71
0.578,Bluetooth,-71
0.614,Bluetooth,-62
0.615,Bluetooth,-61
0.646,Bluetooth,-65
0.647,Bluetooth,-64
0.724,Bluetooth,-61
0.725,Bluetooth,-60
0.762,Bluetooth,-62
0.763,Bluetooth,-61
0.841,Bluetooth,-61
0.842,Bluetooth,-61
0.872,Bluetooth,-62
0.873,Bluetooth,-63
0.907,Bluetooth,-72
0.908,Bluetooth,-71
0.938,Bluetooth,-72
0.938,Bluetooth,-72
0.977,Bluetooth,-65
0.978,Bluetooth,-65
1.013,Bluetooth,-62
1.015,Bluetooth,-63
1.045,Bluetooth,-71
1.046,Bluetooth,-71
1.077,Bluetooth,-63
1.150,Bluetooth,-71
1.151,Bluetooth,-70
1.181,Bluetooth,-71
1.182,Bluetooth,-70
1.222,Bluetooth,-63
1.223,Bluetooth,-64
1.251,Bluetooth,-63
1.252,Bluetooth,-61
1.282,Bluetooth,-69
1.283,Bluetooth,-69
1.322,Bluetooth,-63
1.323,Bluetooth,-64
1.388,Bluetooth,-69
1.389,Bluetooth,-69
1.495,Bluetooth,-62
1.496,Bluetooth,-61
1.532,Bluetooth,-68
1.564,Bluetooth,-63
1.565,Bluetooth,-63
1.595,Bluetooth,-62
1.597,Bluetooth,-61
1.660,Bluetooth,-68
1.694,Bluetooth,-63
1.695,Bluetooth,-63
1.725,Bluetooth,-62
1.726,Bluetooth,-62
1.758,Bluetooth,-69
1.759,Bluetooth,-69
