Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.006,Bluetooth,-58
0.007,Bluetooth,-58
0.069,Bluetooth,-54
0.070,Bluetooth,-56
0.108,Bluetooth,-71
0.109,Bluetooth,-70
0.143,Bluetooth,-59
0.144,Bluetooth,-60
0.248,Bluetooth,-58
0.250,Bluetooth,-59
0.283,Bluetooth,-53
0.284,Bluetooth,-54
0.324,Bluetooth,-71
0.325,Bluetooth,-72
0.361,Bluetooth,-59
0.362,Bluetooth,-59
0.393,Bluetooth,-59
0.394,Bluetooth,-58
0.427,Bluetooth,-55
0.428,Bluetooth,-56
0.493,Bluetooth,-58
0.494,Bluetooth,-58
0.551,Bluetooth,-55
0.552,Bluetooth,-55
0.592,Bluetooth,-71
0.593,Bluetooth,-72
0.705,Bluetooth,-72
0.706,Bluetooth,-73
0.736,Bluetooth,-59
0.738,Bluetooth,-59
0.767,Bluetooth,-55
0.768,Bluetooth,-54
0.799,Bluetooth,-74
0.800,Bluetooth,-73
0.829,Bluetooth,-73
0.865,Bluetooth,-59
0.866,Bluetooth,-58
0.895,Bluetooth,-55
0.896,Bluetooth,-56
0.931,Bluetooth,-73
0.964,Bluetooth,-59
0.966,Bluetooth,-59
1.007,Bluetooth,-55
1.008,Bluetooth,-56
1.040,Bluetooth,-71
1.147,Bluetooth,-55
1.148,Bluetooth,-55
1.222,Bluetooth,-60
1.223,Bluetooth,-60
1.257,Bluetooth,-56
1.258,Bluetooth,-56
1.320,Bluetooth,-59
1.321,Bluetooth,-62
1.357,Bluetooth,-55
1.395,Bluetooth,-70
1.471,Bluetooth,-60
1.472,Bluetooth,-61
1.506,Bluetooth,-55
1.507,Bluetooth,-55
1.543,Bluetooth,-72
1.544,Bluetooth,-71
1.575,Bluetooth,-60
1.576,Bluetooth,-60
1.609,Bluetooth,-55
1.611,Bluetooth,-55
1.649,Bluetooth,-70
1.650,Bluetooth,-71
1.684,Bluetooth,-61
1.685,Bluetooth,-60
1.784,Bluetooth,-69
1.785,Bluetooth,-70
1.817,Bluetooth,-61
1.818,Bluetooth,-62
1.849,Bluetooth,-54
1.850,Bluetooth,-55
1.880,Bluetooth,-70
1.882,Bluetooth,-70
1.913,Bluetooth,-69
1.914,Bluetooth,-70
1.944,Bluetooth,-62
1.945,Bluetooth,-61
2.012,Bluetooth,-69
2.013,Bluetooth,-69
2.050,Bluetooth,-61
2.051,Bluetooth,-63
2.083,Bluetooth,-56
2.084,Bluetooth,-55
2.119,Bluetooth,-69
2.120,Bluetooth,-68
2.198,Bluetooth,-54
2.199,Bluetooth,-55
2.314,Bluetooth,-55
2.315,Bluetooth,-55
2.354,Bluetooth,-69
2.426,Bluetooth,-61
2.459,Bluetooth,-54
2.460,Bluetooth,-54
2.496,Bluetooth,-69
2.497,Bluetooth,-69
2.533,Bluetooth,-62
2.534,Bluetooth,-61
2.567,Bluetooth,-54
2.568,Bluetooth,-55
2.714,Bluetooth,-68
2.757,Bluetooth,-66
2.758,Bluetooth,-67
2.785,Bluetooth,-62
2.786,Bluetooth,-62
2.814,Bluetooth,-56
2.815,Bluetooth,-55
2.853,Bluetooth,-66
2.854,Bluetooth,-67
2.884,Bluetooth,-63
2.885,Bluetooth,-62
2.918,Bluetooth,-55
2.951,Bluetooth,-54
2.952,Bluetooth,-56
3.024,Bluetooth,-62
3.025,Bluetooth,-62
3.129,Bluetooth,-62
3.130,Bluetooth,-62
3.162,Bluetooth,-55
3.163,Bluetooth,-56
3.198,Bluetooth,-67
3.199,Bluetooth,-67
3.231,Bluetooth,-67
3.232,Bluetooth,-67
3.266,Bluetooth,-60
3.300,Bluetooth,-55
3.301,Bluetooth,-55
3.374,Bluetooth,-62
3.375,Bluetooth,-61
3.402,Bluetooth,-55
3.404,Bluetooth,-55
3.435,Bluetooth,-68
3.437,Bluetooth,-67
3.468,Bluetooth,-68
3.469,Bluetooth,-68
3.505,Bluetooth,-60
3.506,Bluetooth,-59
3.531,Bluetooth,-56
3.532,Bluetooth,-54
3.571,Bluetooth,-68
3.572,Bluetooth,-69
3.605,Bluetooth,-58
3.606,Bluetooth,-60
3.665,Bluetooth,-56
3.666,Bluetooth,-55
3.698,Bluetooth,-72
3.699,Bluetooth,-69
3.761,Bluetooth,-55
3.762,Bluetooth,-54
3.870,Bluetooth,-59
3.871,Bluetooth,-59
3.938,Bluetooth,-78
3.939,Bluetooth,-79
3.975,Bluetooth,-59
3.976,Bluetooth,-58
88.500,Bluetooth,-60
88.501,Bluetooth,-61
88.574,Bluetooth,-62
88.575,Bluetooth,-62
88.612,Bluetooth,-59
88.613,Bluetooth,-60
88.646,Bluetooth,-58
88.683,Bluetooth,-61
88.684,Bluetooth,-63
88.721,Bluetooth,-60
88.722,Bluetooth,-60
88.791,Bluetooth,-57
88.792,Bluetooth,-57
88.887,Bluetooth,-56
88.920,Bluetooth,-63
88.921,Bluetooth,-62
88.957,Bluetooth,-60
88.958,Bluetooth,-59
88.990,Bluetooth,-60
88.991,Bluetooth,-59
89.021,Bluetooth,-58
89.022,Bluetooth,-57
89.059,Bluetooth,-62
89.095,Bluetooth,-59
89.096,Bluetooth,-60
89.124,Bluetooth,-57
89.125,Bluetooth,-57
89.155,Bluetooth,-61
89.157,Bluetooth,-61
89.287,Bluetooth,-62
89.289,Bluetooth,-62
89.318,Bluetooth,-60
89.320,Bluetooth,-59
89.349,Bluetooth,-60
89.350,Bluetooth,-60
89.383,Bluetooth,-57
89.384,Bluetooth,-57
89.528,Bluetooth,-62
89.528,Bluetooth,-61
89.559,Bluetooth,-59
89.561,Bluetooth,-60
89.634,Bluetooth,-63
89.636,Bluetooth,-63
89.671,Bluetooth,-64
89.672,Bluetooth,-64
89.703,Bluetooth,-61
89.704,Bluetooth,-61
89.773,Bluetooth,-63
89.774,Bluetooth,-63
89.813,Bluetooth,-61
89.814,Bluetooth,-61
89.880,Bluetooth,-64
89.882,Bluetooth,-64
89.918,Bluetooth,-61
89.919,Bluetooth,-62
89.947,Bluetooth,-61
89.949,Bluetooth,-62
89.980,Bluetooth,-59
89.982,Bluetooth,-59
90.018,Bluetooth,-62
90.020,Bluetooth,-62
90.057,Bluetooth,-62
90.095,Bluetooth,-60
90.097,Bluetooth,-60
90.134,Bluetooth,-63
90.136,Bluetooth,-63
90.167,Bluetooth,-62
90.168,Bluetooth,-61
90.196,Bluetooth,-58
90.197,Bluetooth,-58
90.226,Bluetooth,-58
90.227,Bluetooth,-59
90.262,Bluetooth,-63
90.263,Bluetooth,-62
90.326,Bluetooth,-59
