Distance,15.0
TXDevice,iPhone11_Pro
TXPower,7
RXDevice,iPhoneXR
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-65
0.001,Bluetooth,-65
0.041,Bluetooth,-63
0.044,Bluetooth,-63
0.109,Bluetooth,-65
0.111,Bluetooth,-65
0.149,Bluetooth,-63
0.151,Bluetooth,-64
0.187,Bluetooth,-62
0.188,Bluetooth,-62
0.220,Bluetooth,-65
0.221,Bluetooth,-66
0.360,Bluetooth,-68
0.362,Bluetooth,-67
0.398,Bluetooth,-72
0.400,Bluetooth,-72
0.432,Bluetooth,-61
0.433,Bluetooth,-62
0.463,Bluetooth,-65
0.464,Bluetooth,-65
0.526,Bluetooth,-65
0.528,Bluetooth,-63
0.553,Bluetooth,-63
0.555,Bluetooth,-63
0.594,Bluetooth,-65
0.596,Bluetooth,-65
0.627,Bluetooth,-63
0.629,Bluetooth,-64
0.684,Bluetooth,-62
0.686,Bluetooth,-63
0.721,Bluetooth,-64
0.724,Bluetooth,-65
0.753,Bluetooth,-64
0.755,Bluetooth,-63
0.787,Bluetooth,-63
0.857,Bluetooth,-66
0.858,Bluetooth,-65
0.890,Bluetooth,-65
0.891,Bluetooth,-65
0.927,Bluetooth,-63
0.928,Bluetooth,-64
0.962,Bluetooth,-66
1.002,Bluetooth,-65
1.004,Bluetooth,-65
1.037,Bluetooth,-63
1.040,Bluetooth,-64
1.083,Bluetooth,-65
1.085,Bluetooth,-66
1.124,Bluetooth,-65
1.126,Bluetooth,-64
1.157,Bluetooth,-63
1.159,Bluetooth,-64
1.192,Bluetooth,-66
1.194,Bluetooth,-65
1.233,Bluetooth,-63
1.235,Bluetooth,-64
1.263,Bluetooth,-63
1.265,Bluetooth,-63
1.301,Bluetooth,-65
1.303,Bluetooth,-64
1.331,Bluetooth,-65
1.332,Bluetooth,-64
1.363,Bluetooth,-64
1.365,Bluetooth,-63
1.399,Bluetooth,-63
1.401,Bluetooth,-64
1.441,Bluetooth,-65
1.442,Bluetooth,-64
1.550,Bluetooth,-65
1.551,Bluetooth,-65
1.591,Bluetooth,-63
1.593,Bluetooth,-64
1.625,Bluetooth,-63
1.628,Bluetooth,-63
1.685,Bluetooth,-65
1.687,Bluetooth,-65
1.717,Bluetooth,-63
1.719,Bluetooth,-63
1.746,Bluetooth,-62
1.748,Bluetooth,-63
1.817,Bluetooth,-64
1.819,Bluetooth,-65
1.919,Bluetooth,-63
1.921,Bluetooth,-63
1.959,Bluetooth,-64
1.961,Bluetooth,-64
2.000,Bluetooth,-63
2.001,Bluetooth,-64
2.032,Bluetooth,-63
2.034,Bluetooth,-63
2.068,Bluetooth,-65
2.069,Bluetooth,-65
2.108,Bluetooth,-63
2.109,Bluetooth,-63
2.138,Bluetooth,-65
2.141,Bluetooth,-64
2.204,Bluetooth,-65
2.206,Bluetooth,-64
2.244,Bluetooth,-64
2.246,Bluetooth,-64
2.316,Bluetooth,-64
2.318,Bluetooth,-65
2.362,Bluetooth,-63
2.436,Bluetooth,-64
2.437,Bluetooth,-65
2.540,Bluetooth,-65
2.542,Bluetooth,-65
2.645,Bluetooth,-64
2.647,Bluetooth,-63
2.681,Bluetooth,-66
2.682,Bluetooth,-64
2.722,Bluetooth,-65
2.724,Bluetooth,-63
2.758,Bluetooth,-63
2.760,Bluetooth,-65
2.797,Bluetooth,-65
2.798,Bluetooth,-64
2.834,Bluetooth,-64
2.836,Bluetooth,-65
2.867,Bluetooth,-62
2.869,Bluetooth,-62
2.941,Bluetooth,-74
2.942,Bluetooth,-74
3.009,Bluetooth,-62
3.010,Bluetooth,-64
3.086,Bluetooth,-64
3.088,Bluetooth,-64
3.119,Bluetooth,-60
3.121,Bluetooth,-62
3.151,Bluetooth,-66
3.152,Bluetooth,-66
3.185,Bluetooth,-63
3.187,Bluetooth,-63
3.216,Bluetooth,-63
3.217,Bluetooth,-62
3.254,Bluetooth,-63
3.255,Bluetooth,-62
3.360,Bluetooth,-63
3.361,Bluetooth,-62
3.398,Bluetooth,-63
3.400,Bluetooth,-64
3.466,Bluetooth,-63
3.468,Bluetooth,-63
3.507,Bluetooth,-64
3.644,Bluetooth,-64
3.646,Bluetooth,-64
3.678,Bluetooth,-64
3.680,Bluetooth,-65
3.709,Bluetooth,-62
3.711,Bluetooth,-62
3.747,Bluetooth,-64
3.749,Bluetooth,-65
3.787,Bluetooth,-65
3.788,Bluetooth,-65
3.819,Bluetooth,-62
3.821,Bluetooth,-63
