Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-69
0.001,Bluetooth,-69
0.033,Bluetooth,-64
0.035,Bluetooth,-65
0.064,Bluetooth,-70
0.065,Bluetooth,-69
0.200,Bluetooth,-69
0.201,Bluetooth,-69
0.273,Bluetooth,-66
0.274,Bluetooth,-67
0.366,Bluetooth,-69
0.395,Bluetooth,-66
0.396,Bluetooth,-66
0.469,Bluetooth,-70
0.539,Bluetooth,-69
0.540,Bluetooth,-69
0.757,Bluetooth,-65
0.825,Bluetooth,-69
0.860,Bluetooth,-66
0.861,Bluetooth,-65
0.895,Bluetooth,-67
0.896,Bluetooth,-69
0.964,Bluetooth,-68
0.965,Bluetooth,-68
0.996,Bluetooth,-64
1.034,Bluetooth,-68
1.035,Bluetooth,-68
1.212,Bluetooth,-64
1.213,Bluetooth,-64
1.250,Bluetooth,-63
1.252,Bluetooth,-64
1.284,Bluetooth,-67
1.285,Bluetooth,-66
1.322,Bluetooth,-68
1.323,Bluetooth,-68
1.528,Bluetooth,-68
1.529,Bluetooth,-67
1.596,Bluetooth,-64
1.633,Bluetooth,-65
1.634,Bluetooth,-67
1.671,Bluetooth,-67
1.672,Bluetooth,-67
1.743,Bluetooth,-68
1.744,Bluetooth,-67
1.775,Bluetooth,-67
1.811,Bluetooth,-64
1.812,Bluetooth,-64
1.846,Bluetooth,-64
1.883,Bluetooth,-66
1.884,Bluetooth,-66
1.990,Bluetooth,-66
1.991,Bluetooth,-66
2.025,Bluetooth,-66
2.026,Bluetooth,-66
2.090,Bluetooth,-64
2.092,Bluetooth,-65
2.125,Bluetooth,-64
2.189,Bluetooth,-64
2.335,Bluetooth,-67
2.336,Bluetooth,-68
2.368,Bluetooth,-67
2.369,Bluetooth,-67
2.399,Bluetooth,-67
2.400,Bluetooth,-67
2.463,Bluetooth,-66
2.464,Bluetooth,-67
2.560,Bluetooth,-65
2.599,Bluetooth,-67
