Distance,6.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-60
0.001,Bluetooth,-60
0.104,Bluetooth,-52
0.105,Bluetooth,-52
0.145,Bluetooth,-59
0.146,Bluetooth,-59
0.183,Bluetooth,-50
0.184,Bluetooth,-50
0.263,Bluetooth,-58
0.264,Bluetooth,-60
0.295,Bluetooth,-49
0.296,Bluetooth,-50
0.333,Bluetooth,-52
0.334,Bluetooth,-52
0.370,Bluetooth,-60
0.372,Bluetooth,-59
0.434,Bluetooth,-53
0.435,Bluetooth,-52
0.476,Bluetooth,-59
0.477,Bluetooth,-59
0.623,Bluetooth,-59
0.624,Bluetooth,-59
0.688,Bluetooth,-52
0.689,Bluetooth,-51
0.727,Bluetooth,-59
0.728,Bluetooth,-59
0.796,Bluetooth,-52
0.797,Bluetooth,-52
0.836,Bluetooth,-60
0.837,Bluetooth,-59
0.871,Bluetooth,-59
0.872,Bluetooth,-60
0.905,Bluetooth,-49
0.906,Bluetooth,-49
0.982,Bluetooth,-59
0.983,Bluetooth,-59
1.010,Bluetooth,-48
1.011,Bluetooth,-50
1.047,Bluetooth,-52
1.048,Bluetooth,-51
1.115,Bluetooth,-49
1.116,Bluetooth,-49
1.146,Bluetooth,-50
1.147,Bluetooth,-49
1.184,Bluetooth,-51
1.185,Bluetooth,-52
1.251,Bluetooth,-49
1.252,Bluetooth,-50
1.326,Bluetooth,-60
1.327,Bluetooth,-60
1.357,Bluetooth,-49
1.358,Bluetooth,-49
1.389,Bluetooth,-48
1.390,Bluetooth,-50
1.424,Bluetooth,-52
1.425,Bluetooth,-52
1.525,Bluetooth,-52
1.526,Bluetooth,-53
1.598,Bluetooth,-49
1.599,Bluetooth,-50
1.626,Bluetooth,-49
1.627,Bluetooth,-50
1.665,Bluetooth,-52
1.667,Bluetooth,-53
1.696,Bluetooth,-61
1.697,Bluetooth,-61
1.735,Bluetooth,-49
1.736,Bluetooth,-50
1.769,Bluetooth,-52
1.770,Bluetooth,-52
1.807,Bluetooth,-61
1.808,Bluetooth,-60
1.883,Bluetooth,-53
1.884,Bluetooth,-53
1.914,Bluetooth,-58
1.915,Bluetooth,-60
1.949,Bluetooth,-58
1.950,Bluetooth,-60
2.016,Bluetooth,-51
2.017,Bluetooth,-51
2.083,Bluetooth,-50
2.084,Bluetooth,-49
2.117,Bluetooth,-53
2.118,Bluetooth,-52
2.220,Bluetooth,-50
2.261,Bluetooth,-52
2.296,Bluetooth,-61
2.297,Bluetooth,-60
