Distance,10.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-75
0.001,Bluetooth,-76
0.035,Bluetooth,-77
0.036,Bluetooth,-77
0.064,Bluetooth,-79
0.065,Bluetooth,-79
0.095,Bluetooth,-73
0.097,Bluetooth,-74
0.126,Bluetooth,-78
0.128,Bluetooth,-78
0.159,Bluetooth,-76
0.160,Bluetooth,-77
0.187,Bluetooth,-77
0.188,Bluetooth,-78
0.218,Bluetooth,-75
0.219,Bluetooth,-75
0.249,Bluetooth,-77
0.250,Bluetooth,-77
0.311,Bluetooth,-79
0.312,Bluetooth,-79
0.346,Bluetooth,-76
0.347,Bluetooth,-75
0.376,Bluetooth,-77
0.376,Bluetooth,-77
0.406,Bluetooth,-80
0.407,Bluetooth,-79
0.436,Bluetooth,-79
0.437,Bluetooth,-80
0.470,Bluetooth,-76
0.471,Bluetooth,-77
0.504,Bluetooth,-75
0.506,Bluetooth,-76
0.533,Bluetooth,-80
0.534,Bluetooth,-81
0.565,Bluetooth,-78
0.566,Bluetooth,-78
0.596,Bluetooth,-77
0.631,Bluetooth,-77
0.631,Bluetooth,-78
0.664,Bluetooth,-79
0.665,Bluetooth,-79
0.696,Bluetooth,-77
0.697,Bluetooth,-77
0.729,Bluetooth,-79
0.730,Bluetooth,-79
0.759,Bluetooth,-79
0.760,Bluetooth,-79
0.789,Bluetooth,-79
0.791,Bluetooth,-80
0.820,Bluetooth,-75
0.822,Bluetooth,-76
0.855,Bluetooth,-78
0.857,Bluetooth,-79
0.884,Bluetooth,-78
0.885,Bluetooth,-79
0.917,Bluetooth,-79
0.919,Bluetooth,-78
0.950,Bluetooth,-76
0.951,Bluetooth,-76
0.986,Bluetooth,-76
0.987,Bluetooth,-77
1.015,Bluetooth,-78
1.016,Bluetooth,-79
1.046,Bluetooth,-76
1.047,Bluetooth,-75
1.079,Bluetooth,-75
1.080,Bluetooth,-75
1.109,Bluetooth,-75
1.111,Bluetooth,-75
1.140,Bluetooth,-79
1.142,Bluetooth,-79
1.171,Bluetooth,-74
1.172,Bluetooth,-74
1.201,Bluetooth,-74
1.202,Bluetooth,-74
1.231,Bluetooth,-76
1.232,Bluetooth,-76
1.260,Bluetooth,-78
1.261,Bluetooth,-79
1.291,Bluetooth,-72
1.292,Bluetooth,-73
1.321,Bluetooth,-72
1.322,Bluetooth,-71
1.352,Bluetooth,-76
1.353,Bluetooth,-77
1.382,Bluetooth,-76
1.384,Bluetooth,-76
1.416,Bluetooth,-72
1.417,Bluetooth,-73
1.448,Bluetooth,-75
1.449,Bluetooth,-75
1.478,Bluetooth,-75
1.479,Bluetooth,-75
1.510,Bluetooth,-75
1.512,Bluetooth,-76
1.541,Bluetooth,-71
1.542,Bluetooth,-72
1.576,Bluetooth,-74
1.577,Bluetooth,-73
1.607,Bluetooth,-76
1.609,Bluetooth,-78
1.637,Bluetooth,-77
1.641,Bluetooth,-77
1.669,Bluetooth,-71
1.670,Bluetooth,-72
1.704,Bluetooth,-75
1.705,Bluetooth,-75
1.732,Bluetooth,-75
1.734,Bluetooth,-76
1.764,Bluetooth,-72
1.765,Bluetooth,-72
1.800,Bluetooth,-72
1.801,Bluetooth,-72
1.831,Bluetooth,-74
1.832,Bluetooth,-75
1.864,Bluetooth,-76
1.865,Bluetooth,-77
1.896,Bluetooth,-72
1.897,Bluetooth,-73
1.926,Bluetooth,-73
1.928,Bluetooth,-74
1.957,Bluetooth,-73
1.959,Bluetooth,-74
1.987,Bluetooth,-76
1.988,Bluetooth,-75
2.023,Bluetooth,-72
2.026,Bluetooth,-72
2.058,Bluetooth,-75
2.059,Bluetooth,-74
2.091,Bluetooth,-76
2.092,Bluetooth,-76
2.121,Bluetooth,-71
2.123,Bluetooth,-72
2.152,Bluetooth,-72
2.153,Bluetooth,-72
2.184,Bluetooth,-74
2.185,Bluetooth,-75
2.216,Bluetooth,-77
2.217,Bluetooth,-76
2.248,Bluetooth,-72
2.249,Bluetooth,-71
2.278,Bluetooth,-72
2.279,Bluetooth,-72
2.309,Bluetooth,-75
2.311,Bluetooth,-74
2.337,Bluetooth,-75
2.338,Bluetooth,-76
2.371,Bluetooth,-72
2.372,Bluetooth,-71
2.404,Bluetooth,-75
2.405,Bluetooth,-76
2.434,Bluetooth,-74
2.435,Bluetooth,-73
2.462,Bluetooth,-78
2.463,Bluetooth,-77
2.494,Bluetooth,-72
2.495,Bluetooth,-72
2.526,Bluetooth,-76
2.528,Bluetooth,-75
2.557,Bluetooth,-75
2.559,Bluetooth,-76
2.586,Bluetooth,-77
2.587,Bluetooth,-77
2.618,Bluetooth,-72
2.619,Bluetooth,-73
2.651,Bluetooth,-74
2.652,Bluetooth,-76
2.683,Bluetooth,-77
2.684,Bluetooth,-77
2.714,Bluetooth,-77
2.715,Bluetooth,-77
2.747,Bluetooth,-72
2.748,Bluetooth,-72
2.781,Bluetooth,-75
2.782,Bluetooth,-76
2.815,Bluetooth,-76
2.816,Bluetooth,-77
2.848,Bluetooth,-72
2.849,Bluetooth,-73
2.880,Bluetooth,-74
2.881,Bluetooth,-73
2.910,Bluetooth,-77
2.912,Bluetooth,-76
2.942,Bluetooth,-77
2.943,Bluetooth,-77
2.972,Bluetooth,-74
2.973,Bluetooth,-74
3.005,Bluetooth,-75
3.007,Bluetooth,-76
3.039,Bluetooth,-76
3.041,Bluetooth,-75
3.070,Bluetooth,-77
3.071,Bluetooth,-79
3.104,Bluetooth,-73
3.105,Bluetooth,-72
3.138,Bluetooth,-75
3.139,Bluetooth,-75
