Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.009,Bluetooth,-55
0.010,Bluetooth,-54
0.073,Bluetooth,-63
0.075,Bluetooth,-63
0.106,Bluetooth,-60
0.106,Bluetooth,-61
0.134,Bluetooth,-61
0.135,Bluetooth,-61
0.167,Bluetooth,-58
0.169,Bluetooth,-58
0.197,Bluetooth,-56
0.198,Bluetooth,-55
0.230,Bluetooth,-66
0.231,Bluetooth,-66
0.260,Bluetooth,-58
0.261,Bluetooth,-57
0.290,Bluetooth,-55
0.291,Bluetooth,-55
0.353,Bluetooth,-64
0.354,Bluetooth,-64
0.413,Bluetooth,-56
0.415,Bluetooth,-56
0.476,Bluetooth,-62
0.476,Bluetooth,-62
0.508,Bluetooth,-63
0.509,Bluetooth,-63
0.539,Bluetooth,-57
0.540,Bluetooth,-58
0.572,Bluetooth,-65
0.574,Bluetooth,-65
0.632,Bluetooth,-68
0.634,Bluetooth,-67
0.665,Bluetooth,-74
0.666,Bluetooth,-73
0.696,Bluetooth,-70
0.697,Bluetooth,-71
0.787,Bluetooth,-68
0.788,Bluetooth,-68
0.822,Bluetooth,-59
0.823,Bluetooth,-59
0.851,Bluetooth,-59
0.852,Bluetooth,-60
0.916,Bluetooth,-68
0.917,Bluetooth,-67
0.947,Bluetooth,-57
0.949,Bluetooth,-57
0.979,Bluetooth,-61
0.980,Bluetooth,-60
1.013,Bluetooth,-60
1.014,Bluetooth,-60
1.070,Bluetooth,-57
1.073,Bluetooth,-57
1.107,Bluetooth,-59
1.108,Bluetooth,-61
1.138,Bluetooth,-59
1.139,Bluetooth,-59
1.168,Bluetooth,-54
1.169,Bluetooth,-55
1.263,Bluetooth,-60
1.265,Bluetooth,-60
1.296,Bluetooth,-61
1.298,Bluetooth,-60
1.352,Bluetooth,-62
1.353,Bluetooth,-62
1.382,Bluetooth,-61
1.384,Bluetooth,-59
1.416,Bluetooth,-56
1.417,Bluetooth,-57
1.474,Bluetooth,-62
1.475,Bluetooth,-62
1.508,Bluetooth,-62
1.509,Bluetooth,-62
1.539,Bluetooth,-61
1.540,Bluetooth,-61
1.570,Bluetooth,-68
1.571,Bluetooth,-67
1.637,Bluetooth,-57
1.638,Bluetooth,-58
1.696,Bluetooth,-65
1.697,Bluetooth,-64
1.729,Bluetooth,-56
1.729,Bluetooth,-57
1.821,Bluetooth,-61
1.822,Bluetooth,-61
1.854,Bluetooth,-55
1.855,Bluetooth,-56
1.885,Bluetooth,-61
1.886,Bluetooth,-62
1.918,Bluetooth,-60
1.919,Bluetooth,-60
1.947,Bluetooth,-56
1.948,Bluetooth,-57
1.978,Bluetooth,-55
1.979,Bluetooth,-55
2.011,Bluetooth,-60
2.012,Bluetooth,-60
2.072,Bluetooth,-57
2.073,Bluetooth,-58
2.105,Bluetooth,-55
2.107,Bluetooth,-55
2.142,Bluetooth,-56
2.143,Bluetooth,-57
2.235,Bluetooth,-55
2.236,Bluetooth,-55
2.269,Bluetooth,-58
2.270,Bluetooth,-57
2.300,Bluetooth,-58
2.301,Bluetooth,-58
2.336,Bluetooth,-56
2.337,Bluetooth,-56
2.368,Bluetooth,-57
2.369,Bluetooth,-58
2.466,Bluetooth,-55
2.466,Bluetooth,-55
2.499,Bluetooth,-58
2.500,Bluetooth,-57
2.530,Bluetooth,-58
2.531,Bluetooth,-58
2.596,Bluetooth,-57
2.597,Bluetooth,-55
2.658,Bluetooth,-61
2.719,Bluetooth,-56
2.721,Bluetooth,-56
2.759,Bluetooth,-59
2.760,Bluetooth,-59
2.821,Bluetooth,-60
2.822,Bluetooth,-60
2.856,Bluetooth,-55
2.859,Bluetooth,-54
2.888,Bluetooth,-58
2.888,Bluetooth,-57
2.918,Bluetooth,-60
2.920,Bluetooth,-61
2.986,Bluetooth,-60
2.987,Bluetooth,-60
3.018,Bluetooth,-54
3.019,Bluetooth,-54
3.050,Bluetooth,-59
3.051,Bluetooth,-57
3.117,Bluetooth,-61
3.118,Bluetooth,-60
3.146,Bluetooth,-54
3.147,Bluetooth,-54
3.179,Bluetooth,-58
3.180,Bluetooth,-59
3.211,Bluetooth,-60
3.212,Bluetooth,-60
3.272,Bluetooth,-54
3.273,Bluetooth,-54
3.305,Bluetooth,-58
3.307,Bluetooth,-59
3.339,Bluetooth,-59
3.340,Bluetooth,-61
3.371,Bluetooth,-55
3.372,Bluetooth,-55
3.434,Bluetooth,-58
3.435,Bluetooth,-58
3.495,Bluetooth,-55
3.497,Bluetooth,-55
3.531,Bluetooth,-57
3.531,Bluetooth,-58
3.589,Bluetooth,-59
3.590,Bluetooth,-60
3.624,Bluetooth,-54
3.624,Bluetooth,-55
3.655,Bluetooth,-58
3.657,Bluetooth,-58
3.687,Bluetooth,-61
3.687,Bluetooth,-62
3.750,Bluetooth,-55
3.751,Bluetooth,-55
3.783,Bluetooth,-58
3.785,Bluetooth,-58
3.814,Bluetooth,-61
3.814,Bluetooth,-61
3.845,Bluetooth,-55
3.846,Bluetooth,-55
3.907,Bluetooth,-57
3.908,Bluetooth,-58
3.940,Bluetooth,-62
3.973,Bluetooth,-54
3.974,Bluetooth,-56
81.423,Bluetooth,-77
81.424,Bluetooth,-77
81.454,Bluetooth,-75
81.455,Bluetooth,-75
81.487,Bluetooth,-75
81.488,Bluetooth,-75
81.517,Bluetooth,-76
81.518,Bluetooth,-76
81.548,Bluetooth,-77
81.549,Bluetooth,-77
81.576,Bluetooth,-74
81.577,Bluetooth,-74
81.610,Bluetooth,-77
81.611,Bluetooth,-76
81.677,Bluetooth,-76
81.678,Bluetooth,-75
81.711,Bluetooth,-75
81.712,Bluetooth,-75
81.742,Bluetooth,-77
81.743,Bluetooth,-79
81.772,Bluetooth,-74
81.774,Bluetooth,-74
81.836,Bluetooth,-75
81.837,Bluetooth,-75
81.869,Bluetooth,-76
81.870,Bluetooth,-76
81.899,Bluetooth,-73
81.929,Bluetooth,-74
81.931,Bluetooth,-75
81.997,Bluetooth,-76
81.998,Bluetooth,-77
82.028,Bluetooth,-73
82.029,Bluetooth,-72
82.056,Bluetooth,-75
82.057,Bluetooth,-75
82.087,Bluetooth,-76
82.088,Bluetooth,-75
82.152,Bluetooth,-73
82.153,Bluetooth,-72
82.181,Bluetooth,-73
82.182,Bluetooth,-73
82.217,Bluetooth,-78
82.218,Bluetooth,-77
82.250,Bluetooth,-73
82.251,Bluetooth,-73
82.340,Bluetooth,-73
82.341,Bluetooth,-73
82.373,Bluetooth,-78
82.374,Bluetooth,-77
82.439,Bluetooth,-74
82.440,Bluetooth,-75
82.506,Bluetooth,-76
82.507,Bluetooth,-76
82.568,Bluetooth,-76
82.569,Bluetooth,-76
82.640,Bluetooth,-76
82.642,Bluetooth,-75
82.661,Bluetooth,-77
82.662,Bluetooth,-77
82.725,Bluetooth,-71
82.726,Bluetooth,-71
82.755,Bluetooth,-70
82.756,Bluetooth,-69
82.844,Bluetooth,-70
82.845,Bluetooth,-70
82.877,Bluetooth,-69
82.879,Bluetooth,-70
82.909,Bluetooth,-77
82.910,Bluetooth,-77
82.941,Bluetooth,-70
82.942,Bluetooth,-71
83.008,Bluetooth,-71
83.009,Bluetooth,-71
83.039,Bluetooth,-79
83.040,Bluetooth,-78
83.070,Bluetooth,-71
83.071,Bluetooth,-70
83.104,Bluetooth,-71
83.105,Bluetooth,-71
83.200,Bluetooth,-71
83.202,Bluetooth,-72
83.234,Bluetooth,-72
83.235,Bluetooth,-71
83.265,Bluetooth,-79
83.266,Bluetooth,-79
83.327,Bluetooth,-75
83.328,Bluetooth,-73
83.359,Bluetooth,-71
83.360,Bluetooth,-71
83.420,Bluetooth,-74
83.421,Bluetooth,-73
83.556,Bluetooth,-75
83.557,Bluetooth,-76
83.622,Bluetooth,-71
83.624,Bluetooth,-72
83.655,Bluetooth,-80
83.656,Bluetooth,-80
83.688,Bluetooth,-74
83.689,Bluetooth,-75
83.717,Bluetooth,-75
83.719,Bluetooth,-74
83.752,Bluetooth,-70
83.753,Bluetooth,-70
83.782,Bluetooth,-80
83.783,Bluetooth,-82
83.816,Bluetooth,-77
83.817,Bluetooth,-76
83.846,Bluetooth,-71
83.847,Bluetooth,-70
83.912,Bluetooth,-80
83.913,Bluetooth,-80
83.942,Bluetooth,-74
83.943,Bluetooth,-74
83.974,Bluetooth,-73
83.975,Bluetooth,-73
84.033,Bluetooth,-78
84.035,Bluetooth,-77
84.066,Bluetooth,-77
84.067,Bluetooth,-76
84.097,Bluetooth,-73
84.098,Bluetooth,-72
84.126,Bluetooth,-79
84.128,Bluetooth,-79
84.196,Bluetooth,-77
84.197,Bluetooth,-77
84.227,Bluetooth,-71
84.228,Bluetooth,-71
84.255,Bluetooth,-80
84.256,Bluetooth,-79
84.291,Bluetooth,-75
84.292,Bluetooth,-76
84.350,Bluetooth,-72
84.351,Bluetooth,-72
84.419,Bluetooth,-76
84.420,Bluetooth,-76
84.448,Bluetooth,-71
84.450,Bluetooth,-72
84.512,Bluetooth,-78
84.513,Bluetooth,-77
84.544,Bluetooth,-78
84.545,Bluetooth,-78
84.576,Bluetooth,-74
84.577,Bluetooth,-74
84.608,Bluetooth,-77
84.609,Bluetooth,-78
84.639,Bluetooth,-77
84.640,Bluetooth,-77
84.670,Bluetooth,-79
84.671,Bluetooth,-79
84.699,Bluetooth,-76
84.700,Bluetooth,-74
84.729,Bluetooth,-77
84.730,Bluetooth,-77
84.790,Bluetooth,-79
84.792,Bluetooth,-79
84.822,Bluetooth,-75
84.823,Bluetooth,-76
84.853,Bluetooth,-78
84.854,Bluetooth,-78
84.914,Bluetooth,-78
84.915,Bluetooth,-78
84.950,Bluetooth,-77
84.951,Bluetooth,-79
84.980,Bluetooth,-76
84.981,Bluetooth,-75
85.045,Bluetooth,-78
85.047,Bluetooth,-79
85.111,Bluetooth,-75
85.113,Bluetooth,-75
85.148,Bluetooth,-76
85.149,Bluetooth,-77
85.180,Bluetooth,-78
85.181,Bluetooth,-78
85.214,Bluetooth,-75
85.215,Bluetooth,-76
85.273,Bluetooth,-76
85.274,Bluetooth,-77
85.304,Bluetooth,-77
85.305,Bluetooth,-78
85.341,Bluetooth,-74
85.342,Bluetooth,-75
85.371,Bluetooth,-76
85.372,Bluetooth,-76
85.405,Bluetooth,-78
85.407,Bluetooth,-76
173.018,Bluetooth,-57
173.019,Bluetooth,-57
173.082,Bluetooth,-58
173.083,Bluetooth,-58
173.111,Bluetooth,-60
173.112,Bluetooth,-60
173.155,Bluetooth,-57
173.155,Bluetooth,-57
173.180,Bluetooth,-60
173.181,Bluetooth,-60
173.209,Bluetooth,-60
173.210,Bluetooth,-59
173.301,Bluetooth,-53
173.303,Bluetooth,-53
173.339,Bluetooth,-60
173.340,Bluetooth,-60
173.369,Bluetooth,-59
173.370,Bluetooth,-58
173.437,Bluetooth,-55
173.437,Bluetooth,-54
173.466,Bluetooth,-58
