Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.015,Bluetooth,-73
0.016,Bluetooth,-74
0.048,Bluetooth,-67
0.049,Bluetooth,-68
0.085,Bluetooth,-60
0.086,Bluetooth,-61
0.118,Bluetooth,-70
0.119,Bluetooth,-69
0.151,Bluetooth,-67
0.153,Bluetooth,-67
0.182,Bluetooth,-65
0.183,Bluetooth,-65
0.215,Bluetooth,-64
0.216,Bluetooth,-64
0.254,Bluetooth,-66
0.255,Bluetooth,-66
0.319,Bluetooth,-66
0.320,Bluetooth,-66
0.457,Bluetooth,-66
0.459,Bluetooth,-66
0.490,Bluetooth,-65
0.492,Bluetooth,-64
0.528,Bluetooth,-69
0.564,Bluetooth,-68
0.565,Bluetooth,-68
0.598,Bluetooth,-62
0.598,Bluetooth,-63
0.627,Bluetooth,-71
0.628,Bluetooth,-71
0.663,Bluetooth,-71
0.668,Bluetooth,-71
0.704,Bluetooth,-61
0.705,Bluetooth,-62
0.735,Bluetooth,-62
0.736,Bluetooth,-62
0.774,Bluetooth,-71
0.845,Bluetooth,-62
0.846,Bluetooth,-61
0.879,Bluetooth,-70
0.881,Bluetooth,-70
0.955,Bluetooth,-61
1.017,Bluetooth,-70
1.018,Bluetooth,-70
1.058,Bluetooth,-74
1.124,Bluetooth,-71
1.125,Bluetooth,-70
1.163,Bluetooth,-74
1.271,Bluetooth,-74
1.342,Bluetooth,-63
1.344,Bluetooth,-62
1.375,Bluetooth,-71
1.409,Bluetooth,-74
1.410,Bluetooth,-74
1.447,Bluetooth,-63
1.448,Bluetooth,-62
1.481,Bluetooth,-71
1.482,Bluetooth,-72
1.644,Bluetooth,-73
1.683,Bluetooth,-62
1.684,Bluetooth,-62
1.715,Bluetooth,-71
1.716,Bluetooth,-72
1.754,Bluetooth,-74
1.788,Bluetooth,-63
1.789,Bluetooth,-63
1.818,Bluetooth,-62
1.819,Bluetooth,-62
1.892,Bluetooth,-72
2.019,Bluetooth,-71
2.059,Bluetooth,-62
2.060,Bluetooth,-63
2.092,Bluetooth,-72
2.230,Bluetooth,-71
2.368,Bluetooth,-71
2.403,Bluetooth,-61
2.404,Bluetooth,-62
2.440,Bluetooth,-74
2.586,Bluetooth,-71
2.587,Bluetooth,-72
2.626,Bluetooth,-65
2.627,Bluetooth,-65
2.660,Bluetooth,-62
2.661,Bluetooth,-62
2.692,Bluetooth,-74
2.693,Bluetooth,-74
2.733,Bluetooth,-69
2.734,Bluetooth,-70
2.768,Bluetooth,-61
2.769,Bluetooth,-61
2.877,Bluetooth,-61
2.879,Bluetooth,-61
2.975,Bluetooth,-69
2.977,Bluetooth,-69
3.011,Bluetooth,-63
3.013,Bluetooth,-61
3.047,Bluetooth,-74
3.047,Bluetooth,-74
3.081,Bluetooth,-70
3.082,Bluetooth,-68
3.159,Bluetooth,-76
3.195,Bluetooth,-69
3.196,Bluetooth,-69
3.228,Bluetooth,-62
3.230,Bluetooth,-62
3.267,Bluetooth,-75
3.302,Bluetooth,-74
3.303,Bluetooth,-73
3.410,Bluetooth,-75
3.509,Bluetooth,-74
3.548,Bluetooth,-68
3.549,Bluetooth,-69
3.654,Bluetooth,-74
3.656,Bluetooth,-73
3.793,Bluetooth,-69
3.794,Bluetooth,-69
3.833,Bluetooth,-62
3.834,Bluetooth,-62
3.865,Bluetooth,-74
3.867,Bluetooth,-73
3.941,Bluetooth,-68
3.942,Bluetooth,-69
3.981,Bluetooth,-61
12.615,Bluetooth,-66
12.689,Bluetooth,-68
12.690,Bluetooth,-69
12.725,Bluetooth,-66
12.726,Bluetooth,-66
12.756,Bluetooth,-82
12.757,Bluetooth,-82
12.794,Bluetooth,-68
12.795,Bluetooth,-67
12.828,Bluetooth,-66
12.829,Bluetooth,-66
12.861,Bluetooth,-66
12.862,Bluetooth,-65
12.893,Bluetooth,-80
12.894,Bluetooth,-80
12.958,Bluetooth,-66
12.960,Bluetooth,-67
12.993,Bluetooth,-80
12.994,Bluetooth,-81
13.025,Bluetooth,-67
13.026,Bluetooth,-69
13.101,Bluetooth,-67
13.102,Bluetooth,-66
13.133,Bluetooth,-80
13.134,Bluetooth,-80
13.174,Bluetooth,-68
13.175,Bluetooth,-69
13.241,Bluetooth,-79
13.242,Bluetooth,-80
13.272,Bluetooth,-68
13.273,Bluetooth,-69
