Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-62
0.001,Bluetooth,-61
0.065,Bluetooth,-56
0.066,Bluetooth,-56
0.096,Bluetooth,-72
0.097,Bluetooth,-71
0.134,Bluetooth,-56
0.135,Bluetooth,-56
0.171,Bluetooth,-56
0.173,Bluetooth,-56
0.203,Bluetooth,-67
0.204,Bluetooth,-66
0.243,Bluetooth,-58
0.245,Bluetooth,-56
0.280,Bluetooth,-56
0.314,Bluetooth,-55
0.315,Bluetooth,-56
0.350,Bluetooth,-66
0.352,Bluetooth,-65
0.387,Bluetooth,-53
0.388,Bluetooth,-53
0.451,Bluetooth,-70
0.452,Bluetooth,-71
0.487,Bluetooth,-58
0.488,Bluetooth,-58
0.565,Bluetooth,-57
0.567,Bluetooth,-56
0.596,Bluetooth,-56
0.597,Bluetooth,-55
0.674,Bluetooth,-64
0.675,Bluetooth,-63
0.779,Bluetooth,-58
0.780,Bluetooth,-58
0.812,Bluetooth,-55
0.813,Bluetooth,-55
0.884,Bluetooth,-59
0.885,Bluetooth,-60
0.917,Bluetooth,-60
0.918,Bluetooth,-60
0.945,Bluetooth,-55
0.946,Bluetooth,-54
1.015,Bluetooth,-61
1.017,Bluetooth,-62
1.054,Bluetooth,-54
1.055,Bluetooth,-54
1.093,Bluetooth,-69
1.095,Bluetooth,-70
1.131,Bluetooth,-60
1.132,Bluetooth,-61
1.167,Bluetooth,-53
1.168,Bluetooth,-54
1.202,Bluetooth,-69
1.203,Bluetooth,-68
1.349,Bluetooth,-67
1.350,Bluetooth,-69
1.381,Bluetooth,-61
1.382,Bluetooth,-61
1.453,Bluetooth,-67
1.454,Bluetooth,-67
1.491,Bluetooth,-62
1.492,Bluetooth,-62
1.521,Bluetooth,-55
1.522,Bluetooth,-55
1.553,Bluetooth,-55
1.555,Bluetooth,-54
1.656,Bluetooth,-55
1.657,Bluetooth,-55
1.737,Bluetooth,-59
1.738,Bluetooth,-60
1.770,Bluetooth,-55
1.771,Bluetooth,-55
1.809,Bluetooth,-70
1.810,Bluetooth,-69
1.844,Bluetooth,-58
1.846,Bluetooth,-59
1.947,Bluetooth,-71
2.016,Bluetooth,-54
2.018,Bluetooth,-55
2.056,Bluetooth,-70
2.057,Bluetooth,-71
2.085,Bluetooth,-58
2.086,Bluetooth,-58
2.151,Bluetooth,-55
2.152,Bluetooth,-55
2.182,Bluetooth,-70
