Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-59
0.001,Bluetooth,-59
0.074,Bluetooth,-65
0.074,Bluetooth,-63
0.137,Bluetooth,-58
0.138,Bluetooth,-61
0.169,Bluetooth,-60
0.170,Bluetooth,-58
0.286,Bluetooth,-60
0.324,Bluetooth,-63
0.325,Bluetooth,-63
0.361,Bluetooth,-59
0.392,Bluetooth,-62
0.393,Bluetooth,-62
0.427,Bluetooth,-60
0.428,Bluetooth,-59
0.459,Bluetooth,-59
0.460,Bluetooth,-60
0.493,Bluetooth,-63
0.494,Bluetooth,-63
0.560,Bluetooth,-60
0.594,Bluetooth,-58
0.595,Bluetooth,-58
0.633,Bluetooth,-63
0.634,Bluetooth,-64
0.772,Bluetooth,-57
0.773,Bluetooth,-60
0.808,Bluetooth,-59
0.809,Bluetooth,-59
0.846,Bluetooth,-63
0.846,Bluetooth,-64
1.026,Bluetooth,-60
1.027,Bluetooth,-59
1.130,Bluetooth,-59
1.131,Bluetooth,-59
1.169,Bluetooth,-58
1.170,Bluetooth,-59
1.204,Bluetooth,-63
1.205,Bluetooth,-63
1.301,Bluetooth,-58
1.302,Bluetooth,-59
1.341,Bluetooth,-59
1.342,Bluetooth,-60
1.372,Bluetooth,-63
1.373,Bluetooth,-63
1.408,Bluetooth,-57
1.410,Bluetooth,-58
1.441,Bluetooth,-60
1.442,Bluetooth,-58
1.477,Bluetooth,-64
1.478,Bluetooth,-65
1.545,Bluetooth,-59
1.577,Bluetooth,-59
1.578,Bluetooth,-58
1.790,Bluetooth,-66
1.792,Bluetooth,-64
1.831,Bluetooth,-59
1.833,Bluetooth,-60
1.862,Bluetooth,-65
1.901,Bluetooth,-59
1.901,Bluetooth,-59
1.932,Bluetooth,-59
1.933,Bluetooth,-61
1.965,Bluetooth,-64
1.966,Bluetooth,-64
2.040,Bluetooth,-59
2.041,Bluetooth,-58
2.077,Bluetooth,-59
2.078,Bluetooth,-59
2.148,Bluetooth,-58
2.185,Bluetooth,-64
2.186,Bluetooth,-64
2.226,Bluetooth,-57
2.227,Bluetooth,-59
2.263,Bluetooth,-59
2.264,Bluetooth,-59
2.335,Bluetooth,-59
2.336,Bluetooth,-59
2.401,Bluetooth,-59
2.402,Bluetooth,-59
2.433,Bluetooth,-66
2.434,Bluetooth,-65
2.514,Bluetooth,-60
2.515,Bluetooth,-60
2.582,Bluetooth,-60
2.583,Bluetooth,-60
2.664,Bluetooth,-60
2.665,Bluetooth,-60
2.696,Bluetooth,-60
2.697,Bluetooth,-60
2.733,Bluetooth,-65
2.734,Bluetooth,-65
2.765,Bluetooth,-64
2.795,Bluetooth,-65
2.796,Bluetooth,-65
2.827,Bluetooth,-59
2.828,Bluetooth,-60
2.866,Bluetooth,-59
2.867,Bluetooth,-60
2.937,Bluetooth,-59
2.938,Bluetooth,-59
3.043,Bluetooth,-60
3.081,Bluetooth,-65
3.082,Bluetooth,-63
3.182,Bluetooth,-63
3.182,Bluetooth,-63
3.220,Bluetooth,-61
3.221,Bluetooth,-61
3.250,Bluetooth,-59
