Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-47
0.002,Bluetooth,-47
0.032,Bluetooth,-49
0.033,Bluetooth,-47
0.103,Bluetooth,-47
0.104,Bluetooth,-47
0.133,Bluetooth,-47
0.135,Bluetooth,-47
0.168,Bluetooth,-48
0.169,Bluetooth,-46
0.489,Bluetooth,-49
0.490,Bluetooth,-50
0.554,Bluetooth,-50
0.592,Bluetooth,-48
0.593,Bluetooth,-47
0.628,Bluetooth,-49
0.629,Bluetooth,-49
0.701,Bluetooth,-48
0.702,Bluetooth,-47
0.783,Bluetooth,-50
0.784,Bluetooth,-50
0.820,Bluetooth,-48
0.820,Bluetooth,-48
0.909,Bluetooth,-48
0.910,Bluetooth,-48
0.950,Bluetooth,-49
0.951,Bluetooth,-49
0.983,Bluetooth,-50
0.985,Bluetooth,-50
1.053,Bluetooth,-49
1.054,Bluetooth,-48
1.090,Bluetooth,-50
1.091,Bluetooth,-50
1.120,Bluetooth,-48
1.121,Bluetooth,-48
1.155,Bluetooth,-49
1.193,Bluetooth,-48
1.194,Bluetooth,-48
1.230,Bluetooth,-50
1.231,Bluetooth,-48
1.300,Bluetooth,-48
1.301,Bluetooth,-48
1.341,Bluetooth,-49
1.342,Bluetooth,-49
1.453,Bluetooth,-50
1.698,Bluetooth,-49
1.699,Bluetooth,-49
1.727,Bluetooth,-50
1.728,Bluetooth,-50
1.803,Bluetooth,-50
1.804,Bluetooth,-50
1.883,Bluetooth,-50
1.884,Bluetooth,-49
1.955,Bluetooth,-51
1.956,Bluetooth,-50
1.988,Bluetooth,-51
1.988,Bluetooth,-52
2.066,Bluetooth,-51
2.173,Bluetooth,-50
2.173,Bluetooth,-51
2.206,Bluetooth,-49
2.207,Bluetooth,-49
2.246,Bluetooth,-49
2.247,Bluetooth,-48
2.286,Bluetooth,-50
2.287,Bluetooth,-49
2.421,Bluetooth,-49
2.421,Bluetooth,-49
2.493,Bluetooth,-49
2.494,Bluetooth,-49
2.555,Bluetooth,-48
2.556,Bluetooth,-49
2.593,Bluetooth,-49
2.594,Bluetooth,-49
2.630,Bluetooth,-48
2.631,Bluetooth,-47
2.661,Bluetooth,-47
2.805,Bluetooth,-47
2.807,Bluetooth,-47
2.883,Bluetooth,-48
2.884,Bluetooth,-48
2.920,Bluetooth,-47
2.921,Bluetooth,-48
2.961,Bluetooth,-48
2.997,Bluetooth,-49
2.998,Bluetooth,-49
3.069,Bluetooth,-48
3.069,Bluetooth,-48
3.106,Bluetooth,-49
3.108,Bluetooth,-48
3.213,Bluetooth,-48
3.214,Bluetooth,-48
3.244,Bluetooth,-48
3.245,Bluetooth,-47
3.320,Bluetooth,-48
3.320,Bluetooth,-48
3.392,Bluetooth,-48
3.393,Bluetooth,-49
3.426,Bluetooth,-47
3.426,Bluetooth,-48
3.465,Bluetooth,-48
3.467,Bluetooth,-48
3.505,Bluetooth,-48
3.506,Bluetooth,-48
3.545,Bluetooth,-48
3.546,Bluetooth,-46
3.753,Bluetooth,-48
3.754,Bluetooth,-48
3.789,Bluetooth,-48
3.790,Bluetooth,-48
3.822,Bluetooth,-47
3.823,Bluetooth,-49
3.861,Bluetooth,-47
50.102,Bluetooth,-54
50.102,Bluetooth,-55
50.173,Bluetooth,-58
50.174,Bluetooth,-57
50.214,Bluetooth,-54
50.215,Bluetooth,-54
50.250,Bluetooth,-53
50.251,Bluetooth,-53
50.281,Bluetooth,-57
50.283,Bluetooth,-57
50.389,Bluetooth,-55
50.390,Bluetooth,-55
50.490,Bluetooth,-56
50.491,Bluetooth,-56
50.566,Bluetooth,-51
50.567,Bluetooth,-52
50.603,Bluetooth,-57
50.604,Bluetooth,-57
50.640,Bluetooth,-54
50.641,Bluetooth,-54
50.824,Bluetooth,-49
50.825,Bluetooth,-50
50.860,Bluetooth,-47
50.861,Bluetooth,-48
50.897,Bluetooth,-51
50.898,Bluetooth,-52
50.962,Bluetooth,-54
51.034,Bluetooth,-49
51.035,Bluetooth,-48
51.069,Bluetooth,-52
51.070,Bluetooth,-52
51.133,Bluetooth,-49
51.134,Bluetooth,-49
51.165,Bluetooth,-48
51.166,Bluetooth,-49
51.203,Bluetooth,-52
51.203,Bluetooth,-52
51.271,Bluetooth,-49
51.373,Bluetooth,-49
51.374,Bluetooth,-49
51.413,Bluetooth,-49
51.414,Bluetooth,-48
51.453,Bluetooth,-53
51.454,Bluetooth,-53
51.483,Bluetooth,-53
51.484,Bluetooth,-54
51.521,Bluetooth,-50
51.522,Bluetooth,-50
51.557,Bluetooth,-49
51.595,Bluetooth,-49
51.595,Bluetooth,-48
51.662,Bluetooth,-50
51.663,Bluetooth,-50
51.771,Bluetooth,-53
51.772,Bluetooth,-52
51.807,Bluetooth,-50
51.808,Bluetooth,-50
51.875,Bluetooth,-52
51.904,Bluetooth,-50
51.905,Bluetooth,-49
51.977,Bluetooth,-50
51.978,Bluetooth,-50
52.089,Bluetooth,-50
52.090,Bluetooth,-50
52.125,Bluetooth,-49
52.127,Bluetooth,-49
52.162,Bluetooth,-51
52.329,Bluetooth,-50
52.330,Bluetooth,-50
52.364,Bluetooth,-54
52.365,Bluetooth,-53
52.399,Bluetooth,-52
52.400,Bluetooth,-54
52.472,Bluetooth,-55
52.509,Bluetooth,-59
52.510,Bluetooth,-59
52.542,Bluetooth,-54
52.543,Bluetooth,-54
52.642,Bluetooth,-58
52.643,Bluetooth,-57
52.676,Bluetooth,-55
52.677,Bluetooth,-56
52.712,Bluetooth,-55
52.713,Bluetooth,-58
52.788,Bluetooth,-56
52.789,Bluetooth,-56
52.860,Bluetooth,-52
52.862,Bluetooth,-51
53.008,Bluetooth,-55
53.009,Bluetooth,-55
53.110,Bluetooth,-52
53.111,Bluetooth,-52
53.250,Bluetooth,-46
53.251,Bluetooth,-46
53.287,Bluetooth,-53
53.288,Bluetooth,-54
53.321,Bluetooth,-53
53.322,Bluetooth,-53
53.353,Bluetooth,-55
53.392,Bluetooth,-53
53.393,Bluetooth,-53
53.423,Bluetooth,-47
53.424,Bluetooth,-47
53.533,Bluetooth,-53
53.533,Bluetooth,-52
53.569,Bluetooth,-48
53.570,Bluetooth,-47
53.607,Bluetooth,-55
53.608,Bluetooth,-55
53.638,Bluetooth,-54
53.639,Bluetooth,-54
53.670,Bluetooth,-53
53.700,Bluetooth,-52
53.700,Bluetooth,-53
53.736,Bluetooth,-46
53.737,Bluetooth,-46
53.773,Bluetooth,-53
53.774,Bluetooth,-53
53.812,Bluetooth,-52
53.813,Bluetooth,-52
53.878,Bluetooth,-48
53.880,Bluetooth,-47
53.920,Bluetooth,-51
53.921,Bluetooth,-51
53.956,Bluetooth,-47
53.989,Bluetooth,-51
53.989,Bluetooth,-51
54.024,Bluetooth,-48
54.025,Bluetooth,-47
54.062,Bluetooth,-51
54.063,Bluetooth,-51
108.457,Bluetooth,-52
108.495,Bluetooth,-50
108.496,Bluetooth,-50
