Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,hand
RXCarry,pocket
RXPose,standing
TXPose,standing
0.036,Bluetooth,-55
0.037,Bluetooth,-55
0.069,Bluetooth,-60
0.070,Bluetooth,-58
0.103,Bluetooth,-63
0.104,Bluetooth,-63
0.133,Bluetooth,-54
0.134,Bluetooth,-54
0.230,Bluetooth,-63
0.231,Bluetooth,-61
0.259,Bluetooth,-55
0.261,Bluetooth,-57
0.323,Bluetooth,-58
0.324,Bluetooth,-59
0.382,Bluetooth,-56
0.383,Bluetooth,-56
0.479,Bluetooth,-62
0.480,Bluetooth,-62
0.508,Bluetooth,-57
0.509,Bluetooth,-57
0.543,Bluetooth,-61
0.544,Bluetooth,-61
0.574,Bluetooth,-61
0.575,Bluetooth,-61
0.635,Bluetooth,-57
0.636,Bluetooth,-57
0.665,Bluetooth,-60
0.666,Bluetooth,-61
0.698,Bluetooth,-60
0.699,Bluetooth,-59
0.759,Bluetooth,-58
0.761,Bluetooth,-57
0.796,Bluetooth,-60
0.797,Bluetooth,-59
0.825,Bluetooth,-60
0.826,Bluetooth,-61
0.857,Bluetooth,-57
0.858,Bluetooth,-56
0.919,Bluetooth,-59
0.920,Bluetooth,-59
0.980,Bluetooth,-61
0.981,Bluetooth,-61
1.042,Bluetooth,-55
1.043,Bluetooth,-56
1.075,Bluetooth,-60
1.076,Bluetooth,-60
1.105,Bluetooth,-62
1.106,Bluetooth,-63
1.139,Bluetooth,-57
1.140,Bluetooth,-56
1.232,Bluetooth,-66
1.233,Bluetooth,-66
1.262,Bluetooth,-58
1.263,Bluetooth,-58
1.295,Bluetooth,-62
1.296,Bluetooth,-61
1.363,Bluetooth,-67
1.364,Bluetooth,-66
1.396,Bluetooth,-57
1.397,Bluetooth,-57
1.432,Bluetooth,-61
1.432,Bluetooth,-61
1.463,Bluetooth,-63
1.464,Bluetooth,-64
1.558,Bluetooth,-60
1.559,Bluetooth,-59
1.589,Bluetooth,-62
1.590,Bluetooth,-62
1.622,Bluetooth,-57
1.623,Bluetooth,-56
1.657,Bluetooth,-59
1.719,Bluetooth,-62
1.721,Bluetooth,-62
1.751,Bluetooth,-57
1.752,Bluetooth,-57
1.781,Bluetooth,-61
1.782,Bluetooth,-60
1.816,Bluetooth,-61
1.817,Bluetooth,-61
1.877,Bluetooth,-56
1.878,Bluetooth,-56
1.909,Bluetooth,-58
1.910,Bluetooth,-58
1.940,Bluetooth,-60
1.941,Bluetooth,-61
2.002,Bluetooth,-57
2.004,Bluetooth,-57
2.068,Bluetooth,-61
2.069,Bluetooth,-60
2.100,Bluetooth,-55
2.101,Bluetooth,-56
2.131,Bluetooth,-58
2.133,Bluetooth,-58
2.201,Bluetooth,-61
2.203,Bluetooth,-60
2.260,Bluetooth,-57
2.261,Bluetooth,-58
2.353,Bluetooth,-53
2.354,Bluetooth,-55
2.384,Bluetooth,-57
2.385,Bluetooth,-57
2.482,Bluetooth,-55
2.483,Bluetooth,-54
2.512,Bluetooth,-56
2.513,Bluetooth,-56
2.542,Bluetooth,-61
2.543,Bluetooth,-61
2.574,Bluetooth,-55
2.575,Bluetooth,-55
2.638,Bluetooth,-55
2.639,Bluetooth,-54
2.672,Bluetooth,-60
2.673,Bluetooth,-61
2.707,Bluetooth,-54
2.708,Bluetooth,-54
2.738,Bluetooth,-55
2.739,Bluetooth,-55
2.801,Bluetooth,-60
2.802,Bluetooth,-60
2.830,Bluetooth,-55
2.831,Bluetooth,-55
2.862,Bluetooth,-55
2.863,Bluetooth,-55
2.896,Bluetooth,-61
2.897,Bluetooth,-61
2.955,Bluetooth,-55
2.956,Bluetooth,-56
2.989,Bluetooth,-54
2.990,Bluetooth,-55
3.082,Bluetooth,-55
3.083,Bluetooth,-54
3.145,Bluetooth,-62
3.146,Bluetooth,-61
3.176,Bluetooth,-55
3.177,Bluetooth,-54
3.213,Bluetooth,-55
3.243,Bluetooth,-55
3.244,Bluetooth,-55
3.274,Bluetooth,-61
3.276,Bluetooth,-63
3.305,Bluetooth,-55
3.305,Bluetooth,-56
3.434,Bluetooth,-55
3.435,Bluetooth,-55
3.466,Bluetooth,-55
3.467,Bluetooth,-55
3.597,Bluetooth,-56
3.598,Bluetooth,-54
3.629,Bluetooth,-54
3.630,Bluetooth,-55
3.660,Bluetooth,-62
3.661,Bluetooth,-61
3.692,Bluetooth,-55
3.693,Bluetooth,-54
3.758,Bluetooth,-56
3.759,Bluetooth,-56
3.791,Bluetooth,-62
3.792,Bluetooth,-62
3.821,Bluetooth,-54
3.822,Bluetooth,-55
3.852,Bluetooth,-55
3.853,Bluetooth,-56
3.913,Bluetooth,-62
3.915,Bluetooth,-62
146.991,Bluetooth,-58
146.992,Bluetooth,-59
147.024,Bluetooth,-63
147.025,Bluetooth,-63
147.058,Bluetooth,-63
147.059,Bluetooth,-62
147.089,Bluetooth,-58
147.091,Bluetooth,-58
147.121,Bluetooth,-57
147.122,Bluetooth,-58
147.154,Bluetooth,-63
147.155,Bluetooth,-63
147.184,Bluetooth,-62
147.185,Bluetooth,-61
147.218,Bluetooth,-58
147.219,Bluetooth,-58
147.400,Bluetooth,-63
147.401,Bluetooth,-64
147.433,Bluetooth,-61
147.434,Bluetooth,-60
147.465,Bluetooth,-58
147.466,Bluetooth,-57
147.501,Bluetooth,-62
147.502,Bluetooth,-62
147.534,Bluetooth,-61
147.535,Bluetooth,-60
147.601,Bluetooth,-59
147.602,Bluetooth,-60
147.631,Bluetooth,-61
