Distance,15.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-55
0.001,Bluetooth,-55
0.037,Bluetooth,-58
0.038,Bluetooth,-58
0.068,Bluetooth,-60
0.141,Bluetooth,-59
0.142,Bluetooth,-59
0.177,Bluetooth,-54
0.178,Bluetooth,-54
0.208,Bluetooth,-57
0.209,Bluetooth,-57
0.244,Bluetooth,-60
0.245,Bluetooth,-60
0.276,Bluetooth,-55
0.277,Bluetooth,-56
0.349,Bluetooth,-55
0.384,Bluetooth,-56
0.384,Bluetooth,-56
0.420,Bluetooth,-60
0.421,Bluetooth,-59
0.546,Bluetooth,-59
0.547,Bluetooth,-59
0.579,Bluetooth,-55
0.580,Bluetooth,-55
0.618,Bluetooth,-57
0.619,Bluetooth,-57
0.652,Bluetooth,-57
0.687,Bluetooth,-58
0.688,Bluetooth,-58
0.726,Bluetooth,-58
0.727,Bluetooth,-59
0.756,Bluetooth,-58
0.757,Bluetooth,-57
0.822,Bluetooth,-60
0.823,Bluetooth,-60
0.861,Bluetooth,-59
0.862,Bluetooth,-60
0.898,Bluetooth,-63
0.899,Bluetooth,-63
0.934,Bluetooth,-58
0.935,Bluetooth,-58
0.970,Bluetooth,-60
1.083,Bluetooth,-57
1.083,Bluetooth,-58
1.123,Bluetooth,-63
1.124,Bluetooth,-62
1.198,Bluetooth,-61
1.199,Bluetooth,-60
1.264,Bluetooth,-63
1.328,Bluetooth,-60
1.329,Bluetooth,-61
1.495,Bluetooth,-59
1.496,Bluetooth,-59
1.594,Bluetooth,-57
1.595,Bluetooth,-58
1.632,Bluetooth,-59
1.633,Bluetooth,-60
1.668,Bluetooth,-61
1.669,Bluetooth,-63
1.701,Bluetooth,-58
1.702,Bluetooth,-58
1.743,Bluetooth,-63
1.744,Bluetooth,-63
1.882,Bluetooth,-60
1.883,Bluetooth,-60
1.926,Bluetooth,-58
1.927,Bluetooth,-58
1.956,Bluetooth,-67
1.957,Bluetooth,-68
2.021,Bluetooth,-65
2.021,Bluetooth,-63
2.057,Bluetooth,-57
2.058,Bluetooth,-58
2.097,Bluetooth,-61
2.098,Bluetooth,-61
2.132,Bluetooth,-62
2.133,Bluetooth,-63
2.166,Bluetooth,-61
2.243,Bluetooth,-60
2.245,Bluetooth,-60
2.277,Bluetooth,-62
2.278,Bluetooth,-62
2.305,Bluetooth,-62
2.306,Bluetooth,-60
2.346,Bluetooth,-57
2.347,Bluetooth,-58
2.415,Bluetooth,-61
2.416,Bluetooth,-60
2.457,Bluetooth,-60
2.494,Bluetooth,-62
2.495,Bluetooth,-61
2.563,Bluetooth,-54
2.564,Bluetooth,-53
2.603,Bluetooth,-60
2.603,Bluetooth,-59
2.633,Bluetooth,-59
2.634,Bluetooth,-59
2.664,Bluetooth,-53
2.665,Bluetooth,-54
2.770,Bluetooth,-60
2.804,Bluetooth,-58
2.805,Bluetooth,-62
2.845,Bluetooth,-57
2.846,Bluetooth,-58
2.909,Bluetooth,-61
2.910,Bluetooth,-61
3.017,Bluetooth,-60
3.018,Bluetooth,-60
3.048,Bluetooth,-57
3.125,Bluetooth,-57
3.126,Bluetooth,-56
3.163,Bluetooth,-58
3.164,Bluetooth,-59
3.201,Bluetooth,-62
3.202,Bluetooth,-62
3.347,Bluetooth,-58
3.379,Bluetooth,-60
3.380,Bluetooth,-59
3.444,Bluetooth,-55
3.445,Bluetooth,-54
3.507,Bluetooth,-60
3.508,Bluetooth,-60
3.537,Bluetooth,-55
3.538,Bluetooth,-55
3.641,Bluetooth,-61
3.677,Bluetooth,-61
3.678,Bluetooth,-62
3.716,Bluetooth,-55
3.717,Bluetooth,-55
3.789,Bluetooth,-55
3.790,Bluetooth,-56
60.786,Bluetooth,-65
60.787,Bluetooth,-64
60.861,Bluetooth,-64
60.862,Bluetooth,-63
60.927,Bluetooth,-75
60.928,Bluetooth,-74
60.964,Bluetooth,-64
60.994,Bluetooth,-70
60.995,Bluetooth,-70
61.033,Bluetooth,-65
61.034,Bluetooth,-65
61.066,Bluetooth,-63
61.105,Bluetooth,-68
61.106,Bluetooth,-67
61.145,Bluetooth,-69
61.146,Bluetooth,-69
61.184,Bluetooth,-61
61.185,Bluetooth,-62
61.224,Bluetooth,-66
61.225,Bluetooth,-66
61.262,Bluetooth,-62
61.293,Bluetooth,-65
61.294,Bluetooth,-67
61.374,Bluetooth,-61
61.375,Bluetooth,-61
61.444,Bluetooth,-64
61.445,Bluetooth,-64
61.483,Bluetooth,-72
61.485,Bluetooth,-72
61.552,Bluetooth,-63
61.583,Bluetooth,-63
61.584,Bluetooth,-62
61.685,Bluetooth,-60
61.686,Bluetooth,-58
61.723,Bluetooth,-66
61.723,Bluetooth,-67
61.763,Bluetooth,-66
61.764,Bluetooth,-67
61.791,Bluetooth,-60
61.792,Bluetooth,-60
61.826,Bluetooth,-67
61.827,Bluetooth,-66
61.865,Bluetooth,-70
61.972,Bluetooth,-61
61.973,Bluetooth,-61
62.002,Bluetooth,-60
62.003,Bluetooth,-60
62.037,Bluetooth,-63
62.038,Bluetooth,-63
62.175,Bluetooth,-63
62.176,Bluetooth,-64
62.242,Bluetooth,-57
62.243,Bluetooth,-59
62.272,Bluetooth,-55
62.273,Bluetooth,-57
62.305,Bluetooth,-70
62.306,Bluetooth,-70
62.341,Bluetooth,-58
62.342,Bluetooth,-57
62.404,Bluetooth,-57
62.405,Bluetooth,-57
62.506,Bluetooth,-64
62.540,Bluetooth,-61
62.540,Bluetooth,-61
62.575,Bluetooth,-64
62.575,Bluetooth,-62
62.660,Bluetooth,-65
62.661,Bluetooth,-64
62.759,Bluetooth,-59
62.759,Bluetooth,-58
62.790,Bluetooth,-65
62.791,Bluetooth,-65
62.822,Bluetooth,-62
62.823,Bluetooth,-62
62.925,Bluetooth,-68
62.926,Bluetooth,-69
62.962,Bluetooth,-61
62.963,Bluetooth,-60
63.001,Bluetooth,-57
63.002,Bluetooth,-58
63.039,Bluetooth,-69
63.077,Bluetooth,-69
63.145,Bluetooth,-56
63.146,Bluetooth,-57
63.184,Bluetooth,-57
63.184,Bluetooth,-56
63.257,Bluetooth,-57
63.258,Bluetooth,-57
63.327,Bluetooth,-71
63.328,Bluetooth,-71
63.403,Bluetooth,-72
63.404,Bluetooth,-72
63.431,Bluetooth,-57
63.431,Bluetooth,-58
