Distance,10.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.002,Bluetooth,-60
0.003,Bluetooth,-61
0.032,Bluetooth,-58
0.033,Bluetooth,-58
0.102,Bluetooth,-63
0.134,Bluetooth,-54
0.135,Bluetooth,-55
0.170,Bluetooth,-61
0.242,Bluetooth,-53
0.243,Bluetooth,-53
0.273,Bluetooth,-59
0.274,Bluetooth,-59
0.306,Bluetooth,-61
0.307,Bluetooth,-62
0.342,Bluetooth,-75
0.343,Bluetooth,-76
0.378,Bluetooth,-64
0.379,Bluetooth,-63
0.446,Bluetooth,-60
0.447,Bluetooth,-60
0.484,Bluetooth,-56
0.485,Bluetooth,-56
0.525,Bluetooth,-62
0.526,Bluetooth,-62
0.555,Bluetooth,-67
0.556,Bluetooth,-68
0.587,Bluetooth,-58
0.588,Bluetooth,-58
0.658,Bluetooth,-69
0.659,Bluetooth,-70
0.687,Bluetooth,-67
0.688,Bluetooth,-68
0.792,Bluetooth,-65
0.793,Bluetooth,-64
0.823,Bluetooth,-57
0.824,Bluetooth,-57
0.858,Bluetooth,-72
0.859,Bluetooth,-72
0.924,Bluetooth,-61
0.926,Bluetooth,-60
1.031,Bluetooth,-83
1.032,Bluetooth,-83
1.061,Bluetooth,-62
1.063,Bluetooth,-62
1.102,Bluetooth,-61
1.142,Bluetooth,-68
1.143,Bluetooth,-68
1.171,Bluetooth,-64
1.172,Bluetooth,-66
1.280,Bluetooth,-74
1.281,Bluetooth,-74
1.311,Bluetooth,-68
1.313,Bluetooth,-68
1.379,Bluetooth,-72
1.380,Bluetooth,-72
1.411,Bluetooth,-64
1.412,Bluetooth,-65
1.447,Bluetooth,-67
1.488,Bluetooth,-74
1.489,Bluetooth,-74
1.522,Bluetooth,-61
1.559,Bluetooth,-68
1.561,Bluetooth,-69
1.593,Bluetooth,-68
1.656,Bluetooth,-70
1.726,Bluetooth,-54
1.727,Bluetooth,-55
1.798,Bluetooth,-62
1.799,Bluetooth,-62
1.838,Bluetooth,-58
1.839,Bluetooth,-57
1.871,Bluetooth,-60
1.872,Bluetooth,-59
1.901,Bluetooth,-66
1.935,Bluetooth,-60
1.936,Bluetooth,-61
1.969,Bluetooth,-67
1.970,Bluetooth,-66
2.005,Bluetooth,-65
2.042,Bluetooth,-57
2.044,Bluetooth,-57
2.086,Bluetooth,-69
2.087,Bluetooth,-69
2.181,Bluetooth,-59
2.182,Bluetooth,-61
2.274,Bluetooth,-68
2.275,Bluetooth,-69
2.313,Bluetooth,-60
2.314,Bluetooth,-60
2.348,Bluetooth,-73
2.349,Bluetooth,-74
2.381,Bluetooth,-68
2.382,Bluetooth,-68
2.418,Bluetooth,-60
2.419,Bluetooth,-61
2.451,Bluetooth,-70
2.452,Bluetooth,-69
2.484,Bluetooth,-66
2.486,Bluetooth,-66
2.515,Bluetooth,-64
2.516,Bluetooth,-64
2.548,Bluetooth,-65
2.549,Bluetooth,-63
2.587,Bluetooth,-66
2.588,Bluetooth,-65
2.652,Bluetooth,-65
2.653,Bluetooth,-65
2.790,Bluetooth,-66
2.792,Bluetooth,-66
2.823,Bluetooth,-63
2.825,Bluetooth,-65
2.861,Bluetooth,-70
2.897,Bluetooth,-69
2.898,Bluetooth,-67
2.931,Bluetooth,-62
2.931,Bluetooth,-63
2.960,Bluetooth,-71
2.961,Bluetooth,-71
2.996,Bluetooth,-71
3.001,Bluetooth,-72
3.037,Bluetooth,-60
3.038,Bluetooth,-62
3.068,Bluetooth,-61
3.069,Bluetooth,-62
3.107,Bluetooth,-72
3.178,Bluetooth,-62
3.179,Bluetooth,-61
3.212,Bluetooth,-70
3.214,Bluetooth,-71
3.288,Bluetooth,-61
3.350,Bluetooth,-71
3.351,Bluetooth,-71
3.391,Bluetooth,-73
3.457,Bluetooth,-71
3.458,Bluetooth,-71
3.496,Bluetooth,-75
3.604,Bluetooth,-74
3.675,Bluetooth,-62
3.677,Bluetooth,-62
3.708,Bluetooth,-72
3.742,Bluetooth,-73
3.743,Bluetooth,-74
3.780,Bluetooth,-63
3.781,Bluetooth,-62
3.814,Bluetooth,-71
3.815,Bluetooth,-70
76.927,Bluetooth,-65
76.929,Bluetooth,-65
76.959,Bluetooth,-70
76.960,Bluetooth,-70
76.992,Bluetooth,-70
76.993,Bluetooth,-70
77.023,Bluetooth,-59
77.024,Bluetooth,-59
77.057,Bluetooth,-66
77.058,Bluetooth,-65
77.088,Bluetooth,-71
77.089,Bluetooth,-71
77.122,Bluetooth,-60
77.160,Bluetooth,-65
77.162,Bluetooth,-65
77.197,Bluetooth,-71
77.198,Bluetooth,-69
77.229,Bluetooth,-70
77.230,Bluetooth,-71
77.264,Bluetooth,-60
77.266,Bluetooth,-61
77.300,Bluetooth,-66
77.301,Bluetooth,-64
77.332,Bluetooth,-71
77.333,Bluetooth,-69
77.360,Bluetooth,-61
77.361,Bluetooth,-60
77.392,Bluetooth,-60
77.426,Bluetooth,-65
77.428,Bluetooth,-65
77.463,Bluetooth,-72
77.464,Bluetooth,-72
77.530,Bluetooth,-65
77.531,Bluetooth,-65
77.566,Bluetooth,-73
77.568,Bluetooth,-72
77.599,Bluetooth,-60
77.601,Bluetooth,-60
77.630,Bluetooth,-61
77.632,Bluetooth,-60
77.662,Bluetooth,-63
77.701,Bluetooth,-72
77.703,Bluetooth,-71
77.764,Bluetooth,-65
77.765,Bluetooth,-65
77.801,Bluetooth,-71
77.802,Bluetooth,-72
77.832,Bluetooth,-67
77.833,Bluetooth,-68
77.865,Bluetooth,-60
77.900,Bluetooth,-65
77.901,Bluetooth,-65
77.937,Bluetooth,-72
77.938,Bluetooth,-72
