Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-48
0.000,Bluetooth,-47
0.037,Bluetooth,-48
0.039,Bluetooth,-49
0.144,Bluetooth,-48
0.145,Bluetooth,-48
0.175,Bluetooth,-48
0.176,Bluetooth,-48
0.251,Bluetooth,-47
0.251,Bluetooth,-48
0.323,Bluetooth,-48
0.324,Bluetooth,-48
0.357,Bluetooth,-47
0.357,Bluetooth,-47
0.396,Bluetooth,-48
0.398,Bluetooth,-48
0.436,Bluetooth,-48
0.437,Bluetooth,-48
0.476,Bluetooth,-47
0.477,Bluetooth,-47
0.684,Bluetooth,-48
0.685,Bluetooth,-47
0.720,Bluetooth,-49
0.721,Bluetooth,-48
0.753,Bluetooth,-47
0.754,Bluetooth,-49
0.792,Bluetooth,-47
0.905,Bluetooth,-48
0.907,Bluetooth,-48
0.943,Bluetooth,-47
0.944,Bluetooth,-48
0.974,Bluetooth,-48
0.975,Bluetooth,-47
1.043,Bluetooth,-48
1.043,Bluetooth,-48
1.223,Bluetooth,-48
1.224,Bluetooth,-48
1.257,Bluetooth,-48
1.257,Bluetooth,-48
1.292,Bluetooth,-48
1.293,Bluetooth,-48
1.333,Bluetooth,-47
1.335,Bluetooth,-48
1.370,Bluetooth,-48
1.372,Bluetooth,-48
1.404,Bluetooth,-47
1.478,Bluetooth,-49
1.479,Bluetooth,-48
1.513,Bluetooth,-48
1.514,Bluetooth,-47
1.544,Bluetooth,-48
1.581,Bluetooth,-49
1.582,Bluetooth,-48
1.621,Bluetooth,-48
1.622,Bluetooth,-48
1.660,Bluetooth,-47
1.660,Bluetooth,-48
1.696,Bluetooth,-48
1.727,Bluetooth,-48
1.728,Bluetooth,-48
1.765,Bluetooth,-48
1.766,Bluetooth,-48
1.843,Bluetooth,-48
1.843,Bluetooth,-47
1.872,Bluetooth,-47
1.874,Bluetooth,-48
1.912,Bluetooth,-48
1.913,Bluetooth,-47
1.941,Bluetooth,-48
1.942,Bluetooth,-47
1.972,Bluetooth,-48
1.973,Bluetooth,-48
2.154,Bluetooth,-48
2.155,Bluetooth,-48
2.220,Bluetooth,-47
2.220,Bluetooth,-48
2.250,Bluetooth,-48
2.251,Bluetooth,-48
2.280,Bluetooth,-50
2.456,Bluetooth,-48
2.457,Bluetooth,-48
2.486,Bluetooth,-48
2.486,Bluetooth,-49
2.529,Bluetooth,-49
2.530,Bluetooth,-47
2.665,Bluetooth,-48
2.666,Bluetooth,-49
2.700,Bluetooth,-50
2.701,Bluetooth,-49
2.729,Bluetooth,-48
2.730,Bluetooth,-50
2.866,Bluetooth,-49
2.868,Bluetooth,-49
2.902,Bluetooth,-49
2.937,Bluetooth,-49
2.939,Bluetooth,-49
3.015,Bluetooth,-49
3.016,Bluetooth,-48
3.046,Bluetooth,-50
3.047,Bluetooth,-49
3.084,Bluetooth,-49
3.086,Bluetooth,-49
3.119,Bluetooth,-49
3.119,Bluetooth,-49
3.153,Bluetooth,-49
3.154,Bluetooth,-49
3.193,Bluetooth,-49
3.224,Bluetooth,-50
3.264,Bluetooth,-48
3.266,Bluetooth,-49
3.299,Bluetooth,-49
3.300,Bluetooth,-50
3.435,Bluetooth,-49
3.436,Bluetooth,-48
3.466,Bluetooth,-49
3.467,Bluetooth,-49
3.504,Bluetooth,-48
3.608,Bluetooth,-50
3.609,Bluetooth,-49
3.637,Bluetooth,-49
3.639,Bluetooth,-49
3.673,Bluetooth,-49
3.778,Bluetooth,-49
3.779,Bluetooth,-49
3.780,Bluetooth,-50
3.815,Bluetooth,-49
3.816,Bluetooth,-50
3.852,Bluetooth,-49
3.853,Bluetooth,-49
3.918,Bluetooth,-49
3.918,Bluetooth,-49
91.494,Bluetooth,-60
91.495,Bluetooth,-59
91.601,Bluetooth,-55
91.602,Bluetooth,-55
91.679,Bluetooth,-59
91.712,Bluetooth,-59
91.713,Bluetooth,-59
91.773,Bluetooth,-59
91.774,Bluetooth,-59
91.809,Bluetooth,-55
91.810,Bluetooth,-55
91.850,Bluetooth,-59
91.850,Bluetooth,-59
91.885,Bluetooth,-59
91.886,Bluetooth,-59
91.919,Bluetooth,-55
91.920,Bluetooth,-56
91.956,Bluetooth,-59
91.957,Bluetooth,-59
91.997,Bluetooth,-60
92.070,Bluetooth,-60
92.071,Bluetooth,-59
92.103,Bluetooth,-54
92.133,Bluetooth,-61
92.133,Bluetooth,-61
92.200,Bluetooth,-54
92.201,Bluetooth,-53
92.276,Bluetooth,-53
92.535,Bluetooth,-49
92.536,Bluetooth,-49
92.572,Bluetooth,-50
92.574,Bluetooth,-51
92.607,Bluetooth,-50
92.646,Bluetooth,-51
92.647,Bluetooth,-51
92.679,Bluetooth,-49
92.680,Bluetooth,-49
92.782,Bluetooth,-47
92.783,Bluetooth,-48
92.813,Bluetooth,-49
92.884,Bluetooth,-48
92.917,Bluetooth,-50
92.918,Bluetooth,-51
92.956,Bluetooth,-48
92.957,Bluetooth,-48
93.066,Bluetooth,-49
93.067,Bluetooth,-50
93.105,Bluetooth,-51
93.106,Bluetooth,-52
93.144,Bluetooth,-49
93.145,Bluetooth,-49
93.178,Bluetooth,-50
93.215,Bluetooth,-50
93.216,Bluetooth,-50
93.279,Bluetooth,-51
93.280,Bluetooth,-51
93.347,Bluetooth,-50
93.348,Bluetooth,-50
93.383,Bluetooth,-52
93.384,Bluetooth,-52
93.424,Bluetooth,-51
93.425,Bluetooth,-50
93.521,Bluetooth,-52
93.522,Bluetooth,-52
93.553,Bluetooth,-54
93.554,Bluetooth,-53
93.659,Bluetooth,-51
93.660,Bluetooth,-50
93.694,Bluetooth,-51
93.694,Bluetooth,-50
93.768,Bluetooth,-51
93.769,Bluetooth,-51
93.806,Bluetooth,-50
93.873,Bluetooth,-50
93.913,Bluetooth,-47
93.914,Bluetooth,-47
93.978,Bluetooth,-50
93.979,Bluetooth,-51
94.151,Bluetooth,-51
94.152,Bluetooth,-51
94.193,Bluetooth,-50
94.194,Bluetooth,-51
94.262,Bluetooth,-49
94.262,Bluetooth,-49
94.370,Bluetooth,-50
94.371,Bluetooth,-51
94.536,Bluetooth,-51
94.536,Bluetooth,-50
94.601,Bluetooth,-49
94.602,Bluetooth,-49
94.639,Bluetooth,-50
94.640,Bluetooth,-50
94.669,Bluetooth,-49
94.669,Bluetooth,-50
94.704,Bluetooth,-49
94.772,Bluetooth,-50
94.773,Bluetooth,-49
94.840,Bluetooth,-49
94.841,Bluetooth,-49
94.911,Bluetooth,-49
94.912,Bluetooth,-50
94.943,Bluetooth,-50
94.944,Bluetooth,-49
95.077,Bluetooth,-48
95.078,Bluetooth,-49
95.114,Bluetooth,-49
95.115,Bluetooth,-48
95.150,Bluetooth,-49
95.151,Bluetooth,-49
95.181,Bluetooth,-50
95.182,Bluetooth,-49
95.211,Bluetooth,-49
95.213,Bluetooth,-49
95.241,Bluetooth,-49
95.242,Bluetooth,-49
95.304,Bluetooth,-49
95.371,Bluetooth,-50
95.372,Bluetooth,-50
95.405,Bluetooth,-49
95.406,Bluetooth,-50
167.803,Bluetooth,-50
167.804,Bluetooth,-51
167.836,Bluetooth,-50
167.838,Bluetooth,-51
167.874,Bluetooth,-56
167.875,Bluetooth,-57
168.043,Bluetooth,-57
168.044,Bluetooth,-57
168.075,Bluetooth,-53
168.184,Bluetooth,-53
168.221,Bluetooth,-57
168.222,Bluetooth,-56
168.421,Bluetooth,-51
168.422,Bluetooth,-51
168.459,Bluetooth,-55
168.460,Bluetooth,-55
168.495,Bluetooth,-51
168.572,Bluetooth,-56
168.573,Bluetooth,-56
168.607,Bluetooth,-55
168.607,Bluetooth,-55
168.643,Bluetooth,-50
168.643,Bluetooth,-51
168.703,Bluetooth,-56
168.704,Bluetooth,-57
168.735,Bluetooth,-54
168.736,Bluetooth,-53
168.812,Bluetooth,-56
168.841,Bluetooth,-56
168.841,Bluetooth,-55
168.949,Bluetooth,-55
168.950,Bluetooth,-54
168.980,Bluetooth,-55
168.981,Bluetooth,-55
169.013,Bluetooth,-56
169.014,Bluetooth,-55
169.052,Bluetooth,-52
169.053,Bluetooth,-53
169.087,Bluetooth,-55
169.152,Bluetooth,-54
169.153,Bluetooth,-54
169.222,Bluetooth,-51
169.223,Bluetooth,-51
169.254,Bluetooth,-56
169.255,Bluetooth,-57
169.322,Bluetooth,-51
169.323,Bluetooth,-50
169.356,Bluetooth,-57
169.357,Bluetooth,-56
169.426,Bluetooth,-56
169.427,Bluetooth,-58
169.467,Bluetooth,-55
169.468,Bluetooth,-55
169.500,Bluetooth,-52
169.501,Bluetooth,-51
169.567,Bluetooth,-56
169.568,Bluetooth,-56
169.602,Bluetooth,-54
169.603,Bluetooth,-53
169.633,Bluetooth,-52
169.634,Bluetooth,-52
169.662,Bluetooth,-56
169.663,Bluetooth,-57
169.700,Bluetooth,-56
169.736,Bluetooth,-55
169.737,Bluetooth,-55
169.768,Bluetooth,-52
169.769,Bluetooth,-52
169.804,Bluetooth,-55
169.833,Bluetooth,-56
169.834,Bluetooth,-55
169.895,Bluetooth,-55
169.896,Bluetooth,-55
169.930,Bluetooth,-54
169.931,Bluetooth,-53
170.063,Bluetooth,-56
170.064,Bluetooth,-55
170.095,Bluetooth,-55
170.196,Bluetooth,-55
170.197,Bluetooth,-55
170.233,Bluetooth,-54
170.233,Bluetooth,-54
170.269,Bluetooth,-57
170.270,Bluetooth,-56
170.300,Bluetooth,-56
170.335,Bluetooth,-55
170.336,Bluetooth,-55
170.366,Bluetooth,-53
170.367,Bluetooth,-54
170.433,Bluetooth,-55
170.435,Bluetooth,-56
170.499,Bluetooth,-53
170.500,Bluetooth,-52
170.535,Bluetooth,-51
170.536,Bluetooth,-51
170.603,Bluetooth,-52
170.673,Bluetooth,-53
170.674,Bluetooth,-52
170.751,Bluetooth,-54
170.751,Bluetooth,-53
170.817,Bluetooth,-51
170.818,Bluetooth,-51
