Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-66
0.002,Bluetooth,-67
0.036,Bluetooth,-69
0.039,Bluetooth,-70
0.071,Bluetooth,-65
0.215,Bluetooth,-62
0.218,Bluetooth,-64
0.249,Bluetooth,-62
0.250,Bluetooth,-62
0.322,Bluetooth,-64
0.325,Bluetooth,-64
0.354,Bluetooth,-63
0.385,Bluetooth,-64
0.387,Bluetooth,-64
0.418,Bluetooth,-63
0.420,Bluetooth,-62
0.458,Bluetooth,-66
0.460,Bluetooth,-66
0.521,Bluetooth,-64
0.523,Bluetooth,-64
0.561,Bluetooth,-65
0.562,Bluetooth,-66
0.669,Bluetooth,-61
0.699,Bluetooth,-62
0.701,Bluetooth,-62
0.733,Bluetooth,-63
0.773,Bluetooth,-70
0.775,Bluetooth,-70
0.803,Bluetooth,-64
0.805,Bluetooth,-64
0.840,Bluetooth,-64
0.842,Bluetooth,-64
0.875,Bluetooth,-68
0.877,Bluetooth,-68
0.907,Bluetooth,-66
0.909,Bluetooth,-66
0.943,Bluetooth,-63
0.980,Bluetooth,-66
1.020,Bluetooth,-62
1.022,Bluetooth,-63
1.125,Bluetooth,-66
1.127,Bluetooth,-66
1.160,Bluetooth,-64
1.162,Bluetooth,-63
1.197,Bluetooth,-62
1.199,Bluetooth,-63
1.342,Bluetooth,-72
1.344,Bluetooth,-71
1.372,Bluetooth,-68
1.373,Bluetooth,-68
1.405,Bluetooth,-62
1.407,Bluetooth,-62
1.439,Bluetooth,-62
1.441,Bluetooth,-62
1.520,Bluetooth,-62
1.522,Bluetooth,-62
1.548,Bluetooth,-73
1.585,Bluetooth,-64
1.587,Bluetooth,-64
1.618,Bluetooth,-63
1.620,Bluetooth,-64
1.754,Bluetooth,-71
1.756,Bluetooth,-72
1.831,Bluetooth,-62
1.863,Bluetooth,-63
1.894,Bluetooth,-67
1.896,Bluetooth,-67
1.925,Bluetooth,-73
1.927,Bluetooth,-74
1.960,Bluetooth,-74
1.963,Bluetooth,-74
1.994,Bluetooth,-70
1.996,Bluetooth,-70
2.180,Bluetooth,-65
2.182,Bluetooth,-66
2.246,Bluetooth,-66
2.249,Bluetooth,-66
