Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-64
0.002,Bluetooth,-64
0.061,Bluetooth,-62
0.062,Bluetooth,-62
0.096,Bluetooth,-65
0.097,Bluetooth,-65
0.195,Bluetooth,-65
0.195,Bluetooth,-65
0.234,Bluetooth,-57
0.235,Bluetooth,-57
0.261,Bluetooth,-62
0.262,Bluetooth,-62
0.314,Bluetooth,-62
0.410,Bluetooth,-69
0.411,Bluetooth,-69
0.474,Bluetooth,-62
0.475,Bluetooth,-63
0.506,Bluetooth,-64
0.507,Bluetooth,-65
0.567,Bluetooth,-62
0.568,Bluetooth,-62
0.661,Bluetooth,-61
0.662,Bluetooth,-62
0.694,Bluetooth,-68
0.695,Bluetooth,-67
0.755,Bluetooth,-61
0.756,Bluetooth,-62
0.789,Bluetooth,-68
0.790,Bluetooth,-69
0.820,Bluetooth,-59
0.822,Bluetooth,-58
0.853,Bluetooth,-62
0.854,Bluetooth,-61
0.917,Bluetooth,-70
0.918,Bluetooth,-70
0.984,Bluetooth,-69
0.985,Bluetooth,-69
1.075,Bluetooth,-60
1.076,Bluetooth,-61
1.108,Bluetooth,-68
1.110,Bluetooth,-69
1.168,Bluetooth,-62
1.173,Bluetooth,-61
1.204,Bluetooth,-68
1.205,Bluetooth,-69
1.267,Bluetooth,-61
1.268,Bluetooth,-60
1.362,Bluetooth,-61
1.391,Bluetooth,-69
1.452,Bluetooth,-61
1.453,Bluetooth,-61
1.520,Bluetooth,-70
1.521,Bluetooth,-70
1.549,Bluetooth,-61
1.550,Bluetooth,-61
1.579,Bluetooth,-69
1.580,Bluetooth,-70
1.646,Bluetooth,-62
1.647,Bluetooth,-62
1.709,Bluetooth,-70
1.711,Bluetooth,-71
1.741,Bluetooth,-63
1.742,Bluetooth,-61
1.774,Bluetooth,-62
1.775,Bluetooth,-62
1.803,Bluetooth,-73
1.806,Bluetooth,-73
1.872,Bluetooth,-63
1.873,Bluetooth,-61
1.904,Bluetooth,-73
1.905,Bluetooth,-73
1.969,Bluetooth,-62
1.970,Bluetooth,-63
2.063,Bluetooth,-62
2.064,Bluetooth,-61
2.096,Bluetooth,-74
2.097,Bluetooth,-74
2.198,Bluetooth,-74
2.199,Bluetooth,-74
2.262,Bluetooth,-62
2.263,Bluetooth,-62
2.329,Bluetooth,-59
2.330,Bluetooth,-58
2.418,Bluetooth,-74
2.423,Bluetooth,-75
2.450,Bluetooth,-63
2.451,Bluetooth,-63
2.513,Bluetooth,-75
2.514,Bluetooth,-75
2.544,Bluetooth,-63
2.545,Bluetooth,-62
2.606,Bluetooth,-75
2.609,Bluetooth,-76
2.675,Bluetooth,-62
2.675,Bluetooth,-63
2.708,Bluetooth,-76
2.709,Bluetooth,-75
2.768,Bluetooth,-62
2.769,Bluetooth,-63
2.802,Bluetooth,-77
2.803,Bluetooth,-77
2.865,Bluetooth,-63
2.866,Bluetooth,-61
2.963,Bluetooth,-62
2.963,Bluetooth,-63
2.993,Bluetooth,-78
2.994,Bluetooth,-78
3.033,Bluetooth,-57
3.059,Bluetooth,-62
3.060,Bluetooth,-62
3.090,Bluetooth,-78
3.155,Bluetooth,-65
3.157,Bluetooth,-65
3.185,Bluetooth,-66
3.186,Bluetooth,-68
3.347,Bluetooth,-62
3.348,Bluetooth,-62
3.475,Bluetooth,-62
3.476,Bluetooth,-62
3.569,Bluetooth,-62
3.570,Bluetooth,-62
3.602,Bluetooth,-80
3.604,Bluetooth,-80
3.666,Bluetooth,-63
3.668,Bluetooth,-63
3.794,Bluetooth,-79
3.795,Bluetooth,-80
3.860,Bluetooth,-61
3.861,Bluetooth,-63
3.958,Bluetooth,-62
3.959,Bluetooth,-62
61.207,Bluetooth,-79
61.267,Bluetooth,-81
61.268,Bluetooth,-81
61.299,Bluetooth,-81
61.301,Bluetooth,-81
61.365,Bluetooth,-81
61.366,Bluetooth,-81
61.493,Bluetooth,-79
61.494,Bluetooth,-78
61.529,Bluetooth,-73
61.530,Bluetooth,-74
61.588,Bluetooth,-79
61.589,Bluetooth,-79
61.651,Bluetooth,-80
61.652,Bluetooth,-80
61.710,Bluetooth,-80
61.711,Bluetooth,-79
61.743,Bluetooth,-81
61.743,Bluetooth,-82
61.808,Bluetooth,-78
61.809,Bluetooth,-80
61.873,Bluetooth,-80
61.874,Bluetooth,-81
61.904,Bluetooth,-79
61.905,Bluetooth,-79
61.966,Bluetooth,-80
61.967,Bluetooth,-81
61.999,Bluetooth,-80
62.000,Bluetooth,-80
62.063,Bluetooth,-81
62.064,Bluetooth,-81
62.097,Bluetooth,-79
62.098,Bluetooth,-79
62.130,Bluetooth,-72
62.156,Bluetooth,-80
62.157,Bluetooth,-82
62.188,Bluetooth,-79
62.191,Bluetooth,-78
62.234,Bluetooth,-74
62.235,Bluetooth,-73
62.288,Bluetooth,-79
62.289,Bluetooth,-78
62.354,Bluetooth,-81
62.355,Bluetooth,-82
62.386,Bluetooth,-79
62.386,Bluetooth,-79
62.447,Bluetooth,-81
62.447,Bluetooth,-81
62.510,Bluetooth,-79
62.510,Bluetooth,-79
62.542,Bluetooth,-82
62.542,Bluetooth,-81
62.574,Bluetooth,-81
62.575,Bluetooth,-81
62.664,Bluetooth,-81
62.665,Bluetooth,-81
62.698,Bluetooth,-79
62.700,Bluetooth,-79
62.766,Bluetooth,-80
62.766,Bluetooth,-79
62.799,Bluetooth,-78
62.801,Bluetooth,-77
62.868,Bluetooth,-80
62.869,Bluetooth,-80
62.899,Bluetooth,-79
62.900,Bluetooth,-80
62.933,Bluetooth,-73
62.961,Bluetooth,-80
62.962,Bluetooth,-80
62.991,Bluetooth,-78
62.992,Bluetooth,-79
63.034,Bluetooth,-73
63.055,Bluetooth,-81
63.055,Bluetooth,-80
63.114,Bluetooth,-78
63.116,Bluetooth,-79
63.143,Bluetooth,-80
63.144,Bluetooth,-80
63.210,Bluetooth,-79
63.212,Bluetooth,-79
63.274,Bluetooth,-80
63.276,Bluetooth,-79
63.311,Bluetooth,-80
63.312,Bluetooth,-79
63.371,Bluetooth,-79
63.372,Bluetooth,-80
63.465,Bluetooth,-80
63.466,Bluetooth,-80
63.497,Bluetooth,-80
63.498,Bluetooth,-79
63.562,Bluetooth,-79
63.563,Bluetooth,-80
63.594,Bluetooth,-80
63.595,Bluetooth,-79
63.657,Bluetooth,-80
63.659,Bluetooth,-80
63.688,Bluetooth,-79
63.689,Bluetooth,-79
63.754,Bluetooth,-79
63.755,Bluetooth,-81
63.788,Bluetooth,-79
63.789,Bluetooth,-80
64.069,Bluetooth,-80
64.070,Bluetooth,-81
64.101,Bluetooth,-79
64.102,Bluetooth,-80
64.163,Bluetooth,-79
64.163,Bluetooth,-81
64.195,Bluetooth,-79
64.196,Bluetooth,-79
64.234,Bluetooth,-73
64.235,Bluetooth,-74
64.257,Bluetooth,-80
64.258,Bluetooth,-80
64.287,Bluetooth,-79
64.289,Bluetooth,-80
64.321,Bluetooth,-79
64.322,Bluetooth,-80
64.350,Bluetooth,-81
64.351,Bluetooth,-79
64.384,Bluetooth,-79
64.385,Bluetooth,-79
64.518,Bluetooth,-78
64.519,Bluetooth,-80
64.551,Bluetooth,-80
64.613,Bluetooth,-79
64.614,Bluetooth,-79
64.710,Bluetooth,-78
64.711,Bluetooth,-79
64.770,Bluetooth,-81
64.772,Bluetooth,-81
64.801,Bluetooth,-80
64.803,Bluetooth,-80
64.866,Bluetooth,-80
64.867,Bluetooth,-80
64.896,Bluetooth,-79
64.898,Bluetooth,-79
64.959,Bluetooth,-81
64.960,Bluetooth,-79
64.992,Bluetooth,-78
64.993,Bluetooth,-79
65.060,Bluetooth,-80
65.061,Bluetooth,-80
65.096,Bluetooth,-79
65.097,Bluetooth,-79
65.158,Bluetooth,-80
65.159,Bluetooth,-80
65.188,Bluetooth,-79
65.189,Bluetooth,-79
143.160,Bluetooth,-75
143.161,Bluetooth,-74
143.234,Bluetooth,-67
143.253,Bluetooth,-73
143.254,Bluetooth,-74
143.350,Bluetooth,-76
143.351,Bluetooth,-77
143.409,Bluetooth,-66
143.410,Bluetooth,-66
143.475,Bluetooth,-72
143.476,Bluetooth,-72
143.570,Bluetooth,-67
143.571,Bluetooth,-66
143.606,Bluetooth,-62
143.607,Bluetooth,-62
143.672,Bluetooth,-65
143.673,Bluetooth,-64
143.707,Bluetooth,-61
143.708,Bluetooth,-63
143.775,Bluetooth,-67
143.776,Bluetooth,-67
143.874,Bluetooth,-65
143.906,Bluetooth,-60
143.907,Bluetooth,-59
143.968,Bluetooth,-67
143.969,Bluetooth,-67
144.064,Bluetooth,-67
144.065,Bluetooth,-69
144.092,Bluetooth,-58
144.094,Bluetooth,-59
144.155,Bluetooth,-68
144.156,Bluetooth,-68
144.188,Bluetooth,-60
144.189,Bluetooth,-60
144.223,Bluetooth,-57
144.224,Bluetooth,-57
144.256,Bluetooth,-67
144.257,Bluetooth,-68
144.290,Bluetooth,-59
144.291,Bluetooth,-59
144.355,Bluetooth,-71
144.356,Bluetooth,-71
144.387,Bluetooth,-60
144.388,Bluetooth,-60
144.454,Bluetooth,-72
144.455,Bluetooth,-71
144.519,Bluetooth,-71
144.519,Bluetooth,-71
144.549,Bluetooth,-72
144.550,Bluetooth,-72
144.609,Bluetooth,-62
