Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-47
0.001,Bluetooth,-48
0.039,Bluetooth,-48
0.152,Bluetooth,-48
0.154,Bluetooth,-48
0.190,Bluetooth,-48
0.191,Bluetooth,-48
0.221,Bluetooth,-48
0.222,Bluetooth,-48
0.290,Bluetooth,-48
0.290,Bluetooth,-47
0.470,Bluetooth,-49
0.471,Bluetooth,-48
0.504,Bluetooth,-48
0.504,Bluetooth,-48
0.539,Bluetooth,-48
0.540,Bluetooth,-48
0.580,Bluetooth,-48
0.582,Bluetooth,-48
0.617,Bluetooth,-48
0.619,Bluetooth,-48
0.651,Bluetooth,-47
0.725,Bluetooth,-49
0.726,Bluetooth,-48
0.760,Bluetooth,-48
0.761,Bluetooth,-47
0.791,Bluetooth,-47
0.828,Bluetooth,-48
0.829,Bluetooth,-48
0.868,Bluetooth,-48
0.869,Bluetooth,-48
0.907,Bluetooth,-48
0.907,Bluetooth,-47
0.943,Bluetooth,-48
0.974,Bluetooth,-48
0.975,Bluetooth,-48
1.012,Bluetooth,-48
1.013,Bluetooth,-48
1.090,Bluetooth,-48
1.090,Bluetooth,-47
1.119,Bluetooth,-49
1.121,Bluetooth,-49
1.159,Bluetooth,-49
1.160,Bluetooth,-48
1.188,Bluetooth,-48
1.189,Bluetooth,-48
1.219,Bluetooth,-48
1.220,Bluetooth,-47
1.401,Bluetooth,-48
1.402,Bluetooth,-48
1.467,Bluetooth,-48
1.467,Bluetooth,-49
1.497,Bluetooth,-48
1.498,Bluetooth,-48
1.527,Bluetooth,-50
1.703,Bluetooth,-47
1.704,Bluetooth,-48
1.733,Bluetooth,-48
1.733,Bluetooth,-48
1.776,Bluetooth,-49
1.777,Bluetooth,-49
1.912,Bluetooth,-48
1.913,Bluetooth,-50
1.947,Bluetooth,-49
1.948,Bluetooth,-49
1.976,Bluetooth,-49
1.977,Bluetooth,-49
2.113,Bluetooth,-50
2.115,Bluetooth,-50
2.149,Bluetooth,-49
2.184,Bluetooth,-49
2.186,Bluetooth,-48
2.262,Bluetooth,-49
2.263,Bluetooth,-49
2.293,Bluetooth,-49
2.294,Bluetooth,-49
2.331,Bluetooth,-50
2.333,Bluetooth,-49
2.366,Bluetooth,-49
2.366,Bluetooth,-49
2.400,Bluetooth,-49
2.401,Bluetooth,-49
2.440,Bluetooth,-49
2.471,Bluetooth,-49
2.511,Bluetooth,-48
2.513,Bluetooth,-50
2.546,Bluetooth,-49
2.547,Bluetooth,-49
2.682,Bluetooth,-49
2.683,Bluetooth,-48
2.713,Bluetooth,-49
2.714,Bluetooth,-49
2.751,Bluetooth,-49
2.855,Bluetooth,-48
2.856,Bluetooth,-49
2.884,Bluetooth,-49
2.886,Bluetooth,-49
2.920,Bluetooth,-50
3.025,Bluetooth,-49
3.026,Bluetooth,-49
3.027,Bluetooth,-49
3.062,Bluetooth,-50
3.063,Bluetooth,-49
3.099,Bluetooth,-49
3.100,Bluetooth,-49
3.165,Bluetooth,-48
3.165,Bluetooth,-49
3.195,Bluetooth,-49
3.196,Bluetooth,-49
3.232,Bluetooth,-49
3.234,Bluetooth,-48
3.269,Bluetooth,-50
3.269,Bluetooth,-48
3.304,Bluetooth,-49
3.306,Bluetooth,-49
3.339,Bluetooth,-48
3.370,Bluetooth,-50
3.372,Bluetooth,-49
3.406,Bluetooth,-49
3.407,Bluetooth,-49
3.484,Bluetooth,-49
3.485,Bluetooth,-49
3.525,Bluetooth,-50
3.526,Bluetooth,-48
3.561,Bluetooth,-49
3.562,Bluetooth,-49
3.599,Bluetooth,-49
3.600,Bluetooth,-49
3.637,Bluetooth,-48
3.674,Bluetooth,-50
3.676,Bluetooth,-49
3.754,Bluetooth,-49
3.756,Bluetooth,-49
3.792,Bluetooth,-49
3.793,Bluetooth,-49
3.826,Bluetooth,-48
3.827,Bluetooth,-48
3.927,Bluetooth,-49
31.787,Bluetooth,-52
31.788,Bluetooth,-52
31.820,Bluetooth,-56
31.820,Bluetooth,-56
31.856,Bluetooth,-55
31.886,Bluetooth,-55
31.887,Bluetooth,-56
31.918,Bluetooth,-50
31.919,Bluetooth,-50
31.952,Bluetooth,-50
31.953,Bluetooth,-51
31.989,Bluetooth,-54
31.990,Bluetooth,-53
32.020,Bluetooth,-50
32.022,Bluetooth,-50
32.132,Bluetooth,-50
32.250,Bluetooth,-52
32.251,Bluetooth,-52
32.289,Bluetooth,-54
32.291,Bluetooth,-54
32.353,Bluetooth,-53
32.355,Bluetooth,-52
32.384,Bluetooth,-53
32.384,Bluetooth,-52
32.426,Bluetooth,-52
32.640,Bluetooth,-51
32.640,Bluetooth,-51
32.706,Bluetooth,-54
32.707,Bluetooth,-55
32.736,Bluetooth,-55
32.767,Bluetooth,-56
32.768,Bluetooth,-55
32.798,Bluetooth,-51
32.800,Bluetooth,-51
32.906,Bluetooth,-56
32.907,Bluetooth,-56
32.938,Bluetooth,-51
32.939,Bluetooth,-52
32.968,Bluetooth,-53
32.969,Bluetooth,-52
32.999,Bluetooth,-56
33.001,Bluetooth,-56
33.036,Bluetooth,-50
33.077,Bluetooth,-55
33.078,Bluetooth,-55
33.113,Bluetooth,-52
33.114,Bluetooth,-51
33.221,Bluetooth,-52
33.222,Bluetooth,-51
33.330,Bluetooth,-51
33.430,Bluetooth,-55
33.431,Bluetooth,-55
33.465,Bluetooth,-50
33.466,Bluetooth,-51
