Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-71
0.032,Bluetooth,-64
0.033,Bluetooth,-66
0.111,Bluetooth,-72
0.145,Bluetooth,-65
0.146,Bluetooth,-64
0.185,Bluetooth,-64
0.186,Bluetooth,-64
0.253,Bluetooth,-73
0.254,Bluetooth,-72
0.293,Bluetooth,-64
0.294,Bluetooth,-63
0.331,Bluetooth,-64
0.332,Bluetooth,-64
0.373,Bluetooth,-73
0.373,Bluetooth,-72
0.403,Bluetooth,-64
0.436,Bluetooth,-64
0.437,Bluetooth,-64
0.465,Bluetooth,-73
0.498,Bluetooth,-73
0.499,Bluetooth,-73
0.535,Bluetooth,-64
0.536,Bluetooth,-64
0.565,Bluetooth,-64
0.566,Bluetooth,-64
0.603,Bluetooth,-73
0.604,Bluetooth,-73
0.633,Bluetooth,-64
0.634,Bluetooth,-64
0.669,Bluetooth,-63
0.670,Bluetooth,-64
0.808,Bluetooth,-63
0.809,Bluetooth,-61
0.845,Bluetooth,-75
0.846,Bluetooth,-75
0.914,Bluetooth,-62
0.915,Bluetooth,-62
0.951,Bluetooth,-79
0.952,Bluetooth,-80
0.985,Bluetooth,-65
0.986,Bluetooth,-65
1.057,Bluetooth,-62
1.058,Bluetooth,-63
1.089,Bluetooth,-80
1.091,Bluetooth,-80
1.123,Bluetooth,-64
1.125,Bluetooth,-64
1.195,Bluetooth,-79
1.196,Bluetooth,-81
1.303,Bluetooth,-77
1.304,Bluetooth,-77
1.375,Bluetooth,-63
1.376,Bluetooth,-63
1.414,Bluetooth,-61
1.415,Bluetooth,-63
1.443,Bluetooth,-78
1.444,Bluetooth,-77
1.517,Bluetooth,-62
1.518,Bluetooth,-62
1.550,Bluetooth,-78
1.551,Bluetooth,-79
1.589,Bluetooth,-64
1.590,Bluetooth,-64
1.660,Bluetooth,-81
1.693,Bluetooth,-81
1.694,Bluetooth,-80
1.723,Bluetooth,-63
1.725,Bluetooth,-64
1.760,Bluetooth,-62
1.761,Bluetooth,-62
1.871,Bluetooth,-63
1.872,Bluetooth,-62
1.903,Bluetooth,-91
1.904,Bluetooth,-90
1.933,Bluetooth,-89
1.934,Bluetooth,-87
1.969,Bluetooth,-64
1.970,Bluetooth,-64
2.001,Bluetooth,-63
2.002,Bluetooth,-61
2.035,Bluetooth,-81
2.150,Bluetooth,-83
2.255,Bluetooth,-62
2.256,Bluetooth,-62
2.293,Bluetooth,-84
2.294,Bluetooth,-83
2.327,Bluetooth,-63
2.328,Bluetooth,-63
2.362,Bluetooth,-62
2.363,Bluetooth,-62
2.400,Bluetooth,-86
2.401,Bluetooth,-86
2.534,Bluetooth,-82
2.575,Bluetooth,-63
2.577,Bluetooth,-63
2.622,Bluetooth,-63
2.623,Bluetooth,-62
2.649,Bluetooth,-83
2.650,Bluetooth,-82
2.688,Bluetooth,-62
2.689,Bluetooth,-63
2.730,Bluetooth,-62
2.731,Bluetooth,-63
2.763,Bluetooth,-79
2.764,Bluetooth,-80
2.797,Bluetooth,-62
2.798,Bluetooth,-63
2.829,Bluetooth,-62
2.830,Bluetooth,-62
2.863,Bluetooth,-82
2.864,Bluetooth,-82
2.930,Bluetooth,-63
2.931,Bluetooth,-63
2.965,Bluetooth,-62
2.966,Bluetooth,-62
3.000,Bluetooth,-85
3.001,Bluetooth,-84
3.138,Bluetooth,-82
3.139,Bluetooth,-84
3.205,Bluetooth,-62
3.206,Bluetooth,-62
3.237,Bluetooth,-81
3.238,Bluetooth,-83
3.275,Bluetooth,-64
3.276,Bluetooth,-63
3.308,Bluetooth,-62
3.309,Bluetooth,-62
3.344,Bluetooth,-83
3.346,Bluetooth,-82
3.377,Bluetooth,-82
3.415,Bluetooth,-63
3.416,Bluetooth,-64
3.555,Bluetooth,-62
3.556,Bluetooth,-62
3.593,Bluetooth,-81
3.594,Bluetooth,-80
3.670,Bluetooth,-61
3.671,Bluetooth,-62
3.700,Bluetooth,-79
3.735,Bluetooth,-81
3.736,Bluetooth,-81
3.768,Bluetooth,-65
3.871,Bluetooth,-65
3.872,Bluetooth,-64
3.940,Bluetooth,-83
