Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-60
0.001,Bluetooth,-60
0.034,Bluetooth,-67
0.036,Bluetooth,-65
0.074,Bluetooth,-57
0.076,Bluetooth,-57
0.144,Bluetooth,-68
0.220,Bluetooth,-61
0.255,Bluetooth,-56
0.257,Bluetooth,-55
0.357,Bluetooth,-59
0.359,Bluetooth,-59
0.421,Bluetooth,-63
0.423,Bluetooth,-63
0.453,Bluetooth,-64
0.455,Bluetooth,-64
0.489,Bluetooth,-60
0.491,Bluetooth,-60
0.526,Bluetooth,-63
0.593,Bluetooth,-59
0.632,Bluetooth,-61
0.633,Bluetooth,-61
0.731,Bluetooth,-60
0.733,Bluetooth,-62
0.762,Bluetooth,-57
0.764,Bluetooth,-58
0.791,Bluetooth,-61
0.793,Bluetooth,-61
0.830,Bluetooth,-63
0.861,Bluetooth,-61
0.863,Bluetooth,-61
0.897,Bluetooth,-63
0.898,Bluetooth,-63
0.958,Bluetooth,-61
0.960,Bluetooth,-63
1.066,Bluetooth,-57
1.099,Bluetooth,-65
1.102,Bluetooth,-64
1.163,Bluetooth,-63
1.165,Bluetooth,-63
1.235,Bluetooth,-56
1.238,Bluetooth,-57
1.267,Bluetooth,-62
1.269,Bluetooth,-61
1.305,Bluetooth,-62
1.308,Bluetooth,-60
1.411,Bluetooth,-61
1.448,Bluetooth,-62
1.451,Bluetooth,-62
1.482,Bluetooth,-61
1.484,Bluetooth,-60
1.621,Bluetooth,-58
1.623,Bluetooth,-59
1.661,Bluetooth,-55
1.663,Bluetooth,-55
1.693,Bluetooth,-61
1.695,Bluetooth,-62
1.734,Bluetooth,-59
1.922,Bluetooth,-58
1.961,Bluetooth,-55
1.963,Bluetooth,-56
1.994,Bluetooth,-57
1.996,Bluetooth,-56
2.030,Bluetooth,-56
2.069,Bluetooth,-57
2.071,Bluetooth,-56
2.107,Bluetooth,-64
2.109,Bluetooth,-64
2.140,Bluetooth,-59
2.141,Bluetooth,-60
2.206,Bluetooth,-63
2.208,Bluetooth,-63
2.245,Bluetooth,-59
2.247,Bluetooth,-61
2.285,Bluetooth,-57
2.287,Bluetooth,-58
2.321,Bluetooth,-69
2.359,Bluetooth,-58
2.361,Bluetooth,-58
2.394,Bluetooth,-68
2.396,Bluetooth,-68
2.491,Bluetooth,-60
2.493,Bluetooth,-60
2.524,Bluetooth,-70
2.526,Bluetooth,-70
2.556,Bluetooth,-60
2.629,Bluetooth,-60
