Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-66
0.002,Bluetooth,-65
0.034,Bluetooth,-66
0.036,Bluetooth,-67
0.062,Bluetooth,-72
0.063,Bluetooth,-74
0.092,Bluetooth,-73
0.093,Bluetooth,-74
0.123,Bluetooth,-66
0.125,Bluetooth,-66
0.154,Bluetooth,-65
0.156,Bluetooth,-65
0.183,Bluetooth,-71
0.185,Bluetooth,-72
0.312,Bluetooth,-73
0.313,Bluetooth,-72
0.347,Bluetooth,-65
0.349,Bluetooth,-65
0.378,Bluetooth,-66
0.408,Bluetooth,-64
0.409,Bluetooth,-65
0.439,Bluetooth,-72
0.441,Bluetooth,-71
0.470,Bluetooth,-65
0.472,Bluetooth,-64
0.504,Bluetooth,-65
0.506,Bluetooth,-65
0.568,Bluetooth,-71
0.570,Bluetooth,-72
0.599,Bluetooth,-66
0.600,Bluetooth,-66
0.632,Bluetooth,-65
0.634,Bluetooth,-65
0.664,Bluetooth,-72
0.666,Bluetooth,-72
0.699,Bluetooth,-65
0.700,Bluetooth,-66
0.733,Bluetooth,-66
0.735,Bluetooth,-67
0.764,Bluetooth,-65
0.766,Bluetooth,-65
0.793,Bluetooth,-71
0.795,Bluetooth,-71
0.826,Bluetooth,-65
0.827,Bluetooth,-65
0.859,Bluetooth,-65
0.861,Bluetooth,-65
0.922,Bluetooth,-72
0.923,Bluetooth,-72
0.956,Bluetooth,-64
0.957,Bluetooth,-66
0.987,Bluetooth,-66
0.988,Bluetooth,-66
1.018,Bluetooth,-73
1.019,Bluetooth,-72
1.051,Bluetooth,-73
1.052,Bluetooth,-72
1.083,Bluetooth,-65
1.085,Bluetooth,-66
1.113,Bluetooth,-66
1.114,Bluetooth,-66
1.173,Bluetooth,-71
1.175,Bluetooth,-73
1.205,Bluetooth,-65
1.206,Bluetooth,-66
1.239,Bluetooth,-65
1.241,Bluetooth,-65
1.268,Bluetooth,-73
1.270,Bluetooth,-74
1.299,Bluetooth,-64
1.329,Bluetooth,-64
1.330,Bluetooth,-66
1.361,Bluetooth,-66
1.362,Bluetooth,-65
1.394,Bluetooth,-75
1.396,Bluetooth,-75
1.430,Bluetooth,-65
1.431,Bluetooth,-66
1.461,Bluetooth,-64
1.462,Bluetooth,-66
1.490,Bluetooth,-66
1.492,Bluetooth,-67
1.553,Bluetooth,-65
1.554,Bluetooth,-66
1.587,Bluetooth,-66
1.589,Bluetooth,-65
1.647,Bluetooth,-76
1.648,Bluetooth,-76
1.677,Bluetooth,-64
1.679,Bluetooth,-67
