Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.013,Bluetooth,-54
0.014,Bluetooth,-55
0.106,Bluetooth,-55
0.107,Bluetooth,-55
0.169,Bluetooth,-63
0.170,Bluetooth,-62
0.200,Bluetooth,-55
0.201,Bluetooth,-55
0.237,Bluetooth,-55
0.267,Bluetooth,-55
0.268,Bluetooth,-54
0.298,Bluetooth,-62
0.300,Bluetooth,-61
0.329,Bluetooth,-55
0.329,Bluetooth,-54
0.458,Bluetooth,-55
0.459,Bluetooth,-54
0.490,Bluetooth,-55
0.491,Bluetooth,-55
0.621,Bluetooth,-54
0.622,Bluetooth,-55
0.653,Bluetooth,-55
0.654,Bluetooth,-55
0.684,Bluetooth,-61
0.685,Bluetooth,-62
0.716,Bluetooth,-55
0.717,Bluetooth,-56
0.782,Bluetooth,-56
0.783,Bluetooth,-55
0.815,Bluetooth,-62
0.816,Bluetooth,-62
0.845,Bluetooth,-55
0.846,Bluetooth,-55
0.876,Bluetooth,-55
0.877,Bluetooth,-56
0.937,Bluetooth,-62
0.939,Bluetooth,-62
1.032,Bluetooth,-63
1.033,Bluetooth,-63
1.098,Bluetooth,-55
1.099,Bluetooth,-55
1.129,Bluetooth,-56
1.131,Bluetooth,-57
1.161,Bluetooth,-64
1.162,Bluetooth,-64
1.220,Bluetooth,-55
1.221,Bluetooth,-55
1.254,Bluetooth,-55
1.255,Bluetooth,-56
1.284,Bluetooth,-65
1.285,Bluetooth,-64
1.317,Bluetooth,-55
1.318,Bluetooth,-54
1.385,Bluetooth,-55
1.386,Bluetooth,-57
1.447,Bluetooth,-56
1.448,Bluetooth,-57
1.479,Bluetooth,-57
1.480,Bluetooth,-56
1.543,Bluetooth,-62
1.544,Bluetooth,-63
1.573,Bluetooth,-54
1.574,Bluetooth,-55
1.607,Bluetooth,-55
1.608,Bluetooth,-56
1.638,Bluetooth,-63
1.639,Bluetooth,-63
1.705,Bluetooth,-56
1.706,Bluetooth,-56
1.739,Bluetooth,-56
1.740,Bluetooth,-55
1.772,Bluetooth,-60
1.773,Bluetooth,-61
1.804,Bluetooth,-55
1.805,Bluetooth,-55
1.867,Bluetooth,-54
1.868,Bluetooth,-54
1.897,Bluetooth,-56
1.897,Bluetooth,-54
1.930,Bluetooth,-61
1.931,Bluetooth,-61
1.959,Bluetooth,-54
1.960,Bluetooth,-54
2.023,Bluetooth,-55
2.024,Bluetooth,-56
2.054,Bluetooth,-62
2.055,Bluetooth,-62
2.087,Bluetooth,-55
2.088,Bluetooth,-54
2.118,Bluetooth,-55
2.120,Bluetooth,-55
2.181,Bluetooth,-63
2.182,Bluetooth,-61
2.246,Bluetooth,-57
2.248,Bluetooth,-56
2.282,Bluetooth,-63
2.283,Bluetooth,-61
2.343,Bluetooth,-53
2.344,Bluetooth,-54
2.375,Bluetooth,-57
2.377,Bluetooth,-57
2.409,Bluetooth,-62
2.410,Bluetooth,-62
2.438,Bluetooth,-54
2.439,Bluetooth,-54
2.498,Bluetooth,-57
2.499,Bluetooth,-57
2.535,Bluetooth,-61
2.536,Bluetooth,-62
2.564,Bluetooth,-54
2.565,Bluetooth,-55
2.661,Bluetooth,-62
2.662,Bluetooth,-62
2.690,Bluetooth,-54
2.691,Bluetooth,-55
2.724,Bluetooth,-58
2.725,Bluetooth,-58
2.759,Bluetooth,-62
2.760,Bluetooth,-62
2.821,Bluetooth,-54
2.822,Bluetooth,-54
2.850,Bluetooth,-59
2.851,Bluetooth,-59
2.884,Bluetooth,-63
2.885,Bluetooth,-61
2.914,Bluetooth,-55
2.916,Bluetooth,-55
2.948,Bluetooth,-55
2.949,Bluetooth,-55
2.978,Bluetooth,-60
2.979,Bluetooth,-59
3.012,Bluetooth,-65
3.014,Bluetooth,-63
3.042,Bluetooth,-55
3.043,Bluetooth,-56
3.135,Bluetooth,-57
3.136,Bluetooth,-55
3.197,Bluetooth,-61
3.198,Bluetooth,-60
3.229,Bluetooth,-65
3.230,Bluetooth,-65
3.260,Bluetooth,-56
3.261,Bluetooth,-56
3.295,Bluetooth,-59
3.296,Bluetooth,-60
3.358,Bluetooth,-65
3.358,Bluetooth,-65
3.389,Bluetooth,-56
3.389,Bluetooth,-55
3.421,Bluetooth,-59
3.423,Bluetooth,-59
3.454,Bluetooth,-64
3.455,Bluetooth,-65
3.579,Bluetooth,-65
3.580,Bluetooth,-66
3.609,Bluetooth,-55
3.610,Bluetooth,-55
3.672,Bluetooth,-59
3.672,Bluetooth,-59
3.703,Bluetooth,-65
3.705,Bluetooth,-65
3.737,Bluetooth,-55
3.739,Bluetooth,-54
3.773,Bluetooth,-60
3.773,Bluetooth,-60
3.809,Bluetooth,-65
3.810,Bluetooth,-65
3.869,Bluetooth,-55
3.870,Bluetooth,-54
3.902,Bluetooth,-58
3.903,Bluetooth,-58
