Distance,15.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,sitting
0.042,Bluetooth,-65
0.043,Bluetooth,-65
0.077,Bluetooth,-86
0.078,Bluetooth,-86
0.110,Bluetooth,-67
0.111,Bluetooth,-68
0.141,Bluetooth,-65
0.142,Bluetooth,-65
0.179,Bluetooth,-86
0.180,Bluetooth,-86
0.255,Bluetooth,-64
0.256,Bluetooth,-66
0.293,Bluetooth,-84
0.294,Bluetooth,-84
0.331,Bluetooth,-67
0.333,Bluetooth,-67
0.363,Bluetooth,-67
0.364,Bluetooth,-66
0.394,Bluetooth,-65
0.395,Bluetooth,-64
0.428,Bluetooth,-82
0.429,Bluetooth,-83
0.470,Bluetooth,-67
0.471,Bluetooth,-67
0.506,Bluetooth,-64
0.507,Bluetooth,-66
0.533,Bluetooth,-83
0.534,Bluetooth,-82
0.571,Bluetooth,-68
0.572,Bluetooth,-68
0.609,Bluetooth,-65
0.610,Bluetooth,-65
0.644,Bluetooth,-71
0.645,Bluetooth,-71
0.714,Bluetooth,-67
0.716,Bluetooth,-67
0.746,Bluetooth,-65
0.747,Bluetooth,-65
0.783,Bluetooth,-84
0.784,Bluetooth,-84
0.820,Bluetooth,-67
0.889,Bluetooth,-84
0.891,Bluetooth,-83
0.928,Bluetooth,-68
0.929,Bluetooth,-67
1.004,Bluetooth,-65
1.040,Bluetooth,-81
1.041,Bluetooth,-83
1.079,Bluetooth,-68
1.080,Bluetooth,-67
1.109,Bluetooth,-65
1.110,Bluetooth,-64
1.141,Bluetooth,-82
1.142,Bluetooth,-82
1.208,Bluetooth,-64
1.209,Bluetooth,-65
1.243,Bluetooth,-65
1.244,Bluetooth,-65
1.350,Bluetooth,-65
1.352,Bluetooth,-65
1.420,Bluetooth,-70
1.457,Bluetooth,-65
1.458,Bluetooth,-66
1.493,Bluetooth,-82
1.494,Bluetooth,-81
1.529,Bluetooth,-70
1.530,Bluetooth,-70
1.565,Bluetooth,-70
1.598,Bluetooth,-66
1.673,Bluetooth,-70
1.674,Bluetooth,-69
1.710,Bluetooth,-64
1.712,Bluetooth,-65
1.749,Bluetooth,-81
1.750,Bluetooth,-80
1.785,Bluetooth,-70
1.822,Bluetooth,-66
1.824,Bluetooth,-65
1.856,Bluetooth,-80
1.857,Bluetooth,-80
1.917,Bluetooth,-72
1.919,Bluetooth,-71
1.947,Bluetooth,-65
1.948,Bluetooth,-65
2.020,Bluetooth,-71
2.059,Bluetooth,-63
2.060,Bluetooth,-66
2.091,Bluetooth,-77
2.124,Bluetooth,-77
2.125,Bluetooth,-77
2.160,Bluetooth,-71
2.196,Bluetooth,-63
2.197,Bluetooth,-65
2.234,Bluetooth,-77
2.235,Bluetooth,-78
2.265,Bluetooth,-72
2.266,Bluetooth,-71
2.298,Bluetooth,-65
2.299,Bluetooth,-65
2.362,Bluetooth,-77
2.363,Bluetooth,-76
2.393,Bluetooth,-71
2.394,Bluetooth,-71
2.425,Bluetooth,-63
2.426,Bluetooth,-64
2.464,Bluetooth,-78
2.465,Bluetooth,-78
2.494,Bluetooth,-70
2.496,Bluetooth,-71
2.568,Bluetooth,-78
2.569,Bluetooth,-78
2.602,Bluetooth,-79
2.603,Bluetooth,-78
2.634,Bluetooth,-69
2.635,Bluetooth,-69
2.667,Bluetooth,-65
2.668,Bluetooth,-64
2.701,Bluetooth,-80
2.702,Bluetooth,-79
2.731,Bluetooth,-70
2.732,Bluetooth,-71
2.763,Bluetooth,-70
2.764,Bluetooth,-70
2.791,Bluetooth,-65
2.792,Bluetooth,-63
2.833,Bluetooth,-80
2.867,Bluetooth,-70
2.868,Bluetooth,-70
2.930,Bluetooth,-80
2.931,Bluetooth,-78
2.994,Bluetooth,-70
2.994,Bluetooth,-70
3.031,Bluetooth,-65
3.032,Bluetooth,-65
3.066,Bluetooth,-82
3.067,Bluetooth,-81
3.138,Bluetooth,-65
3.139,Bluetooth,-64
3.176,Bluetooth,-84
3.177,Bluetooth,-83
3.216,Bluetooth,-67
3.217,Bluetooth,-70
3.255,Bluetooth,-65
3.282,Bluetooth,-66
3.284,Bluetooth,-66
3.313,Bluetooth,-82
3.349,Bluetooth,-68
3.350,Bluetooth,-68
3.385,Bluetooth,-65
3.386,Bluetooth,-65
3.421,Bluetooth,-83
3.422,Bluetooth,-83
3.506,Bluetooth,-65
3.507,Bluetooth,-65
3.533,Bluetooth,-82
3.570,Bluetooth,-67
3.571,Bluetooth,-69
3.603,Bluetooth,-68
3.604,Bluetooth,-69
3.634,Bluetooth,-65
3.635,Bluetooth,-65
3.668,Bluetooth,-80
3.669,Bluetooth,-81
3.704,Bluetooth,-69
3.705,Bluetooth,-68
3.734,Bluetooth,-64
3.736,Bluetooth,-65
3.764,Bluetooth,-65
3.765,Bluetooth,-65
3.796,Bluetooth,-82
3.797,Bluetooth,-81
3.829,Bluetooth,-67
3.830,Bluetooth,-69
3.864,Bluetooth,-65
3.865,Bluetooth,-65
3.946,Bluetooth,-68
3.947,Bluetooth,-68
3.974,Bluetooth,-64
3.976,Bluetooth,-63
