Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-47
0.037,Bluetooth,-46
0.039,Bluetooth,-47
0.069,Bluetooth,-49
0.070,Bluetooth,-48
0.140,Bluetooth,-47
0.141,Bluetooth,-47
0.170,Bluetooth,-48
0.172,Bluetooth,-46
0.205,Bluetooth,-48
0.206,Bluetooth,-47
0.526,Bluetooth,-49
0.527,Bluetooth,-49
0.591,Bluetooth,-50
0.629,Bluetooth,-49
0.630,Bluetooth,-48
0.665,Bluetooth,-49
0.666,Bluetooth,-50
0.738,Bluetooth,-47
0.739,Bluetooth,-48
0.820,Bluetooth,-51
0.821,Bluetooth,-50
0.857,Bluetooth,-49
0.857,Bluetooth,-49
0.946,Bluetooth,-47
0.947,Bluetooth,-48
0.987,Bluetooth,-49
0.988,Bluetooth,-48
1.020,Bluetooth,-50
1.022,Bluetooth,-50
1.090,Bluetooth,-49
1.091,Bluetooth,-49
1.127,Bluetooth,-50
1.128,Bluetooth,-50
1.157,Bluetooth,-48
1.158,Bluetooth,-48
1.192,Bluetooth,-49
1.230,Bluetooth,-48
1.231,Bluetooth,-48
1.267,Bluetooth,-48
1.268,Bluetooth,-49
1.337,Bluetooth,-48
1.338,Bluetooth,-48
1.378,Bluetooth,-49
1.379,Bluetooth,-49
1.490,Bluetooth,-50
1.735,Bluetooth,-49
1.736,Bluetooth,-49
1.764,Bluetooth,-51
1.765,Bluetooth,-49
1.840,Bluetooth,-49
1.841,Bluetooth,-49
1.920,Bluetooth,-49
1.921,Bluetooth,-49
1.992,Bluetooth,-50
1.993,Bluetooth,-50
2.025,Bluetooth,-51
2.025,Bluetooth,-51
2.103,Bluetooth,-51
2.210,Bluetooth,-51
2.210,Bluetooth,-49
2.243,Bluetooth,-49
2.244,Bluetooth,-50
2.283,Bluetooth,-48
2.284,Bluetooth,-50
2.323,Bluetooth,-50
2.324,Bluetooth,-50
2.458,Bluetooth,-49
2.458,Bluetooth,-48
2.530,Bluetooth,-49
2.531,Bluetooth,-49
2.592,Bluetooth,-47
2.593,Bluetooth,-48
2.630,Bluetooth,-48
2.631,Bluetooth,-49
2.667,Bluetooth,-47
2.668,Bluetooth,-48
2.698,Bluetooth,-48
2.842,Bluetooth,-48
2.844,Bluetooth,-48
2.920,Bluetooth,-48
2.921,Bluetooth,-48
2.957,Bluetooth,-48
2.958,Bluetooth,-49
2.998,Bluetooth,-48
3.034,Bluetooth,-48
3.035,Bluetooth,-48
3.106,Bluetooth,-47
3.106,Bluetooth,-47
3.143,Bluetooth,-49
3.145,Bluetooth,-48
3.250,Bluetooth,-47
3.251,Bluetooth,-49
3.281,Bluetooth,-47
3.282,Bluetooth,-49
3.357,Bluetooth,-48
3.357,Bluetooth,-48
3.429,Bluetooth,-48
3.430,Bluetooth,-48
3.463,Bluetooth,-47
3.463,Bluetooth,-48
3.502,Bluetooth,-47
3.504,Bluetooth,-49
3.542,Bluetooth,-48
3.543,Bluetooth,-49
3.582,Bluetooth,-47
3.583,Bluetooth,-47
3.790,Bluetooth,-49
3.791,Bluetooth,-48
3.826,Bluetooth,-48
3.827,Bluetooth,-48
3.859,Bluetooth,-47
3.860,Bluetooth,-48
3.898,Bluetooth,-46
98.183,Bluetooth,-49
98.184,Bluetooth,-49
98.220,Bluetooth,-49
98.221,Bluetooth,-49
98.256,Bluetooth,-49
98.257,Bluetooth,-49
98.287,Bluetooth,-49
98.288,Bluetooth,-49
98.317,Bluetooth,-49
98.319,Bluetooth,-48
98.347,Bluetooth,-49
98.348,Bluetooth,-49
98.410,Bluetooth,-49
98.477,Bluetooth,-49
98.478,Bluetooth,-49
98.511,Bluetooth,-50
98.512,Bluetooth,-50
98.689,Bluetooth,-48
98.758,Bluetooth,-48
98.760,Bluetooth,-47
98.865,Bluetooth,-47
98.865,Bluetooth,-48
98.928,Bluetooth,-49
98.929,Bluetooth,-49
98.996,Bluetooth,-49
99.033,Bluetooth,-49
99.034,Bluetooth,-48
99.065,Bluetooth,-50
99.066,Bluetooth,-50
99.105,Bluetooth,-48
99.106,Bluetooth,-47
99.211,Bluetooth,-50
99.212,Bluetooth,-50
99.280,Bluetooth,-49
99.281,Bluetooth,-50
99.350,Bluetooth,-49
99.351,Bluetooth,-48
99.427,Bluetooth,-49
99.427,Bluetooth,-48
99.454,Bluetooth,-49
99.526,Bluetooth,-49
99.527,Bluetooth,-49
99.561,Bluetooth,-49
99.561,Bluetooth,-48
99.593,Bluetooth,-49
99.661,Bluetooth,-50
99.662,Bluetooth,-50
99.696,Bluetooth,-49
99.697,Bluetooth,-49
99.760,Bluetooth,-51
99.761,Bluetooth,-50
99.799,Bluetooth,-50
99.800,Bluetooth,-51
99.833,Bluetooth,-49
99.834,Bluetooth,-49
99.899,Bluetooth,-51
99.933,Bluetooth,-51
99.934,Bluetooth,-51
100.009,Bluetooth,-49
100.009,Bluetooth,-49
100.043,Bluetooth,-49
100.044,Bluetooth,-49
100.079,Bluetooth,-51
100.081,Bluetooth,-51
100.119,Bluetooth,-49
100.119,Bluetooth,-50
100.192,Bluetooth,-51
100.232,Bluetooth,-51
100.233,Bluetooth,-51
100.266,Bluetooth,-51
100.267,Bluetooth,-51
100.295,Bluetooth,-49
100.295,Bluetooth,-49
100.401,Bluetooth,-50
100.402,Bluetooth,-49
100.581,Bluetooth,-49
100.582,Bluetooth,-48
100.623,Bluetooth,-48
100.624,Bluetooth,-48
100.728,Bluetooth,-49
100.729,Bluetooth,-48
100.786,Bluetooth,-51
100.824,Bluetooth,-51
100.825,Bluetooth,-51
100.960,Bluetooth,-50
100.961,Bluetooth,-51
100.995,Bluetooth,-50
100.996,Bluetooth,-51
101.032,Bluetooth,-50
101.033,Bluetooth,-49
101.063,Bluetooth,-56
101.064,Bluetooth,-56
101.100,Bluetooth,-56
101.132,Bluetooth,-58
101.132,Bluetooth,-57
101.163,Bluetooth,-54
101.164,Bluetooth,-54
101.203,Bluetooth,-56
101.204,Bluetooth,-56
101.438,Bluetooth,-57
101.440,Bluetooth,-59
101.505,Bluetooth,-56
101.506,Bluetooth,-57
101.536,Bluetooth,-54
101.537,Bluetooth,-55
101.566,Bluetooth,-58
101.567,Bluetooth,-58
101.605,Bluetooth,-57
101.605,Bluetooth,-56
101.647,Bluetooth,-55
101.648,Bluetooth,-55
101.686,Bluetooth,-57
101.757,Bluetooth,-56
101.759,Bluetooth,-56
101.864,Bluetooth,-59
101.865,Bluetooth,-58
101.929,Bluetooth,-55
101.930,Bluetooth,-55
101.999,Bluetooth,-56
102.066,Bluetooth,-58
102.067,Bluetooth,-58
102.104,Bluetooth,-54
102.105,Bluetooth,-52
102.143,Bluetooth,-58
102.144,Bluetooth,-58
188.945,Bluetooth,-58
189.156,Bluetooth,-51
189.157,Bluetooth,-51
189.194,Bluetooth,-55
189.195,Bluetooth,-54
189.234,Bluetooth,-54
189.236,Bluetooth,-55
189.269,Bluetooth,-51
189.270,Bluetooth,-51
189.309,Bluetooth,-53
189.341,Bluetooth,-51
189.342,Bluetooth,-51
189.378,Bluetooth,-55
189.379,Bluetooth,-55
189.414,Bluetooth,-56
189.415,Bluetooth,-55
189.442,Bluetooth,-51
189.443,Bluetooth,-51
189.509,Bluetooth,-54
189.510,Bluetooth,-54
189.547,Bluetooth,-55
189.549,Bluetooth,-55
189.686,Bluetooth,-55
189.755,Bluetooth,-51
189.757,Bluetooth,-51
189.789,Bluetooth,-55
189.790,Bluetooth,-54
189.820,Bluetooth,-55
189.822,Bluetooth,-55
189.851,Bluetooth,-53
189.852,Bluetooth,-54
190.027,Bluetooth,-55
190.028,Bluetooth,-56
190.100,Bluetooth,-55
190.101,Bluetooth,-54
190.135,Bluetooth,-55
190.137,Bluetooth,-55
190.271,Bluetooth,-55
190.273,Bluetooth,-54
190.310,Bluetooth,-55
190.310,Bluetooth,-56
190.343,Bluetooth,-52
190.345,Bluetooth,-52
190.384,Bluetooth,-53
190.385,Bluetooth,-55
190.420,Bluetooth,-54
190.421,Bluetooth,-56
190.481,Bluetooth,-52
190.483,Bluetooth,-52
190.520,Bluetooth,-52
190.522,Bluetooth,-52
190.590,Bluetooth,-54
190.591,Bluetooth,-53
190.628,Bluetooth,-55
190.629,Bluetooth,-55
190.663,Bluetooth,-52
190.664,Bluetooth,-53
190.704,Bluetooth,-56
190.705,Bluetooth,-53
190.742,Bluetooth,-55
190.743,Bluetooth,-55
190.774,Bluetooth,-50
190.775,Bluetooth,-50
190.813,Bluetooth,-51
190.921,Bluetooth,-54
190.921,Bluetooth,-54
190.954,Bluetooth,-55
190.955,Bluetooth,-54
190.983,Bluetooth,-51
190.984,Bluetooth,-50
191.014,Bluetooth,-51
191.047,Bluetooth,-54
191.047,Bluetooth,-55
191.122,Bluetooth,-54
191.124,Bluetooth,-55
191.187,Bluetooth,-52
191.322,Bluetooth,-54
191.323,Bluetooth,-54
191.397,Bluetooth,-55
191.431,Bluetooth,-50
191.468,Bluetooth,-52
191.605,Bluetooth,-53
191.605,Bluetooth,-53
191.643,Bluetooth,-54
191.643,Bluetooth,-55
191.710,Bluetooth,-51
191.746,Bluetooth,-50
191.747,Bluetooth,-50
191.888,Bluetooth,-52
191.889,Bluetooth,-52
191.991,Bluetooth,-53
192.022,Bluetooth,-51
192.023,Bluetooth,-51
192.061,Bluetooth,-54
192.062,Bluetooth,-53
192.090,Bluetooth,-53
192.165,Bluetooth,-57
192.166,Bluetooth,-57
192.201,Bluetooth,-51
192.202,Bluetooth,-51
192.231,Bluetooth,-54
192.232,Bluetooth,-54
192.270,Bluetooth,-58
192.270,Bluetooth,-57
192.309,Bluetooth,-55
192.341,Bluetooth,-55
192.342,Bluetooth,-55
192.380,Bluetooth,-49
192.382,Bluetooth,-50
192.416,Bluetooth,-51
192.417,Bluetooth,-50
192.452,Bluetooth,-52
192.453,Bluetooth,-52
192.584,Bluetooth,-53
192.621,Bluetooth,-53
192.622,Bluetooth,-52
192.685,Bluetooth,-52
192.686,Bluetooth,-53
192.719,Bluetooth,-54
192.720,Bluetooth,-53
192.788,Bluetooth,-55
192.788,Bluetooth,-55
192.820,Bluetooth,-57
192.822,Bluetooth,-56
304.367,Bluetooth,-53
304.368,Bluetooth,-54
304.397,Bluetooth,-53
304.398,Bluetooth,-53
304.434,Bluetooth,-49
304.435,Bluetooth,-49
304.472,Bluetooth,-53
304.473,Bluetooth,-53
304.507,Bluetooth,-53
304.576,Bluetooth,-51
304.577,Bluetooth,-53
304.607,Bluetooth,-49
304.608,Bluetooth,-49
304.682,Bluetooth,-52
304.682,Bluetooth,-51
304.800,Bluetooth,-53
304.839,Bluetooth,-51
304.840,Bluetooth,-52
304.871,Bluetooth,-53
304.872,Bluetooth,-52
304.942,Bluetooth,-51
304.943,Bluetooth,-52
305.045,Bluetooth,-48
305.046,Bluetooth,-49
305.081,Bluetooth,-53
305.082,Bluetooth,-53
305.160,Bluetooth,-53
305.161,Bluetooth,-52
305.297,Bluetooth,-53
305.298,Bluetooth,-53
305.329,Bluetooth,-49
305.329,Bluetooth,-49
305.366,Bluetooth,-53
305.367,Bluetooth,-53
305.405,Bluetooth,-53
305.475,Bluetooth,-54
305.476,Bluetooth,-53
305.550,Bluetooth,-54
305.551,Bluetooth,-53
305.580,Bluetooth,-55
305.581,Bluetooth,-55
305.619,Bluetooth,-49
305.620,Bluetooth,-49
305.691,Bluetooth,-54
305.726,Bluetooth,-54
305.727,Bluetooth,-55
306.001,Bluetooth,-49
306.033,Bluetooth,-54
306.034,Bluetooth,-54
306.065,Bluetooth,-54
306.066,Bluetooth,-53
306.211,Bluetooth,-55
306.212,Bluetooth,-53
306.243,Bluetooth,-53
306.243,Bluetooth,-52
306.281,Bluetooth,-49
306.282,Bluetooth,-49
306.314,Bluetooth,-54
306.345,Bluetooth,-49
306.346,Bluetooth,-49
306.388,Bluetooth,-54
306.389,Bluetooth,-54
306.418,Bluetooth,-53
306.419,Bluetooth,-51
306.455,Bluetooth,-49
306.456,Bluetooth,-49
306.521,Bluetooth,-52
306.522,Bluetooth,-51
306.550,Bluetooth,-51
306.553,Bluetooth,-51
306.622,Bluetooth,-49
306.623,Bluetooth,-49
306.770,Bluetooth,-49
306.771,Bluetooth,-49
306.807,Bluetooth,-53
306.808,Bluetooth,-54
306.843,Bluetooth,-51
306.844,Bluetooth,-50
306.883,Bluetooth,-49
306.884,Bluetooth,-49
306.911,Bluetooth,-49
306.942,Bluetooth,-49
306.942,Bluetooth,-48
306.980,Bluetooth,-53
306.981,Bluetooth,-53
307.052,Bluetooth,-50
307.053,Bluetooth,-49
307.126,Bluetooth,-52
307.127,Bluetooth,-50
307.160,Bluetooth,-49
307.161,Bluetooth,-49
307.194,Bluetooth,-53
307.227,Bluetooth,-49
307.227,Bluetooth,-48
307.265,Bluetooth,-52
307.266,Bluetooth,-52
307.302,Bluetooth,-50
