Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-66
0.002,Bluetooth,-66
0.032,Bluetooth,-69
0.034,Bluetooth,-69
0.066,Bluetooth,-68
0.067,Bluetooth,-69
0.099,Bluetooth,-68
0.101,Bluetooth,-69
0.130,Bluetooth,-67
0.132,Bluetooth,-66
0.164,Bluetooth,-70
0.165,Bluetooth,-70
0.195,Bluetooth,-70
0.196,Bluetooth,-71
0.226,Bluetooth,-67
0.228,Bluetooth,-67
0.259,Bluetooth,-68
0.261,Bluetooth,-67
0.321,Bluetooth,-68
0.322,Bluetooth,-69
0.353,Bluetooth,-68
0.483,Bluetooth,-66
0.484,Bluetooth,-67
0.546,Bluetooth,-65
0.547,Bluetooth,-65
0.605,Bluetooth,-67
0.607,Bluetooth,-67
0.634,Bluetooth,-76
0.635,Bluetooth,-76
0.664,Bluetooth,-66
0.666,Bluetooth,-66
0.696,Bluetooth,-65
0.697,Bluetooth,-67
0.727,Bluetooth,-66
0.729,Bluetooth,-68
0.759,Bluetooth,-73
0.761,Bluetooth,-74
0.799,Bluetooth,-67
0.856,Bluetooth,-67
0.857,Bluetooth,-66
0.889,Bluetooth,-74
0.891,Bluetooth,-75
0.925,Bluetooth,-66
0.927,Bluetooth,-66
0.956,Bluetooth,-67
0.958,Bluetooth,-66
0.987,Bluetooth,-75
0.989,Bluetooth,-74
1.019,Bluetooth,-73
1.020,Bluetooth,-74
1.049,Bluetooth,-67
1.051,Bluetooth,-65
1.080,Bluetooth,-66
1.081,Bluetooth,-67
1.111,Bluetooth,-73
1.113,Bluetooth,-73
1.213,Bluetooth,-66
1.214,Bluetooth,-66
1.243,Bluetooth,-73
1.244,Bluetooth,-73
1.277,Bluetooth,-65
1.310,Bluetooth,-66
1.312,Bluetooth,-66
1.374,Bluetooth,-72
1.376,Bluetooth,-72
1.407,Bluetooth,-66
1.409,Bluetooth,-65
1.441,Bluetooth,-66
1.443,Bluetooth,-66
1.469,Bluetooth,-73
1.470,Bluetooth,-73
1.499,Bluetooth,-74
1.500,Bluetooth,-73
1.530,Bluetooth,-66
1.532,Bluetooth,-66
1.561,Bluetooth,-65
1.563,Bluetooth,-64
1.590,Bluetooth,-73
1.592,Bluetooth,-73
1.719,Bluetooth,-72
1.720,Bluetooth,-73
1.754,Bluetooth,-65
1.756,Bluetooth,-66
1.785,Bluetooth,-67
1.815,Bluetooth,-65
1.816,Bluetooth,-65
1.846,Bluetooth,-72
1.848,Bluetooth,-72
1.877,Bluetooth,-65
1.879,Bluetooth,-65
1.911,Bluetooth,-66
1.913,Bluetooth,-65
1.975,Bluetooth,-72
1.977,Bluetooth,-72
2.006,Bluetooth,-65
2.007,Bluetooth,-67
2.039,Bluetooth,-66
2.041,Bluetooth,-65
2.071,Bluetooth,-71
2.073,Bluetooth,-72
2.106,Bluetooth,-66
2.107,Bluetooth,-66
2.140,Bluetooth,-66
2.142,Bluetooth,-65
2.171,Bluetooth,-65
2.173,Bluetooth,-65
2.200,Bluetooth,-71
2.202,Bluetooth,-72
2.233,Bluetooth,-64
2.234,Bluetooth,-65
2.266,Bluetooth,-65
2.268,Bluetooth,-65
2.329,Bluetooth,-72
2.330,Bluetooth,-71
2.363,Bluetooth,-66
2.364,Bluetooth,-66
2.394,Bluetooth,-66
2.395,Bluetooth,-67
2.425,Bluetooth,-72
2.426,Bluetooth,-72
2.458,Bluetooth,-72
2.459,Bluetooth,-72
2.490,Bluetooth,-65
2.492,Bluetooth,-66
2.520,Bluetooth,-67
2.521,Bluetooth,-66
2.580,Bluetooth,-73
2.582,Bluetooth,-73
2.612,Bluetooth,-66
2.613,Bluetooth,-66
2.646,Bluetooth,-66
2.648,Bluetooth,-66
2.675,Bluetooth,-73
2.677,Bluetooth,-73
2.706,Bluetooth,-64
2.736,Bluetooth,-65
2.737,Bluetooth,-67
2.768,Bluetooth,-66
2.769,Bluetooth,-65
2.801,Bluetooth,-75
2.803,Bluetooth,-76
2.837,Bluetooth,-65
2.838,Bluetooth,-66
2.868,Bluetooth,-65
2.869,Bluetooth,-66
2.897,Bluetooth,-66
2.899,Bluetooth,-66
2.960,Bluetooth,-66
2.961,Bluetooth,-66
2.994,Bluetooth,-65
2.996,Bluetooth,-65
3.054,Bluetooth,-76
3.055,Bluetooth,-76
3.084,Bluetooth,-65
3.086,Bluetooth,-66
3.116,Bluetooth,-66
3.175,Bluetooth,-74
3.177,Bluetooth,-76
3.210,Bluetooth,-64
3.271,Bluetooth,-74
