Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-57
0.002,Bluetooth,-58
0.035,Bluetooth,-53
0.037,Bluetooth,-51
0.217,Bluetooth,-56
0.250,Bluetooth,-52
0.252,Bluetooth,-53
0.287,Bluetooth,-54
0.289,Bluetooth,-54
0.326,Bluetooth,-57
0.328,Bluetooth,-57
0.357,Bluetooth,-56
0.359,Bluetooth,-56
0.388,Bluetooth,-55
0.390,Bluetooth,-55
0.461,Bluetooth,-53
0.463,Bluetooth,-54
0.566,Bluetooth,-58
0.568,Bluetooth,-58
0.604,Bluetooth,-50
0.607,Bluetooth,-50
0.680,Bluetooth,-62
0.682,Bluetooth,-62
0.707,Bluetooth,-50
0.710,Bluetooth,-49
0.817,Bluetooth,-57
0.852,Bluetooth,-56
0.854,Bluetooth,-57
0.987,Bluetooth,-58
1.057,Bluetooth,-47
1.059,Bluetooth,-47
1.086,Bluetooth,-47
1.088,Bluetooth,-46
1.118,Bluetooth,-47
1.152,Bluetooth,-58
1.154,Bluetooth,-58
1.255,Bluetooth,-48
1.257,Bluetooth,-48
1.286,Bluetooth,-58
1.315,Bluetooth,-46
1.316,Bluetooth,-46
1.353,Bluetooth,-48
1.355,Bluetooth,-48
1.394,Bluetooth,-59
1.397,Bluetooth,-59
1.465,Bluetooth,-58
1.467,Bluetooth,-58
1.495,Bluetooth,-48
1.497,Bluetooth,-48
1.535,Bluetooth,-50
1.537,Bluetooth,-49
1.568,Bluetooth,-58
1.571,Bluetooth,-58
1.637,Bluetooth,-50
1.639,Bluetooth,-49
1.678,Bluetooth,-51
1.680,Bluetooth,-52
1.720,Bluetooth,-58
1.756,Bluetooth,-59
1.759,Bluetooth,-58
1.855,Bluetooth,-54
1.857,Bluetooth,-53
1.925,Bluetooth,-52
1.928,Bluetooth,-53
1.958,Bluetooth,-54
1.961,Bluetooth,-54
1.997,Bluetooth,-61
1.999,Bluetooth,-61
2.063,Bluetooth,-60
2.065,Bluetooth,-60
2.097,Bluetooth,-52
2.099,Bluetooth,-52
2.129,Bluetooth,-56
2.131,Bluetooth,-56
2.196,Bluetooth,-58
2.198,Bluetooth,-58
2.235,Bluetooth,-51
2.237,Bluetooth,-52
2.381,Bluetooth,-55
2.383,Bluetooth,-56
2.417,Bluetooth,-53
2.419,Bluetooth,-52
2.448,Bluetooth,-55
2.450,Bluetooth,-56
2.483,Bluetooth,-55
2.485,Bluetooth,-55
2.514,Bluetooth,-53
2.516,Bluetooth,-53
2.543,Bluetooth,-54
2.544,Bluetooth,-55
2.582,Bluetooth,-55
2.585,Bluetooth,-55
2.621,Bluetooth,-55
2.654,Bluetooth,-54
2.657,Bluetooth,-54
2.685,Bluetooth,-54
2.687,Bluetooth,-54
2.727,Bluetooth,-53
2.729,Bluetooth,-54
2.759,Bluetooth,-53
2.761,Bluetooth,-54
2.797,Bluetooth,-53
2.800,Bluetooth,-53
2.866,Bluetooth,-53
2.868,Bluetooth,-53
2.905,Bluetooth,-53
2.907,Bluetooth,-53
2.942,Bluetooth,-54
3.056,Bluetooth,-52
3.058,Bluetooth,-52
3.088,Bluetooth,-51
3.090,Bluetooth,-52
3.125,Bluetooth,-52
3.127,Bluetooth,-53
3.164,Bluetooth,-52
3.166,Bluetooth,-52
3.240,Bluetooth,-52
3.272,Bluetooth,-53
3.275,Bluetooth,-53
3.309,Bluetooth,-53
3.312,Bluetooth,-52
3.342,Bluetooth,-52
3.344,Bluetooth,-52
3.380,Bluetooth,-53
3.382,Bluetooth,-53
3.413,Bluetooth,-53
3.415,Bluetooth,-53
3.446,Bluetooth,-53
3.448,Bluetooth,-53
3.519,Bluetooth,-54
3.557,Bluetooth,-55
3.558,Bluetooth,-54
3.613,Bluetooth,-56
3.614,Bluetooth,-55
3.649,Bluetooth,-54
3.651,Bluetooth,-53
3.680,Bluetooth,-54
3.681,Bluetooth,-53
3.748,Bluetooth,-57
3.751,Bluetooth,-57
3.781,Bluetooth,-52
3.783,Bluetooth,-52
3.814,Bluetooth,-51
3.881,Bluetooth,-54
3.882,Bluetooth,-53
75.220,Bluetooth,-66
75.290,Bluetooth,-72
75.292,Bluetooth,-72
75.328,Bluetooth,-70
75.330,Bluetooth,-70
75.369,Bluetooth,-63
75.371,Bluetooth,-63
75.400,Bluetooth,-71
75.402,Bluetooth,-71
75.471,Bluetooth,-86
75.472,Bluetooth,-85
75.502,Bluetooth,-63
75.504,Bluetooth,-63
75.538,Bluetooth,-64
75.566,Bluetooth,-72
75.569,Bluetooth,-73
75.604,Bluetooth,-72
75.606,Bluetooth,-72
75.646,Bluetooth,-64
75.648,Bluetooth,-65
75.679,Bluetooth,-69
75.681,Bluetooth,-68
75.719,Bluetooth,-78
75.721,Bluetooth,-79
75.789,Bluetooth,-63
75.791,Bluetooth,-63
75.825,Bluetooth,-63
75.861,Bluetooth,-63
75.864,Bluetooth,-62
75.943,Bluetooth,-70
75.945,Bluetooth,-69
75.971,Bluetooth,-64
76.039,Bluetooth,-79
76.041,Bluetooth,-79
76.078,Bluetooth,-69
76.079,Bluetooth,-69
76.111,Bluetooth,-63
76.153,Bluetooth,-64
76.189,Bluetooth,-80
76.192,Bluetooth,-79
76.295,Bluetooth,-65
76.297,Bluetooth,-65
76.332,Bluetooth,-81
76.335,Bluetooth,-80
76.368,Bluetooth,-68
76.370,Bluetooth,-68
76.405,Bluetooth,-65
76.407,Bluetooth,-65
76.473,Bluetooth,-65
76.474,Bluetooth,-66
76.578,Bluetooth,-67
76.580,Bluetooth,-68
76.653,Bluetooth,-78
76.655,Bluetooth,-79
76.692,Bluetooth,-68
76.759,Bluetooth,-70
76.807,Bluetooth,-74
76.810,Bluetooth,-74
77.000,Bluetooth,-71
77.035,Bluetooth,-70
77.095,Bluetooth,-74
77.133,Bluetooth,-70
77.135,Bluetooth,-70
77.200,Bluetooth,-66
77.202,Bluetooth,-65
77.275,Bluetooth,-69
77.277,Bluetooth,-69
77.352,Bluetooth,-64
77.353,Bluetooth,-66
77.389,Bluetooth,-76
77.391,Bluetooth,-76
77.468,Bluetooth,-65
77.470,Bluetooth,-65
77.499,Bluetooth,-65
77.501,Bluetooth,-65
77.531,Bluetooth,-73
77.534,Bluetooth,-74
77.566,Bluetooth,-66
77.568,Bluetooth,-67
77.599,Bluetooth,-65
77.669,Bluetooth,-66
77.671,Bluetooth,-67
77.735,Bluetooth,-66
77.738,Bluetooth,-66
77.768,Bluetooth,-74
77.771,Bluetooth,-75
77.940,Bluetooth,-64
77.970,Bluetooth,-77
77.971,Bluetooth,-77
78.050,Bluetooth,-66
78.082,Bluetooth,-79
78.083,Bluetooth,-80
78.148,Bluetooth,-66
78.218,Bluetooth,-67
78.283,Bluetooth,-86
78.284,Bluetooth,-85
78.322,Bluetooth,-64
78.324,Bluetooth,-63
78.362,Bluetooth,-68
78.364,Bluetooth,-67
78.438,Bluetooth,-63
78.441,Bluetooth,-62
78.474,Bluetooth,-69
78.477,Bluetooth,-67
78.614,Bluetooth,-62
78.615,Bluetooth,-64
78.650,Bluetooth,-67
