Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.082,Bluetooth,-49
0.082,Bluetooth,-49
0.154,Bluetooth,-49
0.155,Bluetooth,-50
0.216,Bluetooth,-48
0.217,Bluetooth,-48
0.254,Bluetooth,-50
0.255,Bluetooth,-48
0.291,Bluetooth,-48
0.292,Bluetooth,-48
0.322,Bluetooth,-48
0.466,Bluetooth,-48
0.468,Bluetooth,-49
0.544,Bluetooth,-48
0.545,Bluetooth,-48
0.581,Bluetooth,-48
0.582,Bluetooth,-48
0.622,Bluetooth,-49
0.658,Bluetooth,-48
0.659,Bluetooth,-47
0.730,Bluetooth,-48
0.730,Bluetooth,-49
0.767,Bluetooth,-47
0.769,Bluetooth,-48
0.874,Bluetooth,-48
0.875,Bluetooth,-48
0.905,Bluetooth,-48
0.906,Bluetooth,-48
0.981,Bluetooth,-47
0.981,Bluetooth,-48
1.053,Bluetooth,-48
1.054,Bluetooth,-49
1.087,Bluetooth,-48
1.087,Bluetooth,-48
1.126,Bluetooth,-48
1.128,Bluetooth,-49
1.166,Bluetooth,-48
1.167,Bluetooth,-48
1.206,Bluetooth,-47
1.207,Bluetooth,-47
1.414,Bluetooth,-48
1.415,Bluetooth,-47
1.450,Bluetooth,-49
1.451,Bluetooth,-48
1.483,Bluetooth,-48
1.484,Bluetooth,-48
1.522,Bluetooth,-47
1.635,Bluetooth,-48
1.637,Bluetooth,-48
1.673,Bluetooth,-48
1.674,Bluetooth,-48
1.704,Bluetooth,-48
1.705,Bluetooth,-48
1.773,Bluetooth,-49
1.773,Bluetooth,-48
1.953,Bluetooth,-49
1.954,Bluetooth,-48
1.987,Bluetooth,-48
1.987,Bluetooth,-48
2.022,Bluetooth,-48
2.023,Bluetooth,-48
2.063,Bluetooth,-48
2.065,Bluetooth,-48
2.100,Bluetooth,-48
2.102,Bluetooth,-48
2.134,Bluetooth,-48
2.208,Bluetooth,-48
2.209,Bluetooth,-48
2.243,Bluetooth,-47
2.244,Bluetooth,-49
2.274,Bluetooth,-47
2.311,Bluetooth,-47
2.312,Bluetooth,-48
2.351,Bluetooth,-49
2.352,Bluetooth,-48
2.390,Bluetooth,-48
2.390,Bluetooth,-49
2.426,Bluetooth,-48
2.457,Bluetooth,-49
2.458,Bluetooth,-48
2.495,Bluetooth,-48
2.496,Bluetooth,-48
2.573,Bluetooth,-49
2.573,Bluetooth,-48
2.602,Bluetooth,-47
2.604,Bluetooth,-48
2.642,Bluetooth,-48
2.643,Bluetooth,-48
2.671,Bluetooth,-49
2.672,Bluetooth,-48
2.702,Bluetooth,-48
2.703,Bluetooth,-48
2.884,Bluetooth,-48
2.885,Bluetooth,-48
2.950,Bluetooth,-47
2.950,Bluetooth,-47
2.980,Bluetooth,-47
2.981,Bluetooth,-48
3.010,Bluetooth,-49
3.186,Bluetooth,-49
3.187,Bluetooth,-48
3.216,Bluetooth,-48
3.216,Bluetooth,-47
3.259,Bluetooth,-50
3.260,Bluetooth,-48
3.395,Bluetooth,-48
3.396,Bluetooth,-49
3.430,Bluetooth,-49
3.431,Bluetooth,-50
3.459,Bluetooth,-49
3.460,Bluetooth,-49
3.596,Bluetooth,-49
3.598,Bluetooth,-49
3.632,Bluetooth,-49
3.667,Bluetooth,-49
3.669,Bluetooth,-49
3.745,Bluetooth,-48
3.746,Bluetooth,-49
3.776,Bluetooth,-48
3.777,Bluetooth,-49
3.814,Bluetooth,-49
3.816,Bluetooth,-49
3.849,Bluetooth,-49
3.849,Bluetooth,-49
3.883,Bluetooth,-49
3.884,Bluetooth,-49
3.923,Bluetooth,-49
3.954,Bluetooth,-49
49.114,Bluetooth,-52
49.115,Bluetooth,-53
49.144,Bluetooth,-53
49.145,Bluetooth,-52
49.182,Bluetooth,-49
49.183,Bluetooth,-50
49.218,Bluetooth,-49
49.256,Bluetooth,-50
49.256,Bluetooth,-50
49.323,Bluetooth,-50
49.324,Bluetooth,-49
49.432,Bluetooth,-53
49.433,Bluetooth,-54
49.468,Bluetooth,-50
49.469,Bluetooth,-50
49.536,Bluetooth,-52
49.565,Bluetooth,-49
49.566,Bluetooth,-49
49.638,Bluetooth,-50
49.639,Bluetooth,-49
49.750,Bluetooth,-50
49.751,Bluetooth,-50
49.786,Bluetooth,-49
49.788,Bluetooth,-49
49.823,Bluetooth,-49
49.990,Bluetooth,-50
49.991,Bluetooth,-50
50.025,Bluetooth,-54
50.026,Bluetooth,-52
50.060,Bluetooth,-52
50.061,Bluetooth,-53
50.133,Bluetooth,-55
50.170,Bluetooth,-59
50.171,Bluetooth,-59
50.203,Bluetooth,-54
50.204,Bluetooth,-54
50.303,Bluetooth,-58
50.304,Bluetooth,-56
50.337,Bluetooth,-55
50.338,Bluetooth,-55
50.373,Bluetooth,-56
50.374,Bluetooth,-57
50.449,Bluetooth,-56
50.450,Bluetooth,-56
50.521,Bluetooth,-50
50.523,Bluetooth,-51
50.669,Bluetooth,-55
50.670,Bluetooth,-55
50.771,Bluetooth,-53
50.772,Bluetooth,-52
50.911,Bluetooth,-46
50.912,Bluetooth,-46
50.948,Bluetooth,-53
50.949,Bluetooth,-54
50.982,Bluetooth,-53
50.983,Bluetooth,-53
51.014,Bluetooth,-54
51.053,Bluetooth,-53
51.054,Bluetooth,-53
51.084,Bluetooth,-47
51.085,Bluetooth,-46
51.194,Bluetooth,-53
51.194,Bluetooth,-54
51.230,Bluetooth,-47
51.231,Bluetooth,-47
51.268,Bluetooth,-54
51.269,Bluetooth,-56
51.299,Bluetooth,-54
51.300,Bluetooth,-53
51.331,Bluetooth,-53
51.361,Bluetooth,-53
51.361,Bluetooth,-53
51.397,Bluetooth,-46
51.398,Bluetooth,-46
51.434,Bluetooth,-53
51.435,Bluetooth,-54
51.473,Bluetooth,-52
51.474,Bluetooth,-52
51.539,Bluetooth,-46
51.541,Bluetooth,-47
51.581,Bluetooth,-51
51.582,Bluetooth,-51
51.617,Bluetooth,-47
51.650,Bluetooth,-51
51.650,Bluetooth,-50
51.685,Bluetooth,-47
51.686,Bluetooth,-46
51.723,Bluetooth,-51
51.724,Bluetooth,-52
51.790,Bluetooth,-52
51.791,Bluetooth,-52
51.864,Bluetooth,-54
51.864,Bluetooth,-54
51.936,Bluetooth,-54
51.967,Bluetooth,-54
51.967,Bluetooth,-56
51.998,Bluetooth,-48
51.999,Bluetooth,-48
52.075,Bluetooth,-54
52.076,Bluetooth,-55
52.104,Bluetooth,-49
52.105,Bluetooth,-49
52.135,Bluetooth,-50
52.136,Bluetooth,-48
52.174,Bluetooth,-52
52.175,Bluetooth,-53
52.215,Bluetooth,-56
52.246,Bluetooth,-57
52.248,Bluetooth,-56
52.286,Bluetooth,-51
52.287,Bluetooth,-51
52.325,Bluetooth,-50
52.326,Bluetooth,-51
52.361,Bluetooth,-57
52.361,Bluetooth,-55
52.468,Bluetooth,-49
52.469,Bluetooth,-48
52.537,Bluetooth,-50
52.603,Bluetooth,-51
52.604,Bluetooth,-51
52.636,Bluetooth,-51
52.637,Bluetooth,-51
52.673,Bluetooth,-55
52.674,Bluetooth,-56
52.706,Bluetooth,-52
52.708,Bluetooth,-51
52.809,Bluetooth,-54
52.810,Bluetooth,-54
52.846,Bluetooth,-53
52.846,Bluetooth,-51
52.885,Bluetooth,-50
52.886,Bluetooth,-51
52.926,Bluetooth,-55
52.927,Bluetooth,-54
52.994,Bluetooth,-51
52.995,Bluetooth,-52
53.035,Bluetooth,-52
53.036,Bluetooth,-51
53.073,Bluetooth,-51
53.074,Bluetooth,-51
94.881,Bluetooth,-51
94.882,Bluetooth,-51
94.923,Bluetooth,-52
94.924,Bluetooth,-51
94.992,Bluetooth,-50
94.992,Bluetooth,-50
95.100,Bluetooth,-50
95.101,Bluetooth,-51
95.266,Bluetooth,-50
95.266,Bluetooth,-50
95.331,Bluetooth,-49
95.332,Bluetooth,-49
95.369,Bluetooth,-50
95.370,Bluetooth,-50
95.399,Bluetooth,-48
95.399,Bluetooth,-49
95.434,Bluetooth,-49
95.502,Bluetooth,-50
95.503,Bluetooth,-50
95.570,Bluetooth,-49
95.571,Bluetooth,-49
95.641,Bluetooth,-50
95.642,Bluetooth,-49
95.673,Bluetooth,-49
95.674,Bluetooth,-49
95.807,Bluetooth,-49
95.808,Bluetooth,-49
95.844,Bluetooth,-49
95.845,Bluetooth,-49
95.880,Bluetooth,-49
95.881,Bluetooth,-49
95.911,Bluetooth,-49
95.912,Bluetooth,-49
95.941,Bluetooth,-49
95.943,Bluetooth,-49
95.971,Bluetooth,-50
95.972,Bluetooth,-49
96.034,Bluetooth,-48
96.101,Bluetooth,-48
96.102,Bluetooth,-48
96.135,Bluetooth,-51
96.136,Bluetooth,-50
96.313,Bluetooth,-48
96.382,Bluetooth,-48
96.384,Bluetooth,-49
96.489,Bluetooth,-48
96.489,Bluetooth,-48
96.552,Bluetooth,-49
96.553,Bluetooth,-49
96.620,Bluetooth,-50
96.657,Bluetooth,-49
96.658,Bluetooth,-50
96.689,Bluetooth,-50
96.690,Bluetooth,-50
96.729,Bluetooth,-49
96.730,Bluetooth,-48
96.835,Bluetooth,-49
96.836,Bluetooth,-50
96.904,Bluetooth,-49
96.905,Bluetooth,-48
96.974,Bluetooth,-49
96.975,Bluetooth,-48
97.051,Bluetooth,-49
97.051,Bluetooth,-49
97.078,Bluetooth,-50
97.150,Bluetooth,-49
97.151,Bluetooth,-49
97.185,Bluetooth,-49
97.185,Bluetooth,-49
97.217,Bluetooth,-48
97.285,Bluetooth,-50
97.286,Bluetooth,-50
97.320,Bluetooth,-49
97.321,Bluetooth,-49
97.384,Bluetooth,-50
97.385,Bluetooth,-50
97.423,Bluetooth,-50
97.424,Bluetooth,-50
97.457,Bluetooth,-48
97.458,Bluetooth,-49
97.523,Bluetooth,-51
97.557,Bluetooth,-51
97.558,Bluetooth,-51
97.633,Bluetooth,-50
97.633,Bluetooth,-50
97.667,Bluetooth,-49
97.668,Bluetooth,-49
97.703,Bluetooth,-51
