Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,standing
0.000,Bluetooth,-64
0.002,Bluetooth,-64
0.038,Bluetooth,-59
0.040,Bluetooth,-60
0.074,Bluetooth,-60
0.142,Bluetooth,-63
0.143,Bluetooth,-64
0.181,Bluetooth,-62
0.184,Bluetooth,-61
0.218,Bluetooth,-61
0.220,Bluetooth,-62
0.350,Bluetooth,-64
0.388,Bluetooth,-58
0.390,Bluetooth,-58
0.426,Bluetooth,-64
0.428,Bluetooth,-64
0.494,Bluetooth,-65
0.496,Bluetooth,-66
0.554,Bluetooth,-60
0.555,Bluetooth,-61
0.588,Bluetooth,-61
0.658,Bluetooth,-58
0.696,Bluetooth,-57
0.698,Bluetooth,-59
0.734,Bluetooth,-61
0.766,Bluetooth,-64
0.768,Bluetooth,-65
0.804,Bluetooth,-58
0.805,Bluetooth,-59
0.868,Bluetooth,-61
0.870,Bluetooth,-61
0.903,Bluetooth,-61
0.905,Bluetooth,-61
0.943,Bluetooth,-59
0.945,Bluetooth,-58
1.009,Bluetooth,-57
1.011,Bluetooth,-58
1.042,Bluetooth,-60
1.109,Bluetooth,-57
1.111,Bluetooth,-57
1.139,Bluetooth,-60
1.142,Bluetooth,-60
1.211,Bluetooth,-58
1.213,Bluetooth,-59
1.242,Bluetooth,-57
1.244,Bluetooth,-57
1.280,Bluetooth,-57
1.282,Bluetooth,-58
1.350,Bluetooth,-60
1.352,Bluetooth,-59
1.496,Bluetooth,-60
1.498,Bluetooth,-59
1.671,Bluetooth,-62
1.673,Bluetooth,-62
1.702,Bluetooth,-58
1.704,Bluetooth,-59
1.736,Bluetooth,-56
1.738,Bluetooth,-56
1.774,Bluetooth,-56
1.776,Bluetooth,-56
1.873,Bluetooth,-59
1.983,Bluetooth,-59
1.985,Bluetooth,-59
2.016,Bluetooth,-59
2.121,Bluetooth,-58
2.190,Bluetooth,-56
2.192,Bluetooth,-55
2.228,Bluetooth,-59
2.230,Bluetooth,-59
2.263,Bluetooth,-57
2.265,Bluetooth,-58
2.370,Bluetooth,-59
2.372,Bluetooth,-58
2.407,Bluetooth,-56
2.409,Bluetooth,-57
2.439,Bluetooth,-59
2.442,Bluetooth,-58
2.468,Bluetooth,-56
2.508,Bluetooth,-59
2.511,Bluetooth,-59
2.550,Bluetooth,-59
2.550,Bluetooth,-58
2.657,Bluetooth,-60
2.659,Bluetooth,-60
2.696,Bluetooth,-57
2.698,Bluetooth,-56
2.773,Bluetooth,-60
2.805,Bluetooth,-60
2.807,Bluetooth,-61
2.835,Bluetooth,-60
2.865,Bluetooth,-57
2.867,Bluetooth,-57
2.902,Bluetooth,-59
2.904,Bluetooth,-60
2.932,Bluetooth,-60
2.934,Bluetooth,-60
2.999,Bluetooth,-58
3.001,Bluetooth,-57
3.071,Bluetooth,-60
3.139,Bluetooth,-61
3.141,Bluetooth,-60
3.173,Bluetooth,-58
3.175,Bluetooth,-57
3.214,Bluetooth,-60
3.216,Bluetooth,-60
3.250,Bluetooth,-60
3.252,Bluetooth,-60
3.280,Bluetooth,-59
3.282,Bluetooth,-60
3.317,Bluetooth,-59
3.320,Bluetooth,-58
3.350,Bluetooth,-57
3.425,Bluetooth,-61
3.427,Bluetooth,-60
3.599,Bluetooth,-58
3.601,Bluetooth,-57
3.634,Bluetooth,-61
3.636,Bluetooth,-61
3.664,Bluetooth,-62
3.702,Bluetooth,-62
3.705,Bluetooth,-61
3.807,Bluetooth,-60
3.843,Bluetooth,-61
3.845,Bluetooth,-59
3.883,Bluetooth,-56
3.885,Bluetooth,-58
3.923,Bluetooth,-60
3.925,Bluetooth,-60
93.667,Bluetooth,-72
93.710,Bluetooth,-73
93.713,Bluetooth,-74
93.740,Bluetooth,-71
93.812,Bluetooth,-74
93.814,Bluetooth,-73
93.849,Bluetooth,-71
93.851,Bluetooth,-72
93.954,Bluetooth,-72
93.983,Bluetooth,-81
93.985,Bluetooth,-79
94.051,Bluetooth,-72
94.090,Bluetooth,-72
94.093,Bluetooth,-72
94.191,Bluetooth,-72
94.193,Bluetooth,-72
94.267,Bluetooth,-87
94.300,Bluetooth,-86
94.302,Bluetooth,-87
94.509,Bluetooth,-72
94.511,Bluetooth,-73
94.546,Bluetooth,-71
94.785,Bluetooth,-73
94.787,Bluetooth,-71
95.022,Bluetooth,-85
95.024,Bluetooth,-86
95.053,Bluetooth,-71
95.055,Bluetooth,-71
95.085,Bluetooth,-73
95.088,Bluetooth,-73
95.119,Bluetooth,-84
95.157,Bluetooth,-84
95.224,Bluetooth,-85
95.259,Bluetooth,-71
95.261,Bluetooth,-70
95.300,Bluetooth,-74
95.301,Bluetooth,-75
95.336,Bluetooth,-82
95.338,Bluetooth,-83
95.377,Bluetooth,-71
95.378,Bluetooth,-71
95.410,Bluetooth,-75
95.412,Bluetooth,-74
95.510,Bluetooth,-82
95.512,Bluetooth,-82
95.549,Bluetooth,-71
95.551,Bluetooth,-70
95.658,Bluetooth,-71
95.660,Bluetooth,-71
95.760,Bluetooth,-71
95.796,Bluetooth,-74
95.798,Bluetooth,-73
95.835,Bluetooth,-74
95.838,Bluetooth,-74
95.972,Bluetooth,-74
95.974,Bluetooth,-74
96.040,Bluetooth,-72
96.042,Bluetooth,-72
96.152,Bluetooth,-74
96.153,Bluetooth,-74
96.187,Bluetooth,-74
96.190,Bluetooth,-74
96.323,Bluetooth,-73
96.326,Bluetooth,-72
96.352,Bluetooth,-74
96.387,Bluetooth,-72
96.389,Bluetooth,-73
96.450,Bluetooth,-74
96.452,Bluetooth,-74
96.594,Bluetooth,-74
96.623,Bluetooth,-75
96.624,Bluetooth,-74
96.664,Bluetooth,-75
96.700,Bluetooth,-74
96.735,Bluetooth,-76
96.738,Bluetooth,-77
96.809,Bluetooth,-76
96.811,Bluetooth,-75
96.841,Bluetooth,-92
96.844,Bluetooth,-92
96.907,Bluetooth,-77
96.909,Bluetooth,-77
96.935,Bluetooth,-79
96.937,Bluetooth,-78
96.971,Bluetooth,-80
97.009,Bluetooth,-81
97.044,Bluetooth,-78
97.045,Bluetooth,-79
97.297,Bluetooth,-95
97.301,Bluetooth,-94
97.374,Bluetooth,-95
97.376,Bluetooth,-93
97.405,Bluetooth,-94
97.466,Bluetooth,-77
97.468,Bluetooth,-78
97.530,Bluetooth,-88
97.572,Bluetooth,-90
97.600,Bluetooth,-85
97.603,Bluetooth,-85
211.559,Bluetooth,-61
211.589,Bluetooth,-65
211.592,Bluetooth,-64
211.733,Bluetooth,-74
211.736,Bluetooth,-73
211.876,Bluetooth,-60
211.913,Bluetooth,-68
211.916,Bluetooth,-68
212.056,Bluetooth,-79
212.058,Bluetooth,-78
212.093,Bluetooth,-67
212.095,Bluetooth,-67
212.134,Bluetooth,-64
212.172,Bluetooth,-67
212.247,Bluetooth,-70
212.249,Bluetooth,-69
212.327,Bluetooth,-63
212.329,Bluetooth,-62
212.424,Bluetooth,-63
212.427,Bluetooth,-63
212.453,Bluetooth,-73
212.489,Bluetooth,-62
212.522,Bluetooth,-64
212.525,Bluetooth,-64
212.588,Bluetooth,-77
212.589,Bluetooth,-78
212.627,Bluetooth,-62
212.629,Bluetooth,-61
212.663,Bluetooth,-65
212.666,Bluetooth,-65
212.701,Bluetooth,-85
212.703,Bluetooth,-84
212.743,Bluetooth,-64
212.746,Bluetooth,-63
212.777,Bluetooth,-63
212.853,Bluetooth,-66
212.856,Bluetooth,-65
212.927,Bluetooth,-63
212.929,Bluetooth,-63
213.001,Bluetooth,-67
213.004,Bluetooth,-67
213.041,Bluetooth,-87
213.043,Bluetooth,-87
213.076,Bluetooth,-67
213.141,Bluetooth,-68
213.143,Bluetooth,-69
213.182,Bluetooth,-74
213.185,Bluetooth,-74
213.217,Bluetooth,-69
213.220,Bluetooth,-70
213.252,Bluetooth,-70
213.254,Bluetooth,-70
213.285,Bluetooth,-69
213.287,Bluetooth,-69
213.348,Bluetooth,-72
213.378,Bluetooth,-75
213.519,Bluetooth,-68
213.521,Bluetooth,-67
213.581,Bluetooth,-67
213.583,Bluetooth,-67
213.622,Bluetooth,-72
213.624,Bluetooth,-72
213.656,Bluetooth,-74
213.690,Bluetooth,-73
213.768,Bluetooth,-61
213.831,Bluetooth,-63
213.834,Bluetooth,-63
213.868,Bluetooth,-65
213.905,Bluetooth,-63
213.977,Bluetooth,-64
214.087,Bluetooth,-62
214.089,Bluetooth,-61
214.120,Bluetooth,-58
214.122,Bluetooth,-59
214.157,Bluetooth,-67
214.159,Bluetooth,-68
214.202,Bluetooth,-58
214.272,Bluetooth,-59
214.304,Bluetooth,-65
214.307,Bluetooth,-66
214.379,Bluetooth,-59
214.382,Bluetooth,-59
214.417,Bluetooth,-66
214.419,Bluetooth,-65
214.481,Bluetooth,-62
214.483,Bluetooth,-62
214.512,Bluetooth,-64
214.514,Bluetooth,-64
214.546,Bluetooth,-65
214.549,Bluetooth,-65
214.676,Bluetooth,-61
214.678,Bluetooth,-62
214.718,Bluetooth,-67
214.720,Bluetooth,-67
214.825,Bluetooth,-68
214.827,Bluetooth,-68
214.853,Bluetooth,-61
214.889,Bluetooth,-69
214.954,Bluetooth,-60
214.957,Bluetooth,-61
214.989,Bluetooth,-63
215.030,Bluetooth,-66
215.031,Bluetooth,-66
215.104,Bluetooth,-60
