Distance,15.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-62
0.001,Bluetooth,-62
0.033,Bluetooth,-55
0.034,Bluetooth,-56
0.068,Bluetooth,-61
0.130,Bluetooth,-63
0.132,Bluetooth,-61
0.162,Bluetooth,-56
0.163,Bluetooth,-57
0.192,Bluetooth,-61
0.193,Bluetooth,-60
0.227,Bluetooth,-60
0.228,Bluetooth,-61
0.288,Bluetooth,-55
0.289,Bluetooth,-56
0.320,Bluetooth,-59
0.321,Bluetooth,-60
0.351,Bluetooth,-61
0.352,Bluetooth,-60
0.413,Bluetooth,-56
0.415,Bluetooth,-56
0.479,Bluetooth,-61
0.480,Bluetooth,-60
0.511,Bluetooth,-56
0.512,Bluetooth,-56
0.542,Bluetooth,-59
0.544,Bluetooth,-57
0.612,Bluetooth,-60
0.614,Bluetooth,-62
0.671,Bluetooth,-57
0.672,Bluetooth,-58
0.764,Bluetooth,-54
0.765,Bluetooth,-54
0.795,Bluetooth,-57
0.796,Bluetooth,-57
0.893,Bluetooth,-53
0.894,Bluetooth,-54
0.923,Bluetooth,-54
0.924,Bluetooth,-56
0.953,Bluetooth,-61
0.954,Bluetooth,-62
0.985,Bluetooth,-54
0.986,Bluetooth,-54
1.049,Bluetooth,-56
1.050,Bluetooth,-55
1.083,Bluetooth,-60
1.084,Bluetooth,-59
1.118,Bluetooth,-54
1.119,Bluetooth,-54
1.149,Bluetooth,-55
1.150,Bluetooth,-55
1.212,Bluetooth,-60
1.213,Bluetooth,-61
1.241,Bluetooth,-55
1.242,Bluetooth,-55
1.273,Bluetooth,-55
1.274,Bluetooth,-54
1.307,Bluetooth,-61
1.308,Bluetooth,-60
1.366,Bluetooth,-54
1.367,Bluetooth,-55
1.400,Bluetooth,-55
1.401,Bluetooth,-55
1.493,Bluetooth,-54
1.494,Bluetooth,-54
1.556,Bluetooth,-62
1.557,Bluetooth,-62
1.587,Bluetooth,-56
1.588,Bluetooth,-55
1.624,Bluetooth,-55
1.654,Bluetooth,-56
1.655,Bluetooth,-54
1.685,Bluetooth,-63
1.687,Bluetooth,-63
1.716,Bluetooth,-55
1.716,Bluetooth,-55
1.845,Bluetooth,-55
1.846,Bluetooth,-55
1.877,Bluetooth,-55
1.878,Bluetooth,-55
2.008,Bluetooth,-54
2.009,Bluetooth,-55
2.040,Bluetooth,-55
