Distance,15.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,pocket
RXCarry,hand
RXPose,standing
TXPose,standing
0.000,Bluetooth,-75
0.001,Bluetooth,-75
0.032,Bluetooth,-75
0.033,Bluetooth,-75
0.065,Bluetooth,-75
0.066,Bluetooth,-76
0.096,Bluetooth,-75
0.098,Bluetooth,-75
0.155,Bluetooth,-77
0.156,Bluetooth,-77
0.188,Bluetooth,-74
0.190,Bluetooth,-73
0.218,Bluetooth,-77
0.219,Bluetooth,-76
0.251,Bluetooth,-75
0.252,Bluetooth,-75
0.281,Bluetooth,-74
0.284,Bluetooth,-74
0.315,Bluetooth,-75
0.316,Bluetooth,-74
0.346,Bluetooth,-75
0.347,Bluetooth,-75
0.376,Bluetooth,-75
0.377,Bluetooth,-75
0.412,Bluetooth,-75
0.413,Bluetooth,-73
0.442,Bluetooth,-75
0.443,Bluetooth,-75
0.473,Bluetooth,-76
0.474,Bluetooth,-76
0.505,Bluetooth,-75
0.507,Bluetooth,-75
0.538,Bluetooth,-76
0.539,Bluetooth,-75
0.568,Bluetooth,-77
0.569,Bluetooth,-76
0.602,Bluetooth,-76
0.602,Bluetooth,-75
0.629,Bluetooth,-75
0.629,Bluetooth,-75
0.662,Bluetooth,-74
0.662,Bluetooth,-75
0.693,Bluetooth,-75
0.693,Bluetooth,-75
0.752,Bluetooth,-76
0.753,Bluetooth,-76
0.819,Bluetooth,-77
0.820,Bluetooth,-76
0.949,Bluetooth,-74
0.950,Bluetooth,-76
0.979,Bluetooth,-76
0.980,Bluetooth,-77
1.009,Bluetooth,127
1.107,Bluetooth,-76
1.109,Bluetooth,-76
1.136,Bluetooth,-74
1.138,Bluetooth,-74
1.167,Bluetooth,-75
1.168,Bluetooth,-75
1.200,Bluetooth,-74
1.201,Bluetooth,-75
1.297,Bluetooth,-75
1.298,Bluetooth,-75
1.326,Bluetooth,-77
1.327,Bluetooth,-76
1.361,Bluetooth,-77
1.362,Bluetooth,-77
1.394,Bluetooth,-74
1.395,Bluetooth,-74
1.427,Bluetooth,-75
1.428,Bluetooth,-74
1.460,Bluetooth,-75
1.461,Bluetooth,-76
1.491,Bluetooth,-74
1.492,Bluetooth,-74
1.520,Bluetooth,127
1.551,Bluetooth,-75
1.552,Bluetooth,-76
1.586,Bluetooth,-75
1.587,Bluetooth,-77
1.623,Bluetooth,-72
1.624,Bluetooth,-75
1.651,Bluetooth,127
1.681,Bluetooth,-76
1.681,Bluetooth,-75
1.711,Bluetooth,128
1.743,Bluetooth,-72
1.744,Bluetooth,-73
1.773,Bluetooth,127
1.833,Bluetooth,128
1.896,Bluetooth,-75
1.897,Bluetooth,-75
1.959,Bluetooth,-76
1.960,Bluetooth,-76
1.992,Bluetooth,126
2.026,Bluetooth,128
2.058,Bluetooth,-75
2.059,Bluetooth,-76
2.088,Bluetooth,127
2.119,Bluetooth,127
2.150,Bluetooth,127
2.178,Bluetooth,-77
2.179,Bluetooth,-75
2.213,Bluetooth,-74
2.214,Bluetooth,-75
2.247,Bluetooth,-76
2.248,Bluetooth,-76
2.279,Bluetooth,-76
2.281,Bluetooth,-75
2.310,Bluetooth,-77
2.311,Bluetooth,-76
2.344,Bluetooth,-73
2.347,Bluetooth,-74
2.377,Bluetooth,-77
2.379,Bluetooth,-78
2.407,Bluetooth,-75
2.409,Bluetooth,-76
2.441,Bluetooth,-76
2.442,Bluetooth,-77
2.473,Bluetooth,-75
2.474,Bluetooth,-75
2.507,Bluetooth,-76
2.508,Bluetooth,-76
2.541,Bluetooth,-76
2.542,Bluetooth,-76
2.571,Bluetooth,-75
2.572,Bluetooth,-74
2.638,Bluetooth,-76
2.640,Bluetooth,-76
2.670,Bluetooth,-77
2.672,Bluetooth,-76
2.740,Bluetooth,-75
2.740,Bluetooth,-76
2.770,Bluetooth,-77
2.770,Bluetooth,-76
2.834,Bluetooth,-75
2.835,Bluetooth,-76
2.866,Bluetooth,-76
2.866,Bluetooth,-76
2.900,Bluetooth,-76
2.900,Bluetooth,-76
2.932,Bluetooth,-75
2.933,Bluetooth,-76
2.965,Bluetooth,-76
2.965,Bluetooth,-76
2.998,Bluetooth,-76
2.999,Bluetooth,-76
3.031,Bluetooth,-76
3.031,Bluetooth,-76
3.064,Bluetooth,-75
3.065,Bluetooth,-74
3.097,Bluetooth,-76
3.097,Bluetooth,-75
3.127,Bluetooth,-77
3.128,Bluetooth,-76
3.158,Bluetooth,-75
3.159,Bluetooth,-76
3.192,Bluetooth,-75
3.192,Bluetooth,-75
3.222,Bluetooth,-76
3.223,Bluetooth,-76
3.255,Bluetooth,-75
3.255,Bluetooth,-75
3.287,Bluetooth,-73
3.288,Bluetooth,-74
3.316,Bluetooth,-75
3.316,Bluetooth,-74
3.349,Bluetooth,-74
3.349,Bluetooth,-76
3.381,Bluetooth,-74
3.382,Bluetooth,-76
3.413,Bluetooth,-75
3.414,Bluetooth,-74
3.446,Bluetooth,-76
3.447,Bluetooth,-75
3.476,Bluetooth,-74
3.477,Bluetooth,-76
3.505,Bluetooth,-74
3.506,Bluetooth,-74
3.536,Bluetooth,-73
3.536,Bluetooth,-74
3.565,Bluetooth,127
3.602,Bluetooth,-76
3.603,Bluetooth,-75
3.630,Bluetooth,-75
3.631,Bluetooth,-75
3.693,Bluetooth,-74
3.694,Bluetooth,-75
3.755,Bluetooth,-76
3.757,Bluetooth,-74
3.785,Bluetooth,-73
3.786,Bluetooth,-73
3.816,Bluetooth,-75
3.817,Bluetooth,-75
3.880,Bluetooth,-75
3.882,Bluetooth,-75
3.910,Bluetooth,-74
3.911,Bluetooth,-75
3.945,Bluetooth,-75
3.946,Bluetooth,-75
3.974,Bluetooth,-75
3.975,Bluetooth,-75
48.721,Bluetooth,-80
48.722,Bluetooth,127
48.753,Bluetooth,-78
48.754,Bluetooth,-80
48.783,Bluetooth,-89
48.784,Bluetooth,126
48.813,Bluetooth,-88
48.814,Bluetooth,127
48.847,Bluetooth,-81
48.848,Bluetooth,127
48.878,Bluetooth,-79
48.879,Bluetooth,-78
48.907,Bluetooth,-86
48.909,Bluetooth,127
48.936,Bluetooth,-86
48.937,Bluetooth,127
48.967,Bluetooth,-83
48.968,Bluetooth,-81
48.998,Bluetooth,-79
48.999,Bluetooth,-79
49.028,Bluetooth,-86
49.029,Bluetooth,127
49.095,Bluetooth,-81
49.096,Bluetooth,-81
49.125,Bluetooth,-80
49.126,Bluetooth,-80
49.159,Bluetooth,-88
49.160,Bluetooth,126
49.189,Bluetooth,-81
49.191,Bluetooth,-82
49.219,Bluetooth,-80
49.220,Bluetooth,127
49.250,Bluetooth,-80
49.251,Bluetooth,-81
49.281,Bluetooth,-88
49.282,Bluetooth,127
49.313,Bluetooth,-82
49.314,Bluetooth,-79
49.346,Bluetooth,-80
49.348,Bluetooth,-80
49.412,Bluetooth,-90
49.413,Bluetooth,127
49.441,Bluetooth,-80
49.443,Bluetooth,-79
49.473,Bluetooth,-81
49.474,Bluetooth,-82
49.505,Bluetooth,-90
49.506,Bluetooth,127
49.536,Bluetooth,-90
49.538,Bluetooth,127
49.569,Bluetooth,-81
49.570,Bluetooth,-82
49.600,Bluetooth,-82
49.601,Bluetooth,-82
49.632,Bluetooth,-90
49.633,Bluetooth,128
49.666,Bluetooth,-82
49.667,Bluetooth,-82
49.699,Bluetooth,-83
49.700,Bluetooth,127
49.729,Bluetooth,-79
49.730,Bluetooth,-81
49.760,Bluetooth,-88
49.762,Bluetooth,127
49.797,Bluetooth,-83
49.798,Bluetooth,-81
49.833,Bluetooth,-79
49.834,Bluetooth,-78
49.864,Bluetooth,-75
49.894,Bluetooth,-86
49.895,Bluetooth,127
49.925,Bluetooth,127
49.955,Bluetooth,-79
49.956,Bluetooth,-80
49.988,Bluetooth,127
50.018,Bluetooth,-85
50.019,Bluetooth,127
50.048,Bluetooth,128
50.085,Bluetooth,-79
50.086,Bluetooth,-80
50.115,Bluetooth,-75
50.146,Bluetooth,-83
50.147,Bluetooth,-82
50.176,Bluetooth,-82
50.177,Bluetooth,-82
50.208,Bluetooth,-80
50.210,Bluetooth,127
50.240,Bluetooth,-90
50.243,Bluetooth,128
50.271,Bluetooth,-81
50.272,Bluetooth,-81
50.302,Bluetooth,-80
50.303,Bluetooth,-80
50.335,Bluetooth,-81
50.336,Bluetooth,-78
50.367,Bluetooth,-89
50.368,Bluetooth,127
50.398,Bluetooth,-82
50.400,Bluetooth,-81
50.429,Bluetooth,-78
50.430,Bluetooth,-78
50.459,Bluetooth,-76
50.460,Bluetooth,128
50.490,Bluetooth,-90
50.492,Bluetooth,127
50.525,Bluetooth,-83
50.526,Bluetooth,-81
50.558,Bluetooth,-78
50.560,Bluetooth,-77
50.589,Bluetooth,-89
50.590,Bluetooth,127
50.619,Bluetooth,-91
50.620,Bluetooth,127
50.649,Bluetooth,-83
50.650,Bluetooth,-80
50.683,Bluetooth,-77
50.684,Bluetooth,-78
50.713,Bluetooth,-91
50.714,Bluetooth,127
50.744,Bluetooth,-83
50.745,Bluetooth,-82
50.776,Bluetooth,-81
50.777,Bluetooth,-82
50.807,Bluetooth,-78
50.835,Bluetooth,-91
50.836,Bluetooth,126
50.866,Bluetooth,128
50.896,Bluetooth,-82
50.897,Bluetooth,-81
50.926,Bluetooth,127
50.955,Bluetooth,-79
50.991,Bluetooth,-82
50.993,Bluetooth,-82
51.025,Bluetooth,126
51.060,Bluetooth,-78
51.061,Bluetooth,127
51.093,Bluetooth,-77
51.126,Bluetooth,-83
51.128,Bluetooth,-83
51.155,Bluetooth,127
51.186,Bluetooth,-88
51.187,Bluetooth,126
51.216,Bluetooth,-78
51.248,Bluetooth,-83
51.249,Bluetooth,127
51.283,Bluetooth,-80
51.313,Bluetooth,-87
51.314,Bluetooth,128
51.345,Bluetooth,-84
51.346,Bluetooth,-83
51.379,Bluetooth,-83
51.380,Bluetooth,127
51.413,Bluetooth,127
51.444,Bluetooth,-88
51.446,Bluetooth,127
51.475,Bluetooth,-83
51.477,Bluetooth,-81
51.508,Bluetooth,-77
51.510,Bluetooth,127
51.540,Bluetooth,-79
51.541,Bluetooth,127
51.569,Bluetooth,-88
51.570,Bluetooth,127
51.603,Bluetooth,-83
51.604,Bluetooth,-83
51.665,Bluetooth,-86
51.666,Bluetooth,127
51.699,Bluetooth,-85
51.700,Bluetooth,127
51.730,Bluetooth,-83
51.731,Bluetooth,-83
51.854,Bluetooth,-81
51.855,Bluetooth,127
52.054,Bluetooth,-85
52.055,Bluetooth,127
52.087,Bluetooth,-84
52.088,Bluetooth,-82
52.116,Bluetooth,-78
52.117,Bluetooth,-78
52.273,Bluetooth,-84
52.275,Bluetooth,126
52.303,Bluetooth,-82
52.304,Bluetooth,-83
52.333,Bluetooth,-83
52.334,Bluetooth,-82
52.365,Bluetooth,-78
52.367,Bluetooth,128
52.398,Bluetooth,-86
52.399,Bluetooth,127
52.496,Bluetooth,-79
52.497,Bluetooth,127
52.526,Bluetooth,-85
52.527,Bluetooth,128
52.556,Bluetooth,-84
52.557,Bluetooth,-84
52.590,Bluetooth,-78
52.593,Bluetooth,-79
52.624,Bluetooth,-87
52.626,Bluetooth,127
52.655,Bluetooth,-86
52.656,Bluetooth,127
52.686,Bluetooth,-84
52.687,Bluetooth,-85
107.301,Bluetooth,-82
107.302,Bluetooth,-82
107.333,Bluetooth,-78
107.334,Bluetooth,-77
107.368,Bluetooth,-77
107.369,Bluetooth,-77
107.398,Bluetooth,-76
107.399,Bluetooth,-76
107.430,Bluetooth,-81
107.431,Bluetooth,-82
107.465,Bluetooth,-76
107.467,Bluetooth,-76
107.497,Bluetooth,-77
107.498,Bluetooth,-76
107.528,Bluetooth,-82
107.530,Bluetooth,-82
107.556,Bluetooth,-82
107.557,Bluetooth,-82
107.585,Bluetooth,-77
107.586,Bluetooth,-76
107.618,Bluetooth,-77
107.619,Bluetooth,-76
107.651,Bluetooth,-82
107.652,Bluetooth,-82
107.709,Bluetooth,-76
107.711,Bluetooth,-76
107.743,Bluetooth,-77
107.744,Bluetooth,-78
107.777,Bluetooth,-82
107.780,Bluetooth,-84
107.805,Bluetooth,-76
107.806,Bluetooth,-75
107.835,Bluetooth,-76
107.836,Bluetooth,-77
107.868,Bluetooth,-77
107.869,Bluetooth,-77
107.901,Bluetooth,-82
107.902,Bluetooth,-82
107.930,Bluetooth,-77
107.931,Bluetooth,-77
107.960,Bluetooth,-75
107.962,Bluetooth,-76
107.993,Bluetooth,-78
107.995,Bluetooth,-77
108.023,Bluetooth,-82
