Distance,6.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-51
0.001,Bluetooth,-51
0.070,Bluetooth,-52
0.071,Bluetooth,-54
0.105,Bluetooth,-50
0.106,Bluetooth,-51
0.142,Bluetooth,-50
0.143,Bluetooth,-50
0.178,Bluetooth,-53
0.179,Bluetooth,-53
0.209,Bluetooth,-52
0.210,Bluetooth,-52
0.273,Bluetooth,-51
0.274,Bluetooth,-51
0.349,Bluetooth,-52
0.350,Bluetooth,-52
0.454,Bluetooth,-50
0.455,Bluetooth,-52
0.490,Bluetooth,-54
0.491,Bluetooth,-53
0.523,Bluetooth,-53
0.524,Bluetooth,-52
0.561,Bluetooth,-52
0.562,Bluetooth,-52
0.600,Bluetooth,-53
0.601,Bluetooth,-54
0.663,Bluetooth,-53
0.664,Bluetooth,-53
0.697,Bluetooth,-50
0.698,Bluetooth,-50
0.731,Bluetooth,-50
0.732,Bluetooth,-51
0.765,Bluetooth,-53
0.766,Bluetooth,-52
0.829,Bluetooth,-50
0.830,Bluetooth,-50
0.860,Bluetooth,-50
0.861,Bluetooth,-50
0.897,Bluetooth,-51
0.898,Bluetooth,-51
0.933,Bluetooth,-50
0.965,Bluetooth,-51
0.966,Bluetooth,-51
1.006,Bluetooth,-49
1.007,Bluetooth,-49
1.035,Bluetooth,-48
1.035,Bluetooth,-48
1.144,Bluetooth,-50
1.144,Bluetooth,-49
1.179,Bluetooth,-50
1.180,Bluetooth,-49
1.220,Bluetooth,-53
1.259,Bluetooth,-53
1.259,Bluetooth,-51
1.298,Bluetooth,-50
1.300,Bluetooth,-51
1.334,Bluetooth,-50
1.335,Bluetooth,-50
1.370,Bluetooth,-52
1.371,Bluetooth,-52
1.407,Bluetooth,-52
1.407,Bluetooth,-52
1.445,Bluetooth,-51
1.446,Bluetooth,-52
1.519,Bluetooth,-53
1.552,Bluetooth,-51
1.553,Bluetooth,-52
1.586,Bluetooth,-53
1.587,Bluetooth,-54
1.687,Bluetooth,-53
1.687,Bluetooth,-53
1.723,Bluetooth,-55
1.724,Bluetooth,-55
1.792,Bluetooth,-52
1.793,Bluetooth,-53
1.892,Bluetooth,-54
1.892,Bluetooth,-54
1.991,Bluetooth,-53
1.992,Bluetooth,-53
2.021,Bluetooth,-53
2.022,Bluetooth,-53
2.058,Bluetooth,-49
2.059,Bluetooth,-48
2.096,Bluetooth,-52
2.097,Bluetooth,-53
2.131,Bluetooth,-53
2.200,Bluetooth,-52
2.201,Bluetooth,-53
2.231,Bluetooth,-49
2.232,Bluetooth,-49
2.306,Bluetooth,-53
2.306,Bluetooth,-52
2.424,Bluetooth,-51
2.463,Bluetooth,-52
2.464,Bluetooth,-53
2.495,Bluetooth,-51
2.496,Bluetooth,-52
2.566,Bluetooth,-52
2.567,Bluetooth,-53
2.669,Bluetooth,-48
2.670,Bluetooth,-48
2.705,Bluetooth,-53
2.706,Bluetooth,-54
2.784,Bluetooth,-53
2.785,Bluetooth,-52
2.921,Bluetooth,-53
2.922,Bluetooth,-53
2.953,Bluetooth,-49
2.953,Bluetooth,-49
2.990,Bluetooth,-52
2.991,Bluetooth,-53
3.029,Bluetooth,-53
3.099,Bluetooth,-54
3.100,Bluetooth,-54
3.174,Bluetooth,-54
3.175,Bluetooth,-52
3.204,Bluetooth,-54
3.205,Bluetooth,-55
3.243,Bluetooth,-49
3.244,Bluetooth,-49
3.315,Bluetooth,-55
3.350,Bluetooth,-54
3.351,Bluetooth,-54
3.625,Bluetooth,-49
3.657,Bluetooth,-54
3.658,Bluetooth,-54
3.689,Bluetooth,-55
3.690,Bluetooth,-55
3.835,Bluetooth,-54
3.836,Bluetooth,-53
3.867,Bluetooth,-53
3.867,Bluetooth,-53
3.905,Bluetooth,-49
3.906,Bluetooth,-48
3.938,Bluetooth,-54
3.969,Bluetooth,-50
3.970,Bluetooth,-49
62.494,Bluetooth,-65
62.494,Bluetooth,-65
62.597,Bluetooth,-72
62.598,Bluetooth,-72
62.633,Bluetooth,-79
62.634,Bluetooth,-79
62.670,Bluetooth,-65
62.671,Bluetooth,-65
62.817,Bluetooth,-81
62.818,Bluetooth,-80
62.889,Bluetooth,-72
62.889,Bluetooth,-71
62.955,Bluetooth,-65
62.956,Bluetooth,-63
62.988,Bluetooth,-73
62.989,Bluetooth,-71
63.020,Bluetooth,-83
63.054,Bluetooth,-71
