Distance,6.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.000,Bluetooth,-62
0.001,Bluetooth,-62
0.032,Bluetooth,-59
0.034,Bluetooth,-59
0.068,Bluetooth,-60
0.069,Bluetooth,-59
0.100,Bluetooth,-62
0.101,Bluetooth,-63
0.129,Bluetooth,-57
0.130,Bluetooth,-57
0.159,Bluetooth,-57
0.161,Bluetooth,-57
0.192,Bluetooth,-57
0.194,Bluetooth,-57
0.225,Bluetooth,-62
0.227,Bluetooth,-63
0.255,Bluetooth,-57
0.256,Bluetooth,-57
0.288,Bluetooth,-57
0.289,Bluetooth,-57
0.318,Bluetooth,-59
0.322,Bluetooth,-58
0.349,Bluetooth,-62
0.350,Bluetooth,-61
0.377,Bluetooth,-57
0.379,Bluetooth,-58
0.412,Bluetooth,-59
0.413,Bluetooth,-58
0.442,Bluetooth,-58
0.444,Bluetooth,-57
0.474,Bluetooth,-60
0.476,Bluetooth,-60
0.508,Bluetooth,-54
0.509,Bluetooth,-55
0.541,Bluetooth,-54
0.542,Bluetooth,-52
0.574,Bluetooth,-57
0.576,Bluetooth,-57
0.672,Bluetooth,-52
0.674,Bluetooth,-52
0.706,Bluetooth,-51
0.708,Bluetooth,-51
0.735,Bluetooth,-50
0.736,Bluetooth,-50
0.769,Bluetooth,-50
0.771,Bluetooth,-50
0.803,Bluetooth,-50
0.804,Bluetooth,-50
0.863,Bluetooth,-49
0.865,Bluetooth,-50
0.894,Bluetooth,-50
0.896,Bluetooth,-50
0.955,Bluetooth,-49
0.957,Bluetooth,-49
0.988,Bluetooth,-50
0.990,Bluetooth,-51
1.019,Bluetooth,-54
1.021,Bluetooth,-53
1.053,Bluetooth,-50
1.055,Bluetooth,-48
1.080,Bluetooth,-50
1.081,Bluetooth,-50
1.109,Bluetooth,-52
1.110,Bluetooth,-52
1.263,Bluetooth,-53
1.265,Bluetooth,-54
1.362,Bluetooth,-58
1.364,Bluetooth,-57
1.398,Bluetooth,-57
1.399,Bluetooth,-60
1.432,Bluetooth,-62
1.434,Bluetooth,-62
1.463,Bluetooth,-63
1.465,Bluetooth,-62
1.495,Bluetooth,-57
1.496,Bluetooth,-57
1.529,Bluetooth,-54
1.530,Bluetooth,-53
1.595,Bluetooth,-49
1.597,Bluetooth,-50
1.629,Bluetooth,-49
1.631,Bluetooth,-49
1.695,Bluetooth,-49
