Distance,4.0
TXDevice,iPhoneXS
TXPower,12
RXDevice,iPhone8
TXCarry,pocket
RXCarry,pocket
RXPose,standing
TXPose,sitting
0.011,Bluetooth,-55
0.012,Bluetooth,-55
0.048,Bluetooth,-69
0.049,Bluetooth,-68
0.123,Bluetooth,-62
0.124,Bluetooth,-62
0.198,Bluetooth,-59
0.199,Bluetooth,-60
0.232,Bluetooth,-60
0.234,Bluetooth,-60
0.310,Bluetooth,-68
0.311,Bluetooth,-67
0.344,Bluetooth,-62
0.345,Bluetooth,-62
0.380,Bluetooth,-65
0.381,Bluetooth,-65
0.452,Bluetooth,-71
0.453,Bluetooth,-71
0.483,Bluetooth,-75
0.484,Bluetooth,-76
0.514,Bluetooth,-67
0.515,Bluetooth,-67
0.551,Bluetooth,-68
0.651,Bluetooth,-62
0.653,Bluetooth,-62
0.721,Bluetooth,-57
0.722,Bluetooth,-57
0.758,Bluetooth,-59
0.759,Bluetooth,-61
0.835,Bluetooth,-53
0.836,Bluetooth,-54
0.871,Bluetooth,-60
0.872,Bluetooth,-61
0.910,Bluetooth,-61
0.911,Bluetooth,-61
0.949,Bluetooth,-53
0.950,Bluetooth,-53
0.985,Bluetooth,-63
0.986,Bluetooth,-61
1.016,Bluetooth,-63
1.018,Bluetooth,-64
1.075,Bluetooth,-60
1.076,Bluetooth,-60
1.107,Bluetooth,-68
1.108,Bluetooth,-69
1.144,Bluetooth,-67
1.145,Bluetooth,-66
1.215,Bluetooth,-57
1.216,Bluetooth,-57
1.249,Bluetooth,-66
1.251,Bluetooth,-66
1.285,Bluetooth,-61
1.286,Bluetooth,-63
1.320,Bluetooth,-63
1.321,Bluetooth,-62
1.361,Bluetooth,-55
1.362,Bluetooth,-56
1.392,Bluetooth,-64
1.393,Bluetooth,-64
1.483,Bluetooth,-56
1.484,Bluetooth,-55
1.560,Bluetooth,-67
1.561,Bluetooth,-66
1.593,Bluetooth,-71
1.594,Bluetooth,-71
1.633,Bluetooth,-71
1.634,Bluetooth,-70
1.665,Bluetooth,-65
1.667,Bluetooth,-65
1.735,Bluetooth,-78
1.736,Bluetooth,-77
1.774,Bluetooth,-66
1.776,Bluetooth,-66
1.810,Bluetooth,-59
1.811,Bluetooth,-60
1.844,Bluetooth,-66
1.845,Bluetooth,-67
1.905,Bluetooth,-60
1.945,Bluetooth,-71
2.012,Bluetooth,-64
2.013,Bluetooth,-64
2.044,Bluetooth,-61
2.045,Bluetooth,-63
2.077,Bluetooth,-72
2.078,Bluetooth,-71
2.116,Bluetooth,-66
2.117,Bluetooth,-65
2.145,Bluetooth,-62
2.146,Bluetooth,-61
2.258,Bluetooth,-71
2.259,Bluetooth,-70
2.290,Bluetooth,-61
2.291,Bluetooth,-61
2.358,Bluetooth,-75
2.359,Bluetooth,-75
2.386,Bluetooth,-61
2.387,Bluetooth,-60
2.419,Bluetooth,-61
2.420,Bluetooth,-61
2.451,Bluetooth,-64
2.452,Bluetooth,-64
2.484,Bluetooth,-74
2.555,Bluetooth,-63
2.556,Bluetooth,-63
2.588,Bluetooth,-72
2.624,Bluetooth,-60
2.625,Bluetooth,-60
2.687,Bluetooth,-65
2.688,Bluetooth,-64
2.761,Bluetooth,-59
2.762,Bluetooth,-60
2.896,Bluetooth,-61
2.898,Bluetooth,-60
2.929,Bluetooth,-65
2.930,Bluetooth,-65
2.962,Bluetooth,-71
2.962,Bluetooth,-71
2.994,Bluetooth,-59
2.996,Bluetooth,-60
3.034,Bluetooth,-65
3.034,Bluetooth,-65
3.057,Bluetooth,-65
3.058,Bluetooth,-65
3.094,Bluetooth,-70
3.129,Bluetooth,-60
3.130,Bluetooth,-60
3.165,Bluetooth,-66
3.166,Bluetooth,-65
3.205,Bluetooth,-70
3.206,Bluetooth,-69
3.241,Bluetooth,-60
3.242,Bluetooth,-60
3.275,Bluetooth,-65
3.277,Bluetooth,-65
3.305,Bluetooth,-69
3.306,Bluetooth,-69
3.337,Bluetooth,-70
3.337,Bluetooth,-69
3.368,Bluetooth,-60
3.369,Bluetooth,-60
3.402,Bluetooth,-65
3.403,Bluetooth,-64
3.433,Bluetooth,-70
3.434,Bluetooth,-70
3.468,Bluetooth,-60
3.469,Bluetooth,-61
3.498,Bluetooth,-60
3.500,Bluetooth,-60
3.687,Bluetooth,-69
3.688,Bluetooth,-68
3.721,Bluetooth,-61
3.722,Bluetooth,-61
3.791,Bluetooth,-68
3.792,Bluetooth,-69
3.964,Bluetooth,-60
3.965,Bluetooth,-62
34.041,Bluetooth,-70
34.043,Bluetooth,-70
34.070,Bluetooth,-67
34.071,Bluetooth,-66
34.132,Bluetooth,-71
34.133,Bluetooth,-70
34.165,Bluetooth,-70
34.197,Bluetooth,-66
34.236,Bluetooth,-72
34.237,Bluetooth,-71
34.276,Bluetooth,-70
34.277,Bluetooth,-70
34.314,Bluetooth,-66
34.352,Bluetooth,-71
34.353,Bluetooth,-72
34.423,Bluetooth,-66
34.425,Bluetooth,-66
34.463,Bluetooth,-74
34.465,Bluetooth,-74
34.503,Bluetooth,-70
34.505,Bluetooth,-70
34.617,Bluetooth,-73
34.655,Bluetooth,-70
34.656,Bluetooth,-69
34.693,Bluetooth,-67
34.694,Bluetooth,-66
34.731,Bluetooth,-72
34.732,Bluetooth,-72
34.766,Bluetooth,-71
34.798,Bluetooth,-66
34.893,Bluetooth,-70
34.894,Bluetooth,-70
35.002,Bluetooth,-70
35.003,Bluetooth,-70
35.038,Bluetooth,-66
35.077,Bluetooth,-72
35.115,Bluetooth,-70
35.116,Bluetooth,-70
35.148,Bluetooth,-66
35.150,Bluetooth,-66
35.178,Bluetooth,-66
35.179,Bluetooth,-66
35.209,Bluetooth,-73
35.239,Bluetooth,-70
35.240,Bluetooth,-70
35.273,Bluetooth,-66
35.274,Bluetooth,-65
35.342,Bluetooth,-71
35.450,Bluetooth,-73
35.451,Bluetooth,-72
35.512,Bluetooth,-67
35.513,Bluetooth,-67
35.551,Bluetooth,-72
35.552,Bluetooth,-71
35.588,Bluetooth,-69
35.626,Bluetooth,-67
35.627,Bluetooth,-68
35.667,Bluetooth,-73
35.668,Bluetooth,-72
35.692,Bluetooth,-72
35.693,Bluetooth,-72
35.795,Bluetooth,-73
35.868,Bluetooth,-67
35.870,Bluetooth,-67
35.901,Bluetooth,-72
35.934,Bluetooth,-72
35.935,Bluetooth,-72
36.007,Bluetooth,-68
36.008,Bluetooth,-68
36.042,Bluetooth,-72
36.080,Bluetooth,-70
36.082,Bluetooth,-71
36.115,Bluetooth,-67
36.117,Bluetooth,-66
36.186,Bluetooth,-70
36.187,Bluetooth,-70
36.219,Bluetooth,-70
36.220,Bluetooth,-70
36.284,Bluetooth,-72
36.285,Bluetooth,-72
36.316,Bluetooth,-71
36.317,Bluetooth,-70
36.345,Bluetooth,-68
36.385,Bluetooth,-72
36.425,Bluetooth,-70
36.426,Bluetooth,-70
36.455,Bluetooth,-70
36.456,Bluetooth,-71
36.487,Bluetooth,-66
36.521,Bluetooth,-72
36.522,Bluetooth,-71
36.593,Bluetooth,-67
36.594,Bluetooth,-67
36.666,Bluetooth,-72
36.667,Bluetooth,-70
36.731,Bluetooth,-67
36.732,Bluetooth,-66
36.767,Bluetooth,-71
36.769,Bluetooth,-71
36.799,Bluetooth,-71
36.838,Bluetooth,-67
36.916,Bluetooth,-69
36.917,Bluetooth,-70
36.948,Bluetooth,-67
36.949,Bluetooth,-67
36.987,Bluetooth,-71
36.988,Bluetooth,-72
37.025,Bluetooth,-70
37.026,Bluetooth,-70
37.057,Bluetooth,-70
37.058,Bluetooth,-70
37.132,Bluetooth,-71
37.134,Bluetooth,-72
37.168,Bluetooth,-70
37.238,Bluetooth,-70
37.239,Bluetooth,-72
37.277,Bluetooth,-71
37.278,Bluetooth,-71
37.394,Bluetooth,-71
37.396,Bluetooth,-71
37.422,Bluetooth,-68
37.455,Bluetooth,-68
37.488,Bluetooth,-70
37.489,Bluetooth,-69
37.525,Bluetooth,-71
37.526,Bluetooth,-71
37.563,Bluetooth,-68
37.594,Bluetooth,-69
37.595,Bluetooth,-71
37.632,Bluetooth,-71
37.634,Bluetooth,-70
37.666,Bluetooth,-67
37.667,Bluetooth,-68
37.702,Bluetooth,-70
37.703,Bluetooth,-69
37.815,Bluetooth,-68
37.817,Bluetooth,-68
37.856,Bluetooth,-68
37.896,Bluetooth,-71
37.898,Bluetooth,-72
37.934,Bluetooth,-69
37.936,Bluetooth,-69
37.966,Bluetooth,-68
38.006,Bluetooth,-71
38.007,Bluetooth,-72
63.476,Bluetooth,-74
63.477,Bluetooth,-73
63.506,Bluetooth,-76
63.608,Bluetooth,-74
63.609,Bluetooth,-74
63.643,Bluetooth,-75
63.644,Bluetooth,-75
63.679,Bluetooth,-70
63.712,Bluetooth,-73
63.745,Bluetooth,-75
63.746,Bluetooth,-76
63.918,Bluetooth,-71
63.919,Bluetooth,-70
63.953,Bluetooth,-72
63.953,Bluetooth,-71
63.993,Bluetooth,-75
64.069,Bluetooth,-71
64.107,Bluetooth,-74
64.215,Bluetooth,-73
64.318,Bluetooth,-73
64.357,Bluetooth,-76
64.358,Bluetooth,-76
64.397,Bluetooth,-72
64.398,Bluetooth,-72
64.538,Bluetooth,-70
64.574,Bluetooth,-73
64.575,Bluetooth,-73
64.608,Bluetooth,-76
64.609,Bluetooth,-77
64.643,Bluetooth,-69
64.680,Bluetooth,-72
64.681,Bluetooth,-72
64.718,Bluetooth,-76
64.759,Bluetooth,-71
64.760,Bluetooth,-71
64.824,Bluetooth,-76
