Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-48
0.000,Bluetooth,-48
0.072,Bluetooth,-47
0.073,Bluetooth,-48
0.106,Bluetooth,-47
0.106,Bluetooth,-48
0.145,Bluetooth,-48
0.147,Bluetooth,-48
0.185,Bluetooth,-48
0.186,Bluetooth,-48
0.225,Bluetooth,-47
0.226,Bluetooth,-47
0.433,Bluetooth,-48
0.434,Bluetooth,-48
0.469,Bluetooth,-49
0.470,Bluetooth,-48
0.502,Bluetooth,-46
0.503,Bluetooth,-48
0.541,Bluetooth,-47
0.654,Bluetooth,-47
0.656,Bluetooth,-49
0.692,Bluetooth,-48
0.693,Bluetooth,-47
0.723,Bluetooth,-47
0.724,Bluetooth,-47
0.792,Bluetooth,-48
0.792,Bluetooth,-48
0.972,Bluetooth,-48
0.973,Bluetooth,-48
1.006,Bluetooth,-48
1.006,Bluetooth,-48
1.041,Bluetooth,-48
1.042,Bluetooth,-47
1.082,Bluetooth,-48
1.084,Bluetooth,-49
1.119,Bluetooth,-47
1.121,Bluetooth,-47
1.153,Bluetooth,-47
1.227,Bluetooth,-48
1.228,Bluetooth,-48
1.262,Bluetooth,-47
1.263,Bluetooth,-49
1.293,Bluetooth,-48
1.330,Bluetooth,-48
1.331,Bluetooth,-48
1.370,Bluetooth,-48
1.371,Bluetooth,-48
1.409,Bluetooth,-48
1.409,Bluetooth,-48
1.445,Bluetooth,-48
1.476,Bluetooth,-48
1.477,Bluetooth,-48
1.514,Bluetooth,-49
1.515,Bluetooth,-48
1.592,Bluetooth,-47
1.592,Bluetooth,-49
1.621,Bluetooth,-48
1.623,Bluetooth,-47
1.661,Bluetooth,-47
1.662,Bluetooth,-48
1.690,Bluetooth,-48
1.691,Bluetooth,-47
1.721,Bluetooth,-48
1.722,Bluetooth,-48
1.903,Bluetooth,-48
1.904,Bluetooth,-48
1.969,Bluetooth,-48
1.969,Bluetooth,-48
1.999,Bluetooth,-48
2.000,Bluetooth,-48
2.029,Bluetooth,-49
2.205,Bluetooth,-48
2.206,Bluetooth,-48
2.235,Bluetooth,-49
2.235,Bluetooth,-48
2.278,Bluetooth,-48
2.279,Bluetooth,-49
2.414,Bluetooth,-48
2.415,Bluetooth,-48
2.449,Bluetooth,-49
2.450,Bluetooth,-49
2.478,Bluetooth,-49
2.479,Bluetooth,-49
2.615,Bluetooth,-49
2.617,Bluetooth,-49
2.651,Bluetooth,-50
2.686,Bluetooth,-49
2.688,Bluetooth,-49
2.764,Bluetooth,-49
2.765,Bluetooth,-49
2.795,Bluetooth,-49
2.796,Bluetooth,-49
2.833,Bluetooth,-48
2.835,Bluetooth,-50
2.868,Bluetooth,-49
2.868,Bluetooth,-48
2.902,Bluetooth,-48
2.903,Bluetooth,-49
2.942,Bluetooth,-49
2.973,Bluetooth,-49
3.013,Bluetooth,-49
3.015,Bluetooth,-49
3.048,Bluetooth,-49
3.049,Bluetooth,-50
3.184,Bluetooth,-48
3.185,Bluetooth,-49
3.215,Bluetooth,-49
3.216,Bluetooth,-49
3.253,Bluetooth,-49
3.357,Bluetooth,-49
3.358,Bluetooth,-49
3.386,Bluetooth,-49
3.388,Bluetooth,-49
3.422,Bluetooth,-49
3.527,Bluetooth,-50
3.528,Bluetooth,-48
3.529,Bluetooth,-49
3.564,Bluetooth,-49
3.565,Bluetooth,-49
3.601,Bluetooth,-49
3.602,Bluetooth,-48
3.667,Bluetooth,-48
3.667,Bluetooth,-49
3.697,Bluetooth,-49
3.698,Bluetooth,-49
3.734,Bluetooth,-49
3.736,Bluetooth,-48
3.771,Bluetooth,-50
3.771,Bluetooth,-48
3.806,Bluetooth,-49
3.808,Bluetooth,-48
3.841,Bluetooth,-49
3.872,Bluetooth,-49
3.874,Bluetooth,-49
3.908,Bluetooth,-50
3.909,Bluetooth,-49
16.675,Bluetooth,-47
16.782,Bluetooth,-49
16.783,Bluetooth,-49
16.811,Bluetooth,-47
16.812,Bluetooth,-46
16.914,Bluetooth,-50
16.915,Bluetooth,-51
17.193,Bluetooth,-47
17.263,Bluetooth,-47
17.264,Bluetooth,-47
17.295,Bluetooth,-48
17.296,Bluetooth,-48
17.426,Bluetooth,-46
17.427,Bluetooth,-46
17.461,Bluetooth,-47
17.462,Bluetooth,-47
17.535,Bluetooth,-47
17.629,Bluetooth,-47
17.723,Bluetooth,-45
17.725,Bluetooth,-46
17.755,Bluetooth,-47
17.756,Bluetooth,-47
17.829,Bluetooth,-46
17.830,Bluetooth,-46
17.862,Bluetooth,-47
17.863,Bluetooth,-47
17.938,Bluetooth,-47
17.966,Bluetooth,-45
17.968,Bluetooth,-44
18.007,Bluetooth,-47
18.008,Bluetooth,-46
18.149,Bluetooth,-46
18.150,Bluetooth,-46
18.185,Bluetooth,-47
18.186,Bluetooth,-47
18.223,Bluetooth,-45
18.298,Bluetooth,-46
18.299,Bluetooth,-46
18.366,Bluetooth,-48
18.367,Bluetooth,-48
18.402,Bluetooth,-47
18.403,Bluetooth,-47
18.433,Bluetooth,-47
18.434,Bluetooth,-47
18.471,Bluetooth,-47
18.472,Bluetooth,-47
18.504,Bluetooth,-46
18.505,Bluetooth,-47
18.602,Bluetooth,-50
18.604,Bluetooth,-49
18.742,Bluetooth,-49
18.743,Bluetooth,-49
18.813,Bluetooth,-47
18.814,Bluetooth,-48
18.853,Bluetooth,-45
18.921,Bluetooth,-46
18.922,Bluetooth,-45
18.955,Bluetooth,-45
18.956,Bluetooth,-45
18.991,Bluetooth,-47
18.992,Bluetooth,-46
19.061,Bluetooth,-45
19.062,Bluetooth,-46
19.128,Bluetooth,-47
19.168,Bluetooth,-46
19.169,Bluetooth,-47
19.204,Bluetooth,-47
19.205,Bluetooth,-46
19.245,Bluetooth,-45
19.246,Bluetooth,-45
19.348,Bluetooth,-47
19.349,Bluetooth,-46
19.380,Bluetooth,-45
19.381,Bluetooth,-46
19.420,Bluetooth,-47
19.421,Bluetooth,-46
19.488,Bluetooth,-47
19.489,Bluetooth,-47
19.520,Bluetooth,-46
19.521,Bluetooth,-46
19.587,Bluetooth,-48
19.588,Bluetooth,-47
19.652,Bluetooth,-46
19.653,Bluetooth,-45
19.687,Bluetooth,-45
19.687,Bluetooth,-46
19.725,Bluetooth,-47
19.726,Bluetooth,-46
19.858,Bluetooth,-47
19.859,Bluetooth,-48
19.897,Bluetooth,-45
19.898,Bluetooth,-46
19.935,Bluetooth,-48
19.936,Bluetooth,-48
19.999,Bluetooth,-46
20.000,Bluetooth,-47
20.029,Bluetooth,-49
20.101,Bluetooth,-49
20.102,Bluetooth,-49
20.208,Bluetooth,-49
20.208,Bluetooth,-50
20.250,Bluetooth,-49
20.251,Bluetooth,-48
20.428,Bluetooth,-47
20.429,Bluetooth,-47
20.462,Bluetooth,-45
20.462,Bluetooth,-45
27.146,Bluetooth,-51
27.148,Bluetooth,-51
27.182,Bluetooth,-53
27.184,Bluetooth,-53
27.212,Bluetooth,-56
27.213,Bluetooth,-57
27.245,Bluetooth,-53
27.283,Bluetooth,-56
27.284,Bluetooth,-57
27.319,Bluetooth,-54
27.319,Bluetooth,-56
27.356,Bluetooth,-51
27.357,Bluetooth,-52
27.537,Bluetooth,-52
27.571,Bluetooth,-53
27.572,Bluetooth,-52
27.673,Bluetooth,-54
27.674,Bluetooth,-54
27.712,Bluetooth,-54
27.713,Bluetooth,-53
27.751,Bluetooth,-57
27.751,Bluetooth,-57
27.788,Bluetooth,-53
27.788,Bluetooth,-54
27.819,Bluetooth,-56
27.820,Bluetooth,-54
27.888,Bluetooth,-54
27.889,Bluetooth,-53
27.919,Bluetooth,-59
27.920,Bluetooth,-58
28.056,Bluetooth,-51
28.057,Bluetooth,-51
28.130,Bluetooth,-50
28.167,Bluetooth,-62
28.168,Bluetooth,-61
28.242,Bluetooth,-53
28.244,Bluetooth,-52
28.310,Bluetooth,-59
28.311,Bluetooth,-60
28.422,Bluetooth,-61
28.423,Bluetooth,-60
28.464,Bluetooth,-60
28.464,Bluetooth,-59
28.532,Bluetooth,-51
28.533,Bluetooth,-50
28.561,Bluetooth,-53
28.561,Bluetooth,-53
28.628,Bluetooth,-51
28.629,Bluetooth,-51
28.709,Bluetooth,-58
28.711,Bluetooth,-60
28.815,Bluetooth,-58
28.816,Bluetooth,-59
28.845,Bluetooth,-51
28.845,Bluetooth,-50
28.878,Bluetooth,-52
28.878,Bluetooth,-52
28.985,Bluetooth,-51
28.986,Bluetooth,-52
29.054,Bluetooth,-52
29.160,Bluetooth,-52
29.161,Bluetooth,-52
29.200,Bluetooth,-60
29.201,Bluetooth,-60
29.273,Bluetooth,-52
29.274,Bluetooth,-52
29.309,Bluetooth,-58
29.310,Bluetooth,-59
29.348,Bluetooth,-52
29.413,Bluetooth,-51
29.413,Bluetooth,-51
29.442,Bluetooth,-52
29.444,Bluetooth,-52
29.512,Bluetooth,-60
29.513,Bluetooth,-59
29.545,Bluetooth,-51
29.547,Bluetooth,-50
29.578,Bluetooth,-53
29.579,Bluetooth,-52
