Distance,6.0
TXDevice,iPhone6s
TXPower,12
RXDevice,iPhone6s
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,127
0.028,Bluetooth,-71
0.029,Bluetooth,-71
0.062,Bluetooth,127
0.097,Bluetooth,-70
0.098,Bluetooth,-70
0.131,Bluetooth,-71
0.132,Bluetooth,-72
0.329,Bluetooth,-71
0.330,Bluetooth,-71
0.361,Bluetooth,-71
0.362,Bluetooth,-70
0.393,Bluetooth,-71
0.395,Bluetooth,-72
0.424,Bluetooth,-71
0.426,Bluetooth,-71
0.455,Bluetooth,-72
0.456,Bluetooth,-70
0.485,Bluetooth,-69
0.486,Bluetooth,-71
0.547,Bluetooth,127
0.583,Bluetooth,128
0.647,Bluetooth,-67
0.648,Bluetooth,-66
0.713,Bluetooth,-69
0.714,Bluetooth,-68
0.742,Bluetooth,127
0.778,Bluetooth,-65
0.779,Bluetooth,-66
0.810,Bluetooth,127
0.935,Bluetooth,-68
0.937,Bluetooth,-67
0.968,Bluetooth,126
1.000,Bluetooth,126
1.031,Bluetooth,-65
1.031,Bluetooth,-65
1.062,Bluetooth,-70
1.063,Bluetooth,-69
1.091,Bluetooth,-65
1.092,Bluetooth,-67
1.121,Bluetooth,-64
1.122,Bluetooth,-67
1.153,Bluetooth,-65
1.154,Bluetooth,-67
1.188,Bluetooth,-71
1.189,Bluetooth,-70
1.217,Bluetooth,-66
1.217,Bluetooth,-67
1.249,Bluetooth,-67
1.250,Bluetooth,-67
1.279,Bluetooth,-69
1.280,Bluetooth,-68
1.310,Bluetooth,-72
1.311,Bluetooth,-70
1.340,Bluetooth,-67
1.342,Bluetooth,-70
1.373,Bluetooth,-69
1.375,Bluetooth,-68
1.407,Bluetooth,-72
1.410,Bluetooth,-73
1.436,Bluetooth,-71
1.437,Bluetooth,-73
1.466,Bluetooth,-69
1.467,Bluetooth,-69
1.498,Bluetooth,-71
1.499,Bluetooth,-70
1.531,Bluetooth,-70
1.532,Bluetooth,-69
1.598,Bluetooth,-70
1.598,Bluetooth,-71
1.625,Bluetooth,-71
1.626,Bluetooth,-71
1.660,Bluetooth,-69
1.660,Bluetooth,-69
1.690,Bluetooth,-71
1.690,Bluetooth,-71
1.720,Bluetooth,-70
1.720,Bluetooth,-71
1.753,Bluetooth,-71
1.753,Bluetooth,-70
1.786,Bluetooth,-69
1.787,Bluetooth,-71
1.879,Bluetooth,-68
1.880,Bluetooth,-68
1.975,Bluetooth,-67
1.977,Bluetooth,-66
2.009,Bluetooth,-72
2.010,Bluetooth,-74
2.038,Bluetooth,-71
2.039,Bluetooth,-73
2.196,Bluetooth,-69
2.197,Bluetooth,-71
2.354,Bluetooth,-69
2.355,Bluetooth,-71
2.579,Bluetooth,127
2.613,Bluetooth,-71
2.614,Bluetooth,-71
2.672,Bluetooth,-68
2.673,Bluetooth,-69
2.707,Bluetooth,126
2.740,Bluetooth,-71
2.742,Bluetooth,-71
2.837,Bluetooth,-70
2.838,Bluetooth,-69
2.871,Bluetooth,-71
2.872,Bluetooth,-71
2.903,Bluetooth,-70
2.904,Bluetooth,-70
2.939,Bluetooth,-70
2.940,Bluetooth,-69
2.970,Bluetooth,-70
2.971,Bluetooth,-70
3.000,Bluetooth,-70
3.001,Bluetooth,-71
3.029,Bluetooth,-69
3.030,Bluetooth,-70
3.064,Bluetooth,-71
3.065,Bluetooth,-69
3.095,Bluetooth,-68
3.096,Bluetooth,-71
3.126,Bluetooth,-70
3.127,Bluetooth,-70
3.158,Bluetooth,-70
3.160,Bluetooth,-70
3.287,Bluetooth,-73
3.288,Bluetooth,-72
3.599,Bluetooth,-68
3.600,Bluetooth,-67
3.627,Bluetooth,-71
3.629,Bluetooth,-72
3.662,Bluetooth,-71
3.663,Bluetooth,-71
3.794,Bluetooth,-71
3.796,Bluetooth,-71
3.824,Bluetooth,-69
3.826,Bluetooth,-69
3.857,Bluetooth,-69
3.860,Bluetooth,-71
3.890,Bluetooth,-69
3.892,Bluetooth,-69
3.925,Bluetooth,-71
3.927,Bluetooth,-71
3.956,Bluetooth,-70
3.957,Bluetooth,-71
3.985,Bluetooth,-69
3.986,Bluetooth,-67
48.669,Bluetooth,-70
48.701,Bluetooth,-73
48.702,Bluetooth,127
48.732,Bluetooth,-72
48.733,Bluetooth,-72
48.760,Bluetooth,-72
48.761,Bluetooth,-72
48.791,Bluetooth,-70
48.792,Bluetooth,-70
48.825,Bluetooth,-74
48.828,Bluetooth,127
48.858,Bluetooth,-71
48.859,Bluetooth,127
48.891,Bluetooth,-73
48.892,Bluetooth,-71
48.924,Bluetooth,-70
48.925,Bluetooth,-71
48.987,Bluetooth,-71
48.988,Bluetooth,-71
49.084,Bluetooth,-72
49.085,Bluetooth,127
49.147,Bluetooth,-68
49.148,Bluetooth,-70
49.182,Bluetooth,-71
49.183,Bluetooth,127
49.215,Bluetooth,-72
49.216,Bluetooth,127
49.245,Bluetooth,-70
49.245,Bluetooth,-71
49.280,Bluetooth,-70
49.281,Bluetooth,-70
49.312,Bluetooth,-73
49.313,Bluetooth,126
49.375,Bluetooth,-70
49.376,Bluetooth,-72
49.410,Bluetooth,-71
49.412,Bluetooth,-70
49.442,Bluetooth,-74
49.444,Bluetooth,126
49.471,Bluetooth,-71
49.472,Bluetooth,-71
49.506,Bluetooth,-70
49.507,Bluetooth,-70
49.539,Bluetooth,-70
49.540,Bluetooth,-70
49.570,Bluetooth,-73
49.571,Bluetooth,127
49.602,Bluetooth,-70
49.603,Bluetooth,-71
49.636,Bluetooth,-69
49.637,Bluetooth,-70
49.666,Bluetooth,-75
49.667,Bluetooth,127
49.734,Bluetooth,-69
49.735,Bluetooth,-70
49.769,Bluetooth,-69
49.772,Bluetooth,-70
49.801,Bluetooth,-74
49.802,Bluetooth,127
49.830,Bluetooth,-68
49.831,Bluetooth,-70
49.863,Bluetooth,-68
49.864,Bluetooth,-69
49.895,Bluetooth,127
49.930,Bluetooth,-74
49.931,Bluetooth,-74
49.961,Bluetooth,127
49.991,Bluetooth,-69
49.992,Bluetooth,-69
50.025,Bluetooth,127
50.057,Bluetooth,-73
50.059,Bluetooth,-74
50.086,Bluetooth,127
50.123,Bluetooth,-69
50.124,Bluetooth,-69
50.152,Bluetooth,-73
50.154,Bluetooth,127
50.182,Bluetooth,-70
50.183,Bluetooth,-68
50.214,Bluetooth,-68
50.215,Bluetooth,-69
50.245,Bluetooth,-68
50.246,Bluetooth,-69
50.278,Bluetooth,-73
50.279,Bluetooth,128
50.307,Bluetooth,-68
50.308,Bluetooth,-71
50.337,Bluetooth,-68
50.338,Bluetooth,-71
50.373,Bluetooth,-68
50.374,Bluetooth,-67
50.401,Bluetooth,-74
50.402,Bluetooth,127
50.430,Bluetooth,-69
50.431,Bluetooth,-70
50.466,Bluetooth,-67
50.467,Bluetooth,-69
50.528,Bluetooth,-74
50.529,Bluetooth,126
50.593,Bluetooth,-67
50.595,Bluetooth,-68
50.627,Bluetooth,-74
50.629,Bluetooth,127
50.656,Bluetooth,-74
50.657,Bluetooth,126
50.685,Bluetooth,127
50.878,Bluetooth,-73
50.880,Bluetooth,127
50.911,Bluetooth,-69
50.913,Bluetooth,-70
51.069,Bluetooth,-69
51.070,Bluetooth,-70
51.134,Bluetooth,-73
51.135,Bluetooth,126
51.169,Bluetooth,-69
51.170,Bluetooth,-70
51.199,Bluetooth,127
51.264,Bluetooth,-69
51.265,Bluetooth,-70
51.297,Bluetooth,-71
51.298,Bluetooth,-69
51.329,Bluetooth,-68
51.330,Bluetooth,-69
51.364,Bluetooth,-75
51.365,Bluetooth,127
51.395,Bluetooth,-67
51.397,Bluetooth,-70
51.431,Bluetooth,-69
