Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-53
0.002,Bluetooth,-52
0.064,Bluetooth,-56
0.066,Bluetooth,-58
0.138,Bluetooth,-55
0.140,Bluetooth,-54
0.211,Bluetooth,-58
0.247,Bluetooth,-57
0.249,Bluetooth,-56
0.275,Bluetooth,-64
0.278,Bluetooth,-63
0.346,Bluetooth,-60
0.348,Bluetooth,-60
0.385,Bluetooth,-62
0.420,Bluetooth,-54
0.422,Bluetooth,-54
0.454,Bluetooth,-55
0.456,Bluetooth,-54
0.490,Bluetooth,-53
0.531,Bluetooth,-57
0.534,Bluetooth,-58
0.565,Bluetooth,-62
0.567,Bluetooth,-62
0.668,Bluetooth,-69
0.670,Bluetooth,-69
0.708,Bluetooth,-61
0.710,Bluetooth,-60
0.738,Bluetooth,-61
0.740,Bluetooth,-62
0.772,Bluetooth,-52
0.774,Bluetooth,-52
0.802,Bluetooth,-54
0.835,Bluetooth,-58
0.837,Bluetooth,-58
0.873,Bluetooth,-60
0.908,Bluetooth,-55
0.910,Bluetooth,-55
0.944,Bluetooth,-54
0.946,Bluetooth,-53
1.094,Bluetooth,-61
1.162,Bluetooth,-63
1.164,Bluetooth,-62
1.199,Bluetooth,-62
1.201,Bluetooth,-63
1.304,Bluetooth,-61
1.306,Bluetooth,-61
1.342,Bluetooth,-59
1.344,Bluetooth,-60
1.418,Bluetooth,-58
1.420,Bluetooth,-57
1.524,Bluetooth,-61
1.526,Bluetooth,-61
1.558,Bluetooth,-61
1.560,Bluetooth,-61
1.587,Bluetooth,-68
1.627,Bluetooth,-61
1.629,Bluetooth,-60
1.660,Bluetooth,-60
1.662,Bluetooth,-60
1.695,Bluetooth,-59
1.771,Bluetooth,-61
1.773,Bluetooth,-61
1.805,Bluetooth,-61
1.807,Bluetooth,-61
1.835,Bluetooth,-68
1.837,Bluetooth,-67
1.869,Bluetooth,-84
1.871,Bluetooth,-84
2.043,Bluetooth,-63
2.045,Bluetooth,-63
2.111,Bluetooth,-67
2.113,Bluetooth,-65
2.145,Bluetooth,-68
2.147,Bluetooth,-69
2.206,Bluetooth,-66
2.208,Bluetooth,-66
2.311,Bluetooth,-70
2.385,Bluetooth,-68
2.424,Bluetooth,-85
2.426,Bluetooth,-85
2.600,Bluetooth,-73
2.631,Bluetooth,-72
2.633,Bluetooth,-72
2.660,Bluetooth,-64
2.699,Bluetooth,-72
2.701,Bluetooth,-71
2.799,Bluetooth,-64
2.869,Bluetooth,-64
2.871,Bluetooth,-63
2.907,Bluetooth,-61
2.975,Bluetooth,-61
2.977,Bluetooth,-61
3.015,Bluetooth,-61
3.017,Bluetooth,-60
3.051,Bluetooth,-73
3.054,Bluetooth,-72
3.117,Bluetooth,-62
3.119,Bluetooth,-61
3.147,Bluetooth,-61
3.149,Bluetooth,-60
3.227,Bluetooth,-66
3.229,Bluetooth,-66
3.298,Bluetooth,-63
3.300,Bluetooth,-62
3.326,Bluetooth,-63
3.328,Bluetooth,-62
3.360,Bluetooth,-62
3.362,Bluetooth,-62
3.398,Bluetooth,-61
3.400,Bluetooth,-61
3.425,Bluetooth,-61
3.468,Bluetooth,-60
3.470,Bluetooth,-59
3.507,Bluetooth,-60
3.543,Bluetooth,-58
3.545,Bluetooth,-59
3.581,Bluetooth,-60
3.582,Bluetooth,-61
3.615,Bluetooth,-66
3.617,Bluetooth,-65
3.655,Bluetooth,-57
3.657,Bluetooth,-57
3.725,Bluetooth,-69
3.801,Bluetooth,-60
3.836,Bluetooth,-56
3.838,Bluetooth,-56
3.938,Bluetooth,-58
3.940,Bluetooth,-57
40.287,Bluetooth,-63
40.289,Bluetooth,-63
40.329,Bluetooth,-59
40.400,Bluetooth,-64
40.431,Bluetooth,-64
40.465,Bluetooth,-60
40.467,Bluetooth,-60
40.564,Bluetooth,-63
40.566,Bluetooth,-63
40.597,Bluetooth,-60
40.599,Bluetooth,-60
40.631,Bluetooth,-67
40.633,Bluetooth,-68
40.673,Bluetooth,-64
40.675,Bluetooth,-66
40.706,Bluetooth,-60
40.743,Bluetooth,-65
40.745,Bluetooth,-65
40.817,Bluetooth,-68
40.819,Bluetooth,-69
40.848,Bluetooth,-65
40.850,Bluetooth,-65
40.881,Bluetooth,-60
40.883,Bluetooth,-61
40.951,Bluetooth,-69
40.953,Bluetooth,-70
40.987,Bluetooth,-69
41.022,Bluetooth,-63
41.024,Bluetooth,-62
41.197,Bluetooth,-58
41.200,Bluetooth,-58
41.234,Bluetooth,-72
41.235,Bluetooth,-73
41.272,Bluetooth,-68
41.274,Bluetooth,-67
41.308,Bluetooth,-68
41.344,Bluetooth,-68
41.346,Bluetooth,-69
41.382,Bluetooth,-59
41.384,Bluetooth,-59
41.412,Bluetooth,-59
41.415,Bluetooth,-59
41.631,Bluetooth,-72
41.633,Bluetooth,-71
41.663,Bluetooth,-69
41.665,Bluetooth,-68
41.888,Bluetooth,-69
41.929,Bluetooth,-70
41.932,Bluetooth,-69
42.002,Bluetooth,-60
42.004,Bluetooth,-61
42.177,Bluetooth,-71
42.179,Bluetooth,-71
42.211,Bluetooth,-69
42.274,Bluetooth,-69
42.276,Bluetooth,-70
42.308,Bluetooth,-59
42.310,Bluetooth,-60
42.345,Bluetooth,-73
42.347,Bluetooth,-73
42.384,Bluetooth,-72
42.385,Bluetooth,-72
42.516,Bluetooth,-75
42.615,Bluetooth,-58
42.617,Bluetooth,-58
42.753,Bluetooth,-77
42.755,Bluetooth,-77
42.786,Bluetooth,-58
42.788,Bluetooth,-58
42.828,Bluetooth,-75
42.830,Bluetooth,-73
42.865,Bluetooth,-76
42.867,Bluetooth,-76
42.904,Bluetooth,-58
42.905,Bluetooth,-58
42.936,Bluetooth,-74
42.938,Bluetooth,-74
42.974,Bluetooth,-73
42.976,Bluetooth,-73
43.048,Bluetooth,-58
43.049,Bluetooth,-58
43.073,Bluetooth,-73
43.075,Bluetooth,-73
43.105,Bluetooth,-73
43.214,Bluetooth,-73
43.215,Bluetooth,-72
43.318,Bluetooth,-71
43.320,Bluetooth,-72
43.399,Bluetooth,-59
43.429,Bluetooth,-70
43.431,Bluetooth,-69
43.460,Bluetooth,-58
43.463,Bluetooth,-58
43.528,Bluetooth,-69
43.529,Bluetooth,-69
43.561,Bluetooth,-68
43.563,Bluetooth,-67
43.594,Bluetooth,-59
43.596,Bluetooth,-58
43.627,Bluetooth,-67
43.629,Bluetooth,-67
43.662,Bluetooth,-66
43.664,Bluetooth,-65
43.724,Bluetooth,-65
43.727,Bluetooth,-65
43.760,Bluetooth,-59
43.762,Bluetooth,-59
43.826,Bluetooth,-66
43.828,Bluetooth,-66
43.857,Bluetooth,-65
43.859,Bluetooth,-65
43.891,Bluetooth,-58
43.893,Bluetooth,-59
43.997,Bluetooth,-64
44.031,Bluetooth,-66
44.033,Bluetooth,-67
44.065,Bluetooth,-67
44.067,Bluetooth,-66
44.103,Bluetooth,-58
44.105,Bluetooth,-58
44.139,Bluetooth,-67
44.141,Bluetooth,-67
75.678,Bluetooth,-70
75.680,Bluetooth,-71
75.719,Bluetooth,-75
75.721,Bluetooth,-76
75.797,Bluetooth,-72
75.827,Bluetooth,-71
75.829,Bluetooth,-70
75.860,Bluetooth,-67
75.862,Bluetooth,-67
75.896,Bluetooth,-68
75.898,Bluetooth,-70
75.997,Bluetooth,-85
75.999,Bluetooth,-86
76.028,Bluetooth,-68
76.066,Bluetooth,-65
76.069,Bluetooth,-64
76.098,Bluetooth,-70
76.129,Bluetooth,-68
76.131,Bluetooth,-69
76.166,Bluetooth,-73
76.168,Bluetooth,-73
76.203,Bluetooth,-61
76.205,Bluetooth,-61
76.351,Bluetooth,-60
76.353,Bluetooth,-60
76.390,Bluetooth,-73
76.422,Bluetooth,-64
76.424,Bluetooth,-65
76.483,Bluetooth,-72
76.485,Bluetooth,-72
76.518,Bluetooth,-58
76.520,Bluetooth,-59
76.551,Bluetooth,-64
76.553,Bluetooth,-64
76.661,Bluetooth,-65
76.663,Bluetooth,-64
76.760,Bluetooth,-78
76.762,Bluetooth,-79
76.801,Bluetooth,-59
76.803,Bluetooth,-59
76.911,Bluetooth,-80
76.914,Bluetooth,-81
76.952,Bluetooth,-59
77.164,Bluetooth,-66
77.166,Bluetooth,-66
77.270,Bluetooth,-60
77.272,Bluetooth,-60
77.338,Bluetooth,-67
77.339,Bluetooth,-67
77.376,Bluetooth,-67
77.379,Bluetooth,-67
77.413,Bluetooth,-62
77.415,Bluetooth,-62
77.586,Bluetooth,-60
77.648,Bluetooth,-76
77.687,Bluetooth,-68
77.689,Bluetooth,-68
77.748,Bluetooth,-84
77.820,Bluetooth,-62
77.822,Bluetooth,-60
77.967,Bluetooth,-76
77.968,Bluetooth,-76
77.998,Bluetooth,-72
77.999,Bluetooth,-73
78.038,Bluetooth,-61
78.040,Bluetooth,-60
78.410,Bluetooth,-77
78.413,Bluetooth,-78
78.442,Bluetooth,-74
78.444,Bluetooth,-75
78.484,Bluetooth,-64
78.486,Bluetooth,-65
78.590,Bluetooth,-78
78.592,Bluetooth,-79
78.628,Bluetooth,-77
78.630,Bluetooth,-77
78.667,Bluetooth,-65
78.669,Bluetooth,-65
78.771,Bluetooth,-78
78.773,Bluetooth,-79
78.809,Bluetooth,-81
78.844,Bluetooth,-83
78.846,Bluetooth,-82
78.878,Bluetooth,-77
78.880,Bluetooth,-77
78.909,Bluetooth,-65
78.911,Bluetooth,-65
79.003,Bluetooth,-76
79.005,Bluetooth,-74
79.036,Bluetooth,-64
79.039,Bluetooth,-64
79.067,Bluetooth,-84
79.069,Bluetooth,-84
79.103,Bluetooth,-75
79.131,Bluetooth,-84
79.133,Bluetooth,-83
79.169,Bluetooth,-77
79.171,Bluetooth,-76
79.204,Bluetooth,-63
79.206,Bluetooth,-64
79.271,Bluetooth,-83
79.307,Bluetooth,-76
79.310,Bluetooth,-76
79.343,Bluetooth,-64
79.345,Bluetooth,-65
79.525,Bluetooth,-65
79.527,Bluetooth,-63
79.564,Bluetooth,-91
79.567,Bluetooth,-89
79.634,Bluetooth,-83
79.636,Bluetooth,-85
117.798,Bluetooth,-68
117.831,Bluetooth,-65
117.934,Bluetooth,-78
117.936,Bluetooth,-77
117.966,Bluetooth,-78
117.968,Bluetooth,-77
118.036,Bluetooth,-80
118.038,Bluetooth,-81
118.109,Bluetooth,-81
118.137,Bluetooth,-75
118.139,Bluetooth,-74
118.172,Bluetooth,-70
118.173,Bluetooth,-70
118.277,Bluetooth,-69
118.279,Bluetooth,-70
118.312,Bluetooth,-72
118.314,Bluetooth,-74
118.352,Bluetooth,-67
118.392,Bluetooth,-76
118.432,Bluetooth,-72
118.434,Bluetooth,-71
118.468,Bluetooth,-78
118.471,Bluetooth,-77
118.505,Bluetooth,-66
118.546,Bluetooth,-75
118.547,Bluetooth,-74
118.580,Bluetooth,-77
118.583,Bluetooth,-77
118.620,Bluetooth,-68
118.652,Bluetooth,-68
118.654,Bluetooth,-68
118.685,Bluetooth,-67
118.722,Bluetooth,-77
118.823,Bluetooth,-68
118.825,Bluetooth,-68
118.862,Bluetooth,-77
118.924,Bluetooth,-68
118.926,Bluetooth,-67
118.994,Bluetooth,-74
119.025,Bluetooth,-73
119.028,Bluetooth,-72
119.131,Bluetooth,-68
119.133,Bluetooth,-68
119.265,Bluetooth,-81
119.267,Bluetooth,-81
119.340,Bluetooth,-80
119.342,Bluetooth,-78
119.369,Bluetooth,-71
119.371,Bluetooth,-71
119.507,Bluetooth,-68
119.510,Bluetooth,-66
119.548,Bluetooth,-65
119.612,Bluetooth,-64
119.647,Bluetooth,-65
119.648,Bluetooth,-65
119.686,Bluetooth,-63
119.688,Bluetooth,-64
119.716,Bluetooth,-70
119.717,Bluetooth,-69
119.746,Bluetooth,-66
119.748,Bluetooth,-64
119.824,Bluetooth,-75
119.827,Bluetooth,-76
119.896,Bluetooth,-80
119.964,Bluetooth,-62
119.966,Bluetooth,-62
119.999,Bluetooth,-70
120.063,Bluetooth,-65
120.065,Bluetooth,-65
120.104,Bluetooth,-63
120.106,Bluetooth,-63
120.142,Bluetooth,-65
120.144,Bluetooth,-66
120.174,Bluetooth,-66
120.176,Bluetooth,-66
120.207,Bluetooth,-66
120.245,Bluetooth,-66
120.247,Bluetooth,-66
120.277,Bluetooth,-64
120.279,Bluetooth,-65
120.419,Bluetooth,-65
120.421,Bluetooth,-64
120.489,Bluetooth,-66
120.528,Bluetooth,-68
120.529,Bluetooth,-68
120.597,Bluetooth,-67
120.598,Bluetooth,-66
120.666,Bluetooth,-68
120.668,Bluetooth,-67
120.701,Bluetooth,-64
120.703,Bluetooth,-66
120.734,Bluetooth,-71
120.736,Bluetooth,-70
120.769,Bluetooth,-71
120.913,Bluetooth,-64
120.915,Bluetooth,-63
120.977,Bluetooth,-65
120.979,Bluetooth,-66
121.019,Bluetooth,-65
121.021,Bluetooth,-63
121.153,Bluetooth,-66
121.155,Bluetooth,-66
121.183,Bluetooth,-64
121.185,Bluetooth,-63
121.245,Bluetooth,-67
121.247,Bluetooth,-66
121.288,Bluetooth,-63
121.290,Bluetooth,-63
121.322,Bluetooth,-71
121.325,Bluetooth,-71
121.397,Bluetooth,-70
121.433,Bluetooth,-64
121.435,Bluetooth,-64
121.464,Bluetooth,-63
121.465,Bluetooth,-63
121.501,Bluetooth,-73
121.502,Bluetooth,-71
121.572,Bluetooth,-64
121.574,Bluetooth,-65
121.606,Bluetooth,-62
121.608,Bluetooth,-63
121.645,Bluetooth,-71
121.646,Bluetooth,-72
121.680,Bluetooth,-63
121.720,Bluetooth,-64
121.722,Bluetooth,-62
121.754,Bluetooth,-73
121.757,Bluetooth,-72
157.708,Bluetooth,-62
157.738,Bluetooth,-62
157.740,Bluetooth,-61
157.767,Bluetooth,-55
157.769,Bluetooth,-57
157.934,Bluetooth,-56
157.937,Bluetooth,-56
158.044,Bluetooth,-56
158.045,Bluetooth,-55
158.076,Bluetooth,-59
158.078,Bluetooth,-59
158.152,Bluetooth,-55
158.154,Bluetooth,-56
158.182,Bluetooth,-58
158.183,Bluetooth,-58
158.276,Bluetooth,-57
158.278,Bluetooth,-57
158.304,Bluetooth,-55
158.343,Bluetooth,-56
158.346,Bluetooth,-57
158.407,Bluetooth,-59
158.408,Bluetooth,-59
158.540,Bluetooth,-59
158.542,Bluetooth,-59
158.574,Bluetooth,-57
158.576,Bluetooth,-57
158.609,Bluetooth,-56
158.721,Bluetooth,-58
158.723,Bluetooth,-58
158.793,Bluetooth,-55
158.795,Bluetooth,-55
158.865,Bluetooth,-58
158.867,Bluetooth,-58
158.905,Bluetooth,-57
158.939,Bluetooth,-58
158.940,Bluetooth,-58
158.978,Bluetooth,-56
158.980,Bluetooth,-57
159.014,Bluetooth,-58
159.016,Bluetooth,-58
159.052,Bluetooth,-58
159.054,Bluetooth,-58
159.092,Bluetooth,-55
159.094,Bluetooth,-56
159.128,Bluetooth,-57
159.130,Bluetooth,-56
159.203,Bluetooth,-57
159.243,Bluetooth,-57
159.244,Bluetooth,-56
159.277,Bluetooth,-57
159.278,Bluetooth,-58
159.313,Bluetooth,-54
