Distance,10.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhoneXR
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-70
0.001,Bluetooth,-70
0.033,Bluetooth,-69
0.034,Bluetooth,-68
0.068,Bluetooth,-70
0.070,Bluetooth,-70
0.158,Bluetooth,-69
0.159,Bluetooth,-70
0.187,Bluetooth,-70
0.188,Bluetooth,-70
0.284,Bluetooth,-69
0.286,Bluetooth,-69
0.345,Bluetooth,-70
0.346,Bluetooth,-70
0.470,Bluetooth,-70
0.472,Bluetooth,-69
0.505,Bluetooth,-69
0.507,Bluetooth,-68
0.537,Bluetooth,-71
0.539,Bluetooth,-70
0.597,Bluetooth,-68
0.599,Bluetooth,-70
0.628,Bluetooth,-70
0.630,Bluetooth,-70
0.657,Bluetooth,-71
0.659,Bluetooth,-71
0.690,Bluetooth,-68
0.691,Bluetooth,-69
0.724,Bluetooth,-69
0.725,Bluetooth,-69
0.758,Bluetooth,-70
0.760,Bluetooth,-70
0.789,Bluetooth,-72
0.791,Bluetooth,-71
0.820,Bluetooth,-69
0.822,Bluetooth,-69
0.850,Bluetooth,-70
0.852,Bluetooth,-71
0.880,Bluetooth,-70
0.882,Bluetooth,-70
0.909,Bluetooth,-71
0.910,Bluetooth,-71
0.940,Bluetooth,-68
0.942,Bluetooth,-69
0.973,Bluetooth,-70
0.975,Bluetooth,-70
1.037,Bluetooth,-69
1.039,Bluetooth,-70
1.071,Bluetooth,-69
1.073,Bluetooth,-69
1.103,Bluetooth,-70
1.105,Bluetooth,-69
1.133,Bluetooth,-69
1.134,Bluetooth,-70
1.198,Bluetooth,-69
1.200,Bluetooth,-69
1.233,Bluetooth,-69
1.235,Bluetooth,-71
1.262,Bluetooth,-71
1.264,Bluetooth,-70
1.296,Bluetooth,-69
1.297,Bluetooth,-69
1.330,Bluetooth,-69
1.332,Bluetooth,-70
1.360,Bluetooth,-70
1.362,Bluetooth,-71
1.390,Bluetooth,-71
1.391,Bluetooth,-72
1.421,Bluetooth,-65
1.423,Bluetooth,-65
1.452,Bluetooth,-69
1.454,Bluetooth,-67
1.482,Bluetooth,-65
1.483,Bluetooth,-65
1.510,Bluetooth,-62
1.512,Bluetooth,-62
1.544,Bluetooth,-65
1.545,Bluetooth,-64
1.578,Bluetooth,-64
1.579,Bluetooth,-66
1.610,Bluetooth,-66
1.612,Bluetooth,-65
1.641,Bluetooth,-64
1.643,Bluetooth,-63
1.674,Bluetooth,-63
1.675,Bluetooth,-65
1.705,Bluetooth,-66
1.706,Bluetooth,-67
1.769,Bluetooth,-64
1.771,Bluetooth,-64
1.798,Bluetooth,-64
1.800,Bluetooth,-65
1.833,Bluetooth,-66
1.834,Bluetooth,-66
1.864,Bluetooth,-65
1.865,Bluetooth,-65
1.896,Bluetooth,-64
1.897,Bluetooth,-64
1.929,Bluetooth,-67
1.931,Bluetooth,-66
1.995,Bluetooth,-65
1.997,Bluetooth,-67
2.030,Bluetooth,-64
2.031,Bluetooth,-64
2.060,Bluetooth,-67
2.062,Bluetooth,-67
2.093,Bluetooth,-65
2.095,Bluetooth,-66
2.186,Bluetooth,-67
2.187,Bluetooth,-68
2.216,Bluetooth,-65
2.218,Bluetooth,-66
2.248,Bluetooth,-64
2.250,Bluetooth,-66
2.284,Bluetooth,-64
2.286,Bluetooth,-65
2.318,Bluetooth,-68
2.320,Bluetooth,-67
2.347,Bluetooth,-67
2.348,Bluetooth,-67
2.377,Bluetooth,-64
2.379,Bluetooth,-65
2.441,Bluetooth,-68
2.443,Bluetooth,-67
2.471,Bluetooth,-66
2.473,Bluetooth,-66
2.504,Bluetooth,-64
2.506,Bluetooth,-65
2.537,Bluetooth,-67
2.539,Bluetooth,-67
2.600,Bluetooth,-67
2.602,Bluetooth,-67
2.630,Bluetooth,-64
2.631,Bluetooth,-65
2.664,Bluetooth,-68
2.666,Bluetooth,-67
2.692,Bluetooth,-68
2.694,Bluetooth,-67
2.723,Bluetooth,-67
2.725,Bluetooth,-67
2.758,Bluetooth,-65
2.760,Bluetooth,-65
2.789,Bluetooth,-68
2.791,Bluetooth,-68
2.818,Bluetooth,-65
2.820,Bluetooth,-66
2.848,Bluetooth,-66
2.850,Bluetooth,-65
2.880,Bluetooth,-65
2.881,Bluetooth,-65
2.914,Bluetooth,-68
2.915,Bluetooth,-66
2.941,Bluetooth,-66
2.943,Bluetooth,-66
2.976,Bluetooth,-64
3.037,Bluetooth,-68
3.039,Bluetooth,-67
3.070,Bluetooth,-67
3.072,Bluetooth,-65
3.098,Bluetooth,-66
3.100,Bluetooth,-64
3.133,Bluetooth,-68
3.134,Bluetooth,-67
3.163,Bluetooth,-67
3.164,Bluetooth,-67
3.225,Bluetooth,-63
3.321,Bluetooth,-67
3.323,Bluetooth,-67
3.392,Bluetooth,-66
3.393,Bluetooth,-66
3.483,Bluetooth,-66
3.518,Bluetooth,-76
3.520,Bluetooth,-76
3.546,Bluetooth,-70
3.548,Bluetooth,-70
3.579,Bluetooth,-72
3.581,Bluetooth,-71
3.610,Bluetooth,-74
3.612,Bluetooth,-73
3.641,Bluetooth,-74
3.643,Bluetooth,-75
3.672,Bluetooth,-76
3.674,Bluetooth,-76
3.705,Bluetooth,-72
3.707,Bluetooth,-71
3.736,Bluetooth,-74
3.737,Bluetooth,-74
3.764,Bluetooth,-74
3.766,Bluetooth,-74
3.830,Bluetooth,-71
3.831,Bluetooth,-72
3.863,Bluetooth,-74
3.865,Bluetooth,-74
