Distance,4.0
TXDevice,iPhoneXR
TXPower,12
RXDevice,iPhone11_Pro
TXCarry,unknown
RXCarry,unknown
RXPose,unknown
TXPose,unknown
0.000,Bluetooth,-72
0.003,Bluetooth,-73
0.069,Bluetooth,-63
0.070,Bluetooth,-63
0.101,Bluetooth,-73
0.102,Bluetooth,-73
0.166,Bluetooth,-62
0.167,Bluetooth,-62
0.260,Bluetooth,-62
0.261,Bluetooth,-62
0.293,Bluetooth,-75
0.294,Bluetooth,-73
0.395,Bluetooth,-74
0.396,Bluetooth,-74
0.459,Bluetooth,-62
0.460,Bluetooth,-62
0.526,Bluetooth,-58
0.527,Bluetooth,-58
0.615,Bluetooth,-73
0.620,Bluetooth,-74
0.647,Bluetooth,-61
0.648,Bluetooth,-62
0.710,Bluetooth,-75
0.711,Bluetooth,-75
0.741,Bluetooth,-62
0.742,Bluetooth,-61
0.803,Bluetooth,-75
0.806,Bluetooth,-76
0.872,Bluetooth,-62
0.872,Bluetooth,-61
0.905,Bluetooth,-76
0.906,Bluetooth,-76
0.965,Bluetooth,-62
0.966,Bluetooth,-62
0.999,Bluetooth,-77
1.000,Bluetooth,-78
1.062,Bluetooth,-62
1.063,Bluetooth,-62
1.160,Bluetooth,-62
1.160,Bluetooth,-62
1.190,Bluetooth,-78
1.191,Bluetooth,-80
1.230,Bluetooth,-57
1.256,Bluetooth,-63
1.257,Bluetooth,-63
1.287,Bluetooth,-79
1.352,Bluetooth,-65
1.354,Bluetooth,-66
1.382,Bluetooth,-66
1.383,Bluetooth,-68
1.544,Bluetooth,-61
1.545,Bluetooth,-62
1.672,Bluetooth,-63
1.673,Bluetooth,-63
1.766,Bluetooth,-62
1.767,Bluetooth,-62
1.799,Bluetooth,-80
1.801,Bluetooth,-80
1.863,Bluetooth,-61
1.865,Bluetooth,-62
1.991,Bluetooth,-79
1.992,Bluetooth,-81
2.057,Bluetooth,-62
2.058,Bluetooth,-62
2.155,Bluetooth,-62
2.156,Bluetooth,-62
2.184,Bluetooth,-80
2.185,Bluetooth,-81
2.248,Bluetooth,-62
2.249,Bluetooth,-61
2.310,Bluetooth,-80
2.311,Bluetooth,-80
2.370,Bluetooth,-62
2.401,Bluetooth,-81
2.402,Bluetooth,-80
2.465,Bluetooth,-61
2.466,Bluetooth,-61
2.499,Bluetooth,-81
2.500,Bluetooth,-80
2.565,Bluetooth,-62
2.566,Bluetooth,-63
2.593,Bluetooth,-80
2.594,Bluetooth,-80
2.663,Bluetooth,-65
2.665,Bluetooth,-64
2.791,Bluetooth,-80
2.793,Bluetooth,-80
2.831,Bluetooth,-59
2.832,Bluetooth,-58
2.855,Bluetooth,-61
2.856,Bluetooth,-62
2.886,Bluetooth,-78
2.887,Bluetooth,-80
2.918,Bluetooth,-79
2.919,Bluetooth,-80
2.952,Bluetooth,-62
2.953,Bluetooth,-63
2.988,Bluetooth,-80
2.989,Bluetooth,-79
3.019,Bluetooth,-59
3.051,Bluetooth,-61
3.053,Bluetooth,-62
3.086,Bluetooth,-79
3.087,Bluetooth,-80
3.211,Bluetooth,-79
3.212,Bluetooth,-79
3.275,Bluetooth,-61
3.276,Bluetooth,-62
3.307,Bluetooth,-79
3.309,Bluetooth,-78
3.370,Bluetooth,-62
3.370,Bluetooth,-62
3.399,Bluetooth,-79
3.400,Bluetooth,-79
3.460,Bluetooth,-62
3.461,Bluetooth,-62
3.491,Bluetooth,-78
3.493,Bluetooth,-79
3.525,Bluetooth,-57
3.556,Bluetooth,-62
3.557,Bluetooth,-61
3.590,Bluetooth,-79
3.591,Bluetooth,-79
3.631,Bluetooth,-58
3.632,Bluetooth,-58
3.654,Bluetooth,-62
3.655,Bluetooth,-63
3.687,Bluetooth,-80
3.688,Bluetooth,-80
3.782,Bluetooth,-80
3.784,Bluetooth,-80
3.844,Bluetooth,-61
3.845,Bluetooth,-61
3.911,Bluetooth,-68
3.912,Bluetooth,-68
3.942,Bluetooth,-61
3.943,Bluetooth,-62
160.750,Bluetooth,-68
160.751,Bluetooth,-66
160.811,Bluetooth,-63
160.812,Bluetooth,-64
160.844,Bluetooth,-67
160.845,Bluetooth,-67
160.905,Bluetooth,-64
160.906,Bluetooth,-64
160.993,Bluetooth,-64
160.995,Bluetooth,-65
161.059,Bluetooth,-67
161.060,Bluetooth,-67
161.091,Bluetooth,-64
161.092,Bluetooth,-65
161.131,Bluetooth,-64
161.132,Bluetooth,-63
161.157,Bluetooth,-65
161.158,Bluetooth,-66
161.186,Bluetooth,-64
161.187,Bluetooth,-64
161.249,Bluetooth,-66
161.250,Bluetooth,-66
161.282,Bluetooth,-64
161.283,Bluetooth,-65
161.347,Bluetooth,-65
161.348,Bluetooth,-65
161.411,Bluetooth,-65
161.412,Bluetooth,-64
161.441,Bluetooth,-66
161.443,Bluetooth,-66
161.505,Bluetooth,-63
161.506,Bluetooth,-64
161.574,Bluetooth,-67
161.575,Bluetooth,-66
161.606,Bluetooth,-64
161.607,Bluetooth,-64
161.640,Bluetooth,-66
161.641,Bluetooth,-66
161.701,Bluetooth,-65
161.702,Bluetooth,-65
161.762,Bluetooth,-65
161.763,Bluetooth,-66
161.795,Bluetooth,-66
161.796,Bluetooth,-65
161.826,Bluetooth,-64
161.827,Bluetooth,-64
161.859,Bluetooth,-67
161.860,Bluetooth,-65
161.919,Bluetooth,-66
161.920,Bluetooth,-66
161.951,Bluetooth,-66
161.953,Bluetooth,-65
161.984,Bluetooth,-65
161.986,Bluetooth,-65
162.088,Bluetooth,-65
162.089,Bluetooth,-65
162.118,Bluetooth,-64
162.119,Bluetooth,-64
162.146,Bluetooth,-66
162.147,Bluetooth,-66
162.214,Bluetooth,-65
162.216,Bluetooth,-66
162.244,Bluetooth,-66
162.245,Bluetooth,-67
162.311,Bluetooth,-65
162.312,Bluetooth,-65
162.377,Bluetooth,-67
162.378,Bluetooth,-65
162.407,Bluetooth,-65
162.408,Bluetooth,-65
162.467,Bluetooth,-65
162.469,Bluetooth,-65
162.501,Bluetooth,-66
162.502,Bluetooth,-66
162.565,Bluetooth,-66
162.566,Bluetooth,-67
162.667,Bluetooth,-67
162.668,Bluetooth,-67
162.698,Bluetooth,-65
162.699,Bluetooth,-65
162.761,Bluetooth,-67
162.762,Bluetooth,-68
162.794,Bluetooth,-64
162.795,Bluetooth,-65
162.860,Bluetooth,-66
162.861,Bluetooth,-67
162.890,Bluetooth,-65
162.891,Bluetooth,-64
162.931,Bluetooth,-63
162.932,Bluetooth,-64
162.955,Bluetooth,-67
162.956,Bluetooth,-67
162.984,Bluetooth,-65
162.986,Bluetooth,-66
163.078,Bluetooth,-66
163.080,Bluetooth,-65
163.108,Bluetooth,-65
163.110,Bluetooth,-65
163.173,Bluetooth,-67
163.174,Bluetooth,-66
163.240,Bluetooth,-67
163.241,Bluetooth,-66
163.363,Bluetooth,-67
163.364,Bluetooth,-67
163.394,Bluetooth,-65
163.395,Bluetooth,-65
163.460,Bluetooth,-66
163.461,Bluetooth,-67
163.497,Bluetooth,-65
163.498,Bluetooth,-65
163.531,Bluetooth,-63
163.558,Bluetooth,-68
163.559,Bluetooth,-67
163.594,Bluetooth,-65
163.595,Bluetooth,-65
163.660,Bluetooth,-66
163.661,Bluetooth,-67
163.691,Bluetooth,-65
163.692,Bluetooth,-65
163.788,Bluetooth,-64
163.852,Bluetooth,-66
163.853,Bluetooth,-66
163.881,Bluetooth,-64
163.882,Bluetooth,-64
163.951,Bluetooth,-65
163.952,Bluetooth,-66
164.009,Bluetooth,-64
164.011,Bluetooth,-65
164.079,Bluetooth,-65
164.080,Bluetooth,-65
164.109,Bluetooth,-65
164.110,Bluetooth,-64
164.167,Bluetooth,-65
164.168,Bluetooth,-65
164.264,Bluetooth,-66
164.265,Bluetooth,-66
164.296,Bluetooth,-64
164.297,Bluetooth,-66
164.360,Bluetooth,-65
164.361,Bluetooth,-66
164.391,Bluetooth,-64
164.392,Bluetooth,-64
164.425,Bluetooth,-64
164.426,Bluetooth,-65
164.481,Bluetooth,-66
164.517,Bluetooth,-63
164.518,Bluetooth,-66
164.548,Bluetooth,-66
164.549,Bluetooth,-67
164.642,Bluetooth,-65
164.642,Bluetooth,-67
