Distance,4.0
TXDevice,iPhone11
TXPower,8
RXDevice,iPhone11_Pro_max
TXCarry,hand
RXCarry,hand
RXPose,sitting
TXPose,sitting
0.000,Bluetooth,-48
0.000,Bluetooth,-47
0.030,Bluetooth,-48
0.031,Bluetooth,-48
0.060,Bluetooth,-49
0.236,Bluetooth,-47
0.237,Bluetooth,-48
0.266,Bluetooth,-48
0.266,Bluetooth,-48
0.309,Bluetooth,-49
0.310,Bluetooth,-48
0.445,Bluetooth,-48
0.446,Bluetooth,-48
0.480,Bluetooth,-50
0.481,Bluetooth,-49
0.509,Bluetooth,-49
0.510,Bluetooth,-50
0.646,Bluetooth,-49
0.648,Bluetooth,-49
0.682,Bluetooth,-49
0.717,Bluetooth,-50
0.719,Bluetooth,-49
0.795,Bluetooth,-49
0.796,Bluetooth,-49
0.826,Bluetooth,-49
0.827,Bluetooth,-48
0.864,Bluetooth,-49
0.866,Bluetooth,-49
0.899,Bluetooth,-49
0.899,Bluetooth,-49
0.933,Bluetooth,-50
0.934,Bluetooth,-48
0.973,Bluetooth,-48
1.004,Bluetooth,-49
1.044,Bluetooth,-49
1.046,Bluetooth,-49
1.079,Bluetooth,-49
1.080,Bluetooth,-49
1.215,Bluetooth,-48
1.216,Bluetooth,-49
1.246,Bluetooth,-49
1.247,Bluetooth,-48
1.284,Bluetooth,-49
1.388,Bluetooth,-49
1.389,Bluetooth,-49
1.417,Bluetooth,-49
1.419,Bluetooth,-48
1.453,Bluetooth,-50
1.558,Bluetooth,-50
1.559,Bluetooth,-48
1.560,Bluetooth,-50
1.595,Bluetooth,-48
1.596,Bluetooth,-49
1.632,Bluetooth,-49
1.633,Bluetooth,-48
1.698,Bluetooth,-49
1.698,Bluetooth,-49
1.728,Bluetooth,-48
1.729,Bluetooth,-49
1.765,Bluetooth,-50
1.767,Bluetooth,-49
1.802,Bluetooth,-49
1.802,Bluetooth,-49
1.837,Bluetooth,-50
1.839,Bluetooth,-48
1.872,Bluetooth,-49
1.903,Bluetooth,-49
1.905,Bluetooth,-49
1.939,Bluetooth,-48
1.940,Bluetooth,-49
2.017,Bluetooth,-49
2.018,Bluetooth,-49
2.058,Bluetooth,-49
2.059,Bluetooth,-49
2.094,Bluetooth,-50
2.095,Bluetooth,-49
2.132,Bluetooth,-49
2.133,Bluetooth,-49
2.170,Bluetooth,-49
2.207,Bluetooth,-49
2.209,Bluetooth,-48
2.287,Bluetooth,-49
2.289,Bluetooth,-49
2.325,Bluetooth,-49
2.326,Bluetooth,-49
2.359,Bluetooth,-49
2.360,Bluetooth,-48
2.460,Bluetooth,-49
2.571,Bluetooth,-48
2.572,Bluetooth,-48
2.637,Bluetooth,-48
2.638,Bluetooth,-49
2.739,Bluetooth,-49
2.741,Bluetooth,-49
2.772,Bluetooth,-50
2.851,Bluetooth,-49
2.852,Bluetooth,-49
2.922,Bluetooth,-49
2.924,Bluetooth,-47
2.963,Bluetooth,-50
2.964,Bluetooth,-50
2.996,Bluetooth,-49
2.998,Bluetooth,-48
3.067,Bluetooth,-48
3.106,Bluetooth,-48
3.107,Bluetooth,-48
3.138,Bluetooth,-48
3.138,Bluetooth,-48
3.171,Bluetooth,-48
3.172,Bluetooth,-48
3.278,Bluetooth,-48
3.279,Bluetooth,-48
3.310,Bluetooth,-47
3.311,Bluetooth,-47
3.383,Bluetooth,-48
3.419,Bluetooth,-49
3.420,Bluetooth,-49
3.450,Bluetooth,-47
3.451,Bluetooth,-48
3.490,Bluetooth,-50
3.491,Bluetooth,-49
3.564,Bluetooth,-49
3.565,Bluetooth,-48
3.638,Bluetooth,-49
3.639,Bluetooth,-49
3.672,Bluetooth,-52
3.743,Bluetooth,-51
3.744,Bluetooth,-51
3.836,Bluetooth,-50
3.838,Bluetooth,-51
3.918,Bluetooth,-50
3.920,Bluetooth,-49
3.981,Bluetooth,-50
29.453,Bluetooth,-63
29.454,Bluetooth,-63
29.483,Bluetooth,-63
29.547,Bluetooth,-55
29.548,Bluetooth,-55
29.578,Bluetooth,-53
29.579,Bluetooth,-54
29.613,Bluetooth,-63
29.614,Bluetooth,-63
29.652,Bluetooth,-55
29.653,Bluetooth,-55
29.690,Bluetooth,-54
29.691,Bluetooth,-53
29.729,Bluetooth,-61
29.730,Bluetooth,-61
29.800,Bluetooth,-61
29.801,Bluetooth,-61
29.834,Bluetooth,-51
29.835,Bluetooth,-51
29.901,Bluetooth,-52
29.902,Bluetooth,-51
29.972,Bluetooth,-51
29.973,Bluetooth,-50
30.044,Bluetooth,-58
30.045,Bluetooth,-57
30.075,Bluetooth,-52
30.106,Bluetooth,-57
30.107,Bluetooth,-58
30.139,Bluetooth,-52
30.140,Bluetooth,-51
30.178,Bluetooth,-53
30.179,Bluetooth,-53
30.212,Bluetooth,-58
30.214,Bluetooth,-59
30.320,Bluetooth,-52
30.321,Bluetooth,-52
30.353,Bluetooth,-56
30.353,Bluetooth,-56
30.389,Bluetooth,-55
30.419,Bluetooth,-54
30.420,Bluetooth,-55
30.451,Bluetooth,-50
30.452,Bluetooth,-50
30.485,Bluetooth,-51
30.486,Bluetooth,-51
30.522,Bluetooth,-54
30.523,Bluetooth,-54
30.553,Bluetooth,-51
30.555,Bluetooth,-50
30.665,Bluetooth,-49
30.783,Bluetooth,-51
30.784,Bluetooth,-51
30.822,Bluetooth,-54
30.824,Bluetooth,-54
30.886,Bluetooth,-52
30.888,Bluetooth,-52
30.917,Bluetooth,-53
30.917,Bluetooth,-52
30.959,Bluetooth,-52
31.173,Bluetooth,-51
31.173,Bluetooth,-50
31.239,Bluetooth,-55
31.240,Bluetooth,-56
31.269,Bluetooth,-56
31.300,Bluetooth,-55
31.301,Bluetooth,-54
31.331,Bluetooth,-52
31.333,Bluetooth,-51
31.439,Bluetooth,-56
31.440,Bluetooth,-55
31.471,Bluetooth,-52
31.472,Bluetooth,-52
31.501,Bluetooth,-54
31.502,Bluetooth,-53
31.532,Bluetooth,-56
31.534,Bluetooth,-56
31.569,Bluetooth,-51
31.610,Bluetooth,-56
31.611,Bluetooth,-56
31.646,Bluetooth,-50
31.647,Bluetooth,-51
31.754,Bluetooth,-51
31.755,Bluetooth,-50
31.863,Bluetooth,-51
31.963,Bluetooth,-54
31.964,Bluetooth,-54
31.998,Bluetooth,-51
31.999,Bluetooth,-52
32.032,Bluetooth,-51
32.033,Bluetooth,-51
32.136,Bluetooth,-51
32.137,Bluetooth,-53
32.169,Bluetooth,-55
32.204,Bluetooth,-55
32.205,Bluetooth,-55
32.242,Bluetooth,-52
32.244,Bluetooth,-52
32.275,Bluetooth,-50
32.276,Bluetooth,-51
32.303,Bluetooth,-51
32.304,Bluetooth,-51
32.339,Bluetooth,-52
32.340,Bluetooth,-53
32.378,Bluetooth,-55
32.379,Bluetooth,-54
32.411,Bluetooth,-51
32.412,Bluetooth,-49
32.450,Bluetooth,-52
32.451,Bluetooth,-52
32.481,Bluetooth,-52
32.517,Bluetooth,-52
32.518,Bluetooth,-51
32.553,Bluetooth,-55
32.554,Bluetooth,-54
32.591,Bluetooth,-51
32.592,Bluetooth,-51
32.624,Bluetooth,-53
32.626,Bluetooth,-52
32.767,Bluetooth,-52
32.808,Bluetooth,-51
32.841,Bluetooth,-55
32.842,Bluetooth,-54
32.875,Bluetooth,-51
32.876,Bluetooth,-51
32.942,Bluetooth,-52
32.943,Bluetooth,-53
33.015,Bluetooth,-51
33.016,Bluetooth,-51
33.057,Bluetooth,-52
33.087,Bluetooth,-54
33.118,Bluetooth,-53
33.119,Bluetooth,-52
33.148,Bluetooth,-54
33.149,Bluetooth,-54
33.183,Bluetooth,-51
33.184,Bluetooth,-51
33.216,Bluetooth,-51
33.218,Bluetooth,-50
33.388,Bluetooth,-50
33.419,Bluetooth,-52
33.420,Bluetooth,-52
61.466,Bluetooth,-62
61.467,Bluetooth,-63
61.499,Bluetooth,-65
61.500,Bluetooth,-65
61.534,Bluetooth,-57
61.536,Bluetooth,-56
61.597,Bluetooth,-57
61.598,Bluetooth,-57
61.673,Bluetooth,-62
61.674,Bluetooth,-62
61.777,Bluetooth,-65
61.778,Bluetooth,-65
61.818,Bluetooth,-63
61.819,Bluetooth,-64
61.849,Bluetooth,-61
61.850,Bluetooth,-62
61.886,Bluetooth,-60
61.918,Bluetooth,-61
61.919,Bluetooth,-61
61.957,Bluetooth,-66
62.038,Bluetooth,-59
62.039,Bluetooth,-59
62.068,Bluetooth,-65
62.069,Bluetooth,-65
62.104,Bluetooth,-61
62.105,Bluetooth,-62
62.135,Bluetooth,-58
62.136,Bluetooth,-58
62.173,Bluetooth,-65
62.214,Bluetooth,-59
62.215,Bluetooth,-59
62.244,Bluetooth,-63
62.245,Bluetooth,-64
62.285,Bluetooth,-59
62.286,Bluetooth,-59
62.354,Bluetooth,-63
62.355,Bluetooth,-63
62.382,Bluetooth,-63
62.383,Bluetooth,-63
62.418,Bluetooth,-58
62.419,Bluetooth,-58
62.497,Bluetooth,-74
62.498,Bluetooth,-74
62.560,Bluetooth,-59
62.561,Bluetooth,-59
62.595,Bluetooth,-70
62.596,Bluetooth,-69
62.665,Bluetooth,-67
62.666,Bluetooth,-67
62.764,Bluetooth,-64
62.797,Bluetooth,-61
62.798,Bluetooth,-61
62.866,Bluetooth,-70
62.867,Bluetooth,-68
62.897,Bluetooth,-65
62.898,Bluetooth,-65
62.931,Bluetooth,-60
62.932,Bluetooth,-60
62.967,Bluetooth,-61
62.968,Bluetooth,-61
62.995,Bluetooth,-64
62.996,Bluetooth,-62
63.060,Bluetooth,-65
63.094,Bluetooth,-57
63.095,Bluetooth,-58
63.277,Bluetooth,-60
63.278,Bluetooth,-61
63.315,Bluetooth,-60
63.316,Bluetooth,-60
63.380,Bluetooth,-63
63.412,Bluetooth,-64
63.412,Bluetooth,-64
63.450,Bluetooth,-59
63.450,Bluetooth,-59
63.484,Bluetooth,-58
63.485,Bluetooth,-58
63.518,Bluetooth,-62
63.519,Bluetooth,-62
63.558,Bluetooth,-60
